
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nou
buildtoolbar_popup_help_informants_6        - Poţi renunţa la un informator dacă dai clic pe „X” în dreptul butonului de activare.

buildtoolbar_popup_help_utilities_1         Diagrama „Utilități” prezintă diferitele conexiuni care trec pe sub închisoare. Poți să creezi cabluri electrice și conducte de apă și, de asemenea, poți să conectezi diverse elemente cu cabluri.\n\n
buildtoolbar_popup_help_utilities_2         ~Când creezi cabluri electrice sau conducte, ține apăsat butonul din stânga al mouse-ului și trage între 2 puncte pe care vrei să le conectezi. Dacă dai clic dreapta, sarcinile de plasare a cablurilor sau conductelor în curs vor fi anulate.\n\n
buildtoolbar_popup_help_utilities_3         ~Când conectezi elemente cu cabluri (de exemplu un monitor CCTV la o cameră CCTV), dă clic stânga pe primul obiect pe care vrei să îl conectezi. Dacă ții apăsat butonul Shift, poți conecta mai multe obiecte.\n\n
buildtoolbar_popup_help_utilities_4         ^Sfaturi
buildtoolbar_popup_help_utilities_5         - Articolele electrice mici, cum sunt luminile sau televizoarele, vor fi conectate automat la sursa de alimentare cu energie electrică atâta timp cât există în apropiere un cablu electric. Articolele mai mari, cum sunt mașinile de spălat sau pompele de apă, trebuie conectate direct la cablu.
buildtoolbar_popup_help_utilities_6         - Conductele de apă cu diametrul mare pot transporta apa pe distanțe lungi, iar conductele cu diametrul mic acoperă distanțe mai scurte. O modalitate foarte bună de a economisi bani este să utilizezi o conductă mare pentru a alimenta o clădire sau o zonă, iar la aceasta să racordezi individual obiecte cu ajutorul conductelor mai mici.
buildtoolbar_popup_help_utilities_7         - Diagrama „Utilități” poate fi foarte încărcată, mai ales în închisorile mari. Dacă dai clic pe un anumit obiect vor fi selectate conexiunile acestuia pentru o vizualizare mai facilă. De exemplu, dacă dai clic pe cablurile electrice, vor fi evidențiate toate cablurile și obiectele alimentate din închisoare.
buildtoolbar_popup_help_utilities_8         - Dacă ai în închisoare mai multe posturi de alimentare, fiecare trebuie să aibă propriile cabluri electrice. Dacă intră în contact cablurile electrice de la două posturi de alimentare, ambele stații vor fi oprite.

buildtoolbar_popup_help_guard_1             Gardienii reprezintă cea mai mare parte a forței de muncă din închisoare și se vor ocupa de orice situație, de la escortarea deținuților în celule până la stingerea conflictelor și căutarea mărfurilor de contrabandă.\n\n
buildtoolbar_popup_help_guard_2             După ce ai selectat un gardian, îl poți trimite oriunde în închisoare făcând clic dreapta pe acel loc. \n\n
buildtoolbar_popup_help_guard_3             ^Sfaturi
buildtoolbar_popup_help_guard_4             - Gardienii pot găsi tuneluri săpate de deținuți în toaletele din celule. Când caută atent într-o toaletă, vor găsi cu certitudine un tunel, dacă se află acolo.
buildtoolbar_popup_help_guard_5             - Dacă ai un șef al securității, în bara de informații din partea de sus a ecranului poți vedea câți gardieni inactivi ai. Dacă observi frecvent că numărul gardienilor disponibili este 0, acest lucru ar putea indica faptul că nu ai suficienți gardieni pentru acoperirea sarcinilor actuale.

buildtoolbar_popup_help_workman_1           Muncitorii sunt persoanele care construiesc închisoarea, ajută la livrări și, în unele situații, transportă bunurile livrate în anumite zone din închisoare.\n\n
buildtoolbar_popup_help_workman_2           ^Sfaturi
buildtoolbar_popup_help_workman_3           Muncitorii acționează de obicei automat, dar dacă vrei să construiești rapid, poți da clic dreapta pe o sarcină de construcție pentru a o marca drept „Prioritate ridicată”. În acest caz, muncitorii cei mai apropiați își vor întrerupe lucrul și vor participa la sarcina prioritară.

buildtoolbar_popup_help_cook_1              Bucătarii pregătesc hrana pentru deținuți, fac curățenie în cantină și aduc în bucătării mâncarea livrată.\n\n
buildtoolbar_popup_help_cook_2              ^Sfaturi
buildtoolbar_popup_help_cook_3              - Asigură-te că ai suficienți bucătari pentru a face față cerințelor de mâncare din închisoare. Dacă numărul bucătarilor nu este suficient, aceștia nu vor putea pregăti suficientă mâncare și o parte a deținuților va suferi de foame...

buildtoolbar_popup_help_warden_1            Directorii sunt persoanele care se ocupă de birocrația necesară pentru conducerea unei închisori. Aceștia deblochează fereastra Birocrație, care îți va permite să accesezi diverse funcții noi de utilizare a închisorii. După ce primesc un birou, se vor descurca destul de bine pe cont propriu.

buildtoolbar_popup_help_armedguard_1        Gardienii înarmați sunt utilizați pentru a menține disciplina între deținuții periculoși sau recalcitranți și au în permanență puști asupra lor. Aceștia supun toți deținuții din apropiere, reducând riscul ca aceștia să provoace probleme, iar dacă le este amenințată viața, vor folosi puștile, ceea ce îi va face pe deținuții din zonă să se supună.\n\n
buildtoolbar_popup_help_armedguard_2        După ce ai selectat un gardian înarmat, îl poți trimite oriunde în închisoare făcând clic dreapta pe acel loc. \n\n
buildtoolbar_popup_help_armedguard_3        ^Sfaturi
buildtoolbar_popup_help_armedguard_4        - Dacă este activat butonul „Permite forță letală”, gardienii înarmați vor folosi pușca înainte ca viața să le fie pusă în pericol. Aceștia vor deschide focul asupra tuturor deținuților care fac probleme.
buildtoolbar_popup_help_armedguard_5        - Gardienii înarmați sunt greu de doborât de deținuți, dar când sunt doborâți, puștile le rămân pe podea, de unde le poate lua oricine.

buildtoolbar_popup_help_doctor_1            Doctorii tratează rănile cu care se aleg inevitabil angajații închisorii și deținuții pe perioada șederii în închisoare. Aceștia tratează rănile, se ocupă de deținuții care au luat o supradoză de droguri sau derulează programe pentru dependenții de droguri.\n\n
buildtoolbar_popup_help_doctor_2            După ce ai selectat un doctor, îl poți trimite oriunde în închisoare făcând clic dreapta pe acel loc. \n\n

buildtoolbar_popup_help_janitor_1           Oamenii de serviciu sunt responsabili cu păstrarea curățeniei în închisoare și ajută la desfășurarea activităților în spălătorii.\n\n
buildtoolbar_popup_help_janitor_2           ^Sfaturi
buildtoolbar_popup_help_janitor_3           - Toate sarcinile executate de oamenii de serviciu pot fi executate și de deținuții care lucrează. Dacă ai atribuit destui deținuți la spălătorii și dulapurile pentru produse de curățat, ai putea să te descurci cu puțini oameni de serviciu sau chiar fără.

buildtoolbar_popup_help_gardener_1          Grădinarii păstrează îngrijite zonele din afara închisorii, curățând buruienile și plantând copaci.\n\n
buildtoolbar_popup_help_gardener_2          ^Sfaturi
buildtoolbar_popup_help_gardener_3          - Dacă ai silvicultură, grădinarii vor planta pomii pe care îi primești. Ai grijă ca numărul grădinarilor să poată face față recepției!

buildtoolbar_popup_help_doghandler_1        Dresorii de câini sunt însoțiți de un câine de pază. Câinii de pază reușesc să miroasă mărfurile de contrabandă cu miros puternic, cum sunt drogurile sau alcoolul și pot detecta tunelurile săpate de deținuți pentru evadare.\n\n
buildtoolbar_popup_help_doghandler_2        ~După ce ai selectat un dresor, îl poți trimite oriunde în închisoare făcând clic dreapta pe acel loc. \n\n
buildtoolbar_popup_help_doghandler_3        ^Sfaturi
buildtoolbar_popup_help_doghandler_4        - Dacă trimiți un dresor într-o zonă, câinele de pază va încerca să adulmece marfa de contrabandă care ar putea fi ascunsă în apropiere.
buildtoolbar_popup_help_doghandler_5        - Când trece pe deasupra unui tunel săpat pentru evadare, un câine de pază ar putea da un semn de prezență a tunelului. În urma câinelui va rămâne un mic semn, prin care se va indica acest lucru. Totuși, este posibil ca uneori câinii de pază să indice un tunel, chiar dacă nu există niciunul...
buildtoolbar_popup_help_doghandler_6        - Dacă un dresor este ucis, câinele său de pază și-ar putea pierde controlul și ar putea încerca să îl ucidă pe cel care i-a asasinat dresorul înainte de a fugi din închisoare.

buildtoolbar_popup_help_sniper_1            Lunetiștii sunt poziționați în turnurile de pază pe care le construiești în jurul închisorii intimidând serios deținuții care fac probleme și acționând ca ultima linie de supraveghere a deținuților care încearcă să evadeze.\n\n
buildtoolbar_popup_help_sniper_2            ^Sfaturi
buildtoolbar_popup_help_sniper_3            - Lunetiștii sunt echipați cu puști cu rază lungă de acțiune, dar nu pot acoperi decât zonele din aria lor vizuală.
buildtoolbar_popup_help_sniper_4            - Lunetiștii vor trage focuri de avertisment în direcția deținuților care creează probleme în închisoare. Dacă deținuții nu se predau, lunetiștii vor începe să tragă în plin.
buildtoolbar_popup_help_sniper_5            - Dacă este activată opțiunea „Permite forță letală” sau dacă un deținut este în afara închisorii în încercarea de a evada, nu vor fi trase focuri de avertisment.

buildtoolbar_popup_help_chief_1             Șeful securității este responsabil cu securitatea în închisoare. Acesta îți indică starea de spirit din închisoare și probabilitatea ca deținuții să provoace probleme, precum și numărul de gardieni ocupați din închisoare. Tot el îți permite să afli mai multe informații despre funcțiile de securitate avansate cum sunt câinii de pază și camerele CCTV. După ce primește un birou, se va descurca destul de bine pe cont propriu.

buildtoolbar_popup_help_foreman_1           Șeful de atelier este responsabil cu întreținerea și construcțiile în închisoare și îți permite să cauți și să angajezi oameni de serviciu și grădinari. Tot el se ocupă și de munca în închisoare și supraveghează personal instruirea deținuților pentru utilizarea sculelor din atelier.\n\n
buildtoolbar_popup_help_foreman_2           ^Sfaturi
buildtoolbar_popup_help_foreman_3           - După ce ai construit un atelier în închisoare, șeful de atelier trebuie să predea programele de protecția muncii în atelier. Acestea pot fi programate în fila Programe din fereastra de rapoarte.

buildtoolbar_popup_help_psychologist_1      Psihologul monitorizează sănătatea mentală a deținuților. Dacă ai un psiholog poți să afli nevoile actuale ale deținuților. Acesta este, de asemenea, responsabil cu desfășurarea programelor de reeducare pentru deținuți.\n\n
buildtoolbar_popup_help_psychologist_2      ^Sfaturi
buildtoolbar_popup_help_psychologist_3      - Dacă ai un psiholog în închisoare, poți vedea nevoile fiecărui deținut pe care îl selectezi sau poți afla nevoile generale ale deținuților în fila Nevoi din fereastra Raport.
buildtoolbar_popup_help_psychologist_4      - Psihologii organizează în închisoare programele pentru alcoolici anonimi, precum și programe de terapie comportamentală pentru educarea deținuților care creează probleme. Prin urmare, poți avea mai mulți psihologi în închisoare dacă ai nevoie.

buildtoolbar_popup_help_accountant_1        Contabilul administrează finanțele închisorii și deblochează capacitatea de a vedea fluxurile de numerar și valoarea totală a închisorii, permițând în același timp și derularea unor studii pentru creșterea veniturilor. După ce primește un birou, se va descurca destul de bine pe cont propriu.

buildtoolbar_popup_help_lawyer_1            Avocatul te ajută să interpretezi anumite legi cu care s-ar putea să te confrunți în conducerea închisorii și să eviți responsabilitatea juridică pentru unele situații dezastruoase care pot apărea în închisoare. Acesta poate debloca opțiunea „Culoarul morții” pentru închisoarea ta. După ce primește un birou, se va descurca destul de bine pe cont propriu.

buildtoolbar_popup_help_gangs_1             Diagrama „Găști” îți arată starea actuală a tuturor găștilor din închisoare. Poți vedea informațiile pentru fiecare gașcă, precum și camerele controlate de găști și membri găștilor. De asemenea, poți vedea locotenenții găștilor (marcați cu două cercuri) și conducătorii găștilor (marcați cu 3 cercuri).\n\n
buildtoolbar_popup_help_gangs_2             ~Dacă vrei să elimini cu forța o gașcă dintr-o zonă pe care o controlează, evidențiază acea cameră și dă clic pe butonul Evacuare care apare. Totuși, acea gașcă nu va fi foarte încântată...\n\n
buildtoolbar_popup_help_gangs_3             ^Sfaturi
buildtoolbar_popup_help_gangs_4             - Nu poți aduce modificări în zonele din închisoare pe care le controlează găștile. Dacă vrei să adaugi sau să elimini orice din acele zone, va trebui să le revendici mai întâi.
buildtoolbar_popup_help_gangs_5             - Deținuții care nu fac parte din găști vor trebui să plătească o taxă de protecție dacă utilizează structurile dintr-o zonă controlată de o bandă. Membrii găștilor rivale vor evita complet acele zone.
buildtoolbar_popup_help_gangs_6             - Poți să utilizezi camerele de pază pentru a-ți păstra influența într-o zonă. Paznicii din biroul de securitate aferent unei zone controlate de o bandă te vor ajuta să păstrezi controlul în acea zonă.
buildtoolbar_popup_help_gangs_7             - Membrii găștilor sunt dispuși să își protejeze conducătorul cu orice preț. Nu vor fi foarte încântați dacă acesta pățește ceva...

buildtoolbar_popup_help_weathermap_1        Diagrama „Temperatură” indică temperatura în diferite zone din închisoare. Temperatura poate fi crescută în principal prin utilizarea radiatoarelor. Dacă într-o zonă este prea rece, nevoia de căldură a deținuților din acea zonă va crește.

buildtoolbar_popup_help_prefabs_1           Meniul „Construire rapidă” conține opțiuni care te vor ajuta să grăbești construcția camerelor pe care le utilizezi cel mai frecvent. Instrumentul de clonare îți permite să selectezi o zonă a închisorii pe care să o copiezi și să o plasezi în alt loc. Camerele de prefabricare îți permit să folosești camere prefabricate care satisfac cerințele.\n\n
buildtoolbar_popup_help_prefabs_2           ~După ce selectezi instrumentul de clonare ține apăsat butonul din dreapta al mouse-ului și trage o zonă pe care vrei să o copiezi. Apoi, dă clic stânga în alt loc din închisoare pentru a plasa în coadă construirea unei copii în acea zonă.\n
buildtoolbar_popup_help_prefabs_3           ~Cu instrumentul de prefabricare selectat, dă clic stânga în zona din închisoare în care vrei să construiești camera și aceasta va fi construită de muncitori.\n\n
buildtoolbar_popup_help_prefabs_4           ^Sfaturi
buildtoolbar_popup_help_prefabs_5           - Instrumentul Clonare nu copiază conexiunile utilităților. Alimentarea cu energie și cu apă trebuie conectate manual în noile zone.

buildtoolbar_popup_help_zoning_1        Instrumentele „Stabilire zone” îți permite să controlezi zonele în care sunt acceptați deținuții și categoriile de deținuți acceptați în fiecare zonă din închisoare, zonele Comună și Deblocată fiind accesibile tuturor categoriilor de deținuți.\n\n
buildtoolbar_popup_help_zoning_2        ~Selectează categoria pe care dorești să o aloci unei zone și dă clic stânga pe zonă. Dacă dai clic dreapta, zona va fi resetată la Comună.\n\n
buildtoolbar_popup_help_zoning_3        ^Sfaturi
buildtoolbar_popup_help_zoning_4        - Accesul deținuților nu este permis în zonele destinate exclusiv personalului și astfel poți crea „bariere virtuale”, care să împiedice deținuții din anumite zone să acceseze zone care în alte condiții ar fi fost comune. Această abordare poate fi extrem de utilă, de exemplu, dacă vrei să menții toți deținuții pe care îi ai în custodie în propria zonă, departe de o curte sau o cameră comună.
buildtoolbar_popup_help_zoning_5        - Dacă o zonă este setată la Deblocată, toate ușile din acea zonă vor fi descuiate.

buildtoolbar_popup_help_guards_1        Instrumentul Gardieni îți permite să detașezi gardieni la obiective, pe zone. Un gardian staționat se va deplasa aleator în zona care îi este alocată și va executa sarcinile oricărui gardian din acea zonă, ca de exemplu deschiderea ușilor.\n\n
buildtoolbar_popup_help_guards_2        ~Dă clic pentru a crește numărul de gardieni detașați într-o zonă. Dă clic dreapta pentru a elimina un gardian.\n\n
buildtoolbar_popup_help_guards_3        ^Sfaturi
buildtoolbar_popup_help_guards_4        - Dacă ai deblocată opțiunea Micromanagement, vei avea acces la Programatorul Mobilizare. Acesta îți permite să creezi un orar în care să specifici orele la care sunt delegați gardienii în anumite zone. De exemplu, dacă vrei ca gardienii să fie mobilizați în cantină numai pe perioada mesei, poți da clic pe fiecare bloc din Programator în care apare masa, apoi poți muta glisorul pentru timp în acel bloc și da clic pe cantină pentru a detașa gardieni.
buildtoolbar_popup_help_guards_5        - Ai maximum 7 blocuri de timp disponibile pentru programare, plus modul Activ permanent, care îți permite să creezi rutine complexe de detașare, adecvate nevoilor din închisoarea ta.
buildtoolbar_popup_help_guards_6        - Dacă nu selectezi manual un bloc de timp cânt detașezi gardienii, Programatorul va utiliza momentul actual; selectează timpul corect când schimbi mobilizarea!

buildtoolbar_popup_help_patrols_title   Patrule
buildtoolbar_popup_help_patrols_1       Cele 3 instrumente Patrulă îți permit să creezi anumite rute pe care vrei să se patruleze și să desemnezi pentru acestea gardieni, dresori de câini sau gardieni înarmați (sau o combinație între aceștia). Aceste patrule pot acoperi mai multe zone.\n\n
buildtoolbar_popup_help_patrols_2       ~Ține apăsat butonul din stânga al mouse-ului și trage pentru a crea rute de patrulat și apoi dă clic pe o rută existentă pentru a adăuga un gardian la acea patrulă. Dă clic dreapta pe un gardian dintr-o patrulă pentru a-l elimina sau ține apăsat butonul din dreapta al mouse-ului și trage pentru a elimina integral patrula.\n\n
buildtoolbar_popup_help_patrols_3       ^Sfaturi
buildtoolbar_popup_help_patrols_4       - Gardienii obișnuiți în patrulare vor continua să desfășoare atribuții de gardian, cum sunt deschiderea ușilor sau căutarea deținuților. Dresorii și gardienii înarmați nu vor face acest lucru.
buildtoolbar_popup_help_patrols_5       - Dacă ai deblocat Micromanagementul, vei avea acces la Programatorul Mobilizare, care poate fi utilizat pentru Patrule în același mod în care este utilizat pentru Mobilizare gardieni.

buildtoolbar_popup_help_accessonly_1	Instrumentul „Doar cu acces autorizat” îți permite să marchezi zonele din închisoare care trebuie în general evitate la plimbările în jurul închisorii. Îți permite să le interzici oamenilor să folosească sălile ca scurtături prin închisoare, dacă preferi ca ei să meargă pe alte rute.\n\n
buildtoolbar_popup_help_accessonly_2	~Fă clic stânga pe zona pe care dorești să o marchezi ca fiind „Doar cu acces autorizat”. Poți face acest lucru ca o completare a setărilor normale de securitate.
buildtoolbar_popup_help_accessonly_3	~Fă clic dreapta pe zonă pentru a elimina setarea „Doar cu acces autorizat”.\n\n
buildtoolbar_popup_help_accessonly_4	^Sfaturi
buildtoolbar_popup_help_accessonly_5	- „Doar cu acces autorizat” nu este o setare strictă. Nu le interzice în mod explicit oamenilor să intre în zona respectivă, mai ales dacă ținta lor este în interiorul zonei marcate. Dacă trecerea printr-o zonă „Doar cu acces autorizat” este mult mai scurtă decât o rută alternativă (de exemplu, navigarea în jurul întregii închisori), este posibil ca oamenii să treacă oricum prin zonele „Doar cu acces autorizat”.

job_matsassigned                        Materiale Desemnate
job_matsavailable                       Materiale Valabile
job_awaitingmaterials                   În Așteptare De Materiale
job_inprogress                          -În curs-
job_blocked                             -Blocat-
job_queued                              -În așteptare-

job_failed_noroute                      Lipsă De Rută
job_failed_nomaterials                  Lipsă De Materiale
job_failed_toodangerous                 Prea Periculos
job_failed_materialsbeingcarried        Materiale În Rută

job_rightclicktocancel                  - Dă clic dreapta pentru anulare
job_ftofollow							- Apasă F pentru a urmări
job_makehighpriority					- Ctrl + clic stânga pentru a seta o prioritate ridicată
job_removehighpriority					- Ctrl + clic dreapta pentru a elimina o prioritate ridicată
job_makehighpriority_mac				- Alt + clic stânga pentru a seta o prioritate ridicată
job_removehighpriority_mac				- Alt + clic dreapta pentru a elimina o prioritate ridicată
job_highpriority_tooltip				- URGENT
job_refundamount                        - Returnare sumă: *X

failuremessage_blocked                  BLOCAT
failuremessage_cantafford               Fonduri Insuficiente
failuremessage_cantaffordupkeep         Întrece Bugetul Zilnic
failuremessage_maximumcountreached      Număr Maxim De Angajați Atins
failuremessage_maxstaff                 Prea Mult Personal


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                Livrări
statustoolbar_finances                  Finanțe
statustoolbar_regime                    Regim
statustoolbar_escapemap                 Securitate
statustoolbar_electricity               Curent Electric
statustoolbar_stats                     Statistici
statustoolbar_danger                    Pericol
statustoolbar_jobs                      Muncă În Desfășurare
statustoolbar_gangs                     Găști
statustoolbar_staff                     Personal
statustoolbar_research                  Cercetări


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Editor Bancă De Spriteuri
spritebankeditor_create                 Creează
spritebankeditor_rotate                 Rotație
spritebankeditor_sort                   Sortează
spritebankeditor_markermodetitle        Mod De Marcare


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Meniul Principal
codex_campaign                          Campanie
codex_cutscenes                         Filmulețe
codex_qualifications                    Calificări
codex_load                              Încarcă Închisoare
codex_loadcampaign                      Încarcă Campanie
codex_save                              Salvează Închisoare
codex_savecampaign                      Salvează Campanie
codex_performance						Test De Performanță
codex_developer_load                    (Dezvoltator) Încarcă Hartă
codex_developer_save                    (Dezvoltator) Salvează Hartă
codex_developer_clearach                (Dezvoltator) Șterge Realizările
codex_contacts                          Contacte
codex_materials                         Materiale
codex_play                              Pornește
codex_play_escape                       Joacă în modul Evadare
codex_polaroids                         Polaroizi
codex_introduction                      Introducere
codex_restartintroduction               Repornește Introducerea
codex_restartchapter                    Repornește Capitolul
codex_help                              Ajutor (wiki)
codex_opensavefolder                    Deschide Dosarul Cu Salvări
codex_options							Opțiuni
codex_nitgs								Nume În Joc
codex_workshop							Partajează închisoare (Steam)
codex_steamtrending                     Cele mai importante închisori (Steam)
codex_checkforupdates                   Caută Actualizări
codex_preorder                          Pre-Comandă Acum
codex_termsconditions                   Termeni Și Condiții
codex_twitter                           Twitter
codex_extras                            În Plus
codex_unlocked                          *X/*Y Deblocate
codex_mapsettings                       Setări hartă
codex_othergames						Alte jocuri Introversion
codex_mutators                          Mutatoare

codex_cloudsavedesc                     Salvare în cloud
codex_cloud_enabled						Salvările noi vor fi stocate în cloud.
codex_cloud_notaccount					Steam Cloud este dezactivat în clientul Steam. Pentru a folosi această funcție, trebuie să-l reactivezi.
codex_cloud_notapp						Salvările noi vor fi stocate pe hard diskul tău.
codex_saveload_delete					Ștergere

codex_new                               Creează O Închisoare Nouă
codex_new_worldsize                     Mărime Lume
codex_new_small                         Mică
codex_new_medium                        Mediu
codex_new_large                         Mare
codex_new_selectwarden                  Alege-ți Directorul
codex_new_selectgender                  Selectează sexul deţinutului

codex_options_graphics					Grafică
codex_options_resolution				Rezoluție
codex_options_resolutionauto			Automată
codex_options_windowed					În Fereastră
codex_options_highdpi					DPI Înalt
codex_options_filtering					Filtrare
codex_options_nofiltering				Oprită
codex_options_multisampled				Eșantioane Multiple
codex_options_supersampled				Super Eșantion

codex_options_audio						Audio
codex_options_volume					Volum Principal
codex_options_frequency					Frecvență Mix
codex_options_swapstero					Schimbă Stereo
codex_options_dspenabled				Activează Procesor De Semnal Digital
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 Tip Ceas
codex_options_clocktype_analogue        Analog
codex_options_clocktype_12h             12 Ore
codex_options_clocktype_24h             24 De Ore

codex_options_directions				Afișare indicatoare pe podea
codex_options_dirrender_hidden			Ascunse
codex_options_dirrender_visible			Vizibile
codex_options_dirrender_zoom			Mărire

codex_options_tempscale                 Afișare temperatură în grade Celsius

codex_options_gameplay					Joc
codex_options_autosave					Cronometru Salvare Automată
codex_options_renderrooms				Grilă Cameră
codex_options_apply						Aplică
codex_options_v2gui						GUI versiunea 2.0
codex_options_zoomtomouse				Zoom cu mouse-ul
codex_options_oneclickrapsheet			Cazier cu un clic
codex_options_disableanalytics			Dezactivare analiză
codex_tooltip_disableanalytics          Culegem date anonime care contribuie la îmbunătățirea experienței de joc. Datele pe care le culegem pot fi consultate în fișierul metrics.txt

codex_options_language					Limbaj

codex_options_experimental              Experimental
codex_options_enablevbo                 Activează obiectele Vertex Buffer

codex_nitgs_authwarning                 Important: Dacă ți-ai schimbat recent numele de jucător, acesta va trebui autorizat înainte să apară în listă.

codex_nitgs_filtercaption               Filtrează
codex_nitgs_filterall                   Toate
codex_nitgs_filtermen                   Bărbaţi
codex_nitgs_filterwomen                 Femei

codex_nitgs_checkingforupdate           Se caută actualizări...
codex_nitgs_updateavailable             Este disponibilă o actualizare
codex_nitgs_downloading                 Se descarcă actualizarea...
codex_nitgs_downloadcomplete            Descărcarea s-a efectuat.
codex_nitgs_downloadfailed              Descărcarea a eşuat.

codex_enabled                           Activat
codex_disabled                          Dezactivat

codex_option_intake                     Sosiri Continuu
codex_tooltip_intake                    Dacă este activat, vei primi un număr aleatoriu de deţinuţi noi, în fiecare zi...pentru totdeauna.\n\nDacă este dezactivat, poți să decizi tu când ești gata să primești deţinuţi noi, prin a accesa rapoartele si a da click pe eticheta de sosiri.
codex_option_fogofwar                   Ceață De Război
codex_tooltip_fogofwar                  Nu vei avea vizibilitate în interiorul clădirilor închisorii, în care nu ai Paznici care să patruleze zona sau camere CCTV care să acopere zona.
codex_option_lakes                      Generează Lacuri
codex_tooltip_lakes                     Vor fi generate lacuri în mod aleator, care vor bloca secțiuni din pământul tău. ATENȚIE: Experimental.
codex_option_forests                    Generează Păduri
codex_tooltip_forests                   Vor fi generate grupuri de copaci în mod aleator pe pământul tău.
codex_option_buildings                  Generează Clădiri
codex_tooltip_buildings                 Diferite clădiri vor fi abandonate, în mod aleator, pe pământul tău. Poți folosi aceste clădiri în orice fel dorești.
codex_option_failure                    Condiții De Eșec
codex_tooltip_failure                   O provocare în plus! Dacă lucrurile merg prost (revolte, faliment, prea multe decese sau evadări etc.) vei fi concediat iar jocul se va sfârși.
codex_option_unlimitedfunds             Fonduri Nelimitate
codex_tooltip_unlimitedfunds            Mod Sandbox pur! Poți să cheltui orice sumă dorești de la bun început, fără să îți faci griji sau să fie nevoie să aștepți.
codex_option_gangs                      Găști
codex_tooltip_gangs                     Unii deţinuţi vor face parte din găști, chiar de când ajung. Aceștia vor ataca membri ai găștilor rivale. Provocare în plus.
codex_option_events                     Evenimente
codex_tooltip_events                    Cauzează diverse evenimente pe parcursul jocului pentru a te ține pe picioare. Adaugă o provocare în plus și un element de imprevizibilitate.
codex_option_weather                    Condiţii meteo şi temperatură
codex_tooltip_weather                   Schimbă condiţiile meteo şi temperatura în închisoare şi trebuie să te gândeşti la un sistem de încălzire.
codex_option_enablecheats				Activare instrumente și cheat-uri
codex_tooltip_enablecheats				Activează instrumentele pentru dezvoltatori și cheat-urile în închisoare. Dacă selectezi această opțiune, nu o vei mai putea dezactiva, nu ți se vor mai recunoaște realizările și nu vei putea vinde închisoarea.
codex_option_staffneeds                 Necesități personal
codex_tooltip_staffneeds                Dacă activezi „Necesități personal” pentru gardieni, aceștia vor avea nevoie de mâncare, odihnă și alte facilități pentru a-și desfășura activitatea în mod corespunzător.
codex_option_wardenmode                 Mod Director de închisoare
codex_tooltip_wardenmode                Joacă în calitate de director de închisoare în locația închisorii pe care o construiești.
codex_option_wardenmode_permadeath      Moarte definitivă
codex_tooltip_wardenmode_permadeath     Dacă mori când joci ca director de închisoare, jocul se încheie!

codex_option_funds                      Fonduri
codex_tooltip_funds                     Vei începe cu această sumă în contul tău bancar. Pentru a începe cu o sumă mai mare, poți să vinzi alte închisori care îți aparțin, prin ecranul de Estimare.

codex_transfer							Transferă
codex_transferring						În Curs De Transfer
codex_in_prison							Încarcerat
codex_unavailable                       Indisponibil
codex_useravatar                        Acesta sunt eu
codex_tooltip_useravatar                Marchează acest deţinut ca tu însuți. Dacă cumva ajungi chiar tu în închisoare, acest deţinut te va reprezenta.
codex_tooltip_flagbio                   Raportează această biografie ca neplăcută sau ofensivă.

codex_workshop_current					Închisoarea Curentă
codex_workshop_publish					Publică această închisoare
codex_workshop_update					Actualizează
codex_workshop_play						Pornește
codex_workshop_downloading				În Curs De Descărcare
codex_workshop_download_failed			Descărcare Eșuată
codex_workshop_publishing				În Curs De Publicare...
codex_workshop_new						NOU
codex_workshop_title					Titlu
codex_workshop_desc						Descriere
codex_workshop_view_in_workshop			Vizualizează în Atelierul Steam
codex_workshop_heading_pubed			Închisori Publicate De Tine
codex_workshop_heading_subed			Abonamente Închisori
codex_workshop_published_by				Publicat de *P
codex_workshop_published_by_you			Publicat de tine
codex_workshop_published_good			Închisoare Publicată
codex_workshop_published_good_msg		Închisoarea ta a fost publicată cu succes.
codex_workshop_published_bad			Publicare Eșuată
codex_workshop_published_bad_msg		Publicarea închisorii tale a eșuat.
codex_workshop_published_bad_msg_new	Publicarea noii tăi închisori a eșuat. Te rugăm să încerci din nou.
codex_workshop_busy						Se întâmplă deja ceva magic pe Steam. Te rugăm să încerci din nou după ce termină.
codex_workshop_file_exists				Deja ai publicat o închisoare sub acest nume. Te rugăm să alegi un nume diferit.
codex_workshop_generic_fail				A eșuat publicarea închisorii tale. Te rugăm să încerci din nou.
codex_workshop_download_bad				Descărcarea Închisorii A Eșuat
codex_workshop_pa_workshop				Deschide Atelierul Prison Architect
codex_workshop_agreement				Prin încărcarea acestui obiect, declari că ești de acord cu [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop terms of service[/url].
codex_workshop_update_warning			Actualizarea închisorii publicate
