# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Fullständig ändringslogg
multiplayer_kicked	Du sparkades från spelet.
multiplayer_kick	Sparka
multiplayer_ban	Banna

multiplayer_host	Värd:

multiplayer_welcomeanalytics	Välkommen till flerspelarläget i Prison Architect.\n\nVi har försökt få in hela Prison Architect-upplevelsen i ett flerspelarläge. Prison Architect är ett stort spel, och det här är första gången som flerspelarläget blir öppet för alla, så vi kommer hålla ett öga på alla problem som kan uppstå.\n\nFör att hjälpa oss med det här vill vi samla in anonymiserade rapporter för att kunna lösa alla problem som kan tänkas uppstå med spelet. Du kan stänga av det här när som helst från alternativmenyn, och alla uppgifter vi samlar hittar du i metrics.txt.\n\nVi hoppas du kommer spela Prison Architect med dina vänner.

region_asia	Asien
region_au	Australien
region_cae	Kanada, öst
region_eu	Europa
region_in	Indien
region_jp	Japan
region_ru	Ryssland
region_rue	Ryssland, öst
region_sa	Sydamerika
region_kr	Sydkorea
region_us	USA, öst
region_usw	USA, väst

codex_options_disableattract	Ändra startskärm
codex_option_escapeplans	Rymningsplaner
buildtoolbar_rollcall	Namnupprop
buildtoolbar_tooltip_rollcall	Beordra alla interner att ställa sig utanför sina celler. Endast tillgängligt innan läggdags och på natten.
interfacecontrol_graphs	Grafer
interfacecontrol_graphs_tooltip	Öppnar grafskärmen, där du kan se statistik över olika aspekter av fängelset.

graph_title	Grafer

graph_label_1	Datatyp 1
graph_label_2	Datatyp 2
graph_label_day	Dag

graph_axis_none	Ingen
graph_axis_profit	Vinst
graph_axis_funds	Pengar
graph_axis_prisonsize	Fängelsets storlek (m²)
graph_axis_numprisoners	Antal interner
graph_axis_numstaff	Antal anställda
graph_axis_releasedprisoners	Frigivna interner
graph_axis_totalreleasedprisoners	Alla frigivna interner
graph_axis_escapedprisoners	Förrymda interner
graph_axis_totalescapedprisoners	Alla förrymda interner
graph_axis_entitydeath	Dödsfall
graph_axis_totaldeaths	Alla dödsfall
graph_axis_prisonerdeaths	Döda interner
graph_axis_guarddeaths	Döda vakter
graph_axis_securitygrading	Säkerhetsbetyg
graph_axis_healthgrading	Hälsobetyg
graph_axis_reformgrading	Reformbetyg
graph_axis_punishmentgrading	Straffbetyg
graph_axis_reoffendingrate	Återfallsgrad
graph_axis_prisonvalue	Fängelsets värde
graph_axis_prisonercapacity	Internkapacitet
graph_axis_numincidents	Antal olyckor
graph_axis_totalincidents	Alla olyckor

equipment_Photo	Foto
equipment_SubMachineGun	KulsprutepistolSoap
equipment_Soap	Tvål

############################### Prison Wing Priviledges UPDATE ###############################

# =============================================================================
# Interface Mode
# =============================================================================

room_gymnasium	Gym
buildtoolbar_popup_room_gymnasium	En plats där interner kan träna och få utlopp för uppdämda aggressioner eller träna musklerna för att ta itu med dispyter på det gamla goda sättet.


buildtoolbar_popup_help_CellStatus_1	Cellstatusvyn visar vilka celler som är upptagna (röda) och lediga (gröna).

object_punchbag_blocked	Boxningssäcken kan inte nås
object_trainingdummy_blocked	Träningsdockan kan inte nås

gangCell	*X Cell
gangMember	Gängmedlem
gangSoldier	Gängsoldat
gangLieutenant	Gänglöjtnant
gangLeader	Gängledare

interfacedeployment_CustomSector	Anpassad sektor

# =============================================================================
# Materials - Names
# =============================================================================

material_RunningTrack	Löpbana
material_BambooFloor	Bambu
material_pipewall	Mur (rör)
material_overgrownwall	Mur (överväxt)
material_derelictwall	Mur (sliten)
material_slumwall	Mur (slum)
material_rustywall	Mur (rostig)
material_bamboofence	Staket (bambu)
material_decayedWall	Mur (förfallen)
material_flowerfield	Blomsteräng
material_FenceAndGrass	Staket (gräs)
material_WallMinSec	Mur (lågsäkerhet)
material_WallMedSec	Mur (medelsäkerhet)
material_WallMaxSec	Mur (högsäkerhet)
material_WallInsaneSec	Mur (vit)
material_WallProtective	Mur (gul)
material_CliffEdge	Klippkant

# =============================================================================
# Objects - Names
# =============================================================================

object_ovalStaffTable	Bord (ovalt)
object_Painting1	Målning
object_Painting2	Målning
object_ChessTable	Schackbord
object_GlassWindow	Fönsterglas
object_GlassWindowLarge	Fönsterglas (stort)
object_GymMat	Gymmatta
object_SinkMirror	Tvättfat och spegel
object_TableFootball	Fotbollsspelbord
object_TableTennis	Bordtennisbord
object_TyreApparatus	Däckredskap
object_bambooDoor	Dörr (bambu)
object_Canvas	Målarduk och färger
object_PetBird	Tam fågel
object_SoftPillow	Mjuk kudde
object_BoxingRing	Boxningsring
object_DumbbellRack	Ställ för hantlar
object_Treadmill	Löpband
object_Fan	Fläkt
object_PunchBag	Slagpåse
object_WardenStatue	Staty av fängelsedirektören
object_WaterCooler	Dricksfontän
object_SnackMachine	Snacksautomat
object_Mattress	Säng (med skummadrass)
object_MetalBarrel	Metalltunna
object_WoodenBarrel	Trätunna
object_MooringBollard	Förankringspåle
object_DeckChair	Däckstol
object_LightGreen	Lykta (grön)
object_LightRed	Lykta (röd)
object_Buoy	Boj
object_LifeRing	Livboj
object_CoffeeMachine	Kaffeautomat
object_ComputerStation	Datorstation
object_PASystem	Ljudanläggning
object_TrainingDummy	Träningsdocka
object_StoneWaterSpout	Vattenpip i sten
object_WindSock	Vindstrut
object_ComfyBed	Bekväm säng
object_IndoorTreePlanter	Inomhuskruka för träd
object_OldBed	Gammal säng
object_CameraPillar	Kamerapelare
object_Blackboard	Svart tavla
object_JailDoorWhite	Fängelsedörr (vit)
object_JailDoorLargeWhite	Stor fängelsedörr (vit)

object_SignNumber0	Skylt (nummer 0)
object_SignNumber1	Skylt (nummer 1)
object_SignNumber2	Skylt (nummer 2)
object_SignNumber3	Skylt (nummer 3)
object_SignNumber4	Skylt (nummer 4)
object_SignNumber5	Skylt (nummer 5)
object_SignNumber6	Skylt (nummer 6)
object_SignNumber7	Skylt (nummer 7)
object_SignNumber8	Skylt (nummer 8)
object_SignNumber9	Skylt (nummer 9)

object_SignLetterA	Skylt (bokstav A)
object_SignLetterB	Skylt (bokstav B)
object_SignLetterC	Skylt (bokstav C)
object_SignLetterD	Skylt (bokstav D)
object_SignLetterE	Skylt (bokstav E)
object_SignLetterF	Skylt (bokstav F)
object_SignLetterG	Skylt (bokstav G)
object_SignLetterH	Skylt (bokstav H)
object_SignLetterI	Skylt (bokstav I)
object_SignLetterJ	Skylt (bokstav J)
object_SignLetterK	Skylt (bokstav K)
object_SignLetterL	Skylt (bokstav L)
object_SignLetterM	Skylt (bokstav M)
object_SignLetterN	Skylt (bokstav N)
object_SignLetterO	Skylt (bokstav O)
object_SignLetterP	Skylt (bokstav P)
object_SignLetterQ	Skylt (bokstav Q)
object_SignLetterR	Skylt (bokstav R)
object_SignLetterS	Skylt (bokstav S)
object_SignLetterT	Skylt (bokstav T)
object_SignLetterU	Skylt (bokstav U)
object_SignLetterV	Skylt (bokstav V)
object_SignLetterW	Skylt (bokstav W)
object_SignLetterX	Skylt (bokstav X)
object_SignLetterY	Skylt (bokstav Y)
object_SignLetterZ	Skylt (bokstav Z)


equipment_StrikePlacard	Strejkplakat

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_Armoury	Vapenförråd
quickbuild_Infirmary	Sjukstuga
quickbuild_Laundry	Tvättstuga
quickbuild_Library	Bibliotek
quickbuild_MailRoom	Postrum
quickbuild_Visitation	Besökssal

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly	-SÄNKER en fängelsecells betyg.

buildtoolbar_popup_obj_ovalStaffTable	Passar utmärkt med stolar i personalutrymmet.
buildtoolbar_popup_obj_painting1	Bara för att det är ett fängelse betyder inte att du inte kan inreda med stil.
buildtoolbar_popup_obj_painting2	Bara för att det är ett fängelse betyder inte att du inte kan inreda med stil.
buildtoolbar_popup_obj_chessTable	Ett spel för kungar ... och olydiga individer som inte kan följa lagen. Uppfyller nöjesbehovet.
buildtoolbar_popup_obj_GLassWindow	För att skymta solen igenom.
buildtoolbar_popup_obj_GlassWindowLarge	För att skymta massor av solen igenom.
buildtoolbar_popup_obj_GymMat	För att stretcha bort sveda och värk.\n -Uppfyller träningsbehovet
buildtoolbar_popup_obj_TableTennis	Erbjuder ett extra tidsfördriv för dina interner.\n -Uppfyller nöjesbehovet.
buildtoolbar_popup_obj_TableFootball	Erbjuder ett extra tidsfördriv för dina interner.\n -Uppfyller nöjesbehovet.
buildtoolbar_popup_obj_TyreApparatus	Vissa interner påstår att de vet ett sätt att öva klättring.\n -Uppfyller träningsbehovet.
buildtoolbar_popup_obj_SinkMirror	Utrusta en cell med ett handfat och en spegel.\n -Uppfyller hygienbehovet.
buildtoolbar_popup_obj_bambooDoor	En handgjord bambugrind som matchar bambustaketet\n -Räknas som en standarddörr.
buildtoolbar_popup_obj_canvas	Ett kreativt sätt för interner att utrycka sina känslor, utan att hugga ner varandra.
buildtoolbar_popup_obj_PetBird	En miniföljeslagare som kan hålla dina interner sällskap.\n -Uppfyller familj-, lyxartikel- och komfortbehovet.
buildtoolbar_popup_obj_SoftPillow	Förhöj bekvämligheten i internernas sängar med en högkvalitativ och luftig dunkudde.\n -Uppfyller komfort- och sömnbehovet.
buildtoolbar_popup_obj_BoxingRing	Inget fängelsegym är komplett utan en. De flesta interner föredrar att måla på den här målarduken.
buildtoolbar_popup_obj_DumbbellRack	För internerna som gillar kroppsbygge.\n -Uppfyller träningsbehovet.
buildtoolbar_popup_obj_Treadmill	Så att interner kan hålla sig i trim. Interner som tränar hårt kan till och med bli snabbare löpare.\n -Uppfyller träningsbehovet.
buildtoolbar_popup_obj_Fan	En gammeldags stående fläkt som kyler luften runtomkring den i viss mån.
buildtoolbar_popup_obj_PunchBag	När internerna behöver ventilera och bli av med aggressioner.\n -Uppfyller tränings- och nöjesbehovet.
buildtoolbar_popup_obj_WardenStatue	En hög stenstaty som representerar direktörens kontroll över fängelset. För många statyer kan få internerna att känna sig undertryckta. \n -ÖKAR känslan av att vara förtryckta i viss mån.
buildtoolbar_popup_obj_WaterCooler	Prison Architects dricksfontän.
buildtoolbar_popup_obj_SnackMachine	Snacks av låg kvalitet med högt kaloriinnehåll.
buildtoolbar_popup_obj_Mattress	En medelbekväm skummadrass. Den billigaste skummadrassen i handeln, men bättre än att sova direkt på golvet.
buildtoolbar_popup_obj_MetalBarrel	Syns ofta till runt skeppsvarv.
buildtoolbar_popup_obj_WoodenBarrel	Syns ofta till runt skeppsvarv.
buildtoolbar_popup_obj_MooringBollard	Ger skeppsvarv en klassisk stil. Fungerar också som en mindre vägg.
buildtoolbar_popup_obj_LightGreen	Utomhusbelysning men med en grön glödlampa. Snyggt runt en helikopterplatta.
buildtoolbar_popup_obj_LightRed	Utomhusbelysning men med en röd glödlampa. Snyggt runt en helikopterplatta.
buildtoolbar_popup_obj_Buoy	Flyter i vattnet.
buildtoolbar_popup_obj_LifeRing	Ger skeppsvarv en klassisk stil.
buildtoolbar_popup_obj_ArcadeCabinet	Underhåll dina interner med en modern arkadmaskin i retrostil.\n -Uppfyller nöjes- och komfortbehovet.
buildtoolbar_popup_obj_CoffeeMachine	Precis vad varje överarbetad anställd önskar sig.
buildtoolbar_popup_obj_ComputerStation	Uppfyller litteratur- och komfortbehoven.
buildtoolbar_popup_obj_PASystem	Tryck ner internerna genom att regelbundet påminna dem om att de sitter i fängelse.\n -ÖKAR den känsla av förtryck som interner känner när de placeras i en cellavdelning eller gård.
buildtoolbar_popup_obj_TrainingDummy	En gammaldags shaolin kung fu-träningsdocka.\n -Interner som tränar hårt kanske till och med plockar upp några nya kampsportsfärdigheter!
buildtoolbar_popup_obj_StoneWaterSpout	En fontän i gotisk stil föreställande ett huvud som sprutar vatten genom munnen.
buildtoolbar_popup_obj_WindSock	Vindstruten varnar om en kommande väderhändelse en timme i förväg och visar vindens riktning och hastighet.
buildtoolbar_popup_obj_ComfyBed	Lyxsäng med skummadrass som formar sig efter kroppen för bästa möjliga sömn.
buildtoolbar_popup_obj_IndoorTreePlanter	Nedsänkt trädkruka för att odla träd inomhus.
buildtoolbar_popup_obj_OldBed	Gammaldags fängelsesäng. Mer bekväm än en skummadrass men mindre bekväm än en standardsäng.
buildtoolbar_popup_obj_Blackboard	Inget klassrum är komplett utan den.
buildtoolbar_popup_obj_JailDoorWhite	En färgad fängelsedörr för skyddshäktesavdelningen.
buildtoolbar_popup_obj_JailDoorLargeWhite	En färgad fängelsedörr för skyddshäktesavdelningen.
buildtoolbar_popup_obj_camerapillar	Placeras på öppna ytor med en kamera på varje sida.

buildtoolbar_popup_obj_signNumber0	En väggskylt med siffran 0 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber1	En väggskylt med siffran 1 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber2	En väggskylt med siffran 2 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber3	En väggskylt med siffran 3 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber4	En väggskylt med siffran 4 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber5	En väggskylt med siffran 5 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber6	En väggskylt med siffran 6 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber7	En väggskylt med siffran 7 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber8	En väggskylt med siffran 8 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signNumber9	En väggskylt med siffran 9 på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.

buildtoolbar_popup_obj_signLetterA	En väggskylt med bokstaven A på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterB	En väggskylt med bokstaven B på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterC	En väggskylt med bokstaven C på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterD	En väggskylt med bokstaven D på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterE	En väggskylt med bokstaven E på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterF	En väggskylt med bokstaven F på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterG	En väggskylt med bokstaven G på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterH	En väggskylt med bokstaven H på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterI	En väggskylt med bokstaven I på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterJ	En väggskylt med bokstaven J på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterK	En väggskylt med bokstaven K på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterL	En väggskylt med bokstaven L på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterM	En väggskylt med bokstaven M på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterN	En väggskylt med bokstaven N på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterO	En väggskylt med bokstaven O på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterP	En väggskylt med bokstaven P på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterQ	En väggskylt med bokstaven Q på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterR	En väggskylt med bokstaven R på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterS	En väggskylt med bokstaven S på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterT	En väggskylt med bokstaven T på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterU	En väggskylt med bokstaven U på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterV	En väggskylt med bokstaven V på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterW	En väggskylt med bokstaven W på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterX	En väggskylt med bokstaven X på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterY	En väggskylt med bokstaven Y på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.
buildtoolbar_popup_obj_signLetterZ	En väggskylt med bokstaven Z på. Rada upp skyltar för att skapa ord eller beteckningar, t.ex. ”CELLAVDELNING 4”.


buildtoolbar_popup_mat_pipewall	Bygg rörväggar på fundament för att skapa nya avdelningar eller rum.
buildtoolbar_popup_mat_derelictwall	Bygg billiga murar i sliten stil för den där antika looken.
buildtoolbar_popup_mat_overgrownwall	Bygg billiga, överväxta murar, för även i fängelser hittar livet alltid en väg.
buildtoolbar_popup_mat_rustywall	Bygg billiga, rostiga murar för en postapokalyptisk look.
buildtoolbar_popup_mat_slumwall	Bygg billiga slummurar, för alla pengar som sparas in på internernas välbefinnande kan användas för att bygga ut ditt kontor.
buildtoolbar_popup_mat_bambooFence	Ett handgjort bambustaket för den där lägerlooken.
buildtoolbar_popup_mat_RunningTrack	Perfekt för våra interner att jogga på när de är ute på fängelsegården.
buildtoolbar_popup_mat_BambooFloor	Ett golv med en djungellägerlook.
buildtoolbar_popup_mat_DecayedWall	Bygg billiga murar av förfallna slaggstensblock direkt på fundamentet.
buildtoolbar_popup_mat_flowerfield	Ett gräsområde med fina blommor.
buildtoolbar_popup_mat_fenceandgrass	Staketsektioner med gräs under, istället för jord.
buildtoolbar_popup_mat_WallMinSec	Bygg färgade murar för att indikera en viss säkerhetszon.
buildtoolbar_popup_mat_WallMedSec	Bygg färgade murar för att indikera en viss säkerhetszon.
buildtoolbar_popup_mat_WallMaxSec	Bygg färgade murar för att indikera en viss säkerhetszon.
buildtoolbar_popup_mat_WallInsaneSec	Bygg färgade murar för att indikera en viss säkerhetszon.
buildtoolbar_popup_mat_WallProtective	Bygg färgade murar för att indikera en viss säkerhetszon.
buildtoolbar_popup_mat_CliffEdge	Bygg klippväggar för att skapa upphöjda avdelningar och ogenomträngliga områden runt ditt fängelse eller ön.

interfaceoverlay_signs	Skyltar
interfacemode_walls	Väggar
interfacemode_doors	Dörrar
interface_action_snackbought	Köpta snacks

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors	ALLA avdelningar
crisisSector_StopAll	Stoppa ALLA
crisisSector_SharedOnly	Endast delade
crisisSector_MinSecOnly	Endast lågsäkerhet
crisisSector_MedSecOnly	Endast medelsäkerhet
crisisSector_MaxSecOnly	Endast högsäkerhet
crisisSector_InsaneOnly	Endast psykavdelning
crisisSector_ProtectedOnly	Endast skyddade
crisisSector_SuperMaxOnly	Endast SuperMax
crisisSector_DeathRowOnly	Endast dödsceller

crisisToolbarTitle_WeaponsFree	ÖPPNA ELD
crisisToolbarTitle_TunnelSearch	TUNNELSÖKNING
crisisToolbarTitle_Shakedown	GENOMSÖKNING
crisisToolbarTitle_Lockdown	LÅSNING
crisisToolbarTitle_Bangup	CELLARREST
crisisToolbarTitle_RollCall	NAMNUPPROP
crisisToolbarQuestion	- Välj sektorer?

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message	Välj vilka säkerhetsnivåer som tillåts för att få inträde i den här anpassade sektorn.
customsectorwindow_minseccaption	Lågsäkerhet
customsectorwindow_medseccaption	Medelsäkerhet
customsectorwindow_maxseccaption	Högsäkerhet
customsectorwindow_supermaxcaption	Högsta säkerhetsklass
customsectorwindow_deathrowcaption	Dödscell
customsectorwindow_protectivecaption	Skyddshäkte
customsectorwindow_insanecaption	Rättspsykiatri

customSector_title	Anpassad säkerhetssektor
customSector_subtitle	I den här säkerhetssektorn tillåts följande:

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging	En uppgradering av det här rummet kommer samtidigt att förbättra betyget för den här säkerhetssektorn.
roomGrading_prisonerTransfer	Uppgraderingar kommer BARA att motivera interner för vilka ”Klar för förflyttning” DLC är installerat när alternativet ”Förflyttning av intern” har angivits i kartinställningsmenyn.

roomgrading_Cell_BadWalls	[*E] Omgiven av dystra väggar
roomgrading_Cell_OutsideWindow_Large	[*E]*Y Stort fönster
roomgrading_Cell_HasWindow_None	[*E] Inga fönster
roomgrading_Dormitory_BadWalls	[*E] Omgiven av dystra väggar
roomgrading_Dormitory_Mattress	[*E] Mest sängar av dålig kvalitet
roomgrading_Dormitory_HasWindow_None	[*E] Inga fönster
roomgrading_Canteen_RoomSize	[*E] Rummet ska vara minst *X kvadratmeter stort
roomgrading_Canteen_Item	[*E] Föremål: *X
roomgrading_Canteen_MealQuality	[*E] GENOMSNITTLIG måltidskvalitet
roomgrading_Canteen_MealQuality_High	[*E] HÖG måltidskvalitet
roomgrading_Canteen_MealQuality_Low	[*E] LÅG måltidskvalitet
roomgrading_Canteen_MealQuality_None	[*E] OBEFINTLIG måltidskvalitet
roomgrading_Canteen_MealVariety	[*E] GENOMSNITTLIG måltidsvariation
roomgrading_Canteen_MealVariety_High	[*E] HÖG måltidsvariation
roomgrading_Canteen_MealVariety_Low	[*E] LÅG måltidsvariation
roomgrading_Canteen_MealVariety_None	[*E] OBEFINTLIG måltidsvariation
roomgrading_Canteen_HasWindow_None	[*E] Inga fönster
roomgrading_Yard_RoomSize	[*E] Rummet ska vara minst *X kvadratmeter stort
roomgrading_Yard_RoomSizeLess	[*E] Rummet ska vara minst *X kvadratmeter eller mindre
roomgrading_Yard_Item	[*E] Föremål: *X
roomgrading_Yard_Floor	[*E] *X Golvbeläggning (över *Y %)
roomgrading_Yard_MultiItems	[*E] Innehåller *X av föremålen ovan
roomgrading_Yard_Floor_Quantity	[*E] *X *Y kvadratmeter
roomgrading_CommonRoom_RoomSize	[*E] Rummet ska vara minst *X kvadratmeter stort
roomgrading_CommonRoom_Item	[*E] Föremål: *X
roomgrading_Gymnasium_RoomSize	[*E] Rummet ska vara minst *X kvadratmeter stort
roomgrading_Gymnasium_OutsideWindow	[*E] *Y Utomhusfönster
roomgrading_Gymnasium_Item	[*E] Föremål: *X
roomgrading_Gymnasium_HasWindow_None	[*E] Inga fönster
roomgrading_Classroom_RoomSize	[*E] Rummet ska vara minst *X kvadratmeter stort
roomgrading_Classroom_Item	[*E] Föremål: *X
roomgrading_Classroom_OutsideWindow	[*E] *Y Utomhusfönster

buildtoolbar_improvement	-HÖJER betyget för *R
buildtoolbar_decreased	-SÄNKER betyget för *R
buildtoolbar_improvement_windows	(med utomhusutsikt)

buildtoolbar_planning_autofoundation	Autofundament

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	Lågt säkerhetsbetyg
interfaceLogistics_MedSecGrading	Medelhögt säkerhetsbetyg
interfaceLogistics_MaxSecGrading	Högt säkerhetsbetyg
interfaceLogistics_SuperMaxGrading	SuperMax-betyg

sectorGrading_title	*X Sektor
sectorGrading_housed	*X interner sitter i *Y
sectorGrading_desiresTransfer	*X *Y hoppas bli flyttade till *Z

sectorGrading_description	En uppdelning av den här sektorns betyg anges nedan. Ju fler privilegier som lagts till, ju högre blir betyget. Högsta betyg är 250.
sectorGrading_encouragement	Ju högre betygsskillnaden är mellan *X och den här sektorn, ju fler *X interner kommer att uppmuntras att bättra sig och uppföra sig, för en chans till en flytt till en sektor med lägre säkerhetsnivå.
sectorGrading_discouragement	Du kan även sänka betyget på *X genom att ta bort privilegier och bekvämligheter för att skapa en liknande effekt, men då riskerar du samtidigt att irritera internerna där.

sectorGrading_transferNote	(OBS: Flytt av interner kommer BARA att ske när ”Klar för förflyttning” DLC är installerat och alternativet ”Förflyttning av intern” har angivits i kartinställningsmenyn.

sectorGrading_privilegesTitle	Interners privilegier
sectorGrading_visitation	[+*X] Besöksrum
sectorGrading_mail	[+*X] Postrum
sectorGrading_work	[+*X] Möjlighet till arbete (kontanter)
sectorGrading_education	[+*X] Möjlighet till utbildning/program
sectorGrading_meals	[+*X] 2+ måltider om dagen
sectorGrading_freeTime	[+*X] Gott om fritid (20 %)
sectorGrading_extraFreeTime	[+*X] Extra fritid (30 %)
sectorGrading_yard	[+*X] Åtkomst till gården
sectorGrading_gym	[+*X] Åtkomst till gymmet
sectorGrading_shop	[+*X] Åtkomst till butiken
sectorGrading_commonRoom	[+*X] Åtkomst till samlingsrummet
sectorGrading_showers	[+*X] Duschutrymmen
sectorGrading_sleep	[+*X] 10 timmars sömn eller mer

sectorGrading_facilitiesTitle	Faciliteter
sectorGrading_room	[*X/*Y] *R Kvalitet (genomsnittlig)

sectorGrading_conditionsTitle	Tillstånd
sectorGrading_suppresion	[*X/15] *Y Undertryckande
sectorGrading_risk	[*X/20] *Y Risker (dödsfall och skador)
sectorGrading_cleanliness	[*X/15] *Y Renlighet

sectorGrading_grade	Betyg *X /250
dialog_veryLow	Mycket lågt

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	Olika

report_needs_staffBreaks	Det här är det maximala antalet anställda, oberoende av typ, som kan ha rast samtidigt.
reports_privilegetitle	Regler för privilegier
reports_misconducttitle	Policy för dåligt uppförande
reports_paroletitle	Policy gällande avbrott för villkorlig frigivning
reports_parole_info	Justera avbrott
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	Privilegium
reports_policy_Visitation	Besökssal
reports_policy_Mail	Postrum
reports_policy_PrisonLabour	Fängelsearbete
reports_policy_All	Alla
reports_policy_Programs	Program
reports_policy_WorkPrograms	Arbete
reports_policy_EducationPrograms	Utbildning
reports_policy_WellnessPrograms	Välbefinnande

reports_policy_defaults	Rekommenderas
reports_policy_tooltip_recomended	Anger *X till de rekommenderade värdena för alla valda säkerhetsnivåer.
reports_policy_tooltip_all	Markerar/avmarkerar alla säkerhetsnivåer i fängelset

reports_privilegesPolicy_tooltip_all	Ändrar alla program utom prövningar av villkorlig frigivning, överklaganden av dödsdomar och psykiatriska konsultationer.
reports_privilegesPolicy_tooltip	Välj vilka säkerhetssektorer som får delta i dessa program:
