
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Новая игра
buildtoolbar_popup_help_zoning_5	- Если зона переводится в категорию «Незапертая», замки на всех дверях в ней открываются.

buildtoolbar_popup_help_guards_1	Инструмент «Охранники» позволяет помещать охранников на посты в зонах. Охранник, базирующийся на своем посту, будет обходить назначенную ему зону в случайном порядке, а также выполнять все свои функции в этой зоне, например, открывать двери.\n\n
buildtoolbar_popup_help_guards_2	~Щелкните левой кнопкой мыши, чтобы увеличить количество охранников, расставляемых в зоне. Щелкните правой кнопкой мыши, чтобы удалить охранника.\n\n
buildtoolbar_popup_help_guards_3	^Подсказки
buildtoolbar_popup_help_guards_4	- Если разблокирована функция «Микроменеджмент», у вас есть доступ к планировщику расстановки. Он позволяет создавать расписание назначения охранников на определенные участки. Например, если вы хотите, чтобы охранники присутствовали в столовой только во время приема пищи, щелкните в планировщике на блоке, который соответствует времени приема пищи, затем поместите ползунок с временем на этот блок и щелкните на столовой, чтобы назначить охранников.
buildtoolbar_popup_help_guards_5	- У вас есть до 7 разных временных блоков для составления графика плюс установленный по умолчанию режим «Всегда активный». Это позволяет составлять сложные схемы распределения персонала в соответствии с потребностями тюрьмы.
buildtoolbar_popup_help_guards_6	- Если вы сами вручную не выберите временной блок при назначении охранников, планировщик использует текущее время. Не забывайте выбирать правильное время при распределении персонала!

buildtoolbar_popup_help_patrols_title	Патрули
buildtoolbar_popup_help_patrols_1	Эти 3 инструмента «Патруль» позволяют создавать точные маршруты патрулирования, а затем назначать на эти маршруты обычных охранников, кинологов или вооруженных охранников (или сочетание всех этих трех видов охраны). Эти патрули могут пересекать более одной зоны.\n\n
buildtoolbar_popup_help_patrols_2	~Удерживайте левую кнопку мыши и с помощью перетаскивания создавайте маршруты патрулирования, а затем щелкните левой кнопкой мыши на существующем маршруте патрулирования, чтобы добавить охранника на этот маршрут. Щелкните правой кнопкой мыши на охраннике, состоящем в патруле, чтобы удалить этого охранника, либо удерживайте правую кнопку мыши и с помощью перетаскивания полностью удалите патруль.\n\n
buildtoolbar_popup_help_patrols_3	^Подсказки
buildtoolbar_popup_help_patrols_4	- Обычные охранники в составе патруля продолжат выполнять обязанности охранников, такие как открытие дверей или наблюдение за заключенными. Кинологи и вооруженные охранники такие функции не выполняют.
buildtoolbar_popup_help_patrols_5	- Если открыта функция «Микроменеджмент», у вас будет доступ к планировщику расстановки, который для патрулей используется таким же образом, как и для распределения обычных охранников.

buildtoolbar_popup_help_accessonly_1	Инструмент ограниченного прохода позволяет вам отмечать области тюрьмы, нахождение в которых при перемещении по тюрьме обычно запрещено. Это позволяет останавливать людей, используя комнаты для сокращения пути в тюрьме, если вы хотите, чтобы они двигались по другому маршруту.\n\n
buildtoolbar_popup_help_accessonly_2	~Щелкните левой кнопкой мыши зону, которую вы хотите отметить как зону ограниченного прохода. Это можно сделать в дополнение к обычным настройкам безопасности.
buildtoolbar_popup_help_accessonly_3	~Щелкните правой кнопкой мыши, чтобы удалить настройку ограниченного прохода.\n\n
buildtoolbar_popup_help_accessonly_4	^Подсказки
buildtoolbar_popup_help_accessonly_5	- Настройка ограниченного прохода является нестрогой. Она не является категорическим запретом на вход в отмеченную зону, особенно если там находится цель посещения. если путь через зону ограниченного прохода значительно короче альтернативного пути (например, если иначе придется обходить всю тюрьму), проход через нее возможен.

job_matsassigned	Необходимые материалы
job_matsavailable	Доступные материалы
job_awaitingmaterials	Ожидаются материалы
job_inprogress	-Идет работа-
job_blocked	-Недоступно-
job_queued	-В очереди-

job_failed_noroute	Нет доступа
job_failed_nomaterials	Нет материалов
job_failed_toodangerous	Слишком опасно
job_failed_materialsbeingcarried	Материалы в пути

job_rightclicktocancel	- Щелкните правой кнопкой мыши для отмены
job_ftofollow	- Нажмите F, чтобы следовать
job_makehighpriority	- Нажмите Ctrl + щелчок левой кнопкой мыши, чтобы установить высокий приоритет
job_removehighpriority	- Нажмите Ctrl + щелчок правой кнопкой мыши, чтобы снять высокий приоритет
job_makehighpriority_mac	- Нажмите Alt + щелчок левой кнопкой мыши, чтобы установить высокий приоритет
job_removehighpriority_mac	- Нажмите Alt + щелчок правой кнопкой мыши, чтобы снять высокий приоритет
job_highpriority_tooltip	- СРОЧНО
job_refundamount	- Возмещается: *X

failuremessage_blocked	Недоступно
failuremessage_cantafford	Недостаточно средств
failuremessage_cantaffordupkeep	Превышает суточный бюджет
failuremessage_maximumcountreached	Нет свободных вакансий
failuremessage_maxstaff	Слишком много сотрудников


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	Доставка
statustoolbar_finances	Финансы
statustoolbar_regime	Режим
statustoolbar_escapemap	Охрана
statustoolbar_electricity	Электричество
statustoolbar_stats	Статистика
statustoolbar_danger	Опасность
statustoolbar_jobs	Работы
statustoolbar_gangs	Банды
statustoolbar_staff	Персонал
statustoolbar_research	Исследования


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	Редактор спрайтов
spritebankeditor_create	Создать
spritebankeditor_rotate	Вращение
spritebankeditor_sort	Сортировка
spritebankeditor_markermodetitle	Режим маркера


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	Главное меню
codex_campaign	Кампания
codex_cutscenes	Кат-сцены
codex_qualifications	Характеристики
codex_load	Загрузить тюрьму
codex_loadcampaign	Загрузить кампанию
codex_save	Сохранить тюрьму
codex_savecampaign	Сохранить кампанию
codex_performance	Проверка производительности
codex_developer_load	(Разработчик) Загрузить карту
codex_developer_save	(Разработчик) Сохранить карту
codex_developer_clearach	(Разработчик) Сброс достижений
codex_contacts	Контактные данные
codex_materials	Материалы
codex_play	Проиграть
codex_play_escape	Играть в режиме «Побег»
codex_polaroids	Полароиды
codex_introduction	Вступление
codex_restartintroduction	Повторить вступление
codex_restartchapter	Начать главу заново
codex_help	Помощь (wiki)
codex_opensavefolder	Открыть папку с сохранениями
codex_options	Настройки
codex_nitgs	Игровые персонажи
codex_workshop	Поделиться тюрьмой (мастерская Steam)
codex_steamtrending	Самые популярные тюрьмы (мастерская Steam)
codex_checkforupdates	Проверка обновлений
codex_preorder	Предзаказ игры
codex_termsconditions	Условия и ограничения
codex_twitter	Твиттер
codex_extras	Дополнительно
codex_unlocked	Открыто *X/*Y
codex_mapsettings	Настройки карты
codex_othergames	Другие интровертные игры
codex_mutators	Модификаторы

codex_cloudsavedesc	Сохранить в облако
codex_cloud_enabled	Результаты сохранения будут храниться в облаке.
codex_cloud_notaccount	Облако Steam отключено в клиенте Steam. Реактивируйте его, чтобы пользоваться этой функцией.
codex_cloud_notapp	Результаты сохранения будут храниться на вашем жестком диске.
codex_saveload_delete	Удаление

codex_new	Создать новую тюрьму
codex_new_worldsize	Размер карты
codex_new_small	Маленькая
codex_new_medium	Средний
codex_new_large	Большая
codex_new_selectwarden	Выбрать начальника тюрьмы
codex_new_selectgender	Выбрать пол заключенного

codex_options_graphics	Графика
codex_options_resolution	Разрешение
codex_options_resolutionauto	Авто
codex_options_windowed	В окне
codex_options_highdpi	Высокий DPI
codex_options_filtering	Сглаживание
codex_options_nofiltering	Выкл
codex_options_multisampled	Множественная выборка
codex_options_supersampled	Избыточная выборка

codex_options_audio	Звук
codex_options_volume	Общая громкость
codex_options_frequency	Частота
codex_options_swapstero	Поменять стереоканалы местами
codex_options_dspenabled	Включить цифровую обработку сигнала
codex_options_11khz	11025 Гц
codex_options_22khz	22050 Гц
codex_options_44khz	44100 Гц

codex_options_clocktype	Тип часов
codex_options_clocktype_analogue	Аналоговые
codex_options_clocktype_12h	12 часов
codex_options_clocktype_24h	24 часа

codex_options_directions	Отображение напольных знаков
codex_options_dirrender_hidden	Не видно
codex_options_dirrender_visible	Видно
codex_options_dirrender_zoom	Увеличение

codex_options_tempscale	Отображение температуры в градусах Цельсия

codex_options_gameplay	Игра
codex_options_autosave	Таймер автосохранения
codex_options_renderrooms	Разметка комнат ("шахматная доска")
codex_options_apply	Применить
codex_options_v2gui	Версия ГИП 2.0
codex_options_zoomtomouse	Увеличить
codex_options_oneclickrapsheet	Послужной список, отображаемый одним щелчком
codex_options_disableanalytics	Отключить аналитику
codex_tooltip_disableanalytics	В целях усовершенствования игры мы собираем обезличенную статистику. Собираемые нами данные можно просмотреть в файле metrics.txt

codex_options_language	Язык

codex_options_experimental	Экспериментально
codex_options_enablevbo	Включить Объекты буфера вершин

codex_nitgs_authwarning	Важно: если недавно вы изменили свое имя для входа в игру, оно должно быть авторизовано до появления в списке.

codex_nitgs_filtercaption	Фильтр
codex_nitgs_filterall	Все
codex_nitgs_filtermen	Мужчины
codex_nitgs_filterwomen	Женщины

codex_nitgs_checkingforupdate	Проверка на наличие обновлений...
codex_nitgs_updateavailable	Доступно обновление
codex_nitgs_downloading	Идет скачивание обновления...
codex_nitgs_downloadcomplete	Скачивание завершено.
codex_nitgs_downloadfailed	Ошибка при скачивании.

codex_enabled	Включено
codex_disabled	Выключено

codex_option_intake	Непрерывное пополнение
codex_tooltip_intake	Если выбрана эта опция, вы будете бесконечно получать случайное количество новых заключенных каждый день.\n\nВ противном случае игрок сам решает, когда принимать заключенных. Для этого нужно открыть "Отчеты" и выбрать вкладку "Прибытие".
codex_option_fogofwar	Туман войны
codex_tooltip_fogofwar	Вы не сможете видеть зоны тюрьмы, в которых нет Охранников или Камер наблюдения.
codex_option_lakes	Генератор озер
codex_tooltip_lakes	На карте появятся озера, которые перекрывают случайные участки. ВНИМАНИЕ: Экспериментальная функция.
codex_option_forests	Генератор лесов
codex_tooltip_forests	На карте появятся участки леса.
codex_option_buildings	Генератор зданий
codex_tooltip_buildings	На карте появятся случайные заброшенные здания, которые можно использовать по своему усмотрению.
codex_option_failure	Условия поражения
codex_tooltip_failure	Дополнительное испытание! Вы проиграете, если ситуация выйдет из-под контроля (бунты, пожары, высокая смертность, слишком много побегов и т.д.)
codex_option_unlimitedfunds	Неограниченные средства
codex_tooltip_unlimitedfunds	Для любителей режима "песочница". С самого начала можно тратить любое количество денег, не думая о прибыли.
codex_option_gangs	Банды
codex_tooltip_gangs	Некоторые заключенные состоят в банде. По прибытии они будут атаковать членов вражеских группировок. Дополнительное испытание.
codex_option_events	Происшествия
codex_tooltip_events	Во время игры будут случаться различные происшествия, чтобы вы ни на секунду не теряли бдительности. Привносит элемент неожиданности и добавляет дополнительные испытания.
codex_option_weather	Погода и температура
codex_tooltip_weather	Добавляет изменение погодных условий и колебания температур, поэтому необходимо будет подумать об отоплении.
codex_option_enablecheats	Разрешить использование инструментов и чит-кодов
codex_tooltip_enablecheats	Дает возможность использовать инструменты и чит-коды разработчика в этой тюрьме. При выборе этой опции ее невозможно отменить, достижения не зачисляются, и вы не сможете продать эту тюрьму.
codex_option_staffneeds	Потребности сотрудников
codex_tooltip_staffneeds	Активируйте «Потребности охранников» — для надлежащего выполнения работы им потребуются еда, отдых и другие аспекты комфорта.
codex_option_wardenmode	Режим начальника тюрьмы
codex_tooltip_wardenmode	Вы играете роль начальника тюрьмы, работающего на территории тюрьмы, которую вы строите.
codex_option_wardenmode_permadeath	Режим одной жизни
codex_tooltip_wardenmode_permadeath	Если вы как начальник тюрьмы умрете, игра будет закончена!

codex_option_funds	Средства
codex_tooltip_funds	Это ваш стартовый капитал. Экран Оценка позволяет продать готовую тюрьму и начать игру с более крупной суммой.

codex_transfer	Перевод
codex_transferring	Идет перевод
codex_in_prison	Находится под стражей
codex_unavailable	Недоступно
codex_useravatar	Это я
codex_tooltip_useravatar	Выберите заключенного, который будут символизировать вас, если вы каким-то образом окажитесь за решеткой.
codex_tooltip_flagbio	Сообщить о том, что информация в биографии носит нежелательный или оскорбительный характер.

codex_workshop_current	Текущая тюрьма
codex_workshop_publish	Опубликовать тюрьму
codex_workshop_update	Обновить
codex_workshop_play	Проиграть
codex_workshop_downloading	Загрузка
codex_workshop_download_failed	Загрузка прервана
codex_workshop_publishing	Публикация...
codex_workshop_new	НОВАЯ
codex_workshop_title	Название
codex_workshop_desc	Описание
codex_workshop_view_in_workshop	Просмотр в Мастерской Steam
codex_workshop_heading_pubed	Ваши опубликованные тюрьмы
codex_workshop_heading_subed	Тюрьмы из мастерской Steam
codex_workshop_published_by	Автор: *P
codex_workshop_published_by_you	Опубликовано вами
codex_workshop_published_good	Тюрьма опубликована
codex_workshop_published_good_msg	Ваша тюрьма успешно опубликована.
codex_workshop_published_bad	При публикации тюрьмы произошла ошибка
codex_workshop_published_bad_msg	Не удалось опубликовать тюрьму.
codex_workshop_published_bad_msg_new	Вашу новую тюрьму не удалось опубликовать. Попробуйте снова.
codex_workshop_busy	Над вашим запросом уже "колдуют" в Steam. Дождитесь окончания процесса, а затем попробуйте снова.
codex_workshop_file_exists	Вы уже публиковали тюрьму с таким названием. Выберите другое имя.
codex_workshop_generic_fail	Не удалось опубликовать тюрьму. Попробуйте снова.
codex_workshop_download_bad	Не удалось загрузить тюрьму
codex_workshop_pa_workshop	Открыть мастерскую Prison Architect
codex_workshop_agreement	Отправляя это, вы соглашаетесь с [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]правилами и условиями мастерской[/url].
codex_workshop_update_warning	Обновление опубликованной тюрьмы
codex_workshop_update_warning_msg	При обновлении опубликованной тюрьмы текущая опубликованная тюрьма будет заменена тюрьмой, которую вы в данный момент загружаете. То есть опубликованная тюрьма будет навсегда заменена на тюрьму, которой вы сейчас управляете. Это действие нельзя будет обратить.\n\nПродолжить?

codex_options_timelapse	Съемка
codex_timelapse_record	Записать видео
codex_timelapse_stop	Остановить запись
codex_timelapse_camera	Режим камеры
codex_timelapse_customresw	Выбрать разрешение — Ширина
codex_timelapse_customresh	Выбрать разрешение — Высота
codex_timelapse_resolution	Разрешение
codex_timelapse_fps	Частота кадров
codex_timelapse_interval	Продолжительность записи
codex_timelapse_quality	Качество
codex_timelapse_unsupported	Эта функция недоступна на вашем компьютере.
codex_timelapse_savesettings	Сохранить настройки

codex_timelapse_cam_zoom	С приближением
codex_timelapse_cam_fitmap	Вся карта
codex_timelapse_cam_fitheight	По высоте карты
codex_timelapse_cam_fitwidth	По ширине карты
codex_timelapse_fps_value	*X FPS
codex_timelapse_quality_high	Высокий
codex_timelapse_quality_med	Средний
codex_timelapse_quality_low	Низкий
codex_timelapse_interval_value	*X мин.
timelapse_caption	Продолжительность записи с использованием техники таймлапс *X:*Y, *Z — количество отснятых кадров, в очереди: *T

codex_performance_running	Запущена проверка производительности
codex_performance_time	Осталось: *Tс
codex_performance_current	Текущее время построения кадра: *Tмс: *Tмс
codex_performance_min	Минимальное время построения кадра: *Tмс
codex_performance_avg	Среднее время построения кадра: *Tмс
codex_performance_max	Максимальное время построения кадра: *Tмс
codex_performance_numframes	Количество кадров: *T

codex_last_modified	Последние изменения: *T
codex_sortbydesc	Сортировка по дате
codex_sortname	Имя
codex_sortdate	Дата
codex_apply	Применить
codex_select	Выбрать

codex_mods	Моды
codex_mod_activetitle	Активные моды
codex_mod_inactivetitle	Доступные моды
codex_mod_deactivate	Отключить все моды
codex_mod_wiki	Найти другие моды (Wiki)
codex_mod_openmodsfolder	Открыть папку с модами
codex_mod_moresteammods	Найти другие моды (Мастерская Steam)
codex_mod_findsteamtranslations	Найти другие переводы (Мастерская Steam)
codex_authortitle	Автор
codex_versiontitle	Версия
codex_datetitle	Дата
codex_urltitle	Ссылка
codex_typetitle	Тип
codex_mod_graphicsandsound	Графика и звук
codex_mod_translation	Перевод
codex_mod_scenario	Сценарий
codex_mod_content	Контент
codex_mod_load_scenario	Играть сценарий
codex_publishmod	Опубликовать мод

codex_mod_update	Обновить мод
codex_mod_published_good	Мод опубликован
codex_mod_published_good_msg	Ваш мод успешно опубликован.
codex_mod_published_bad	Не удалось опубликовать мод
codex_mod_published_bad_msg	Ошибка при публикации вашего мода.
codex_mod_modsupdated	Мод обновлен
codex_mod_modsupdated_msg	Некоторые активные моды обновлены. Нажмите ОК, чтобы принять изменения. Игра сохранится автоматически.
codex_mod_translationcaption	Это перевод на другой язык?

codex_language	Язык
codex_language_englishdefault	Английский (по умолчанию)
codex_language_default	Язык по умолчанию
codex_language_download	Загрузить
codex_language_failed_download	Не удалось загрузить перевод.
codex_language_failed_download_msg	Выбранный перевод не удалось загрузить.
codex_language_searching_workshop	Поиск в Мастерской Steam
codex_language_community	Эти переводы созданы и поддерживаются сообществом. Спасибо!!!

codex_polaroids_new	НОВИНКА

codex_save_confirm	Уверены, что хотите записать текущую тюрьму поверх *X?
codex_researtchapter_confirm	Уверены, что хотите начать главу заново? Несохраненная игра будет потеряна.
codex_delete_confirm	Вы точно хотите навсегда удалить *X?

codex_premadeprisons	Готовые тюрьмы

codex_trending_more	...
codex_sortbycaption	Сортировать по:
codex_trending_oneday	Один день
codex_trending_oneweek	Одна неделя
codex_trending_threemonths	Три месяца
codex_trending_sixmonths	Шесть месяцев
codex_trending_oneyear	Один год
codex_trending_alltime	Все время
codex_trending_failedtogetlist	Не удалось получить список тюрем
codex_trending_failedtogetlist_msg	Не удалось получить список актуальных тюрем.

codex_settings	Настройки карты
codex_settings_gangs	Включить опцию «Банды»
codex_settings_events	Включить опцию «Происшествия»
codex_settings_weather	Включить опцию «Погода»
codex_settings_staffneeds	Активировать потребности сотрудников
codex_settings_failureconditions	Активировать условия сбоя
codex_settings_confirm	После активации эти опции нельзя будет отключить. Вы уверены, что хотите включить опцию «*X»?

codex_packrects	Pack Rectangles
codex_addboxbutton	Добавить новый прямоугольник
codex_setsize	Задать размер места
codex_removeallrects	Удалить все прямоугольники
codex_packrects_widthcaption	Ширина места
codex_packrects_heightcaption	Высота места
codex_packrects_boxwcaption	Ширина прямоугольника
codex_packrects_boxhcaption	Высота прямоугольника

mods_downscaled_spritesheet	Размеры листа спрайтов уменьшены
mods_downscaled_spritesheet_msg	Необходимо уменьшить размеры листа спрайтов из-за ограничений видеокарты. Вероятно, активировано множество модов. Для повышения качества деактивируйте несколько модов.
mods_errors_no_memory	Спрайты модов не загружены
mods_errors_no_memory_msg	Недостаточно графической памяти для загрузки дополнительных спрайтов модов. Вероятно, активировано множество модов. Деактивируйте несколько модов, чтобы уменьшить объем используемой памяти.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	Хотите сохранить эти настройки графики?  Отмена через
graphicschange_time	секунд.
graphicschange_accept	Принять
graphicschange_revert	Отменить

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	Отладчик (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	Ошибка при загрузке модов
modnotification_info	Эти моды использовались во время сохранения текущей тюрьмы. Мы рекомендуем скачать и активировать их до загрузки этого сохранения.
modnotification_playnow	Играть сейчас
modnotification_active	Активен
modnotification_inactive	Неактивен
modnotification_new	Новый
modnotification_unknown	Неизвестно
modnotification_popup_title	Несоответствие модов
modnotification_popup_active	В настоящее время этот мод активен. Щелкните, чтобы отключить его.
modnotification_popup_inactive	В настоящее время этот мод неактивен. Щелкните, чтобы включить его.
modnotification_popup_new_url	Это новый мод. Щелкните, чтобы перейти на страницу мода в веб-браузере.
modnotification_popup_new_steam	Это новый мод из Steam. Нажмите, чтобы подписаться и скачать мод.
modnotification_popup_unknown	Нам не удалось определить, откуда этот мод. Вы можете найти и самостоятельно установить его.

# =============================================================================
# Biography
# =============================================================================

biography_search	Остановить и обыскать
biography_selected	ВЫБРАНО
biography_prisoner_name	*S, *F
biography_prisoner_number	Заключенный №*X
biography_prisoner_age	Возраст: *X
biography_prisoner_traits	Особые черты:
biography_prisoner_convicted	Осужден за *C (признал себя *P)
biography_prisoner_sentenced	Приговорен к *X годам заключения
biography_parole_now	Может подавать ходатайство об УДО
biography_parole_later	Может подавать ходатайство об УДО через *X лет
biography_prisoner_served	Отсидел *X лет
biography_prisoner_priors	Приводы:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	Возраст:
rapsheet_category	Категория:
rapsheet_traits	Особые черты:
rapsheet_conviction_text	*C - *Y лет
rapsheet_found_text	(Признал себя *P)
rapsheet_convictions	Судимости
rapsheet_misconductstitle	Последние нарушения
rapsheet_biography	Биография
rapsheet_guilty	Виновным
rapsheet_notguilty	Невиновным
rapsheet_served	Отсидел
rapsheet_served_time	Отсидел (лет): *Y
rapsheet_time	из *Y
rapsheet_bio	Приговорен к *Y годам лишения свободы за *A.
rapsheet_bio_med	Приговорен к *Y годам лишения свободы за *A и *B.
rapsheet_bio_long	Приговорен к *Y годам лишения свободы за многочисленные преступления, включая *A, *B и *C.
rapsheet_category_minsec	Общий режим
rapsheet_category_normal	Средний режим
rapsheet_category_maxsec	Строгий режим
rapsheet_category_protected	Режим защитной изоляции
rapsheet_category_supermax	Сверхстрогий режим
rapsheet_category_deathrow	Смертник
rapsheet_tab_biography	Биография
rapsheet_tab_experience	Опыт
rapsheet_tab_grading	Оценка
rapsheet_tab_character	Характер
rapsheet_punish	Наказать
rapsheet_recruit	Завербовать информатора

rapsheet_timeinside	*X дней в вашей тюрьме
rapsheet_timeinside_hours	*X часов в вашей тюрьме
rapsheet_mood	Настроение
rapsheet_activity	Времяпровождение
rapsheet_condition	Состояние
rapsheet_program	Программа
rapsheet_passchance	Вероятность успеха
rapsheet_reformhistory	Участие в программах реформы

rapsheet_reform_success	Выполнено
rapsheet_reform_successcount	Прошел обучение *X раз
rapsheet_reform_failed	Не выполнено
rapsheet_reform_failcount	Провалил обучение *X раз

rapsheet_grading_punishment	Наказание
rapsheet_grading_health	Здоровье
rapsheet_grading_security	Охрана
rapsheet_grading_reform	Реформа
rapsheet_grading_points	*X очков:
rapsheet_grading_penalties	*X штрафов:

rapsheet_scheduleexecution	Назначить наказание


punish_lockdown_6	В камеру на 6 часов
punish_lockdown_12	В камеру на 12 часов
punish_lockdown_24	В камеру на 24 часа
punish_solitary_6	В карцер на 6 часов
punish_solitary_12	В карцер на 12 часов
punish_solitary_24	В карцер на 24 часа
punish_solitary_perm	В карцер (бессрочно)
punish_lockdown_perm	В камеру (бессрочно)
punish_solitary	Карцер
punish_lockdown	Блокировка дверей
punish_none	Отсутствует
punish_timer	*X час. *Y мин.
punish_timer_minutes	*X мин.
punish_active	АКТИВНО
punish_permanent	(бессрочно)
punish_end	Прекратить исполнение наказания

punish_up	Увеличить
punish_down	Снизить
punish_setmin	Мин.
punish_setmed	Сред.
punish_setmax	Макс.
punish_setsuper	Наивысшая

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none	Отсутствует
misconduct_reporttype_complaint	Недовольство
misconduct_reporttype_destruction	Погром
misconduct_reporttype_escapeattempt	Попытка побега
misconduct_reporttype_injuredprisoner	Нападение на заключенного
misconduct_reporttype_injuredstaff	Нападение на персонал
misconduct_reporttype_seriousinjury	Побои
misconduct_reporttype_murder	Убийство
misconduct_reporttype_contrabandweapons	Найдено оружие
misconduct_reporttype_contrabandtools	Найдены инструменты
misconduct_reporttype_contrabandnarcotics	Найдены наркотики
misconduct_reporttype_contrabandluxuries	Найдены предметы роскоши
misconduct_reporttype_intoxicated	Интоксикация
misconduct_title	=[Нарушение дисциплины]=
misconduct_totalitems	(Дополнительно еще *X)

misconduct_report_addiction	Зависимость от *X
misconduct_report_recoving	Идет лечение зависимости от *X
misconduct_report_alcoholic	Алкоголик
misconduct_report_recovingalcoholic	Лечится от алкоголизма


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required	Требуется *X для подготовки этого отчета.
research_requireunlock	Необходимо изучить "*X", чтобы открыть этот отчет
research_approved	ОДОБРЕНО
research_cost	Стоимость: *X
research_costperitem	+ *X за каждый комплект.
research_timetounlock	Время исследования: *X часов
research_movementpenalty	Уменьшает подвижность на *X%
research_protectionbonus	Увеличивает защиту на *X%
research_tap_to_authorise	ЩЕЛКНИТЕ ДЛЯ ПРОДОЛЖЕНИЯ

research_none	Отсутствует
research_warden	Начальник тюрьмы
research_maintainance	Техническое обслуживание
research_security	Охрана
research_legal	Адвокат
research_mentalhealth	Психолог
research_finance	Финансы
research_landexpansion	Расширение
research_cctv	Наблюдение
research_riotguards	ОМОН
research_health	Здоровье
research_cleaning	Уборка
research_groundskeeping	Садоводство
research_clone	Клонирование
research_deployment	Расстановка
research_patrols	Патрули
research_dogs	Сторожевые псы
research_prisonlabour	Трудоустройство заключенных
research_education	Образование
research_contraband	Разведка
research_policy	Тюремные правила
research_armoury	Оружейная комната
research_bodyarmour	Бронежилеты
research_tazers	Шокеры
research_tazersforeveryone	Шокеры для всех
research_bankloans	Займы
research_lowertaxes1	Налоговые льготы
research_lowertaxes2	Офшоры
research_remoteaccess	Удаленный доступ
research_extragrant	Дополнительный грант
research_advancedmanagement	Микроменеджмент
research_deathrow	Смертник
research_permanentpunishment	Бессрочное наказание
research_removemincellsize	Маленькие камеры
research_reduceexecutionliability	Ответственность за казнь невиновных
research_legalprep	Правовая подготовка
research_legaldefense	Правовая защита
research_guardtowers	Сторожевые вышки

researchtooltip_warden	Открывает Начальника тюрьмы и всю систему Бюрократии. Его можно нанять в панели Персонала.\n\nКак и всем сотрудникам администрации, начальнику тюрьмы требуется кабинет для работы.
researchtooltip_security	Открывает Начальника охраны. Его можно нанять в панели Персонала. Начальник охраны открывает доступ к экрану Расстановка, а также сообщает о текущем уровне опасности в тюрьме, часто предугадывая потенциальные проблемы.\n\nКак и всем сотрудникам администрации, ему требуется кабинет для работы.
researchtooltip_maintenance	Открывает Прораба. Его можно нанять в панели Персонала.\n\nКак и всем сотрудникам администрации, прорабу требуется кабинет для работы.
researchtooltip_legal	Открывает Адвоката, которого можно нанять в панели Персонала. Дает доступ к ряду исследований для большей свободы в управлении тюрьмой.\n\nКак и всем сотрудникам администрации, адвокату требуется кабинет для работы.
researchtooltip_deployment	Позволяет назначать Охранников на посты в определенных секторах тюрьмы.
researchtooltip_patrols	Позволяет прокладывать маршруты патрулирования в особо важных зонах тюрьмы (например, вдоль периметра) и назначать Охранников в патруль.
researchtooltip_dogs	Открывает Кинологов и Сторожевых псов. Благодаря отличному нюху собаки могут находить контрабанду и скрытые туннели.\n\nКроме того, они с легкостью догонят убегающего Заключенного.
researchtooltip_cctv	Открывает Видеокамеры и Пульты наблюдения. С их помощью можно следить за неохраняемыми участками тюрьмы.\n\nТакже открывает Систему прослушки телефонов, которая позволит черпать важные сведения из телефонных звонков заключенных.
researchtooltip_remoteaccess	Открывает высокотехнологичное оборудование для удаленного доступа и автоматизации дверей. Теперь можно отпирать двери с помощью Системы управления дверьми (нужен Охранник) или Таймера двери в установленное время.
researchtooltip_riotguards	(В НАСТОЯЩЕЕ ВРЕМЯ НЕ ИСПОЛЬЗУЕТСЯ)\nОткрывает ОМОН. Эти парни хорошо вооружены и лучше справляются с чрезвычайными ситуациями.
researchtooltip_maintainance	Открывает Прораба. Дает доступ к новым исследованиям (Трудоустройство заключенных и пр.) и персоналу (Садовник и др.)\n\nКак и всем сотрудникам администрации, прорабу требуется кабинет для работы.
