
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nuevo

buildtoolbar_popup_help_zoning_1	Las herramientas de distribución de zonas te permiten controlar qué reclusos están autorizados en cada una de las zonas de la prisión. Las zonas compartidas y desbloqueadas están abiertas para todas las categorías de reclusos.\n\n
buildtoolbar_popup_help_zoning_2	~Selecciona qué categoría quieres asignar a una zona y haz clic con el botón izquierdo del ratón sobre ella. Si haces clic con el botón derecho, la zona volverá a ser compartida.\n\n
buildtoolbar_popup_help_zoning_3	^Consejos
buildtoolbar_popup_help_zoning_4	- Dado que ningún recluso tiene permitido el acceso a las áreas solo para personal, puedes utilizarlas para crear "tapones" con los que evitar que los reclusos de ciertas zonas accedan a instalaciones compartidas. Puede resultarte extremadamente útil si, por ejemplo, quieres mantener a todos los reclusos de custodia protegida en su propia zona, separados de patios compartidos o salas comunes.
buildtoolbar_popup_help_zoning_5	- Si una zona se indica como desbloqueada, todas sus puertas permanecerán siempre abiertas.

buildtoolbar_popup_help_guards_1	La herramienta de guardias te permite estacionar guardias en zonas. Un guardia estacionado se desplazará al azar por la zona que tenga asignada realizando en ella cualquiera de sus tareas, como abrir puertas.\n\n
buildtoolbar_popup_help_guards_2	~Haz clic con el botón izquierdo del ratón para aumentar el número de guardias desplegados en una zona. Haz clic con el botón derecho para retirar a un guardia.\n\n
buildtoolbar_popup_help_guards_3	^Consejos
buildtoolbar_popup_help_guards_4	- Si has desbloqueado la microgestión, podrás acceder al programador de despliegues. Te permitirá crear un horario de asignación de zonas determinadas a los guardias. Por ejemplo, si quieres que los guardias estén desplegados en el comedor solo durante el régimen de comidas, puedes hacer clic en cada uno de los bloques del programador que estén alineados con dicho régimen, y luego desplazar el deslizador temporal dentro del bloque y hacer clic en el comedor para asignarle guardias.
buildtoolbar_popup_help_guards_5	- Tienes hasta 7 bloques temporales distintos disponibles para programar, además del modo siempre activo predefinido, lo que te permite generar rutinas de despliegue complejas que se ajusten a las necesidades de tu prisión.
buildtoolbar_popup_help_guards_6	- Si no seleccionas manualmente un bloque temporal al asignar guardias, el programador utilizará la hora actual; ¡asegúrate de haber seleccionado la hora correcta al cambiar tus despliegues!

buildtoolbar_popup_help_patrols_title	Patrullas
buildtoolbar_popup_help_patrols_1	Las 3 herramientas de patrulla te permiten crear rutas específicas que quieras que se patrullen y asignárselas a guardias normales, adiestradores de perros o guardias armados (o una combinación de los tres tipos) para que lo hagan. Estas patrullas pueden cruzar zonas múltiples.\n\n
buildtoolbar_popup_help_patrols_2	~Mantén pulsado el botón izquierdo del ratón y arrastra el puntero para crear rutas de patrullas; haz clic con el botón izquierdo del ratón sobre una ruta de patrulla existente para añadirle un guardia. Haz clic con el botón derecho del ratón sobre un guardia de una patrulla para retirarlo o mantenlo pulsado y arrastra el puntero para retirar completamente la patrulla.\n\n
buildtoolbar_popup_help_patrols_3	^Consejos
buildtoolbar_popup_help_patrols_4	- Los guardias normales seguirán cumpliendo con sus obligaciones, como abrir puertas o registrar a los reclusos, cuando estén de patrulla. En cambio, los adiestradores de perros y los guardias armados dejarán de cumplirlas.
buildtoolbar_popup_help_patrols_5	- Si has desbloqueado la microgestión, podrás acceder al programador de despliegue, que funciona de la misma forma para las patrullas que para los despliegues normales de guardias.

buildtoolbar_popup_help_accessonly_1	La herramienta de Solo Acceso te permitirá marcar zonas de tu prisión que normalmente deberían evitarse a la hora de desplazarse por ella. Te permite detener a gente que utiliza habitaciones como atajos a través de la prisión, en caso de que prefieras que vayan por un camino distinto.\n\n
buildtoolbar_popup_help_accessonly_2	~Haz clic con el botón izquierdo si quieres marcar como Solo Acceso. Puedes hacer esto a mayores de los ajustes de seguridad normales.
buildtoolbar_popup_help_accessonly_3	~Haz clic con el botón derecho para eliminar la configuración de Solo Acceso.\n\n
buildtoolbar_popup_help_accessonly_4	^Consejos
buildtoolbar_popup_help_accessonly_5	- Solo Acceso no es un ajuste absoluto. No evita de forma explícita que la gente entre, especialmente si su meta se encuentra dentro del área marcada. Si pasar a través de una zona de Solo Acceso es una opción notablemente más rápida que otra alternativa (por ejemplo, merodear por toda la prisión), es posible que la gente pase igualmente por las zonas de Solo Acceso.

job_matsassigned	Materiales asignados
job_matsavailable	Materiales disponibles
job_awaitingmaterials	Esperando materiales
job_inprogress	-En curso-
job_blocked	-Bloqueado-
job_queued	-Puesto en cola-

job_failed_noroute	Sin ruta
job_failed_nomaterials	Sin materiales
job_failed_toodangerous	Demasiado peligroso
job_failed_materialsbeingcarried	Materiales en ruta

job_rightclicktocancel	- Clic derecho para cancelar
job_ftofollow	- Pulsa F para seguir
job_makehighpriority	- Ctrl + clic izquierdo para establecer alta prioridad
job_removehighpriority	- Ctrl + clic derecho para retirar alta prioridad
job_makehighpriority_mac	- Alt + clic izquierdo para establecer alta prioridad
job_removehighpriority_mac	- Alt + clic derecho para retirar alta prioridad
job_highpriority_tooltip	- URGENTE
job_refundamount	- Cantidad reembolsada: *X

failuremessage_blocked	Bloqueado
failuremessage_cantafford	Fondos insuficientes
failuremessage_cantaffordupkeep	Supera presupuesto diario
failuremessage_maximumcountreached	Máx. ya contratado
failuremessage_maxstaff	Demasiado Personal


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	Entregas
statustoolbar_finances	Finanzas
statustoolbar_regime	Régimen
statustoolbar_escapemap	Seguridad
statustoolbar_electricity	Electricidad
statustoolbar_stats	Estadísticas
statustoolbar_danger	Peligro
statustoolbar_jobs	Tareas
statustoolbar_gangs	Pandillas
statustoolbar_staff	Personal
statustoolbar_research	Investigación


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	Editor de Sprites
spritebankeditor_create	Crear
spritebankeditor_rotate	Rotación
spritebankeditor_sort	Ordenar
spritebankeditor_markermodetitle	Modo marcador


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	Menú Principal
codex_campaign	Misión
codex_cutscenes	Escenas de corte
codex_qualifications	Calificaciones
codex_load	Cargar prisión
codex_loadcampaign	Cargar misión
codex_save	Guardar prisión
codex_savecampaign	Guardar misión
codex_performance	Prueba de rendimiento
codex_developer_load	(Desarrollador) Cargar mapa
codex_developer_save	(Desarrollador) Guardar mapa
codex_developer_clearach	(Desarrollador) Limpiar logros
codex_contacts	Contactos
codex_materials	Materiales
codex_play	Reproducir
codex_play_escape	Jugar en modo Escape
codex_polaroids	Polaroids
codex_introduction	Introducción
codex_restartintroduction	Reiniciar introducción
codex_restartchapter	Volver a empezar el episodio
codex_help	Ayuda (wiki)
codex_opensavefolder	Abrir carpeta de guardado
codex_options	Opciones
codex_nitgs	Nombres en el juego
codex_workshop	Compartir prisión (Steam)
codex_steamtrending	Prisiones más populares (Steam)
codex_checkforupdates	Buscar actualizaciones
codex_preorder	Precómpralo ahora
codex_termsconditions	Términos y Condiciones
codex_twitter	Twitter
codex_extras	Extras
codex_unlocked	Desbloqueado *X/*Y
codex_mapsettings	Ajustes del mapa
codex_othergames	Otros juegos de Introversion
codex_mutators	Mutágenos

codex_cloudsavedesc	Guardar en la nube
codex_cloud_enabled	Las nuevas partidas guardadas se almacenarán en la nube.
codex_cloud_notaccount	Steam Cloud está deshabilitado en el cliente de Steam. Vuelve a habilitarlo para utilizar esta función.
codex_cloud_notapp	Las nuevas partidas guardadas se almacenarán en tu disco duro.
codex_saveload_delete	Eliminar

codex_new	Crear nueva prisión
codex_new_worldsize	Tamaño del mundo
codex_new_small	Pequeño
codex_new_medium	Media
codex_new_large	Grande
codex_new_selectwarden	Escoge tu alcaide
codex_new_selectgender	Seleccionar sexo del recluso

codex_options_graphics	Gráficos
codex_options_resolution	Resolución
codex_options_resolutionauto	Automático
codex_options_windowed	En ventana
codex_options_highdpi	PPP Alto
codex_options_filtering	Filtración
codex_options_nofiltering	Apagado
codex_options_multisampled	Multimuestreado
codex_options_supersampled	Supermuestreado

codex_options_audio	Audio
codex_options_volume	Volumen principal
codex_options_frequency	Mezclar frecuencia
codex_options_swapstero	Intercambiar estéreo
codex_options_dspenabled	Habilitar DSP
codex_options_11khz	11025 Hz
codex_options_22khz	22050 Hz
codex_options_44khz	44100 Hz

codex_options_clocktype	Tipo reloj
codex_options_clocktype_analogue	Analógico
codex_options_clocktype_12h	12 Horas
codex_options_clocktype_24h	24 Horas

codex_options_directions	Mostrar señalización del suelo
codex_options_dirrender_hidden	Escondido
codex_options_dirrender_visible	Visible
codex_options_dirrender_zoom	Zoom

codex_options_tempscale	Mostrar temperatura en grados Celsius

codex_options_gameplay	Juego
codex_options_autosave	Temporizador de autoguardado
codex_options_renderrooms	Verificador de estancia
codex_options_apply	Aplicar
codex_options_v2gui	IUG versión 2.0
codex_options_zoomtomouse	Acercar vista al ratón
codex_options_oneclickrapsheet	Acta de detención en un clic
codex_options_disableanalytics	Desactivar análisis
codex_tooltip_disableanalytics	Recopilamos estadísticas anónimas para ayudar a mejorar la experiencia del juego. La información que recopilamos es visible en metrics.txt

codex_options_language	Idioma

codex_options_experimental	Experimental
codex_options_enablevbo	Activar objetos de Vertex Buffer

codex_nitgs_authwarning	Importante: si has cambiado recientemente tu nombre al entrar en el juego, deberá ser autorizado antes de aparecer en la lista.

codex_nitgs_filtercaption	Filtro
codex_nitgs_filterall	Todos
codex_nitgs_filtermen	Hombres
codex_nitgs_filterwomen	Mujeres

codex_nitgs_checkingforupdate	Buscando actualizaciones...
codex_nitgs_updateavailable	Actualización disponible
codex_nitgs_downloading	Descargando actualización...
codex_nitgs_downloadcomplete	Descarga completa.
codex_nitgs_downloadfailed	Descarga fallida.

codex_enabled	Activado
codex_disabled	Desactivado

codex_option_intake	Consumo continuo
codex_tooltip_intake	Si está activado, recibirás un número aleatorio de presos nuevos cada día... para siempre.\n\nSi está desactivado, puedes elegir cuando recibir presos nuevos yendo a informes y  pulsando en la pestaña de Acogida.
codex_option_fogofwar	Niebla de Guerra
codex_tooltip_fogofwar	Perderás visibilidad del interior de los edificios de la prisión a menos que tengas guardias que patrullen el área o cámaras de seguridad que cubran la zona.
codex_option_lakes	Generar lagunas
codex_tooltip_lakes	Se generarán lagunas que bloquearán secciones de tus terrenos. ADVERTENCIA: Experimental.
codex_option_forests	Generar bosques
codex_tooltip_forests	Aparecerán en tus terrenos grupos de árboles.
codex_option_buildings	Generar edificios
codex_tooltip_buildings	Aparecerán en tus terrenos edificios antiguos que podrás utilizar como quieras
codex_option_failure	Condiciones de fracaso
codex_tooltip_failure	¡Un desafío extra! Si dejas que las cosas se desmadren (motines, bancarrota, muchas muertes, fugas, etc.), te despedirán y acabará el juego.
codex_option_unlimitedfunds	Fondos ilimitados
codex_tooltip_unlimitedfunds	¡Modo Sandbox en estado puro! Puedes gastar tanto dinero como quieras desde el principio, sin preocupaciones o esperas.
codex_option_gangs	Pandillas
codex_tooltip_gangs	Algunos presos tendrán pandillas leales y atacarán a las pandillas rivales. Desafío extra.
codex_option_events	Eventos
codex_tooltip_events	Desencadena una serie de eventos durante el juego para mantenerte con los pies en la tierra. Es un desafío extra y es muy impredecible.
codex_option_weather	Meteorología y temperatura
codex_tooltip_weather	Añade cambios meteorológicos y térmicos a la prisión, lo que te obliga a tener en cuenta la calefacción.
codex_option_enablecheats	Activar herramientas y trucos
codex_tooltip_enablecheats	Activa las herramientas y trucos del entorno de desarrollo en esta prisión. Si se selecciona esta opción, no podrá desactivarse, no se contabilizarán los logros y la prisión no podrá ponerse a la venta.
codex_option_staffneeds	Necesidades del personal
codex_tooltip_staffneeds	Activa las necesidades de tus guardias, lo que significa que necesitarán comida, descanso y otras comodidades para realizar su trabajo correctamente.
codex_option_wardenmode	Modo alcaide
codex_tooltip_wardenmode	Juega siendo el alcaide que trabaja en la prisión que estás construyendo.
codex_option_wardenmode_permadeath	Muerte permanente
codex_tooltip_wardenmode_permadeath	¡Si mueres mientras juegas como alcaide, se acabó la partida!

codex_option_funds	Fondos
codex_tooltip_funds	Comenzarás con esta cantidad de dinero en tu cuenta bancaria. Vende tus prisiones ya establecidas desde la pantalla de Valoración para empezar con más fondos.

codex_transfer	Transferir
codex_transferring	Transfeririendo
codex_in_prison	Encarcelado actualmente
codex_unavailable	No disponible
codex_useravatar	Este soy yo
codex_tooltip_useravatar	Marcar a este preso como tu propio ingreso. Si vas acabar en la cárcel por algún motivo, este es el preso que te representará.
codex_tooltip_flagbio	Informar sobre esta biografía como inaceptable u ofensiva.

codex_workshop_current	Prisión actual
codex_workshop_publish	Publicar prisión
codex_workshop_update	Actualizar
codex_workshop_play	Reproducir
codex_workshop_downloading	Descargando
codex_workshop_download_failed	Descarga fallida
codex_workshop_publishing	Publicando...
codex_workshop_new	NUEVO
codex_workshop_title	Título
codex_workshop_desc	Descripción
codex_workshop_view_in_workshop	Ver en el Workshop de Steam
codex_workshop_heading_pubed	Tus prisiones publicadas
codex_workshop_heading_subed	Prisiones suscritas
codex_workshop_published_by	Publicadas por *P
codex_workshop_published_by_you	Publicadas por ti
codex_workshop_published_good	Prisiones publicadas
codex_workshop_published_good_msg	La prisión se ha publicado correctamente.
codex_workshop_published_bad	Fallo en la publicación de la prisión.
codex_workshop_published_bad_msg	Tu prisión no se ha publicado.
codex_workshop_published_bad_msg_new	Tu nueva prisión no se ha podido publicar. Por favor, inténtalo de nuevo.
codex_workshop_busy	Steam está haciendo cosas raras. Por favor, espera a que termine y luego, vuelve a intentarlo.
codex_workshop_file_exists	Ya has publicado una prisión con este nombre. Por favor, escoge otro nombre.
codex_workshop_generic_fail	No se ha podido publicar la prisión. Por favor, inténtalo de nuevo.
codex_workshop_download_bad	No se ha podido descargar la prisión
codex_workshop_pa_workshop	Abrir el Workshop de Prison Architect
codex_workshop_agreement	Mediante el envío de este artículo, acepta las [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]condiciones de servicio del workshop[/url].
codex_workshop_update_warning	Actualizar la prisión publicada
codex_workshop_update_warning_msg	Al actualizar esta prisión publicada, se dará prioridad a la prisión actualmente cargada. Con ello se eliminará la prisión publicada anteriormente, sustituyéndose por la prisión en la que estás jugando ahora. Esta acción es irreversible.\n\n¿Seguro que quieres continuar?

codex_options_timelapse	Lapso de tiempo
codex_timelapse_record	Grabar lapso
codex_timelapse_stop	Detener grabación
codex_timelapse_camera	Modo Cámara
codex_timelapse_customresw	Ancho de resolución personalizado
codex_timelapse_customresh	Alto de resolución personalizado
codex_timelapse_resolution	Resolución
codex_timelapse_fps	Ratio de reproducción
codex_timelapse_interval	Intervalo de marco
codex_timelapse_quality	Calidad
codex_timelapse_unsupported	Esta función no está disponible en tu hardware.
codex_timelapse_savesettings	Guardar ajustes

codex_timelapse_cam_zoom	Zoom de la cámara
codex_timelapse_cam_fitmap	Ajustar mapa
codex_timelapse_cam_fitheight	Ajustar alto de mapa
codex_timelapse_cam_fitwidth	Ajustar ancho de mapa
codex_timelapse_fps_value	*X FPS
codex_timelapse_quality_high	Alta
codex_timelapse_quality_med	Media
codex_timelapse_quality_low	Baja
codex_timelapse_interval_value	*X Minutos de Juego
timelapse_caption	Duración de grabación de lapso temporal *X:*Y, *Z cuadros grabados, registro: *T

codex_performance_running	Prueba de rendimiento en ejecución
codex_performance_time	Tiempo restante: *Ts
codex_performance_current	Marco de tiempo actual: *Tms
codex_performance_min	Marco de tiempo mín: *Tms
codex_performance_avg	Marco de tiempo medio: *Tms
codex_performance_max	Marco de tiempo máx: *Tms
codex_performance_numframes	Núm. marcos: *T

codex_last_modified	Última modificación: *T
codex_sortbydesc	Ordenar por fecha
codex_sortname	Nombre
codex_sortdate	Fecha
codex_apply	Aplicar
codex_select	Seleccionar

codex_mods	Mods
codex_mod_activetitle	Mods activos
codex_mod_inactivetitle	Mods disponibles
codex_mod_deactivate	Desactivar todos los mods
codex_mod_wiki	Encontrar más mods (wiki)
codex_mod_openmodsfolder	Abrir carpeta de Mods
codex_mod_moresteammods	Encontrar más mods (Steam Workshop)
codex_mod_findsteamtranslations	Encontrar más traducciones (Steam Workshop)
codex_authortitle	Autor
codex_versiontitle	Versión
codex_datetitle	Fecha
codex_urltitle	URL
codex_typetitle	Tipo
codex_mod_graphicsandsound	Gráficos y Sonidos
codex_mod_translation	Traducción
codex_mod_scenario	Escenario
codex_mod_content	Contenido
codex_mod_load_scenario	Abrir escenario
codex_publishmod	Publicar este mod

codex_mod_update	Actualizar este mod
codex_mod_published_good	Mod Publicado
codex_mod_published_good_msg	Tu mod se ha publicado.
codex_mod_published_bad	Fallo al publicar el mod
codex_mod_published_bad_msg	Su mod no se ha publicado.
codex_mod_modsupdated	Mods actualizados
codex_mod_modsupdated_msg	Se han actualizado algunos de tus mods activos. Pulsa en Aceptar para aplicar los  cambios. El juego se guardará automáticamente.
codex_mod_translationcaption	¿Es una traducción a otro idioma?

codex_language	Idioma
codex_language_englishdefault	Inglés (por defecto)
codex_language_default	Idioma predeterminado
codex_language_download	Descargar
codex_language_failed_download	Error al descargar traducción
codex_language_failed_download_msg	La traducción seleccionada no se ha podido descargar.
codex_language_searching_workshop	Buscando en el Workshop de Steam
codex_language_community	Estos paquetes de traducción los crea y mantiene la comunidad. ¡Gracias!

codex_polaroids_new	NOVEDADES

codex_save_confirm	¿Seguro que quieres sobrescribir *X con la prisión actual?
codex_researtchapter_confirm	¿Seguro que quieres volver a empezar el capítulo actual? Perderás los progresos no guardados.
codex_delete_confirm	¿Estás seguro de que deseas eliminar *X de forma permanente?

codex_premadeprisons	Prisiones prefabricadas

codex_trending_more	...
codex_sortbycaption	Ordenar por:
codex_trending_oneday	Un día
codex_trending_oneweek	Una semana
codex_trending_threemonths	Tres meses
codex_trending_sixmonths	Seis meses
codex_trending_oneyear	Un año
codex_trending_alltime	Todo el tiempo
codex_trending_failedtogetlist	No se ha podido obtener la lista de prisiones
codex_trending_failedtogetlist_msg	No se han podido obtener las tendencias de prisiones.

codex_settings	Ajustes del mapa
codex_settings_gangs	Activar pandillas
codex_settings_events	Activar eventos
codex_settings_weather	Activar meteorología
codex_settings_staffneeds	Activar las necesidades del personal
codex_settings_failureconditions	Activar las condiciones de fracaso
codex_settings_confirm	Una vez activado, este ajuste no podrá desactivarse. ¿Seguro que deseas activar *X?

codex_packrects	Pack Rectangles
codex_addboxbutton	Añadir nuevo rectángulo
codex_setsize	Establecer tamaño del espacio
codex_removeallrects	Retirar todos los rectángulos
codex_packrects_widthcaption	Anchura del espacio
codex_packrects_heightcaption	Altura del espacio
codex_packrects_boxwcaption	Anchura del rectángulo
codex_packrects_boxhcaption	Altura del rectángulo

mods_downscaled_spritesheet	Escala de hoja de sprites rebajada
mods_downscaled_spritesheet_msg	Ha habido que rebajar la escala de la hoja de sprites debido a las limitaciones de tu tarjeta gráfica. Probablemente sea el resultado de activar muchas modificaciones. Desactiva algunas modificaciones para mejorar la calidad.
mods_errors_no_memory	Sprites de modificación no cargados
mods_errors_no_memory_msg	La memoria gráfica es insuficiente para cargar más sprites de modificación. Probablemente sea el resultado de activar muchas modificaciones. Desactiva algunas modificaciones para utilizar menos memoria.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	¿Quieres mantener estas opciones gráficas? Estos cambios se revertirán en
graphicschange_time	segundos.
graphicschange_accept	Aceptar
graphicschange_revert	Revertir

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	Depurador de scripts (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	Encontradas diferencias de mod
modnotification_info	Utilizaste estos mods cuando guardaste la prisión actual. Se recomienda encarecidamente la descarga y activación de estos mods antes de jugar con esta prisión.
modnotification_playnow	Jugar ahora
modnotification_active	Activo
modnotification_inactive	Inactivo
modnotification_new	Nuevo
modnotification_unknown	Desconocido
modnotification_popup_title	Diferencia de mod
modnotification_popup_active	Este mod está activo actualmente. Pulsa para desactivar.
modnotification_popup_inactive	Este mod está inactivo actualmente. Pulsa para activar.
modnotification_popup_new_url	Este es un mod nuevo. Pulsa para abrir su enlace en un navegador web.
modnotification_popup_new_steam	Este es un mod nuevo de Steam.  Pulsa aquí para suscribirte y descargar el mod.
modnotification_popup_unknown	No ha sido posible determinar el origen de este mod. Por favor, busca e instala este mod por ti mismo.

# =============================================================================
# Biography
# =============================================================================

biography_search	Parar y buscar
biography_selected	SELECCIONADO
biography_prisoner_name	*S, *F
biography_prisoner_number               Recluso #*X
biography_prisoner_age	Edad : *X
biography_prisoner_traits	Rasgos  :
biography_prisoner_convicted	Condenado por *C (declarado *P)
biography_prisoner_sentenced	Sentenciado a *X años en la cárcel
biography_parole_now	Elegible para libertad condicional ahora
biography_parole_later	Elegible para la libertad condicional después de *X años
biography_prisoner_served	Cumplido *X años
biography_prisoner_priors	Previo:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	Edad:
rapsheet_category	Categoría:
rapsheet_traits	Rasgos conocidos:
rapsheet_conviction_text	*C - *Y años
rapsheet_found_text	(Declaración: * P)
rapsheet_convictions	Condenas
rapsheet_misconductstitle	Mala conducta reciente
rapsheet_biography	Biografía
rapsheet_guilty	Culpable
rapsheet_notguilty	No culpable
rapsheet_served	Cumplido
rapsheet_served_time	Cumplidos *Y años
rapsheet_time	de *Y años
rapsheet_bio	Sentenciado a *Y años por *A.
rapsheet_bio_med	Sentenciado a *Y años por múltiples delitos, entre ellos *A y *B.
rapsheet_bio_long	Sentenciado a *Y años por múltiples delitos, entre ellos *A,*B y *C.
rapsheet_category_minsec	Mínima seguridad
rapsheet_category_normal	Media seguridad
rapsheet_category_maxsec	Máxima seguridad
rapsheet_category_protected	Prisión provisional
rapsheet_category_supermax	Super máx seguridad
rapsheet_category_deathrow	Corredor de la muerte
rapsheet_tab_biography	Biografía
rapsheet_tab_experience	Experiencia
rapsheet_tab_grading	Calificaciones
rapsheet_tab_character	Personaje
rapsheet_punish	Castigar
rapsheet_recruit	Reclutar informante

rapsheet_timeinside	*X días en tu prisión
rapsheet_timeinside_hours	*X horas en tu prisión
rapsheet_mood	Humor
rapsheet_activity	Actividad
rapsheet_condition	Condición
rapsheet_program	Programa
rapsheet_passchance	Probabilidades de éxito
rapsheet_reformhistory	Historial del Programa de Reforma

rapsheet_reform_success	Aprobado
rapsheet_reform_successcount	Completado *X veces
rapsheet_reform_failed	Suspenso
rapsheet_reform_failcount	Suspenso *X veces

rapsheet_grading_punishment	Castigo
rapsheet_grading_health	Salud
rapsheet_grading_security	Seguridad
rapsheet_grading_reform	Reforma
rapsheet_grading_points	*X puntos :
rapsheet_grading_penalties	*X sanciones :

rapsheet_scheduleexecution	Planificación de ejecución


punish_lockdown_6	Confinamiento (6 h.)
punish_lockdown_12	Confinamiento (12 h.)
punish_lockdown_24	Confinamiento (24 h.)
punish_solitary_6	Aislamiento (6 h.)
punish_solitary_12	Aislamiento (12 h.)
punish_solitary_24	Aislamiento (24 h.)
punish_solitary_perm	Aislamiento (Permanente)
punish_lockdown_perm	Confinamiento (Permanente)
punish_solitary	Aislamiento
punish_lockdown	Confinamiento
punish_none	Ninguna
punish_timer	*Xh *Ym
punish_timer_minutes	*Xm
punish_active	ACTIVO
punish_permanent	(Permanente)
punish_end	Terminar castigo

punish_up	Arriba
punish_down	Abajo
punish_setmin	Mín.
punish_setmed	Med.
punish_setmax	Máx.
punish_setsuper	Súper

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none	Ninguna
misconduct_reporttype_complaint	Quejas
misconduct_reporttype_destruction	Destrucción
misconduct_reporttype_escapeattempt	Intento de fuga
misconduct_reporttype_injuredprisoner	Recluso atacado
misconduct_reporttype_injuredstaff	Personal atacado
misconduct_reporttype_seriousinjury	Lesiones graves
misconduct_reporttype_murder	Asesinato
misconduct_reporttype_contrabandweapons	Armas encontradas
misconduct_reporttype_contrabandtools	Herramientas encontradas
misconduct_reporttype_contrabandnarcotics	Drogas encontradas
misconduct_reporttype_contrabandluxuries	Lujos encontrados
misconduct_reporttype_intoxicated	Intoxicación
misconduct_title	=[Mala Conducta]=
misconduct_totalitems	(y *X más)

misconduct_report_addiction	Adicto a *X
misconduct_report_recoving	Recuperándose de la adicción a *X
misconduct_report_alcoholic	Alcohólico
misconduct_report_recovingalcoholic	Alcohólico en recuperación


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required	Necesitas *X para preparar este informe.
research_requireunlock	Necesitas investigar '*X' para desbloquear este informe
research_approved	APROBADO
research_cost	Coste: *X
research_costperitem	+ *X por artículo.
research_timetounlock	Tiempo para desbloquear : *X horas
research_movementpenalty	Penalización de movimiento: *X%
research_protectionbonus	Protección: *X%
research_tap_to_authorise	TOCA PARA AUTORIZAR

research_none	Ninguna
research_warden	Alcaide
research_maintainance	Mantenimiento
research_security	Seguridad
research_legal	Legal
research_mentalhealth	Psicología
research_finance	Finanzas
research_landexpansion	Expansión de terrenos
research_cctv	Vigilancia
research_riotguards	Guardias de motín
research_health	Salud
research_cleaning	Limpieza
research_groundskeeping	Mantenimiento de terrenos
research_clone	Duplicar
research_deployment	Despliegue
research_patrols	Patrullas
research_dogs	Perros
research_prisonlabour	Trabajos de presos
research_education	Educación
research_contraband	Inteligencia
research_policy	Política penitenciaria
research_armoury	Armería
research_bodyarmour	Protecciones
research_tazers	Taser
research_tazersforeveryone	Despliegue de taser
research_bankloans	Préstamo bancario
research_lowertaxes1	Desgravación fiscal
research_lowertaxes2	En paraísos fiscales
research_remoteaccess	Acceso remoto
research_extragrant	Subvención adicional
research_advancedmanagement	Microgestión
research_deathrow	Corredor de la muerte
research_permanentpunishment	Castigos permanentes
research_removemincellsize	Celdas pequeñas
research_reduceexecutionliability	Responsabilidad por ejecución
research_legalprep	Preparación legal
research_legaldefense	Defensa legal
research_guardtowers	Torres de guardia

researchtooltip_warden	Desbloquea el Alcaide, y todo el sistema de burocracia. Contrátalo desde la barra de herramientas de Personal.\n\nAl igual que todos los administradores, necesita una oficina para trabajar.
researchtooltip_security	Desbloquea el Jefe de Seguridad, a quien puedes contratar desde la barra de herramientas de Personal. El jefe te da acceso a la pantalla de Despliegue y también te entregará un informe en tiempo real del nivel de riesgo de tu prisión con el que podrás predecir futuros problemas.\n\nComo todos los administradores, necesita una oficina para trabajar.
researchtooltip_maintenance	Desbloquea el Capataz. Contrátalo desde la barra de herramientas Personal.\n\nAl igual que todos los administradores, necesita una oficina para trabajar.
researchtooltip_legal	Desbloquea el Abogado,  puedes contratarlos desde la barra de herramientas de Personal. Desbloquea las opciones de investigación para darle un mayor control sobre tu prisión.\n\nAl igual que todos los administradores, requiere una oficina para trabajar.
researchtooltip_deployment	Permite estacionar permanentemente Guardias en los diferentes sectores de tu Prisión.
researchtooltip_patrols	Permite definir las patrullas alrededor de las áreas claves de tu prisión (por ejemplo, el perímetro) y asignar guardias para desplegarse en esas patrullas.
researchtooltip_dogs	Desbloquea el Adiestrador de Perros y el Perro Guardián. Son expertos en olfatear el apestoso contrabando de tu prisión y en detectar los túneles de escape.\n\nLos perros también son muy rápidos, lo que les permite perseguir a los presos con facilidad.
researchtooltip_cctv	Desbloquea cámaras CCTV y monitores de seguridad. Utilice estos para vigilar partes no tripuladas de tu prisión.\n\nTambién desbloquea el sistema de Escuchas Telefónicas, que le permite escuchar las llamadas telefónicas de los presos y obtener inteligencia
researchtooltip_remoteaccess	Desbloquea equipos de alta tecnología para el control remoto y la automatización de puertas. Las puertas pueden abrirse a distancia utilizando un Sistema Control de Puertas (operado por un guardia) o abrirlas mediante un Temporizador de Puertas en momentos puntuales del día.
researchtooltip_riotguards	(ACTUALMENTE NO SIRVE PARA NADA)\nDesbloquea los Guardia de motín. Estos chicos están armados y son más aptos para hacer frente a situaciones de violencia.
