# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Tüm Değişiklikler
researchtooltip_Psychiatrist	Suç İşleyebilen Deli mahkumlara düzenli olarak danışmanlık veren bir gelişmiş personel üyesi.\nHapishanede bir Psikiyatrik Danışmanlık programı kurulduktan sonra, psikiyatristler Suç İşleyebilen Deli mahkumlarımızı yatıştırmak için düzenli birebir seanslar yapar. \nÇok sayıda Suç İşleyebilen Deli mahkûmumuz varsa, işe hepsini desteklemek için birden fazla psikiyatrist almalıyız. Her birine mutlaka ayrı ofis yap.


# =============================================================================
# Misc
# =============================================================================

doortimer_security_Insane	Deli

buildtoolbar_header_foundationmain	Ana Menü
buildtoolbar_header_foundationmore	Daha Fazla

reformprogram_PsychiatricConsultation	Psikiyatrik Danışmanlık
reformprogram_PsychiatricConsultation_text	Tüm Suç İşleyebilen Deli mahkumların artan baskılanma hissini azaltmak için Psikiyatrist'le bire bir yatıştırıcı seanslar yapması gerekir. Psikiyatristin olmaması bu mahkumların öfke patlamalarını ve diğer kendilerine özgün tepkilerini tetikleyebilir.
reform_program_properties_NeedToBeEscorted	Bu seansa giden mahkumlara eşlik edilmesi gerekebilir.
reform_program_intake_insane	Sadece Suç İşleyebilen Deli mahkumlar.

insane_letter	Sayın Bay/Bayan,\n\n\nAşağıda, Suç İşleyebilen Deli mahkumların bakımına hazır olmanız için gereken tesisleri ve personeli hazırlamanızı sağlayacak bazı önemli maddeler bulunmaktadır.\n\n1. Suç İşleyebilen Deli mahkumlar Dolgulu Duvarlı Hücrelerde kalmalıdır. Odalar menüsünden standart hücreleri dolgulu duvarlı hücrelere çevirebilirsiniz. Dolgulu duvarlı hücreleriniz olduğunda ilk mahkum grubunuzu kabul edebileceksiniz.\n\n2. Psikiyatrist ve Hastabakıcı çalıştırdığınızdan emin olun. Psikiyatristlerin özel bir ofise de ihtiyacı vardır.\n\n3. Suç İşleyebilen Deli mahkumlarınız için Psikiyatrik Danışmanlık programları ayarlayın. Psikiyatristle birlikte dolgulu duvarlı hücrelerde yapılan bu birebir seanslar mahkumları kontrol altında tutmanızı kolaylaştırır. Psikiyatrist'in ofisini yükseltirseniz tedavi yeteneğini de arttırırsınız.\n\n4. Tedavi görmeyen ve kontrol edilmeyen Suç İşleyebilen Deli mahkumlar öngörülemeyen davranışlar sergileyebilir, kaçmaya çalışabilir ya da şiddet gösterebilir.\n\n5. Hastabakıcılar eşlik edilmesine ve tedavilere yardım eder ve normal gardiyanların aksine mahkumları baskılamazlar. Suç İşleyebilen Deli Psikopat mahkumlarınıza gün bittiğinde deli ceketi giydirmek için de Hastabakıcılara ihtiyacınız olacak. \n\n6. Suç İşleyebilen Deli mahkumları diğer mahkumların arasına koymak bazen sorun çıkarabilir. Kantinlere, Avlulara ve diğer alanlara ayrı Suç İşleyebilen Deli bölümleri inşa etmek iyi olabilir.\n\n7. Son olarak, artık diğer güvenlik seviyelerindeki mahkumların da delirme ihtimali var. Gözünüz üstlerinde olsun.\n\nCEO,\nPrison Architects Corp.

job_StraitJacket	Deli Gömleğini Giydir/Çıkar
job_EscortInsane	Deli Mahkuma Eşlik Et
status_effect_sedated	Yatıştırıcı Verildi

orderly_description	Hastabakıcılar, Suç İşleyebilen Deli mahkumlara bakmak ve onları yatıştırmak için özel eğitim almıştır.
pyschiatrist_description	TÜM Suç İşleyebilen Deli mahkumların bir Psikiyatrist'le birebir Psikiyatrik Danışmanlık seansları yapması gerekir. Programlar menüsünden Psikiyatrik Danışmanlık seansları ekle.

insanetooltip_status	Durum: *X
insanetooltip_status_level0	SAKİN
insanetooltip_status_level1	HUZURSUZ
insanetooltip_status_level2	DENGESİZ
insanetooltip_status_level3	TETİKLENDİ!
insanetooltip_behaviour	Davranış: *X

mutator_name_ReducedDirtBuildup	Kir Birikimini Azalt
mutator_tooltip_ReducedDirtBuildup	Hapishanende biriken toz ve kir miktarı yarıya iner.
administrator_requiresoffice_psychiatrist	Psikiyatrist Ofisi Gerektirir

dlc_upsell	Bu kayıt dosyası "*D" genişleme paketinin içeriklerini kullanıyor. Paketi sisteminde bulamadığımızdan bazı özzellikler devre dışı kalacak. Prison Architech deneyimini iyileştirmek için lütfen "*D"ı al.
dlc_upsell_multiplayer	Bu çok oyunculu oyunun ev sahibi "*D"ı almış. Konuğu olarak sen de bu pakete erişebileceksin. İyi eğlenceler!

dlc_insane	Psych Ward: Warden's Edition
dlc_seaandair	Ada Yolunda

regime_work_pyscho	Programlar/Boş Zaman
regime_worklockdown_pyscho	Programlar/Kilitle

regimetooltip_work_pyscho	Not: Deli mahkumlar çalışamaz ve çalışma saatlerinde sadece programlara katılabilirler.
regimetooltip_worklockdown_pyscho	Not: Deli mahkumlar çalışamaz ve çalışma saatlerinde sadece programlara katılabilirler.


# =============================================================================
# Nameplate status
# =============================================================================

nameplate_sedation_level	Yatıştırma Düzeyi
teacher_teaching_pschiatrist	Tedavide
pschiatrist_count_status	*X Psikiyatrik Danışmanlık Tamamlandı


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# =============================================================================

action_escortToInfirmary	Revire Kadar Eşlik Et

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus	Hücre Durumu

buildtoolbar_popup_help_CellStatus_1	Hücre Durumu görünümü sana hangi hücrelerin dolu (kırmızı), hangilerinin boş (yeşil) olduğunu gösterir.
buildtoolbar_popup_help_CellStatus_2	Dolu bir hücreye tıklayarak oraya atanmış mahkumu görebilirsin.

freeCell	Boş Hücre
freeCell_line0	Bu hücre şu anda boş.
occupiedCell	Dolu Hücre
occupiedCell_line0	*X *Y, *Z
occupiedCell_line1	Bu mahkumu görmek için sol tıkla.
object_prisoner_freshfish	Mahkum (Taze Balık)

total_Connections	Toplam bağlantı sayısı: *X
active_Connections	Maksimum aktif bağlantı sayısı: *X

interfacedeployment_VisitorDirection	Ziyaretçi Yönü

interface_action_move	Taşı

equipment_moreContraband	Kaçak Mal

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_PrisonerTransfer	Mahkum Transferi!
report_intake_list_tooltip_prisonerTransfer	\n\nArada sırada, başka hapishaneler için fazla tehlikeli olan mahkumları alman teklif edilir. \nAman dikkat! İyi para getirmelerinin bir sebebi var. Bunlar başka hiçbir tesisin almak istemediği, kaşarlanmış suçlular.
rapsheet_category_PrisonerTransfer	Mahkum Transferi!

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities	Altına Su Borusu ve Elektrik Kablosu döşenemez.

buildtoolbar_deployment_VisitorDirection	Zemin işareti çizmek için tıklayıp sürükle.\n\nBu işaretle mahkum olmayan kişilere hangi yoldan gitmeleri gerektiğine dair bir ipucu vermiş olursun.\nHapishanendeki kalabalığın akışını kontrol etmene yardımcı olur.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements	- Her bir gardiyan için *X gerekir

schedule_zone_insaneSecOnly	Suç İşleyebilen Deliler Kanadı

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar	Ay Arsası
codex_tooltip_lunar	Ayın yüzeyine benzeyen bir arsayla başla.

codex_option_doubleClick	Nesneleri Taşımak İçin Çift Tıkla

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom	OdaKlonla

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline	Çevrimiçi Ol
codex_start	Oyun Oluştur
codex_joinonline	Çevrimiçi Oyuna Katıl
codex_join	Oyuna Katıl
codex_usernamelabel	Kullanıcı İsmi:
codex_namelabel	Oyun İsmi:
codex_passwordlabel	Şifre:
codex_passwordprotectedlabel	Şifre Konsun Mu?
codex_listedlabel	Herkes Görebilsin Mi?
codex_roomlistlabel	Oyun Listesi:
codex_connectinglabel	Sunucuya bağlanılıyor...
codex_retrievingserverlistlabel	Oyun listesi alınıyor...
codex_datausage	Veri Kullanımı: Gönderilen - *SkB/s, Alınan - *RkB/s
codex_multiplayeroptions	Oyuncuları Yönet
codex_playeroptions	Oyuncular
codex_regionlabel	Bölge:

multiplayer_chooseroomname	Lütfen bir oyun ismi seç
multiplayer_chooseusername	Lütfen bir kullanıcı ismi seç
multiplayer_joining	Katılınıyor: *X
multiplayer_joiningstate_joining	Oyuna katılınıyor
multiplayer_joiningstate_receiving	Dünya alınıyor
multiplayer_joiningstate_loading	Dünya yükleniyor
multiplayer_rejoining	Arazi genişletme ardından oyuna tekrar katılınıyor:
multiplayer_leavegame_confirm	Şu anki birlikte oynanan oyunundan çıkmak istediğine emin misin?
multiplayer_hostleft	Ev sahibinin bağlantısı kesildi.
multiplayer_joingamefailed	Oyuna katılma başarısız:
multiplayer_startgamefailed	Oyunu başlatma başarısız:
multiplayer_incorrectpassword	Yanlış Şifre
multiplayer_disconnected	Sunucuyla olan bağlantı kesildi.
multiplayer_syncerror	Senkronizasyon hatasından dolayı bağlantı kesildi.\n\nLütfen oyununa tekrar katılmayı dene.
multiplayer_hostonly	Sadece ev sahibi oyuncuya açık.
multiplayer_modsdisabled	Çevrimiçi oyun için modlar devre dışı.
multiplayer_mutatorsdisabled	Çevrimiçi oyun için dönüştürücüler devre dışı.
multiplayer_kicked	Oyundan atıldın.
multiplayer_kick	Atılma
multiplayer_ban	Uzaklaştırma

multiplayer_host	Ev Sahibi:

multiplayer_welcomeanalytics	Prison Architect çok oyunculu moda hoş geldiniz.\n\nPrison Architect deneyimini çok oyunculu olarak eksiksiz çalışır hale getirmek üstünde çalışıyorduk. Prison Architect büyük bir oyun, çok oyunculu modu da ilk defa herkese açıyoruz. Dolayısıyla gözümüz, oyuncuların karşılaşabileceği hataların üzerinde olacak.\n\nBu amaç doğrultusunda, oyunda çıkabilecek sorunların çözümünde faydalı olmak üzere adsız analitik bilgileri toplamak istiyoruz. Bu özelliği istediğin zaman Seçenekler menüsünden kapatabilirsin. Topladığımız verileri metrics.txt dosyasında görebilirsin.\n\nUmarız arkadaşlarınla birlikte Prison Architect oynamaktan keyif alırsın.

region_asia	Asya
region_au	Avustralya
region_cae	Doğu Kanada
region_eu	Avrupa
region_in	Hindistan
region_jp	Japonya
region_ru	Rusya
region_rue	Doğu Rusya
region_sa	Güney Amerika
region_kr	Güney Kore
region_us	Doğu ABD
region_usw	Batı ABD

codex_options_disableattract	Başlangıçtaki Demo Ekranını Kapat
codex_option_escapeplans	Firar Planları
buildtoolbar_rollcall	Yoklama
buildtoolbar_tooltip_rollcall	Tüm mahkumlarını hücrelerinin önüne çıkart. Sadece uyku sırasında ve geceleri yapılabilir.
interfacecontrol_graphs	Grafikler
interfacecontrol_graphs_tooltip	Grafikler ekranından hapishanenin çeşitli yönleriyle ilgili grafikleri karşılaştırabilirsin.

graph_title	Grafikler

graph_label_1	Tip 1 Veri
graph_label_2	Tip 2 Veri
graph_label_day	Gün

graph_axis_none	Hiçbiri
graph_axis_profit	Kâr
graph_axis_funds	Kaynaklar
graph_axis_prisonsize	Hapishane Büyüklüğü (m²)
graph_axis_numprisoners	Mahkum Say.
graph_axis_numstaff	Personel Say.
graph_axis_releasedprisoners	Tahliye Edilen Mahkumlar
graph_axis_totalreleasedprisoners	Tahliye Edilen Toplam Mahkum
graph_axis_escapedprisoners	Firar Eden Mahkumlar
graph_axis_totalescapedprisoners	Firar Eden Toplam Mahkum
graph_axis_entitydeath	Ölümler
graph_axis_totaldeaths	Toplam Ölüm
graph_axis_prisonerdeaths	Mahkum Ölümleri
graph_axis_guarddeaths	Gardiyan Ölümleri
graph_axis_securitygrading	Güvenlik Derecelendirme
graph_axis_healthgrading	Sağlık Derecelendirme
graph_axis_reformgrading	Islah Derecelendirme
graph_axis_punishmentgrading	Ceza Derecelendirme
graph_axis_reoffendingrate	Tekrar Suç İşleme Oranı
graph_axis_prisonvalue	Hapishane Değeri
graph_axis_prisonercapacity	Mahkum Kapasitesi
graph_axis_numincidents	Olay Say.
graph_axis_totalincidents	Toplam Olay

equipment_Photo	Fotoğraf
equipment_SubMachineGun	Hafif makineli tüfek
equipment_Soap	Sabun

############################### Prison Wing Priviledges UPDATE ###############################

# =============================================================================
# Interface Mode
# =============================================================================

room_gymnasium	Spor Salonu
buildtoolbar_popup_room_gymnasium	Mahkumların egzersiz yaparak gerginliklerini atabilecekleri ya da anlaşmazlıkları eski usül çözmek için idman yapabilecekleri bir yer.


buildtoolbar_popup_help_CellStatus_1	Hücre Durumu görünümü sana hangi hücrelerin dolu (turuncu), hangilerinde çete (kırmızı) ve hangilerinin boş (yeşil) olduğunu gösterir.

object_punchbag_blocked	Kum Torbasına Ulaşılamadı
object_trainingdummy_blocked	Antrenman Kuklasına Ulaşılamadı

gangCell	*X Hücresi
gangMember	Çete Üyesi
gangSoldier	Çete Askeri
gangLieutenant	Çete Elebaşı
gangLeader	Çete Lideri

interfacedeployment_CustomSector	Özelleştirilmiş Bölge

# =============================================================================
# Materials - Names
# =============================================================================

material_RunningTrack	Koşu Pisti
material_BambooFloor	Bambu
material_pipewall	Duvar (Borulu)
material_overgrownwall	Duvar (Bitki kaplı)
material_derelictwall	Duvar (Metruk)
material_slumwall	Duvar (Gecekondu)
material_rustywall	Duvar (Paslı)
material_bamboofence	Çit (Bambu)
material_decayedWall	Duvar (Çürümüş)
material_flowerfield	Çiçekli Çayır
material_FenceAndGrass	Çit (Çimen)
material_WallMinSec	Duvar (Min Güv)
material_WallMedSec	Duvar (Ort Güv)
material_WallMaxSec	Duvar (Maks Güv)
material_WallInsaneSec	Duvar (Beyaz)
material_WallProtective	Duvar (Sarı)
material_CliffEdge	Uçurum Kenarı

# =============================================================================
# Objects - Names
# =============================================================================

object_ovalStaffTable	Masa (Oval)
object_Painting1	Tablo
object_Painting2	Tablo
object_ChessTable	Satranç Masası
object_GlassWindow	Pencere Cam
object_GlassWindowLarge	Pencere Cam (Büyük)
object_GymMat	Jimnastik Minderi
object_SinkMirror	Lavabo ve Ayna
object_TableFootball	Langırt
object_TableTennis	Pinpon Masası
object_TyreApparatus	Lastik Gereç
object_bambooDoor	Kapı (Bambu)
object_Canvas	Tuval ve Boyalar
object_PetBird	Evcil Kuş
object_SoftPillow	Yumuşak Yastık
object_BoxingRing	Boks Ringi
object_DumbbellRack	Ağırlık Rafı
object_Treadmill	Koşu Bandı
object_Fan	Vantilatör
object_PunchBag	Kum Torbası
object_WardenStatue	Müdür Heykeli
object_WaterCooler	Su Sebili
object_SnackMachine	Atıştırmalık Makinesi
object_Mattress	Yatak (Sünger Şilte)
object_MetalBarrel	Metal Varil
object_WoodenBarrel	Ahşap Varil
object_MooringBollard	Yanaşma Babası
object_DeckChair	Plaj Sandalyesi
object_LightGreen	Işık (Yeşil)
object_LightRed	Işık (Kırmızı)
object_Buoy	Duba
object_LifeRing	Can Simidi
object_CoffeeMachine	Kahve Makinesi
object_ComputerStation	Bilgisayar İstasyonu
object_PASystem	Anons Sistemi
object_TrainingDummy	Antrenman Kuklası
object_StoneWaterSpout	Taş Su Oluğu
object_WindSock	Rüzgâr Göstergesi
object_ComfyBed	Rahat Yatak
object_IndoorTreePlanter	İç Mekân Ağaç Saksısı
object_OldBed	Eski Yatak
object_CameraPillar	Kamera Direği
object_Blackboard	Kara Tahta
object_JailDoorWhite	Hapis Kapısı (Beyaz)
object_JailDoorLargeWhite	Büyük Hapis Kapısı (Beyaz)

object_SignNumber0	Tabela (0 Sayısı)
object_SignNumber1	Tabela (1 Sayısı)
object_SignNumber2	Tabela (2 Sayısı)
object_SignNumber3	Tabela (3 Sayısı)
object_SignNumber4	Tabela (4 Sayısı)
object_SignNumber5	Tabela (5 Sayısı)
object_SignNumber6	Tabela (6 Sayısı)
object_SignNumber7	Tabela (7 Sayısı)
object_SignNumber8	Tabela (8 Sayısı)
object_SignNumber9	Tabela (9 Sayısı)

object_SignLetterA	Tabela (A Harfi)
object_SignLetterB	Tabela (B Harfi)
object_SignLetterC	Tabela (C Harfi)
object_SignLetterD	Tabela (D Harfi)
object_SignLetterE	Tabela (E Harfi)
object_SignLetterF	Tabela (F Harfi)
object_SignLetterG	Tabela (G Harfi)
object_SignLetterH	Tabela (H Harfi)
object_SignLetterI	Tabela (I Harfi)
object_SignLetterJ	Tabela (J Harfi)
object_SignLetterK	Tabela (K Harfi)
object_SignLetterL	Tabela (L Harfi)
object_SignLetterM	Tabela (M Harfi)
object_SignLetterN	Tabela (N Harfi)
object_SignLetterO	Tabela (O Harfi)
object_SignLetterP	Tabela (P Harfi)
object_SignLetterQ	Tabela (Q Harfi)
object_SignLetterR	Tabela (R Harfi)
object_SignLetterS	Tabela (S Harfi)
object_SignLetterT	Tabela (T Harfi)
object_SignLetterU	Tabela (U Harfi)
object_SignLetterV	Tabela (V Harfi)
object_SignLetterW	Tabela (W Harfi)
object_SignLetterX	Tabela (X Harfi)
object_SignLetterY	Tabela (Y Harfi)
object_SignLetterZ	Tabela (Z Harfi)


equipment_StrikePlacard	Grev Pankartı

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_Armoury	Cephanelik
quickbuild_Infirmary	Revir
quickbuild_Laundry	Çamaşırhane
quickbuild_Library	Kütüphane
quickbuild_MailRoom	Posta Odası
quickbuild_Visitation	Görüş

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly	-Bir hapishane Hücresinin derecesini DÜŞÜRÜR.

buildtoolbar_popup_obj_ovalStaffTable	Personel alanlarındaki sandalyelere çok yakışır.
buildtoolbar_popup_obj_painting1	Hapishane sert bir yer diye şık olmayacak değil.
buildtoolbar_popup_obj_painting2	Hapishane sert bir yer diye şık olmayacak değil.
buildtoolbar_popup_obj_chessTable	Hükümdarların ve kanunları çiğneyenlerin oyunu. Dinlenme ihtiyacını karşılar.
buildtoolbar_popup_obj_GLassWindow	Güneşi görebilmek için.
buildtoolbar_popup_obj_GlassWindowLarge	Daha fazla güneş görebilmek için.
buildtoolbar_popup_obj_GymMat	Ağrıyan sızlayan yerleri esnetmek için.\n -Egzersiz ihtiyacını karşılar.
buildtoolbar_popup_obj_TableTennis	Mahkûmlarına vakit geçirmek için ek bir olanak sunar.\n -Dinlenme ihtiyacını karşılar.
buildtoolbar_popup_obj_TableFootball	Mahkumlarına vakit geçirmek için ek bir olanak sunar.\n -Dinlenme ihtiyacını karşılar.
buildtoolbar_popup_obj_TyreApparatus	Bazı mahkumlar nedense illa da tırmanma egzersizi yapmak istiyor.\n -Egzersiz ihtiyacını karşılar.
buildtoolbar_popup_obj_SinkMirror	Mahkuma lavaboyla ayna verir.\n -Hijyen ihtiyacını karşılar.
buildtoolbar_popup_obj_bambooDoor	Bambu çitle uyumlu olsun diye bambudan, insan yapımı bir kapı. \nStandart bir Kapı işlevi görür.
buildtoolbar_popup_obj_canvas	Mahkumların duygularını birbirlerini bıçaklamadan, yaratıcı bir biçimde ifade etmesini sağlayan bir yöntem.
buildtoolbar_popup_obj_PetBird	Mahkumlarına yoldaşlık edecek mini minicik bir dost.\n -Aile, Konfor ve Lüks Mallar ihtiyaçlarını karşılar.
buildtoolbar_popup_obj_SoftPillow	Mahkumun yatağının kalitesini ve rahatlığını kabarık, kuş tüyü bir yastıkla daha da arttır.\n -Konfor ve Uyku ihtiyaçlarını karşılar.
buildtoolbar_popup_obj_BoxingRing	Hapishane spor salonlarının olmazsa olmazı. Çoğu mahkum eserlerini burada vermeyi tercih eder.
buildtoolbar_popup_obj_DumbbellRack	Kasına düşkün mahkumlara.\n -Egzersiz ihtiyacını karşılar.
buildtoolbar_popup_obj_Treadmill	Mahkumların formda kalması için. Sıkı egzersiz yapan mahkumlar daha da hızlı koşar.\n -Egzersiz ihtiyacını karşılar.
buildtoolbar_popup_obj_Fan	Etrafındaki havayı azıcık serinleten eski moda ayaklı vantilatör.
buildtoolbar_popup_obj_PunchBag	Mahkumların sinir atması gerektiğinde.\n -Egzersiz ve Dinlenme ihtiyaçlarını karşılar.
buildtoolbar_popup_obj_WardenStatue	Müdür'ün hapishane üzerindeki hükmünü simgeleyen yüksek bir heykel. Çok fazla koyarsan mahkumlar kendini baskı altında hisseder. \n -Baskılanmayı az miktarda ARTTIRIR.
buildtoolbar_popup_obj_WaterCooler	Prison Architect'in sunduğu sebil başı sohbetleri.
buildtoolbar_popup_obj_SnackMachine	Yüksek kalorili, düşük kaliteli atıştırmalıklar.
buildtoolbar_popup_obj_Mattress	Rahat sayılabbilecek sünger şilte. Mümkün olan en ucuz şilte cinsi ama yerde yatmaktan iyidir.
buildtoolbar_popup_obj_MetalBarrel	Genellikle limanlarda bulunur.
buildtoolbar_popup_obj_WoodenBarrel	Genellikle limanlarda bulunur.
buildtoolbar_popup_obj_MooringBollard	Liman bölgesine klasik havasını verir. Ayrıca ufak bir duvar işlevi görür.
buildtoolbar_popup_obj_LightGreen	Dış mekan için ışıklandırma ama ampulü yeşil. Helikopter pistlerine iyi gider.
buildtoolbar_popup_obj_LightRed	Dış mekan için ışıklandırma ama ampulü kırmızı. Helikopter pistlerine iyi gider.
buildtoolbar_popup_obj_Buoy	Suda yüzer.
buildtoolbar_popup_obj_LifeRing	Liman bölgesine klasik havasını verir.
buildtoolbar_popup_obj_ArcadeCabinet	Mahkumlarını son moda retro bir Atari Makinesi'yle eğlendir.\n -Dinlenme ve Konfor ihtiyaçlarını karşılar.
buildtoolbar_popup_obj_CoffeeMachine	Aşırı çalışan her personelin vazgeçilmez isteği.
buildtoolbar_popup_obj_ComputerStation	Okuryazarlık ve Konfor ihtiyaçlarını karşılar.
buildtoolbar_popup_obj_PASystem	Hâlâ hapishanede olduklarını düzenli şekilde hatırlatarak mahkumları baskıla.\n -Mahkumların Hücre Bloğuna ya da Avluya konduğunda hissettiği baskılanmayı ARTTIRIR.
buildtoolbar_popup_obj_TrainingDummy	Eski usul bir Shaolin antrenman kuklası.\n Sıkı çalışan mahkûmlar yeni dövüş becerileri bile edinebilir!
buildtoolbar_popup_obj_StoneWaterSpout	Taştan yapılmış, gotik üslupta, bir su kaynağına eklendiğinde ağzından su akan su oluğu.
buildtoolbar_popup_obj_WindSock	Rüzgâr Göstergesi yaklaşan bir Felaket için 1 saat önceden uyarı verir ve rüzgâr yönü ile hızını gösterir.
buildtoolbar_popup_obj_ComfyBed	Kauçuk sünger şilteli, geceleri çok iyi uyku sağlayan lüks bir yatak.
buildtoolbar_popup_obj_IndoorTreePlanter	İçeride ağaç büyütmek için yere gömülü bir Ağaç Saksısı.
buildtoolbar_popup_obj_OldBed	Eski usül bir hapishane yatağı. Sünger Şilte'den daha rahat ama standart bir Yatak'tan daha rahatsız.
buildtoolbar_popup_obj_Blackboard	Bunsuz bir Sınıf düşünülemez.
buildtoolbar_popup_obj_JailDoorWhite	Suç İşleyebilen Deli hücre bloklarını işaretleyebilmen için renkli bir hapis kapısı.
buildtoolbar_popup_obj_JailDoorLargeWhite	Suç İşleyebilen Deli hücre bloklarını işaretleyebilmen için renkli bir hapis kapısı.
buildtoolbar_popup_obj_camerapillar	Açık alanlara koyup yan taraflarına kamera takmak için.

buildtoolbar_popup_obj_signNumber0	Üzerinde 0 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber1	Üzerinde 1 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber2	Üzerinde 2 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber3	Üzerinde 3 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber4	Üzerinde 4 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber5	Üzerinde 5 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber6	Üzerinde 6 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber7	Üzerinde 7 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber8	Üzerinde 8 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signNumber9	Üzerinde 9 sayısı olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.

buildtoolbar_popup_obj_signLetterA	Üzerinde A harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterB	Üzerinde B harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterC	Üzerinde C harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterD	Üzerinde D harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterE	Üzerinde E harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterF	Üzerinde F harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterG	Üzerinde G harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterH	Üzerinde H harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterI	Üzerinde I harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterJ	Üzerinde J harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterK	Üzerinde K harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterL	Üzerinde L harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterM	Üzerinde M harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterN	Üzerinde N harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterO	Üzerinde O harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
buildtoolbar_popup_obj_signLetterP	Üzerinde P harfi olan bir duvar tabelası. Tabelaları yan yana dizerek "HÜCRE BLOKU 4" gibi yazılar yazabilirsin.
