
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Yeni
job_refundamount	- İade Edilen Miktar: *X

failuremessage_blocked	Engellenmiş
failuremessage_cantafford	Yetersiz Para
failuremessage_cantaffordupkeep	Günlük Bütçeyi Aşıyor
failuremessage_maximumcountreached	Maks Sayıda İşe Alınmış
failuremessage_maxstaff	Çok Fazla Personel


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	Teslimatlar
statustoolbar_finances	Mali Durum
statustoolbar_regime	Rejim
statustoolbar_escapemap	Güvenlik
statustoolbar_electricity	Elektrik
statustoolbar_stats	İstatistik
statustoolbar_danger	Tehlike
statustoolbar_jobs	Görevler
statustoolbar_gangs	Çeteler
statustoolbar_staff	Personel
statustoolbar_research	Araştırma


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	Hareketli Banka Editörü
spritebankeditor_create	Oluştur
spritebankeditor_rotate	Rotasyon
spritebankeditor_sort	Sırala
spritebankeditor_markermodetitle	İşaretçi Modu


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	Ana Menü
codex_campaign	Mücadele
codex_cutscenes	Ara Sahneler
codex_qualifications	Nitelikler
codex_load	Hapishane Yükle
codex_loadcampaign	Mücadele Yükle
codex_save	Hapishaneyi Kaydet
codex_savecampaign	Mücadeleyi Kaydet
codex_performance	Performans Testi
codex_developer_load	(Geliştirici) Harita Yükle
codex_developer_save	(Geliştirici) Harita Kaydet
codex_developer_clearach	(Geliştirici) Başarıları Temizle
codex_contacts	Kişiler
codex_materials	Malzemeler
codex_play	Çal
codex_play_escape	Kaçış Modu Oyna
codex_polaroids	Polaroidler
codex_introduction	Giriş
codex_restartintroduction	Girişi Yeniden Başlat
codex_restartchapter	Bölümü Yeniden Başlat
codex_help	Yardım (viki)
codex_opensavefolder	Kayıt Klasörünü Aç
codex_options	Seçenekler
codex_nitgs	Oyundaki İsimler
codex_workshop	Hapishane Paylaşımı (Steam)
codex_steamtrending	En Popüler Hapishaneler (Steam)
codex_checkforupdates	Güncellemeleri kontrol et
codex_preorder	Şimdi ön sipariş ver
codex_termsconditions	Şartlar ve Koşullar
codex_twitter	Twitter
codex_extras	Ekstralar
codex_unlocked	*X/*Y açık
codex_mapsettings	Harita Ayarları
codex_othergames	Diğer Introversion Oyunları
codex_mutators	Dönüştürücüler

codex_cloudsavedesc	Buluta Kaydet
codex_cloud_enabled	Kaydedilen yeni veriler bulutta depolanacaktır.
codex_cloud_notaccount	Steam Cloud, Steam istemcisinde devre dışı bırakıldı. Bu özelliği kullanabilmek için tekrar etkinleştirin.
codex_cloud_notapp	Kaydedilen yeni veriler sabit sürücünüzde depolanacaktır.
codex_saveload_delete	Sil

codex_new	Yeni Hapishane Oluştur
codex_new_worldsize	Yer Büyüklüğü
codex_new_small	Küçük
codex_new_medium	Orta
codex_new_large	Büyük
codex_new_selectwarden	Müdürünü Seç
codex_new_selectgender	Mahkumun Cinsiyetini Seç

codex_options_graphics	Grafik
codex_options_resolution	Çözünürlük
codex_options_resolutionauto	Otomatik
codex_options_windowed	Pencere modu
codex_options_highdpi	Yüksek DPI
codex_options_filtering	Filtreleme
codex_options_nofiltering	Kapalı
codex_options_multisampled	Çoklu örnekleme
codex_options_supersampled	Süper örnekleme

codex_options_audio	Ses
codex_options_volume	Ana Ses
codex_options_frequency	Karışık Frekans
codex_options_swapstero	Stereo Değiştir
codex_options_dspenabled	DSP'yi Etkinleştir
codex_options_11khz	11025 Hz
codex_options_22khz	22050 Hz
codex_options_44khz	44100 Hz

codex_options_clocktype	Saat Tipi
codex_options_clocktype_analogue	Analog
codex_options_clocktype_12h	12 Saat
codex_options_clocktype_24h	24 Saat

codex_options_directions	Zemin İşareti Tabelası
codex_options_dirrender_hidden	Gizli
codex_options_dirrender_visible	Görünür
codex_options_dirrender_zoom	Yakınlaştır

codex_options_tempscale	Sıcaklığı Santigrat Olarak Göster

codex_options_gameplay	Oyun
codex_options_autosave	Otomatik Kayıt Zamanlayıcısı
codex_options_renderrooms	Oda Kontrolcüsü
codex_options_apply	Uygula
codex_options_v2gui	Versiyon 2.0 GUI
codex_options_zoomtomouse	Fareye Yakınlaştır
codex_options_oneclickrapsheet	Tek Tıklamayla Sabıka Kaydı Aç
codex_options_disableanalytics	Analiz Bilgilerini Devre Dışı Bırak
codex_tooltip_disableanalytics	Oyun deneyimini iyileştirmeye yardımcı olmak için anonim istatistik bilgileri topluyoruz. Topladığımız veriler metrics.txt isimli dosyada görülebilir.

codex_options_language	Dil

codex_options_experimental	Deneysel
codex_options_enablevbo	Vertex Buffer Object Özelliğini Etkinleştir

codex_nitgs_authwarning	Önemli: Eğer yakın bir zamanda Oyun girişinde adını değiştirdiysen, listede görünmeden önce izin vermen gerekecek.

codex_nitgs_filtercaption	Filtrele
codex_nitgs_filterall	Tamamı
codex_nitgs_filtermen	Erkekler
codex_nitgs_filterwomen	Kadınlar

codex_nitgs_checkingforupdate	Güncelleme kontrol ediliyor...
codex_nitgs_updateavailable	Güncelleme mevcut
codex_nitgs_downloading	Güncelleme indiriliyor...
codex_nitgs_downloadcomplete	İndirme tamamlandı.
codex_nitgs_downloadfailed	İndirme başarısız.

codex_enabled	Etkin
codex_disabled	Devre dışı

codex_option_intake	Sürekli Alım
codex_tooltip_intake	Eğer etkinse her gün rastgele sayıda yeni mahkum getirilir. Sonsuza dek.\n\nEğer devre dışı ise, raporlara gidip mahkum sekmesine tıklayarak mahkumları almaya ne zaman hazır olacağını seçebilirsin.
codex_option_fogofwar	Savaş Sisi
codex_tooltip_fogofwar	Hapishane binaları içinin görünürlüğünü kaybedeceksin. Eğer o bölgede devriye atan Gardiyan veya bölgeyi gözleyen CCTV kamera mevcutsa görünürlük sağlarsın.
codex_option_lakes	Göl Oluştur
codex_tooltip_lakes	Rastgele konumlandırılmış göller arazinin bölümlerini engeller. UYARI: Deney amaçlı.
codex_option_forests	Orman Oluştur.
codex_tooltip_forests	Arazinde ağaç kümeleri görünecek.
codex_option_buildings	Bina Oluştur
codex_tooltip_buildings	Arazinde geriye rastgele kullanılmayan binalar kalacak, bunları istediğin gibi kullanabilirsin.
codex_option_failure	Başarısızlık Koşulları
codex_tooltip_failure	Ekstra bir meydan okuma! Eğer işlerin çok daha kötüye gitmesine müsaade edersen talan edileceksin ve oyun sona erecek. (İsyanlar, İflas, çok sayıda Ölüm veya Firar, v.b.)
codex_option_unlimitedfunds	Sınırsız Fon
codex_tooltip_unlimitedfunds	Saf Kum Havuzu Modu! Başlangıçtan itibaren istediğin kadar para harcayabilirsin, endişelenmeye veya daha fazla beklemeye gerek olmadan.
codex_option_gangs	Çeteler
codex_tooltip_gangs	Mahkumlardan bazıları çete üyesi olarak gelecek ve sahada rakip çete üyelerine saldıracaklar. Ekstra meydan okuma.
codex_option_events	Olaylar
codex_tooltip_events	Bütün dikkatini toplaman için oyun esnasında bazı olayların meydana gelmesine sebep olur. Ekstra zorluk ve öngörülemezlik ekler.
codex_option_weather	Hava Durumu ve Sıcaklık
codex_tooltip_weather	Hapishanenize değişen hava durumu ve sıcaklıklar ekler, ısıtmayı dikkate alman gerekir.
codex_option_enablecheats	Araçları ve Hileleri Etkinleştir
codex_tooltip_enablecheats	Bu hapishanede geliştirici araçlarını ve hileleri etkinleştirir. Bu seçenek seçildiğinde, devre dışı bırakılamaz, başarılar ödüllendirilmez ve bu hapishaneyi satamazsın.
codex_option_staffneeds	Personel İhtiyaçları
codex_tooltip_staffneeds	Gardiyanlarının İhtiyaçlarını Etkinleştir seçeneği, Gardiyanların işlerini düzgün şekilde yapabilmek için yiyecek, dinlenme ve diğer rahatlıklara ihtiyaç duyacağı anlamına gelir.
codex_option_wardenmode	Müdür Modu
codex_tooltip_wardenmode	İnşa ettiğin hapishane sahasında görev yapan müdür olarak oyna.
codex_option_wardenmode_permadeath	Ölümden Kaçış Yok
codex_tooltip_wardenmode_permadeath	Eğer Müdür olarak ölürsen Oyun Biter!

codex_option_funds	Fonlar
codex_tooltip_funds	Banka hesabında bu kadar para ile başlayacaksın. Daha fazla fon ile başlamak için Değerleme ekranından kurduğun hapishaneleri sat.

codex_transfer	Transfer Et
codex_transferring	Transfer Ediliyor
codex_in_prison	Şu Anda Hapsedilmiş
codex_unavailable	Mevcut Değil
codex_useravatar	Bu benim
codex_tooltip_useravatar	Bu mahkumu kendi girişin olarak işaretle. Eğer bir şekilde hapsi boylarsan, seni temsil edecek olan mahkum bu.
codex_tooltip_flagbio	Bu biyografiyi sakıncalı ve saldırgan olarak raporla.

codex_workshop_current	Şu Anki Hapishane
codex_workshop_publish	Bu hapishaneyi yayımla
codex_workshop_update	Güncelle
codex_workshop_play	Çal
codex_workshop_downloading	İndiriliyor
codex_workshop_download_failed	İndirme Başarısız
codex_workshop_publishing	Yayımlanıyor...
codex_workshop_new	YENİ
codex_workshop_title	Başlık
codex_workshop_desc	Açıklama
codex_workshop_view_in_workshop	Steam Workshop'te Görüntüle
codex_workshop_heading_pubed	Yayımlanmış hapishanelerin
codex_workshop_heading_subed	Abone olunmuş hapishaneler
codex_workshop_published_by	Yayımlayan: *P
codex_workshop_published_by_you	Sen yayımladın
codex_workshop_published_good	Hapishane Yayımlandı
codex_workshop_published_good_msg	Hapishanen başarıyla yayımlandı.
codex_workshop_published_bad	Hapishaneyi Yayımlama Başarısız
codex_workshop_published_bad_msg	Hapishanen yayımlanamadı.
codex_workshop_published_bad_msg_new	Yeni hapishanen yayımlanamadı. Lütfen tekrar dene.
codex_workshop_busy	Bazı sihirler zaten Steam'de olmakta. Lütfen önce bunun bitmesini bekle ve tekrar dene.
codex_workshop_file_exists	Bu isimle bir hapishane zaten yayımladın. Lütfen farklı bir isim seç.
codex_workshop_generic_fail	Hapishanen yayımlanamadı. Lütfen tekrar dene.
codex_workshop_download_bad	Hapishane İndirme Başarısız
codex_workshop_pa_workshop	Prison Architect Workshop'u Aç
codex_workshop_agreement	Bu öğeyi göndererek, [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop hizmet kullanım şartlarını[/url] kabul etmiş sayılırsın.
codex_workshop_update_warning	Yayınlanmış Hapishaneyi Güncelleme
codex_workshop_update_warning_msg	Bu Yayınlanmış Hapishaneyi güncellemek, şu an yüklü olan hapishaneyi yayınlanmış hapishanenin üstüne yazacak. Bu da yayınlanmış hapishaneyi silecek ve şu an oynadığın hapishane ile kalıcı olarak değiştirecek. Bu işlem geri alınamaz.\n\nDevam etmek istediğine emin misin?

codex_options_timelapse	Geçen Süre
codex_timelapse_record	Geçen Süreyi Kaydet
codex_timelapse_stop	Geçen Süreyi Durdur
codex_timelapse_camera	Kamera Modu
codex_timelapse_customresw	Özel Çözünürlük En
codex_timelapse_customresh	Özel Çözünürlük Yükseklik
codex_timelapse_resolution	Çözünürlük
codex_timelapse_fps	Oynatma Oranı
codex_timelapse_interval	Çekim Sıklığı
codex_timelapse_quality	Kalite
codex_timelapse_unsupported	Bu özellik donanımında mevcut değil.
codex_timelapse_savesettings	Ayarları Kaydet

codex_timelapse_cam_zoom	Kamerayı Yaklaştır
codex_timelapse_cam_fitmap	Haritaya Sığdır
codex_timelapse_cam_fitheight	Harita Yüksekliğine Sığdır
codex_timelapse_cam_fitwidth	Harita Enine Sığdır
codex_timelapse_fps_value	*X FPS
codex_timelapse_quality_high	Yüksek
codex_timelapse_quality_med	Orta
codex_timelapse_quality_low	Düşük
codex_timelapse_interval_value	*X Oyun Dakikası
timelapse_caption	Hızlandırılmış kayıt uzunluğu *X:*Y, *Z kareleri kaydediliyor, Biriken işler: *T

codex_performance_running	Performans Testi Çalışıyor
codex_performance_time	Kalan Süre: *Ts
codex_performance_current	Şu Anki Çerçeve Süresi: *Tms
codex_performance_min	En Düşük Çerçeve Süresi: *Tms
codex_performance_avg	Ortalama Çerçeve Süresi: *Tms
codex_performance_max	En Yüksek Çerçeve Süresi: *Tms
codex_performance_numframes	Çerçeve Sayısı: *T

codex_last_modified	Son Düzenleme: *T
codex_sortbydesc	Tarihe Göre Sırala
codex_sortname	İsim
codex_sortdate	Tarih
codex_apply	Uygula
codex_select	Seç

codex_mods	Modlar
codex_mod_activetitle	Etkin Modlar
codex_mod_inactivetitle	Mevcut Modlar
codex_mod_deactivate	Tüm modları devre dışı bırak
codex_mod_wiki	Daha fazla mod bul (Wiki)
codex_mod_openmodsfolder	Mod Klasörünü Aç
codex_mod_moresteammods	Daha fazla mod bul (Steam Workshop)
codex_mod_findsteamtranslations	Daha fazla çeviri bul (Steam Workshop)
codex_authortitle	Yazar
codex_versiontitle	Sürüm
codex_datetitle	Tarih
codex_urltitle	URL
codex_typetitle	Tür
codex_mod_graphicsandsound	Grafik ve Ses
codex_mod_translation	Çeviri
codex_mod_scenario	Senaryo
codex_mod_content	İçerik
codex_mod_load_scenario	Senaryo Oyna
codex_publishmod	Bu Modu Yayımla

codex_mod_update	Bu Modu Güncelle
codex_mod_published_good	Mod Yayımlandı
codex_mod_published_good_msg	Modun başarıyla yayımlandı.
codex_mod_published_bad	Mod Yayımlama Başarısız
codex_mod_published_bad_msg	Modun yayımlanamadı.
codex_mod_modsupdated	Modlar Güncellendi
codex_mod_modsupdated_msg	Bazı etkin modların güncellendi. Yeni değişiklikleri uygulamak için TAMAM'a tıkla. Oyunun otomatik olarak kaydedilecek.
codex_mod_translationcaption	Bu bir başka dile çeviri modu mu?

codex_language	Dil
codex_language_englishdefault	İngilizce (Varsayılan)
codex_language_default	Varsayılan Dil
codex_language_download	İndir
codex_language_failed_download	Çeviri İndirme Başarısız
codex_language_failed_download_msg	Seçtiğin çeviri indirilemedi.
codex_language_searching_workshop	Steam Workshop'ta Aranıyor
codex_language_community	Bu çeviri paketleri topluluk tarafından oluşturulup düzenlenmektedir. Teşekkürler!

codex_polaroids_new	YENİ

codex_save_confirm	*X'i şu anki hapishanenin üzerine yazmak istediğinden emin misin?
codex_researtchapter_confirm	Şu anki bölümü yeniden başlatmak istediğinden emin misin? Kaydedilmemiş yerler kaybolacak.
codex_delete_confirm	*X ögesini kalıcı olarak silmek istediğinize emin misiniz?

codex_premadeprisons	Önceden Hazırlanmış Hapishaneler

codex_trending_more	...
codex_sortbycaption	Sırala:
codex_trending_oneday	Bir Gün
codex_trending_oneweek	Bir Hafta
codex_trending_threemonths	Üç Ay
codex_trending_sixmonths	Altı Ay
codex_trending_oneyear	Bir Yıl
codex_trending_alltime	Tüm Zamanlar
codex_trending_failedtogetlist	Hapishane listesi alınamadı
codex_trending_failedtogetlist_msg	Favori hapishanelerin listesi alınamadı.

codex_settings	Harita Ayarları
codex_settings_gangs	Çeteleri Etkinleştir
codex_settings_events	Olayları Etkinleştir
codex_settings_weather	Hava Durumunu Etkinleştir
codex_settings_staffneeds	Personel İhtiyaçlarını Etkinleştir
codex_settings_failureconditions	Başarısızlık Koşullarını Etkinleştir
codex_settings_confirm	Etkinleştirildikten sonra bu ayar devre dışı bırakılamaz. *X ayarını etkinleştirmek istediğine emin misin?

codex_packrects	Pack Rectangles
codex_addboxbutton	Yeni Dikdörtgen Ekle
codex_setsize	Boşluk Boyutunu Ayarla
codex_removeallrects	Tüm Dikdörtgenleri Kaldır
codex_packrects_widthcaption	Boşluk Genişliği
codex_packrects_heightcaption	Boşluk Yüksekliği
codex_packrects_boxwcaption	Dikdörtgen Genişliği
codex_packrects_boxhcaption	Dikdörtgen Yüksekliği

mods_downscaled_spritesheet	Sprite Nesnesinin Boyutu Küçültüldü
mods_downscaled_spritesheet_msg	Grafik kartının sınırlamaları nedeniyle sprite nesnesinin boyutu küçültüldü. Bunun sebebi, çok fazla mod etkinleştirmen olabilir. Kaliteyi iyileştirmek için lütfen bazı modları devre dışı bırak.
mods_errors_no_memory	Hiçbir Mod Sprite'ı Yüklenmedi
mods_errors_no_memory_msg	Mod sprite'larını yüklemek için yeterli grafik belleği yok. Bunun sebebi, çok fazla mod etkinleştirmen olabilir. Daha az bellek kullanmak için lütfen bazı modları devre dışı bırak.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	Bu grafik seçeneklerini saklamak istiyor musun? Bu değişiklikler
graphicschange_time	saniye içinde eski haline geri alınacak.
graphicschange_accept	Kabul Et
graphicschange_revert	Geri Al

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	Hata Ayıklayıcısı (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	Mod Farklılıkları Bulundu
modnotification_info	Bu modlar, şu anki hapishane kaydedildiğinde kullanıldı. Bu hapishaneyi oynamadan önce bu modları indirip etkinleştirmeni şiddetle öneririz.
modnotification_playnow	Şimdi Oyna
modnotification_active	Etkin
modnotification_inactive	Etkin Değil
modnotification_new	Yeni
modnotification_unknown	Bilinmeyen
modnotification_popup_title	Mod farklılığı
modnotification_popup_active	Bu mod şu anda etkin. Devre dışı bırakmak için tıkla.
modnotification_popup_inactive	Bu mod şu anda etkin değil. Etkinleştirmek için tıkla.
modnotification_popup_new_url	Bu yeni bir mod. Bu modun linkini yeni bir tarayıcıda açmak için tıkla.
modnotification_popup_new_steam	Bu yeni bir steam modu. Bu moda şimdi abone olup indirmek için tıkla.
modnotification_popup_unknown	Bu modun nereden geldiğini belirleyemiyoruz. Bu modu lütfen kendin bulup yükle.

# =============================================================================
# Biography
# =============================================================================

biography_search	Durdur ve Ara
biography_selected	SEÇİLİ
biography_prisoner_name	*S, *F
biography_prisoner_number               Mahkum #*X
biography_prisoner_age	Yaş: *X
biography_prisoner_traits	Özellikler:
biography_prisoner_convicted	*C ile hükümlü (Savunma: *P)
biography_prisoner_sentenced	Cezaevinde *X yıla mahkum edildi
biography_parole_now	Şimdi şartlı tahliye olabilir
biography_parole_later	*X yıl sonra şartlı tahliye olabilir
biography_prisoner_served	*X yıl yattı
biography_prisoner_priors	Önceki Cezalar:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	Yaş:
rapsheet_category	Kategori:
rapsheet_traits	Bilinen Özellikler:
rapsheet_conviction_text	*C - *Y yıl
rapsheet_found_text	(Savunma: *P)
rapsheet_convictions	Mahkumiyet
rapsheet_misconductstitle	Son Kötü Davranış
rapsheet_biography	Biyografi
rapsheet_guilty	Suçlu
rapsheet_notguilty	Suçlu değil
rapsheet_served	Hapis yattı
rapsheet_served_time	*Y yıl hapis yattı
rapsheet_time	*Y yıl
rapsheet_bio	*A yüzünden *Y yıl hüküm giydi.
rapsheet_bio_med	*A ve *B dahil olmak üzere çoklu suçlardan *Y yıl hüküm giydi.
rapsheet_bio_long	*A, *B ve *C dahil olmak üzere çoklu suçlardan *Y yıl hüküm giydi.
rapsheet_category_minsec	Minimum Güvenlik
rapsheet_category_normal	Normal Güvenlik
rapsheet_category_maxsec	Maksimum Güvenlik
rapsheet_category_protected	Korumalı Gözaltı
rapsheet_category_supermax	SüperMaks
rapsheet_category_deathrow	Ölüm Hücresi
rapsheet_tab_biography	Biyografi
rapsheet_tab_experience	Deneyim
rapsheet_tab_grading	Derecelendirme
rapsheet_tab_character	Karakter
rapsheet_punish	Cezalandır
rapsheet_recruit	Muhbir İşe Al

rapsheet_timeinside	Hapishanende *X gün
rapsheet_timeinside_hours	Hapishanende *X saat
rapsheet_mood	Ruh Hali
rapsheet_activity	Eylem
rapsheet_condition	Durum
rapsheet_program	Program
rapsheet_passchance	Başarı Şansı
rapsheet_reformhistory	Islahat Programı Geçmişi

rapsheet_reform_success	Başarılı
rapsheet_reform_successcount	*X defa tamamlandı
rapsheet_reform_failed	Başarısız
rapsheet_reform_failcount	*X defa başarısız oldu

rapsheet_grading_punishment	Ceza
rapsheet_grading_health	Sağlık
rapsheet_grading_security	Güvenlik
rapsheet_grading_reform	Islahat
rapsheet_grading_points	*X puan :
rapsheet_grading_penalties	*X ceza :

rapsheet_scheduleexecution	İnfazı Planla


punish_lockdown_6	Tecrit (6sa)
punish_lockdown_12	Tecrit (12sa)
punish_lockdown_24	Tecrit (24sa)
punish_solitary_6	Hücre Hapsi (6sa)
punish_solitary_12	Hücre Hapsi (12sa)
punish_solitary_24	Hücre Hapsi (24sa)
punish_solitary_perm	Hücre Hapsi (Daimi)
punish_lockdown_perm	Tecrit (Daimi)
punish_solitary	Hücre Hapsi
punish_lockdown	Tecrit Hücresine Tık
punish_none	Hiçbiri
punish_timer	*Xsa *Ydk
punish_timer_minutes	*Xdk
punish_active	ETKİN
punish_permanent	(Daimi)
punish_end	Cezayı Sonlandır

punish_up	Artır
punish_down	Azalt
punish_setmin	Min
punish_setmed	Orta
punish_setmax	Maks
punish_setsuper	Süper

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none	Hiçbiri
misconduct_reporttype_complaint	Şikayet
misconduct_reporttype_destruction	Tahribat
misconduct_reporttype_escapeattempt	Firar Girişimi
misconduct_reporttype_injuredprisoner	Saldırılan Mahkumlar
misconduct_reporttype_injuredstaff	Saldırılan Personel
misconduct_reporttype_seriousinjury	Ciddi Yaralanma
misconduct_reporttype_murder	Cinayet
misconduct_reporttype_contrabandweapons	Bulunan Silahlar
misconduct_reporttype_contrabandtools	Bulunan Araçlar
misconduct_reporttype_contrabandnarcotics	Bulunan Uyuşturucular
misconduct_reporttype_contrabandluxuries	Bulunan Lüks Mallar
misconduct_reporttype_intoxicated	Zehirlenme
misconduct_title	=[Kötü Davranış]=
misconduct_totalitems	(Artı *X fazlası)

misconduct_report_addiction	*X bağımlısı
misconduct_report_recoving	*X bağımlılığından kurtuluyor
misconduct_report_alcoholic	Alkolik
misconduct_report_recovingalcoholic	Alkolikten kurtuluyor


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required	Bu raporu hazırlamak için bir *X ihtiyacın var.
research_requireunlock	Bu raporu açmak için "X" araştırman gerekli.
research_approved	ONAYLI
research_cost	Masraf: *X
research_costperitem	Öğe başına + *X
research_timetounlock	Açma Zamanı: *X saat
research_movementpenalty	Hareket Cezası: %*X
research_protectionbonus	Koruma: %*X
research_tap_to_authorise	YETKİLENDİRMEK İÇİN DOKUN

research_none	Hiçbiri
research_warden	Müdür
research_maintainance	Bakım
research_security	Güvenlik
research_legal	Yasal
research_mentalhealth	Psikoloji
research_finance	Finans
research_landexpansion	Arazi Genişletme
research_cctv	Gözetleme
research_riotguards	İsyan Gardiyanları
research_health	Sağlık
research_cleaning	Temizlik
research_groundskeeping	Saha Bakımı
research_clone	Klon
research_deployment	Yerleştirme
research_patrols	Devriyeler
research_dogs	Köpekler
research_prisonlabour	Hapishane İşçiliği
research_education	Eğitim
research_contraband	İstihbarat
research_policy	Hapishane İlkeleri
research_armoury	Cephanelik
research_bodyarmour	Çelik Yelek
research_tazers	Tazer
research_tazersforeveryone	Tazer Rollout
research_bankloans	Banka Kredisi
research_lowertaxes1	Vergi Muafiyeti
research_lowertaxes2	Off-Shore Vergi Cenneti
research_remoteaccess	Uzaktan Erişim
research_extragrant	Ekstra Hibe
research_advancedmanagement	Mikro Yönetim
research_deathrow	Ölüm Hücresi
research_permanentpunishment	Kalıcı Cezalar
research_removemincellsize	Küçük Hücreler
research_reduceexecutionliability	İnfaz Süresi
research_legalprep	Yasal Hazırlık
research_legaldefense	Yasal Hazırlık
research_guardtowers	Nöbetçi Kuleleri

researchtooltip_warden	Müdürün ve tüm Bürokrasi sisteminin kilidini açar. Ustabaşını Personel araç çubuğundan işe al.\n\nTüm Yöneticiler gibi, ustabaşının da çalışmak için bir ofise ihtiyacı var.
researchtooltip_security	Güvenlik Şefinin kilidini açar. Güvenlik Şefi personel araç çubuğundan işe alınabilir. Şef, Yerleştirme ekranına erişimini sağlar ve hapishanenin tehlike seviyesi üzerine gerçek zamanlı rapor sunar, genelde gelecekteki sıkıntıyı tahmin eder.\n\nTüm Yöneticiler gibi, Şefin de çalışmak için bir ofise ihtiyacı var.
researchtooltip_maintenance	Ustabaşı'nın kilidini aç. Ustabaşını Personel araç çubuğundan işe al.\n\nTüm Yöneticiler gibi, ustabaşının da çalışmak için bir ofise ihtiyacı var.
researchtooltip_legal	Avukatın kilidini açar. Avukat, Personel araç çubuğundan işe alınabilir. Hapishanen üzerinde daha fazla kontrol sağlamak için birkaç araştırma seçeneğinin kilidini açar.\n\nTüm Yöneticiler gibi, Avukatın da çalışmak için bir ofise ihtiyacı var.
researchtooltip_deployment	Gardiyanları Hapishanenin bölümlerine kalıcı olarak görevlendirmeni sağlar.
researchtooltip_patrols	Hapishanenin çok önemli yerlerine (örn. çeper) devriye atamanı sağlar ve gardiyanları bu devriyeleri atmak üzere görevlendirir.
researchtooltip_dogs	Köpek Eğiticisi ve Bekçi Köpeğinin kilidini açar. Hapishanendeki kaçak malları koklayarak bulma ve kaçış tünellerini tespit etme özellikleriyle sivrilirler.\n\nKöpekler aynı zamanda çok hızlıdır, böylece kaçan mahkumları kolaylıkla kovalayabilirler.
researchtooltip_cctv	CCtv kameraları ve güvenlik monitörlerinin kilidini açar. Hapishanenin gardiyansız bölümlerini izlemek için bunları kullan.\n\nAyrıca Telefon Dinleme sisteminin kilidini açar, böylece mahkumların telefon görüşmelerini dinleyerek çok önemli istihbarat kazanabilirsin.
researchtooltip_remoteaccess	Uzaktan kontrol ve kapıların otomasyonu için yüksek teknoloji ekipmanın kilidini açar. Kapı, bir Kapı Kontrol Sistemi (Gardiyanın çalıştırdığı) kullanılarak veya günün belirli zamanlarında bir Kapı Zamanlayıcısı ile uzaktan açılabilir.
researchtooltip_riotguards	(ŞU ANDA BİR AMACA HİZMET ETMİYOR)\nİsyan Gardiyanının kilidini açar. Bu adamlar zırhlıdır ve şiddet olaylarıyla baş etmede daha iyidir.
researchtooltip_maintainance	Ustabaşı'nın kilidini aç. Hapishane İşçiliği veya Bahçıvan gibi ek personel üzerine daha fazla araştırma yapmanı sağlar.\n\nTüm Yöneticiler gibi, Ustabaşı'nın da çalışmak için bir ofise ihtiyacı var.
researchtooltip_clone	Ana araç çubuğunda klon aracının kilidini açar. Bu aracı kullanarak Hücre gibi hapishane alanlarını çabucak ikiye katla. Kullanmak için, sağ tuşla sürükleyerek kopyalanacak bir alan seç ve kopyayı yapıştırmak için sol tuş tıkla.
researchtooltip_groundskeeping	Bahçıvanın kilidini açar. Dış mekanı düzenli tutar.
researchtooltip_cleaning	Hademenin kilidini açar. Hademe hapishane içi tüm alanları temizler ve hapishane çamaşırhane servisine yardımcı olabilir.
researchtooltip_health	Doktorun kilidini açar, bununla birlikte Revir ve Morgun da kilidini açar. Yaralı mahkumlar ve personel Revire götürülecek ve Doktorlar onları tedavi edecek..
researchtooltip_MentalHealth	Psikoloğun kilidini açar. Psikolog, her an Mahkumun iç psikolojik durumu hakkında değerli görüşlerini sana bildirir.
researchtooltip_finance	Muhasebecinin kilidini açar. Muhasebeci, Hapishanen için mali rapora erişimini sağlar.\n\nAyrıca rezerv fonlarını göz önünde bulundurarak, her gün gelirinin normalde sağlayacağından daha fazlasını harcamana olanak sunar.\n\nTüm Yöneticiler gibi, Muhasebecinin de çalışmak için bir ofise ihtiyacı var.
researchtooltip_landexpansion	Komşu arazileri satın alma yetkisi verir. Böylece hapishanenin başlangıçtaki sınırlarını genişletebilirsin.
researchtooltip_prisonlabour	Mahkumlarını hapishanede çalıştırmana olanak sağlar (Yemek pişirme, Temizlik v.b.). Böylece personel maaşından tasarruf ederek para kazandırır ve aynı zamanda mahkumlarına yeni beceriler öğretir.\n\nAyrıca Atölye ve Çamaşırhane'nin kilidini açar.
researchtooltip_education	Harici işe alınan öğretmenleri kullanarak mahkumlarına eğitici ıslah programları verme yeteneğinin kilidini açar.
