
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nieuw

job_matsassigned	Toegewezen materialen
job_matsavailable	Beschikbare materialen
job_awaitingmaterials	Ontbrekende materialen
job_inprogress	-In voortgang-
job_blocked	-Geblokkeerd-
job_queued	-In wachtrij-

job_failed_noroute	Geen route
job_failed_nomaterials	Geen materialen
job_failed_toodangerous	Te gevaarlijk
job_failed_materialsbeingcarried	Materialen onderweg

job_rightclicktocancel	- Rechtsklik om te annuleren
job_ftofollow	- Druk op F om te volgen
job_makehighpriority	- Ctrl + klik om Hoge prioriteit te geven
job_removehighpriority	- Ctrl + rechtsklik om Hoge prioriteit te verwijderen
job_makehighpriority_mac	- Alt + klik om Hoge prioriteit te geven
job_removehighpriority_mac	- Alt + rechtsklik om Hoge prioriteit te verwijderen
job_highpriority_tooltip	- DRINGEND
job_refundamount	- Bedrag terugbetalen: *X

failuremessage_blocked	Geblokkeerd
failuremessage_cantafford	Onvoldoende geld
failuremessage_cantaffordupkeep	Overschrijdt dagelijks budget
failuremessage_maximumcountreached	Max. personeelsleden bereikt
failuremessage_maxstaff	Te veel personeelsleden


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	Leveringen
statustoolbar_finances	Financiën
statustoolbar_regime	Dagrooster
statustoolbar_escapemap	Beveiliging
statustoolbar_electricity	Elektriciteit
statustoolbar_stats	Statistieken
statustoolbar_danger	Gevaar
statustoolbar_jobs	Taken
statustoolbar_gangs	Bendes
statustoolbar_staff	Personeel
statustoolbar_research	Onderzoek


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	Sprite-editor
spritebankeditor_create	Aanmaken
spritebankeditor_rotate	Rotatie
spritebankeditor_sort	Sorteren
spritebankeditor_markermodetitle	Marker


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	Hoofdmenu
codex_campaign	Campagne
codex_cutscenes	Filmpjes
codex_qualifications	Kwalificaties
codex_load	Gevangenis laden
codex_loadcampaign	Campagne laden
codex_save	Gevangenis opslaan
codex_savecampaign	Campagne opslaan
codex_performance	Prestatietest
codex_developer_load	(Developer) Kaart laden
codex_developer_save	(Developer) Kaart opslaan
codex_developer_clearach	(Developer) Prestaties wissen
codex_contacts	Contactpersonen
codex_materials	Materialen
codex_play	Spelen
codex_play_escape	Ontsnappingsmodus spelen
codex_polaroids	Foto's
codex_introduction	Introductie
codex_restartintroduction	Introductie opnieuw spelen
codex_restartchapter	Hoofdstuk opnieuw spelen
codex_help	Hulp (wiki)
codex_opensavefolder	Bestandsmap openen
codex_options	Opties
codex_nitgs	Namen in het spel
codex_workshop	Gevangenis delen (Steam)
codex_steamtrending	Populairste gevangenissen (Steam)
codex_checkforupdates	Controleren op updates
codex_preorder	Nu reserveren
codex_termsconditions	Algemene voorwaarden
codex_twitter	Twitter
codex_extras	Extra's
codex_unlocked	Ontgrendeld: *X/*Y
codex_mapsettings	Kaartinstellingen
codex_othergames	Andere games van Introversion
codex_mutators	Mutators

codex_cloudsavedesc	Opslaan in de cloud
codex_cloud_enabled	Nieuw opgeslagen spel wordt in de cloud opgeslagen.
codex_cloud_notaccount	Steam Cloud is uitgeschakeld in de Steam-client. Schakel het opnieuw in om deze functie te gebruiken.
codex_cloud_notapp	Nieuw opgeslagen spel wordt op je harde schijf opgeslagen.
codex_saveload_delete	Verwijderen

codex_new	Nieuwe gevangenis aanmaken
codex_new_worldsize	Wereldformaat
codex_new_small	Klein
codex_new_medium	Gemiddeld
codex_new_large	Groot
codex_new_selectwarden	Kies je gevangenisdirecteur
codex_new_selectgender	Kies geslacht gevangene

codex_options_graphics	Graphics
codex_options_resolution	Resolutie
codex_options_resolutionauto	Auto
codex_options_windowed	In vensters
codex_options_highdpi	Hoog DPI
codex_options_filtering	Filters
codex_options_nofiltering	Uit
codex_options_multisampled	Multisampled
codex_options_supersampled	Supersampled

codex_options_audio	Audio
codex_options_volume	Hoofdvolume
codex_options_frequency	Mix Frequency
codex_options_swapstero	Stereo wisselen
codex_options_dspenabled	DSP inschakelen
codex_options_11khz	11025 Hz
codex_options_22khz	22050 Hz
codex_options_44khz	44100 Hz

codex_options_clocktype	Soort klok
codex_options_clocktype_analogue	Analoog
codex_options_clocktype_12h	12 uur
codex_options_clocktype_24h	24 uur

codex_options_directions	Weergave vloerwegwijzers
codex_options_dirrender_hidden	Verborgen
codex_options_dirrender_visible	Zichtbaar
codex_options_dirrender_zoom	Zoomen

codex_options_tempscale	Temperatuur weergeven in Celsius

codex_options_gameplay	Spel
codex_options_autosave	Timer automatisch opslaan
codex_options_renderrooms	Vloervakken
codex_options_apply	Toepassen
codex_options_v2gui	Versie 2.0 GUI
codex_options_zoomtomouse	Inzoomen op muis
codex_options_oneclickrapsheet	Strafblad in één klik
codex_options_disableanalytics	Analyse uitschakelen
codex_tooltip_disableanalytics	We verzamelen anonieme statistieken om de spelervaring te verbeteren. De data die we verzamelen, kun je bekijken in metrics.txt

codex_options_language	Taal

codex_options_experimental	Experimenteel
codex_options_enablevbo	Vertex-bufferobjecten inschakelen

codex_nitgs_authwarning	Belangrijk: Als u onlangs uw naam heeft gewijzigd in de game-inschrijving, moet deze worden geautoriseerd voordat hij in de lijst verschijnt.

codex_nitgs_filtercaption	Filteren
codex_nitgs_filterall	Alles
codex_nitgs_filtermen	Mannen
codex_nitgs_filterwomen	Vrouwen

codex_nitgs_checkingforupdate	Bezig met controleren op updates...
codex_nitgs_updateavailable	Update beschikbaar
codex_nitgs_downloading	Update wordt gedownload...
codex_nitgs_downloadcomplete	Download voltooid.
codex_nitgs_downloadfailed	Download mislukt.

codex_enabled	Aan
codex_disabled	Uit

codex_option_intake	Voortdurende toestroom
codex_tooltip_intake	Indien deze optie is ingeschakeld, ontvang je elke dag een willekeurig aantal nieuwe gevangenen. Je kunt aangeven of je klaar bent voor nieuwe gevangenen door 'Verslagen' te openen en op het tabblad 'Toestroom' te selecteren.
codex_option_fogofwar	In nevelen gehuld
codex_tooltip_fogofwar	Je kunt de binnenkant van je gevangenisgebouwen niet meer zien, tenzij je bewakers aan het patrouilleren zijn of bewakingscamera's de ruimtes filmen.
codex_option_lakes	Meren aanleggen
codex_tooltip_lakes	Willekeurige meren zullen secties van het terrein doorkruisen. WAARSCHUWING: Experimenteel.
codex_option_forests	Leg boomkwekerijen aan
codex_tooltip_forests	Er zullen groepjes bomen op het terrein groeien.
codex_option_buildings	Gebouwen opeisen
codex_tooltip_buildings	Willekeurige, vervallen gebouwen zullen worden verlaten op je terrein zodat jij ze kunt gebruiken.
codex_option_failure	Voorwaarden voor Game over
codex_tooltip_failure	Een extra uitdaging! Als de situatie uit de hand loopt, word je ontslagen en is het spel afgelopen. (Rellen, faillissement, te veel sterfgevallen of ontsnappingen, enzovoorts)
codex_option_unlimitedfunds	Onbeperkt geld
codex_tooltip_unlimitedfunds	Puur sandbox! Je kunt meteen zoveel geld uitgeven als je wilt zonder op meer geld te hoeven wachten of je zorgen te hoeven maken.
codex_option_gangs	Bendes
codex_tooltip_gangs	Sommige gevangenen zijn al bij aankomst lid van bendes en zullen bendeleden van rivaliserende bendes aanvallen. Extra uitdaging.
codex_option_events	Gebeurtenissen
codex_tooltip_events	Er zullen tijdens het spel dingen gebeuren om je wakker te houden. Voegt een extra onvoorspelbare uitdaging toe.
codex_option_weather	Weer en temperatuur
codex_tooltip_weather	Hiermee voeg je veranderend weer en schommelende temperaturen toe aan je gevangenis, waardoor je verwarming moet overwegen.
codex_option_enablecheats	Tools en Cheats inschakelen
codex_tooltip_enablecheats	Schakelt de tools en cheats van de ontwikkelaar in deze gevangenis in. Als dit is geselecteerd, kan het niet worden uitgeschakeld, worden prestaties niet beloond en kunt u deze gevangenis niet verkopen.
codex_option_staffneeds	Behoeften personeel
codex_tooltip_staffneeds	Schakel Behoeften in voor je bewakers, d.w.z. dat ze voeding, rust en ander comfort nodig zullen hebben om hun werk goed te kunnen doen.
codex_option_wardenmode	Directeurmodus
codex_tooltip_wardenmode	Speel als de directeur op de locatie van de gevangenis die je bouwt.
codex_option_wardenmode_permadeath	Permanent dood
codex_tooltip_wardenmode_permadeath	Als je als directeur sterft, is het Game Over!

codex_option_funds	Geld
codex_tooltip_funds	Je begint met dit bedrag op je bankrekening. Verkoop je voltooide gevangenissen in het scherm 'Waardebepaling' om je nieuwe gevangenis te beginnen met meer geld.

codex_transfer	Overplaatsen
codex_transferring	Overplaatsing...
codex_in_prison	Momenteel opgesloten
codex_unavailable	Niet beschikbaar
codex_useravatar	Dit ben ik
codex_tooltip_useravatar	Markeer deze gevangene. Als je op de een of andere manier zelf in de gevangenis belandt, ben je deze gevangene.
codex_tooltip_flagbio	Geef deze bio aan als aanstootgevend.

codex_workshop_current	Huidige gevangenis
codex_workshop_publish	Deze gevangenis publiceren
codex_workshop_update	Updaten
codex_workshop_play	Spelen
codex_workshop_downloading	Downloaden
codex_workshop_download_failed	Downloaden mislukt
codex_workshop_publishing	Publiceren...
codex_workshop_new	NIEUW
codex_workshop_title	Titel
codex_workshop_desc	Omschrijving
codex_workshop_view_in_workshop	Bekijken in Steam Workshop
codex_workshop_heading_pubed	Je gepubliceerde gevangenissen
codex_workshop_heading_subed	Geabonneerde gevangenissen
codex_workshop_published_by	Gepubliceerd door *P
codex_workshop_published_by_you	Gepubliceerd door jou
codex_workshop_published_good	Gevangenis gepubliceerd
codex_workshop_published_good_msg	Je gevangenis is gepubliceerd.
codex_workshop_published_bad	Gevangenis kon niet gepubliceerd worden
codex_workshop_published_bad_msg	Je gevangenis is niet gepubliceerd.
codex_workshop_published_bad_msg_new	Je nieuwe gevangenis is niet gepubliceerd. Probeer het nog een keer.
codex_workshop_busy	Het is gezellig druk bij Steam. Wacht even tot de drukte voorbij is en probeer het nog een keer.
codex_workshop_file_exists	Je hebt al een gevangenis gepubliceerd met deze naam. Kies een andere naam.
codex_workshop_generic_fail	Je gevangenis kon niet gepubliceerd worden. Probeer het nog een keer.
codex_workshop_download_bad	Gevangenis kon niet gedownload worden
codex_workshop_pa_workshop	Prison Architect Workshop openen
codex_workshop_agreement	Door dit item op te sturen, ga je akkoord met de [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]algemene voorwaarden van Workshop[/url].
codex_workshop_update_warning	Gepubliceerde gevangenis bijwerken
codex_workshop_update_warning_msg	Door deze gepubliceerde gevangenis bij te werken, overschrijf je de gepubliceerde gevangenis met de huidige geladen gevangenis. Hiermee verwijder je de gepubliceerde gevangenis en vervang je hem permanent met de gevangenis waar je momenteel in speelt. Deze actie kan niet ongedaan worden gemaakt.\n\nWeet je zeker dat je wilt doorgaan?

codex_options_timelapse	Time-lapse
codex_timelapse_record	Time-lapse opnemen
codex_timelapse_stop	Time-lapse stoppen
codex_timelapse_camera	Camera
codex_timelapse_customresw	Aangepaste res. breedte
codex_timelapse_customresh	Aangepaste res. hoogte
codex_timelapse_resolution	Resolutie
codex_timelapse_fps	Playbacksnelheid
codex_timelapse_interval	Opname-interval
codex_timelapse_quality	Kwaliteit
codex_timelapse_unsupported	Deze functie is niet beschikbaar voor jouw hardware.
codex_timelapse_savesettings	Instellingen opslaan

codex_timelapse_cam_zoom	Camera in-/uitzoomen
codex_timelapse_cam_fitmap	Gepaste kaart
codex_timelapse_cam_fitheight	Gepaste hoogte van kaart
codex_timelapse_cam_fitwidth	Gepaste breedte van kaart
codex_timelapse_fps_value	*X FPS
codex_timelapse_quality_high	Hoog
codex_timelapse_quality_med	Gemiddeld
codex_timelapse_quality_low	Laag
codex_timelapse_interval_value	*X spelminuten
timelapse_caption	Opnameduur tijdsverloop *X:*Y, *Z frames opgenomen, achterstand: *T

codex_performance_running	Prestatietest wordt uitgevoerd
codex_performance_time	Resterende tijd: *Ts
codex_performance_current	Huidige frame-tijd: *Tms
codex_performance_min	Min. frame-tijd: *Tms
codex_performance_avg	Gem. frame-tijd: *Tms
codex_performance_max	Max. frame-tijd: *Tms
codex_performance_numframes	Aantal frames: *T

codex_last_modified	Laatst gewijzigd: *T
codex_sortbydesc	Sorteren op datum
codex_sortname	Naam
codex_sortdate	Datum
codex_apply	Toepassen
codex_select	Selecteren

codex_mods	Mods
codex_mod_activetitle	Actieve mods
codex_mod_inactivetitle	Beschikbare mods
codex_mod_deactivate	Alle mods uitschakelen
codex_mod_wiki	Meer mods zoeken (Wiki)
codex_mod_openmodsfolder	Modsmap openen
codex_mod_moresteammods	Meer mods zoeken (Steam Workshop)
codex_mod_findsteamtranslations	Meer vertalingen zoeken (Steam Workshop)
codex_authortitle	Auteur
codex_versiontitle	Versie
codex_datetitle	Datum
codex_urltitle	URL
codex_typetitle	Type
codex_mod_graphicsandsound	Graphics en geluiden
codex_mod_translation	Vertaling
codex_mod_scenario	Scenario
codex_mod_content	Content
codex_mod_load_scenario	Scenario spelen
codex_publishmod	Deze mod publiceren

codex_mod_update	Deze mod updaten
codex_mod_published_good	Mod gepubliceerd
codex_mod_published_good_msg	Je mod is gepubliceerd.
codex_mod_published_bad	Mod kon niet gepubliceerd worden
codex_mod_published_bad_msg	Je mod is niet gepubliceerd.
codex_mod_modsupdated	Mods geüpdatet
codex_mod_modsupdated_msg	Een paar van je actieve mods zijn geüpdatet. Klik op OK om de wijzigingen toe te passen. Je spel wordt automatisch opgeslagen.
codex_mod_translationcaption	Is dit een vertaling naar een andere taal?

codex_language	Taal
codex_language_englishdefault	Engels (standaard)
codex_language_default	Standaardtaal
codex_language_download	Downloaden
codex_language_failed_download	Vertaling kon niet gedownload worden
codex_language_failed_download_msg	Je geselecteerde vertaling is niet gedownload.
codex_language_searching_workshop	Steam Workshop doorzoeken
codex_language_community	Deze vertaling is aangemaakt en wordt bijgewerkt door de community. Dank je wel!

codex_polaroids_new	NIEUW

codex_save_confirm	Weet je zeker dat je *X wilt overschrijven met de huidige gevangenis?
codex_researtchapter_confirm	Weet je zeker dat je het huidige hoofdstuk vanaf het begin wilt starten? Voortgang die niet is opgeslagen, zal verloren gaan.
codex_delete_confirm	Weet je zeker dat je *X permanent wilt verwijderen?

codex_premadeprisons	Vooraf gemaakte gevangenissen

codex_trending_more	...
codex_sortbycaption	Sorteren op:
codex_trending_oneday	Een dag
codex_trending_oneweek	Een week
codex_trending_threemonths	Drie maanden
codex_trending_sixmonths	Zes maanden
codex_trending_oneyear	Een jaar
codex_trending_alltime	Altijd
codex_trending_failedtogetlist	Kan lijst van gevangenissen niet ophalen
codex_trending_failedtogetlist_msg	Kan de lijst met trending gevangenissen niet ophalen.

codex_settings	Kaartinstellingen
codex_settings_gangs	Bendes inschakelen
codex_settings_events	Gebeurtenissen inschakelen
codex_settings_weather	Weer inschakelen
codex_settings_staffneeds	Behoeften personeel inschakelen
codex_settings_failureconditions	Voorwaarden mislukking inschakelen
codex_settings_confirm	Als je deze instelling inschakelt, kun je deze niet deactiveren. Weet je zeker dat je *X wilt inschakelen?

codex_packrects	Pack Rectangles
codex_addboxbutton	Nieuwe rechthoek toevoegen
codex_setsize	Grootte van ruimte instellen
codex_removeallrects	Alle rechthoeken verwijderen
codex_packrects_widthcaption	Breedte ruimte
codex_packrects_heightcaption	Hoogte ruimte
codex_packrects_boxwcaption	Breedte rechthoek
codex_packrects_boxhcaption	Hoogte rechthoek

mods_downscaled_spritesheet	Spritesheet verkleind
mods_downscaled_spritesheet_msg	De spritesheet moest worden verkleind door de beperkingen van je grafische kaart. Dit komt waarschijnlijk omdat je veel mods hebt ingeschakeld. Schakel enkele mods uit om de kwaliteit te verbeteren.
mods_errors_no_memory	Geen modsprites geladen
mods_errors_no_memory_msg	Er is onvoldoende grafisch geheugen om extra modsprites te laden. Dit komt waarschijnlijk omdat je veel mods hebt ingeschakeld. Schakel enkele mods uit om minder geheugen te gebruiken.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	Wil je deze opties voor graphics behouden? Deze wijzigingen worden ongedaan gemaakt over
graphicschange_time	seconden.
graphicschange_accept	Accepteren
graphicschange_revert	Ongedaan maken

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	Scriptdebugger (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	Verschillen in mod gevonden
modnotification_info	Deze mods werden gebruikt toen de huidige gevangenis werd opgeslagen. We raden je aan om ze eerst te downloaden en te activeren voor je deze gevangenis speelt.
modnotification_playnow	Nu spelen
modnotification_active	Actief
modnotification_inactive	Inactief
modnotification_new	Nieuw
modnotification_unknown	Onbekend
modnotification_popup_title	Modverschil
modnotification_popup_active	Deze mod is momenteel actief. Klik om te deactiveren.
modnotification_popup_inactive	Deze mod is momenteel inactief. Klik om te activeren.
modnotification_popup_new_url	Dit is een nieuwe mod. Klik om te openen (de link wordt geopend in een webbrowser).
modnotification_popup_new_steam	Dit is een nieuwe Steam-mod. Klik om je op de mod te abonneren en hem nu te downloaden.
modnotification_popup_unknown	We konden niet achterhalen waar deze mod vandaan komt. Vind en installeer zelf deze mod.

# =============================================================================
# Biography
# =============================================================================

biography_search	Stoppen en zoeken
biography_selected	GESELECTEERD
biography_prisoner_name	*S, *F
biography_prisoner_number               Gevangene #*X
biography_prisoner_age	Leeftijd: *X
biography_prisoner_traits	Eigenschappen
biography_prisoner_convicted	Veroordeeld voor *C (pleitte *P)
biography_prisoner_sentenced	Veroordeeld tot een celstraf van *X jaar
biography_parole_now	Komt nu in aanmerking voor vervroegde vrijlating
biography_parole_later	Komt na *X jaar in aanmerking voor vervroegde vrijlating
biography_prisoner_served	Heeft er al *X jaar op zitten
biography_prisoner_priors	Eerdere veroordelingen:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	Leeftijd:
rapsheet_category	Categorie:
rapsheet_traits	Bekende eigenschappen:
rapsheet_conviction_text	*C - *Y jaar
rapsheet_found_text	(Verweer: *P)
rapsheet_convictions	Veroordelingen
rapsheet_misconductstitle	Recent wangedrag
rapsheet_biography	Biografie
rapsheet_guilty	schuldig
rapsheet_notguilty	niet schuldig
rapsheet_served	uitgezeten
rapsheet_served_time	*Y jaar gezeten
rapsheet_time	*Y jaar
rapsheet_bio	Veroordeeld tot *Y jaar voor *A.
rapsheet_bio_med	Veroordeeld tot *Y jaar voor meerdere misdrijven waaronder *A en *B.
rapsheet_bio_long	Veroordeeld tot *Y jaar voor meerdere misdrijven waaronder *A, *B en *C.
rapsheet_category_minsec	Minimale beveiliging
rapsheet_category_normal	Normale beveiliging
rapsheet_category_maxsec	Maximale beveiliging
rapsheet_category_protected	In afzondering
rapsheet_category_supermax	SuperMax
rapsheet_category_deathrow	Dodencel
rapsheet_tab_biography	Biografie
rapsheet_tab_experience	Ervaring
rapsheet_tab_grading	Cijfers
rapsheet_tab_character	Karakter
rapsheet_punish	Straffen
rapsheet_recruit	Informant rekruteren

rapsheet_timeinside	*X dagen in je gevangenis
rapsheet_timeinside_hours	*X uur in je gevangenis
rapsheet_mood	Stemming
rapsheet_activity	Activiteit
rapsheet_condition	Conditie
rapsheet_program	Programma
rapsheet_passchance	Kans op succes
rapsheet_reformhistory	Geschiedenis hervormingsprogramma

rapsheet_reform_success	Gelukt
rapsheet_reform_successcount	*X keer gelukt
rapsheet_reform_failed	Mislukt
rapsheet_reform_failcount	*X keer mislukt

rapsheet_grading_punishment	Straf
rapsheet_grading_health	Gezondheid
rapsheet_grading_security	Beveiliging
rapsheet_grading_reform	Hervormen
rapsheet_grading_points	*X punten:
rapsheet_grading_penalties	*X strafpunten:

rapsheet_scheduleexecution	Executie inplannen


punish_lockdown_6	Opsluiting (6 uur)
punish_lockdown_12	Opsluiting (12 uur)
punish_lockdown_24	Opsluiting (24 uur)
punish_solitary_6	Eenzame opsluiting (6 uur)
punish_solitary_12	Eenzame opsluiting (12 uur)
punish_solitary_24	Eenzame opsluiting (24 uur)
punish_solitary_perm	Eenzame opsluiting (permanent)
punish_lockdown_perm	Opsluiting (permanent)
punish_solitary	Eenzame opsluiting
punish_lockdown	Opsluiting
punish_none	Geen
punish_timer	*Xh *Ym
punish_timer_minutes	*Xm
punish_active	ACTIEF
punish_permanent	(Permanent)
punish_end	Straf beëindigen

punish_up	Omhoog
punish_down	Omlaag
punish_setmin	Min
punish_setmed	Gem
punish_setmax	Max
punish_setsuper	Super

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none	Geen
misconduct_reporttype_complaint	Klacht
misconduct_reporttype_destruction	Vandalisme
misconduct_reporttype_escapeattempt	Ontsnappingspoging
misconduct_reporttype_injuredprisoner	Gevangene aangevallen
misconduct_reporttype_injuredstaff	Personeelslid aangevallen
misconduct_reporttype_seriousinjury	Ernstige verwonding
misconduct_reporttype_murder	Moord
misconduct_reporttype_contrabandweapons	Wapens gevonden
misconduct_reporttype_contrabandtools	Hulpmiddelen gevonden
misconduct_reporttype_contrabandnarcotics	Drugs gevonden
misconduct_reporttype_contrabandluxuries	Luxe items gevonden
misconduct_reporttype_intoxicated	Vergiftiging
misconduct_title	=[Wangedrag]=
misconduct_totalitems	(Plus *X meer)

misconduct_report_addiction	Verslaafd aan *X
misconduct_report_recoving	Herstellende van een verslaving aan *X
misconduct_report_alcoholic	Alcoholist
misconduct_report_recovingalcoholic	Herstellende alcoholist


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required	Je hebt een *X nodig om dit verslag voor te bereiden.
research_requireunlock	Je moet onderzoek doen naar '*X' om dit verslag voor te bereiden.
research_approved	GOEDGEKEURD
research_cost	Kosten: *X
research_costperitem	+ *X per voorwerp.
research_timetounlock	Tijd om te ontgrendelen: *X uur
research_movementpenalty	Verminderde beweging: *X%
research_protectionbonus	Bescherming: *X%
research_tap_to_authorise	TIK OM TOESTEMMING TE GEVEN

research_none	Geen
research_warden	Gevangenisdirecteur
research_maintainance	Onderhoud
research_security	Beveiliging
research_legal	Wettelijk
research_mentalhealth	Psychologisch
research_finance	Financiën
research_landexpansion	Grondgebied
research_cctv	Surveillance
research_riotguards	ME
research_health	Gezondheid
research_cleaning	Schoonmaak
research_groundskeeping	Terrein-onderhoud
research_clone	Kopiëren
research_deployment	Werk
research_patrols	Patrouilles
research_dogs	Honden
research_prisonlabour	Gevangenisarbeid
research_education	Onderwijs
research_contraband	Intelligentie
research_policy	Gevangenisbeleid
research_armoury	Wapenkamer
research_bodyarmour	Beschermende kleding
research_tazers	Tasers
research_tazersforeveryone	Introductie van tasers
research_bankloans	Lening
research_lowertaxes1	Belastingverlaging
research_lowertaxes2	Buitenlands belastingparadijs
research_remoteaccess	Overal toegankelijk
research_extragrant	Extra subsidie
research_advancedmanagement	Micromanagement
research_deathrow	Dodencel
research_permanentpunishment	Permanente straffen
research_removemincellsize	Kleine cellen
research_reduceexecutionliability	Aansprakelijkheid executies
research_legalprep	Juridische voorbereiding
research_legaldefense	Juridische bijstand
research_guardtowers	Bewakingstorens

researchtooltip_warden	Ontgrendelt de gevangenisdirecteur en Bureaucratie Neem hem aan vanuit 'Personeel' in de taakbalk.\n\nHij heeft een kantoor nodig om in te werken.
researchtooltip_security	Ontgrendelt het hoofd beveiliging. Je kunt hem aannemen vanuit 'Personeel' in de taakbalk. Het hoofd van de beveiliging geeft je toegang tot het scherm 'Werk' en geeft je updates over het gevarenniveau van je gevangenis waarmee hij mogelijke onrust voorspelt.\n\nHij heeft een kantoor nodig om in te werken.
researchtooltip_maintenance	Ontgrendelt de voorman. Neem hem aan vanuit 'Personeel' in de taakbalk.\n\nHij heeft een kantoor nodig om in te werken.
researchtooltip_legal	Ontgrendelt de advocaat. Je kunt hem aannemen vanuit 'Personeel' in de taakbalk. Ontgrendelt een aantal onderzoeksopties waarmee je meer controle krijgt over je gevangenis.\n\nHij heeft een kantoor nodig om in te werken.
researchtooltip_deployment	Hiermee kun je permanent bewakers op een plek in de sectoren van je gevangenis plaatsen.
researchtooltip_patrols	Hiermee kun je patrouilles en belangrijke delen van je gevangenis (waaronder de veiligheidszone) aanwijzen en bewakers selecteren voor deze patrouilles.
researchtooltip_dogs	Ontgrendelt de hondentrainer en de waakhond. De honden ruiken de stinkende smokkelwaar en ontdekken ontsnappingstunnels.\n\nHonden zijn ook heel snel zodat ze gevangenen binnen no-time inhalen.
researchtooltip_cctv	Ontgrendelt bewakingscamera's en monitors. Hiermee kun je de onbemande delen van je gevangenis in de gaten houden.\n\nOntgrendelt ook het afluistersysteem voor je telefoons waarmee je gesprekken van gevangenen kunt afluisteren en zo belangrijke informatie kunt verkrijgen.
researchtooltip_remoteaccess	Ontgrendelt geavanceerde apparatuur voor op afstand bestuurbare deuren en deuren die automatisch openen. Deuren kunnen op afstand geopend worden met een deursysteem (dat wordt bediend door een bewaker) of met een deurentimer die op bepaalde tijdstippen de deur opent.
researchtooltip_riotguards	(HEEFT MOMENTEEL GEEN NUT).\nOntgrendelt de ME. Deze mannen zijn bepantserd en speciaal opgeleid om gewelddadige situaties te overleven.
researchtooltip_maintainance	Ontgrendelt de voorman. Hij laat je meer onderzoek doen naar gevangenisarbeid of extra personeelsleden zoals de tuinman.\n\nHij heeft een kantoor nodig om in te werken.
researchtooltip_clone	Ontgrendelt het het hulpmiddel 'Kopiëren' in de taakbalk. Gebruik dit hulpmiddel om heel snel gebieden in je gevangenis te kopiëren, zoals cellen. Selecteer met de rechter muisknop de zone die je wilt kopiëren en klik met links om er een kopie van te plaatsen.
researchtooltip_groundskeeping	Ontgrendelt de tuinman. Hij houdt de buitenruimte keurig.
researchtooltip_cleaning	Ontgrendelt de schoonmaker. Hij maakt alle ruimtes in de gevangenis schoon en helpt ook in de wasserette.
researchtooltip_health	Ontgrendelt de arts, de ziekenboeg en het mortuarium. Gewonde gevangenen en personeelsleden worden naar de ziekenboeg gebracht waar artsen ze weer oplappen.
researchtooltip_MentalHealth	Ontgrendelt de psycholoog die je een waardevolle blik gunt in de psychologie van je gevangenen.\n\Heeft een kantoor nodig om in te werken.
researchtooltip_finance	Ontgrendelt de accountant die toegang geeft tot de financiële verslagen van je gevangenis.\n\nDankzij de accountant kun je elke dag meer uitgeven dan je inkomsten eigenlijk toestaan, mits je genoeg geld achter de hand hebt.\n\nZe heeft een kantoor nodig om in te werken.
researchtooltip_landexpansion	Geeft toestemming om aangrenzende stukken grond te kopen zodat je je gevangenis kunt uitbreiden.
researchtooltip_prisonlabour	Staat toe dat je je gevangenen aan het werk zet in je gevangenis (koken, schoonmaken, enzovoorts). Zo bespaar je geld op loonkosten, verdien je geld en leren je gevangenen ook nog eens nieuwe vaardigheden.\n\nOntgrendelt ook de Werkplaats en de Wasserette.
researchtooltip_education	Ontgrendelt de mogelijkheid om educatieve hervormingsprogramma's te starten voor je gevangenen met externe leraren die je moet aannemen.
researchtooltip_contraband	Leid je bewakers op zodat ze smokkelwaar beter kunnen vinden. Ontgrendelt het verslag Vraag & aanbod van smokkelwaar, de overlay van smokkelwaar (met daarop alle mogelijke locaties in je gevangenis waar smokkelwaar gestolen kan worden) en onderzoekt de plekken waar de gevonden smokkelwaar was gestolen of binnengesmokkeld.\n\nOntgrendelt ook de mogelijkheid om gevangenen te rekruteren als betrouwbare informanten.\n\nOntgrendelt het scherm 'Bende-intelligentie'.
researchtooltip_policy	Hiermee ontgrendel je het Beleidsrapport, waarmee je straffen voor alle soorten wangedrag kunt verhogen of verlagen en automatisch zoekacties kunt activeren bij gevangenen met slecht gedrag en in hun cel.\n\nJe kunt hiermee ook het voedingsbeleid beheren om de hoeveelheid en variatie van het eten voor gevangenen te wijzigen.
researchtooltip_armoury	Ontgrendelt de wapenkamer zodat je gewapende bewakers kunt inzetten in je gevangenis.
