# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lijst van wijzigingen
codex_join	Meedoen met spel
codex_usernamelabel	Gebruikersnaam:
codex_namelabel	Spelnaam:
codex_passwordlabel	Wachtwoord:
codex_passwordprotectedlabel	Wachtwoord beschermd?
codex_listedlabel	Openbaar?
codex_roomlistlabel	Spellenlijst:
codex_connectinglabel	Bezig verbinding te maken met server...
codex_retrievingserverlistlabel	Spellenlijst wordt opgehaald...
codex_datausage	Datagebruik: Verstuurd - *S kB/s, Ontvangen - *R kB/s
codex_multiplayeroptions	Spelers beheren
codex_playeroptions	Spelers
codex_regionlabel	Regio:

multiplayer_chooseroomname	Kies een spelnaam
multiplayer_chooseusername	Kies een gebruikersnaam
multiplayer_joining	Je doet mee met: *X
multiplayer_joiningstate_joining	Spel gevonden
multiplayer_joiningstate_receiving	Bezig met ontvangen van wereld
multiplayer_joiningstate_loading	Bezig met laden van wereld
multiplayer_rejoining	Opnieuw meedoen met spel na landuitbreiding:
multiplayer_leavegame_confirm	Weet je zeker dat je je huidige coöp-spel wilt verlaten?
multiplayer_hostleft	Host heeft de verbinding verbroken.
multiplayer_joingamefailed	Meedoen met spel mislukt:
multiplayer_startgamefailed	Starten van spel mislukt:
multiplayer_incorrectpassword	Ongeldig wachtwoord
multiplayer_disconnected	Verbinding met server verloren.
multiplayer_syncerror	Verbinding verbroken vanwege synchronisatiefout.\n\nProbeer opnieuw mee te doen met het spel.
multiplayer_hostonly	Alleen beschikbaar voor de host.
multiplayer_modsdisabled	Mods zijn uitgeschakeld voor online spellen
multiplayer_mutatorsdisabled	Mutators zijn uitgeschakeld voor online spellen
multiplayer_kicked	Je bent uit het spel gegooid.
multiplayer_kick	Kicken
multiplayer_ban	Verbannen

multiplayer_host	Host:

multiplayer_welcomeanalytics	Welkom bij Prison Architect Multiplayer.\n\nWe hebben gewerkt om de volledige Prison Architect-ervaring speelbaar te maken in multiplayer. Prison Architect is een grote game, en dit is de eerste keer dat we de multiplayer voor iedereen beschikbaar maken, dus we houden goed in de gaten welke problemen spelers tegenkomen.\n\nOm ons hierbij te helpen, willen we anonieme analytische gegevens verzamelen om problemen te verhelpen die mensen met de game hebben. Dit kan op elk moment worden uitgeschakeld in het optiemenu. Je kunt de data zien die we verzamelen in metrics.txt.\n\nWe hopen dat je veel plezier beleeft aan het spelen van Prison Architect met vrienden.

region_asia	Azië
region_au	Australië
region_cae	Canada, oosten
region_eu	Europa
region_in	India
region_jp	Japan
region_ru	Rusland
region_rue	Rusland, oosten
region_sa	Zuid-Amerika
region_kr	Zuid-Korea
region_us	VS, oosten
region_usw	VS, westen

codex_options_disableattract	Demo opstartscherm uitschakelen
codex_option_escapeplans	Ontsnappingsplannen
buildtoolbar_rollcall	Aanwezigheidscontrole
buildtoolbar_tooltip_rollcall	Roep al je gevangenen op om buiten hun cellen te gaan staan. Alleen beschikbaar tijdens slaapregimes en 's nachts.
interfacecontrol_graphs	Grafieken
interfacecontrol_graphs_tooltip	Opent het scherm Grafieken, waarmee je grafieken kunt vergelijken van verschillende aspecten van je gevangenis.

graph_title	Grafieken

graph_label_1	Datatype 1
graph_label_2	Datatype 2
graph_label_day	Dag

graph_axis_none	Geen
graph_axis_profit	Winst
graph_axis_funds	Geld
graph_axis_prisonsize	Omvang gevangenis (m²)
graph_axis_numprisoners	Aantal gevangenen
graph_axis_numstaff	Aantal personeel
graph_axis_releasedprisoners	Vrijgelaten gevangenen
graph_axis_totalreleasedprisoners	Totaal aantal vrijgelaten gevangenen
graph_axis_escapedprisoners	Ontsnapte gevangenen
graph_axis_totalescapedprisoners	Totaal aantal ontsnapte gevangenen
graph_axis_entitydeath	Sterfgevallen
graph_axis_totaldeaths	Totaal aantal sterfgevallen
graph_axis_prisonerdeaths	Sterfgevallen gevangenen
graph_axis_guarddeaths	Sterfgevallen bewakers
graph_axis_securitygrading	Cijfer beveiliging
graph_axis_healthgrading	Cijfer gezondheid
graph_axis_reformgrading	Cijfer hervorming
graph_axis_punishmentgrading	Cijfer straf
graph_axis_reoffendingrate	Recidivecijfer
graph_axis_prisonvalue	Gevangeniswaarde
graph_axis_prisonercapacity	Capaciteit
graph_axis_numincidents	Aantal incidenten
graph_axis_totalincidents	Totaal aantal incidenten

equipment_Photo	Foto
equipment_SubMachineGun	Machinepistool
equipment_Soap	Zeep

############################### Prison Wing Priviledges UPDATE ###############################

# =============================================================================
# Interface Mode
# =============================================================================

room_gymnasium	Fitnessruimte
buildtoolbar_popup_room_gymnasium	Een plaats waar gevangenen kunnen sporten en hun opgekropte woede kwijt kunnen, of ze kunnen trainen om geschillen op de ouderwetse manier op te lossen.


buildtoolbar_popup_help_CellStatus_1	De celstatus toont aan of een cel bezet (rood), bende (oranje) of leeg (groen) is.

object_punchbag_blocked	Bokszak kan niet worden bereikt
object_trainingdummy_blocked	Oefendummy kan niet worden behaald

gangCell	*X cel
gangMember	Bendelid
gangSoldier	Bendesoldaat
gangLieutenant	Bendeluitenant
gangLeader	Bendeleider

interfacedeployment_CustomSector	Aangepaste sector

# =============================================================================
# Materials - Names
# =============================================================================

material_RunningTrack	Renbaan
material_BambooFloor	Bamboe
material_pipewall	Muren (leidingen)
material_overgrownwall	Muur (overwoekerd)
material_derelictwall	Muur (vervallen)
material_slumwall	Muur (krot)
material_rustywall	Muur (roestig)
material_bamboofence	Hek (bamboe)
material_decayedWall	Muur (afgetakeld)
material_flowerfield	Bloemenveld
material_FenceAndGrass	Hek (gras)
material_WallMinSec	Muur (min. bew.)
material_WallMedSec	Muur (gem. bew.)
material_WallMaxSec	Muur (max. bew.)
material_WallInsaneSec	Muur (wit)
material_WallProtective	Muur (geel)
material_CliffEdge	Klifrand

# =============================================================================
# Objects - Names
# =============================================================================

object_ovalStaffTable	Tafel (ovaal)
object_Painting1	Schilderij
object_Painting2	Schilderij
object_ChessTable	Schaaktafel
object_GlassWindow	Glazen raam
object_GlassWindowLarge	Glazen raam (groot)
object_GymMat	Gymmat
object_SinkMirror	Wastafel en spiegel
object_TableFootball	Tafelvoetbal
object_TableTennis	Tafeltennis
object_TyreApparatus	Bandtoestel
object_bambooDoor	Deur (bamboe)
object_Canvas	Canvas en verf
object_PetBird	Vogelhuisdier
object_SoftPillow	Zacht kussen
object_BoxingRing	Boksring
object_DumbbellRack	Halterrek
object_Treadmill	Loopband
object_Fan	Ventilator
object_PunchBag	Bokszak
object_WardenStatue	Directeurstandbeeld
object_WaterCooler	Waterkoeler
object_SnackMachine	Snackautomaat
object_Mattress	Bed (schuimmatras)
object_MetalBarrel	Metalen vat
object_WoodenBarrel	Houten vat
object_MooringBollard	Bolder
object_DeckChair	Ligstoel
object_LightGreen	Licht (groen)
object_LightRed	Licht (rood)
object_Buoy	Boei
object_LifeRing	Reddingsboei
object_CoffeeMachine	Koffieapparaat
object_ComputerStation	Computerstation
object_PASystem	Omroepsysteem
object_TrainingDummy	Oefendummy
object_StoneWaterSpout	Spuwerpijp
object_WindSock	Windvaan
object_ComfyBed	Comfortabel bed
object_IndoorTreePlanter	Kamerplantenbak
object_OldBed	Oud bed
object_CameraPillar	Camerapaal
object_Blackboard	Schoolbord
object_JailDoorWhite	Gevangenisdeur (wit)
object_JailDoorLargeWhite	Grote gevangenisdeur (wit)

object_SignNumber0	Bord (cijfer 0)
object_SignNumber1	Bord (cijfer 1)
object_SignNumber2	Bord (cijfer 2)
object_SignNumber3	Bord (cijfer 3)
object_SignNumber4	Bord (cijfer 4)
object_SignNumber5	Bord (cijfer 5)
object_SignNumber6	Bord (cijfer 6)
object_SignNumber7	Bord (cijfer 7)
object_SignNumber8	Bord (cijfer 8)
object_SignNumber9	Bord (cijfer 9)

object_SignLetterA	Bord (letter A)
object_SignLetterB	Bord (letter B)
object_SignLetterC	Bord (letter C)
object_SignLetterD	Bord (letter D)
object_SignLetterE	Bord (letter E)
object_SignLetterF	Bord (letter F)
object_SignLetterG	Bord (letter G)
object_SignLetterH	Bord (letter H)
object_SignLetterI	Bord (letter I)
object_SignLetterJ	Bord (letter J)
object_SignLetterK	Bord (letter K)
object_SignLetterL	Bord (letter L)
object_SignLetterM	Bord (letter M)
object_SignLetterN	Bord (letter N)
object_SignLetterO	Bord (letter O)
object_SignLetterP	Bord (letter P)
object_SignLetterQ	Bord (letter Q)
object_SignLetterR	Bord (letter R)
object_SignLetterS	Bord (letter S)
object_SignLetterT	Bord (letter T)
object_SignLetterU	Bord (letter U)
object_SignLetterV	Bord (letter V)
object_SignLetterW	Bord (letter W)
object_SignLetterX	Bord (letter X)
object_SignLetterY	Bord (letter Y)
object_SignLetterZ	Bord (letter Z)


equipment_StrikePlacard	Protestbord

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_Armoury	Wapenkamer
quickbuild_Infirmary	Ziekenboeg
quickbuild_Laundry	Wasserette
quickbuild_Library	Bibliotheek
quickbuild_MailRoom	Postkamer
quickbuild_Visitation	Bezoek

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly	-VERLAAGT het cijfer van een gevangeniscel.

buildtoolbar_popup_obj_ovalStaffTable	Past goed bij stoelen in personeelsruimtes.
buildtoolbar_popup_obj_painting1	Het is misschien een gevangenis, maar een beetje klasse kan nooit kwaad.
buildtoolbar_popup_obj_painting2	Het is misschien een gevangenis, maar een beetje klasse kan nooit kwaad.
buildtoolbar_popup_obj_chessTable	Een spel voor koningen... en voor ondeugende individuen die zich niet aan de wet kunnen houden. Vervult de behoefte Amusement.
buildtoolbar_popup_obj_GLassWindow	Om een glimp van de zon op te vangen.
buildtoolbar_popup_obj_GlassWindowLarge	Om veel zonlicht op te vangen.
buildtoolbar_popup_obj_GymMat	Om de spierpijn eruit te rekken.\n -Vervult de behoefte Sport.
buildtoolbar_popup_obj_TableTennis	Biedt een extra tijdverdrijf voor je gevangenen.\n -Vervult de behoefte Vermaak.
buildtoolbar_popup_obj_TableFootball	Biedt een extra tijdverdrijf voor je gevangenen.\n -Vervult de behoefte Vermaak.
buildtoolbar_popup_obj_TyreApparatus	Sommige gevangenen willen per se een manier hebben om klimmen te oefenen.\n -Vervult de behoefte Sport.
buildtoolbar_popup_obj_SinkMirror	Voorziet een gevangeniscel van een wasbak en spiegel.\n -Vervult de behoefte Hygiëne.
buildtoolbar_popup_obj_bambooDoor	Een poort van bamboe die bij het bamboehek past. \nWordt behandeld als een gewone deur.
buildtoolbar_popup_obj_canvas	Een creatieve manier voor gevangenen om hun gevoelens te uiten, zonder elkaar neer te steken.
buildtoolbar_popup_obj_PetBird	Een kleine vriend om je gevangenen gezelschap te houden.\n -Vervult de behoeften Familie, Comfort en Luxe.
buildtoolbar_popup_obj_SoftPillow	Verbetert de kwaliteit en het comfort van een bed nog meer met een zacht donzen kussen.\n -Vervult de behoeften Comfort en Slaap.
buildtoolbar_popup_obj_BoxingRing	Een fitnessruimte in een gevangenis kan niet zonder. De meeste gevangenen verven het liefst op dit canvas.
buildtoolbar_popup_obj_DumbbellRack	Voor gevangenen die gespierd willen worden.\n -Vervult de behoefte Sport.
buildtoolbar_popup_obj_Treadmill	Om gevangenen mee fit te houden. Gevangenen die hard trainen, worden misschien zelfs snellere renners.\n -Vervult de behoefte Sport.
buildtoolbar_popup_obj_Fan	Een ouderwetse staande ventilator die de lucht in de directe omgeving een beetje afkoelt.
buildtoolbar_popup_obj_PunchBag	Voor als gevangenen wat agressie kwijt moeten.\n -Vervult de behoeften Sport en Vermaak.
buildtoolbar_popup_obj_WardenStatue	Een grote stenen beeld dat laat zien dat de directeur over de gevangenis heerst. Te veel hiervan kunnen ervoor zorgen dat de gevangenen zich onderdrukt voelen. \n -VERHOOGT onderdrukking een beetje.
buildtoolbar_popup_obj_WaterCooler	Even bij de waterkoeler van Prison Architect.
buildtoolbar_popup_obj_SnackMachine	Snacks met een hoog caloriegehalte en lage kwaliteit.
buildtoolbar_popup_obj_Mattress	Een enigszins comfortabel schuimmatras. Het goedkoopste bed dat er is, maar beter dan de vloer.
buildtoolbar_popup_obj_MetalBarrel	Vaak gezien in havens.
buildtoolbar_popup_obj_WoodenBarrel	Vaak gezien in havens.
buildtoolbar_popup_obj_MooringBollard	Geef havengebieden een klassiek kenmerk. Dient ook als een kleine muur.
buildtoolbar_popup_obj_LightGreen	Een licht voor buiten, maar met een groene lamp. Past goed bij een helikopterplatform.
buildtoolbar_popup_obj_LightRed	Een licht voor buiten, maar met een rode lamp. Past goed bij een helikopterplatform.
buildtoolbar_popup_obj_Buoy	Drijft in het water.
buildtoolbar_popup_obj_LifeRing	Geef havengebieden een klassiek kenmerk.
buildtoolbar_popup_obj_ArcadeCabinet	Vermaak je gevangenen met een hypermoderne retro-arcadekast.\n -Vervult de behoeften Vermaak en Comfort.
buildtoolbar_popup_obj_CoffeeMachine	Populair bij elk overspannen personeelslid.
buildtoolbar_popup_obj_ComputerStation	Vervult de behoeften Literatuur en Comfort.
buildtoolbar_popup_obj_PASystem	Onderdruk gevangenen door ze er regelmatig aan te herinneren dat ze in de gevangenis zitten.\n -VERHOOGT de onderdrukking die gevangenen voelen in een celblok of luchtplaats.
buildtoolbar_popup_obj_TrainingDummy	Een ouderwetse Shaolin-oefendummy.\n -Gevangenen die hard trainen kunnen zelfs nieuwe vechttechnieken leren!
buildtoolbar_popup_obj_StoneWaterSpout	Een gotisch stenen hoofd dat water spuwt als het op een waterleiding wordt aangesloten.
buildtoolbar_popup_obj_WindSock	De windvaan waarschuwt 1 uur van tevoren voor een naderende calamiteit en toont windrichting/snelheid.
buildtoolbar_popup_obj_ComfyBed	Een luxe bed met een matras van traagschuim, voor de beste nachtrust.
buildtoolbar_popup_obj_IndoorTreePlanter	Een verzonken plantenbak, voor kamerplanten.
buildtoolbar_popup_obj_OldBed	Een ouderwets gevangenisbed. Comfortabeler dan een schuimmatras, maar minder dan een gewoon bed.
buildtoolbar_popup_obj_Blackboard	Onmisbaar in elk klaslokaal.
buildtoolbar_popup_obj_JailDoorWhite	Een gekleurde gevangenisdeur om je celblokken voor gestoorde criminelen te markeren.
buildtoolbar_popup_obj_JailDoorLargeWhite	Een gekleurde gevangenisdeur om je celblokken voor gestoorde criminelen te markeren.
buildtoolbar_popup_obj_camerapillar	Om in open gebieden te plaatsen en vervolgens een camera aan de zijkanten te bevestigen.

buildtoolbar_popup_obj_signNumber0	Een bord met het cijfer 0 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber1	Een bord met het cijfer 1 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber2	Een bord met het cijfer 2 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber3	Een bord met het cijfer 3 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber4	Een bord met het cijfer 4 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber5	Een bord met het cijfer 5 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber6	Een bord met het cijfer 6 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber7	Een bord met het cijfer 7 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber8	Een bord met het cijfer 8 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signNumber9	Een bord met het cijfer 9 erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.

buildtoolbar_popup_obj_signLetterA	Een bord met de letter A erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterB	Een bord met de letter B erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterC	Een bord met de letter C erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterD	Een bord met de letter D erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterE	Een bord met de letter E erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterF	Een bord met de letter F erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterG	Een bord met de letter G erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterH	Een bord met de letter H erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterI	Een bord met de letter I erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterJ	Een bord met de letter J erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterK	Een bord met de letter K erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterL	Een bord met de letter L erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterM	Een bord met de letter M erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterN	Een bord met de letter N erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterO	Een bord met de letter O erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterP	Een bord met de letter P erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterQ	Een bord met de letter Q erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterR	Een bord met de letter R erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterS	Een bord met de letter S erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterT	Een bord met de letter T erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterU	Een bord met de letter U erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterV	Een bord met de letter V erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterW	Een bord met de letter W erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterX	Een bord met de letter X erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterY	Een bord met de letter Y erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.
buildtoolbar_popup_obj_signLetterZ	Een bord met de letter Z erop. Plaats meerdere borden op een muur om woorden of labels te maken, zoals 'CELBLOK 4'.


buildtoolbar_popup_mat_pipewall	Bouw leidingmuren bovenop funderingen om nieuwe gebieden of ruimtes te maken.
buildtoolbar_popup_mat_derelictwall	Bouw goedkope vervallen muren voor een verouderde look.
buildtoolbar_popup_mat_overgrownwall	Bouw goedkope overwoekerde muren. Zelfs een gevangenis kan de natuur niet tegenhouden.
buildtoolbar_popup_mat_rustywall	Bouw goedkope roestige muren voor een post-apocalyptische look.
buildtoolbar_popup_mat_slumwall	Bouw goedkope krotmuren, want het geld dat je bespaart op het welzijn van je gevangenen kun je gebruiken om je kantoor uit te breiden.
buildtoolbar_popup_mat_bambooFence	Een bamboehek voor een kampement-uitstraling.
buildtoolbar_popup_mat_RunningTrack	Ideaal voor je gevangenen om op te rennen, in de luchtplaats.
buildtoolbar_popup_mat_BambooFloor	Een vloer met een jungleachtige kampement-uitstraling.
buildtoolbar_popup_mat_DecayedWall	Bouw goedkope muren van afgetakelde betonblokken bovenop funderingen.
buildtoolbar_popup_mat_flowerfield	Een grasgebied waar mooie bloemen groeien.
buildtoolbar_popup_mat_fenceandgrass	Heksecties met gras eronder in plaats van aarde.
buildtoolbar_popup_mat_WallMinSec	Bouw gekleurde muren om bepaalde beveiligingssectoren van de gevangenis aan te geven.
buildtoolbar_popup_mat_WallMedSec	Bouw gekleurde muren om bepaalde beveiligingssectoren van de gevangenis aan te geven.
buildtoolbar_popup_mat_WallMaxSec	Bouw gekleurde muren om bepaalde beveiligingssectoren van de gevangenis aan te geven.
buildtoolbar_popup_mat_WallInsaneSec	Bouw gekleurde muren om bepaalde beveiligingssectoren van de gevangenis aan te geven.
buildtoolbar_popup_mat_WallProtective	Bouw gekleurde muren om bepaalde beveiligingssectoren van de gevangenis aan te geven.
buildtoolbar_popup_mat_CliffEdge	Bouw klifmuren om verhoogde secties en onbegaanbare gebieden te maken rond je gevangenis of eiland.

interfaceoverlay_signs	Borden
interfacemode_walls	Muren
interfacemode_doors	Deuren
interface_action_snackbought	Snack gekocht

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors	ALLE sectoren
crisisSector_StopAll	ALLES stoppen
crisisSector_SharedOnly	Alleen gedeeld
crisisSector_MinSecOnly	Alleen min. bewaking
crisisSector_MedSecOnly	Alleen gem. bewaking
crisisSector_MaxSecOnly	Alleen max. bewaking
crisisSector_InsaneOnly	Alleen gestoord
crisisSector_ProtectedOnly	Alleen beveiligd
crisisSector_SuperMaxOnly	Alleen SuperMax
crisisSector_DeathRowOnly	Alleen dodencellen

crisisToolbarTitle_WeaponsFree	DODELIJK GEWELD
crisisToolbarTitle_TunnelSearch	TUNNELONDERZOEK
crisisToolbarTitle_Shakedown	GRONDIG ONDERZOEK
crisisToolbarTitle_Lockdown	OPSLUITING
crisisToolbarTitle_Bangup	TERUG NAAR CEL
crisisToolbarTitle_RollCall	AANWEZIGHEIDSCONTROLE
crisisToolbarQuestion	- Welke sectoren kies je?

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message	Kies welke beveiligingsniveaus toegang krijgen tot deze aangepaste sector.
customsectorwindow_minseccaption	Min bew.
customsectorwindow_medseccaption	Gem. bew.
customsectorwindow_maxseccaption	Max. bew.
customsectorwindow_supermaxcaption	SuperMax
customsectorwindow_deathrowcaption	Dodencel
customsectorwindow_protectivecaption	In afzondering
customsectorwindow_insanecaption	Gestoorde criminelen

customSector_title	Aangepaste beveiligingssector
customSector_subtitle	Deze beveiligingssector laat het volgende toe:

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging	Het upgraden van deze ruimte verbetert ook het cijfer van deze beveiligingssector.
roomGrading_prisonerTransfer	Upgrades motiveren gevangenen ALLEEN als de DLC “Overplaatsing goedgekeurd” geïnstalleerd is en de optie “Gevangenen overplaatsen” is ingeschakeld in de kaartinstellingen.

roomgrading_Cell_BadWalls	[*E] Omringd door deprimerende muren
roomgrading_Cell_OutsideWindow_Large	[*E]*Y Groot raam
roomgrading_Cell_HasWindow_None	[*E] Geen ramen
roomgrading_Dormitory_BadWalls	[*E] Omringd door deprimerende muren
roomgrading_Dormitory_Mattress	[*E] Merendeels slechte bedden
roomgrading_Dormitory_HasWindow_None	[*E] Geen ramen
roomgrading_Canteen_RoomSize	[*E] Kamergrootte minstens *X vierkantjes
roomgrading_Canteen_Item	[*E] Item: *X
roomgrading_Canteen_MealQuality	[*E] GEMIDDELDE maaltijdkwaliteit
roomgrading_Canteen_MealQuality_High	[*E] HOGE maaltijdkwaliteit
roomgrading_Canteen_MealQuality_Low	[*E] LAGE maaltijdkwaliteit
roomgrading_Canteen_MealQuality_None	[*E] GEEN maaltijdkwaliteit
roomgrading_Canteen_MealVariety	[*E] GEMIDDELDE variatie maaltijden
roomgrading_Canteen_MealVariety_High	[*E] HOGE variatie maaltijden
roomgrading_Canteen_MealVariety_Low	[*E] LAGE variatie maaltijden
roomgrading_Canteen_MealVariety_None	[*E] GEEN variatie maaltijden
roomgrading_Canteen_HasWindow_None	[*E] Geen ramen
roomgrading_Yard_RoomSize	[*E] Kamergrootte minstens *X vierkantjes
roomgrading_Yard_RoomSizeLess	[*E] Kamergrootte maximaal *X vierkantjes
roomgrading_Yard_Item	[*E] Item: *X
roomgrading_Yard_Floor	[*E] *X vloer (meer dan *Y%)
roomgrading_Yard_MultiItems	[*E] Bevat *X van de bovenstaande objecten
roomgrading_Yard_Floor_Quantity	[*E] *X *Y vierkantjes
roomgrading_CommonRoom_RoomSize	[*E] Kamergrootte minstens *X vierkantjes
roomgrading_CommonRoom_Item	[*E] Item: *X
roomgrading_Gymnasium_RoomSize	[*E] Kamergrootte minstens *X vierkantjes
roomgrading_Gymnasium_OutsideWindow	[*E] *Y buitenraam
roomgrading_Gymnasium_Item	[*E] Item: *X
roomgrading_Gymnasium_HasWindow_None	[*E] Geen ramen
roomgrading_Classroom_RoomSize	[*E] Kamergrootte minstens *X vierkantjes
roomgrading_Classroom_Item	[*E] Item: *X
roomgrading_Classroom_OutsideWindow	[*E] *Y buitenraam

buildtoolbar_improvement	-VERHOOGT het cijfer van een *R
buildtoolbar_decreased	-VERLAAGT het cijfer van een *R
buildtoolbar_improvement_windows	(mits naar buiten gericht)

buildtoolbar_planning_autofoundation	Automatische funderingen

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	Cijfer min. bew.
interfaceLogistics_MedSecGrading	Cijfer gem. bew.
interfaceLogistics_MaxSecGrading	Cijfer max. bew.
interfaceLogistics_SuperMaxGrading	Cijfer SuperMax

sectorGrading_title	*X sector
sectorGrading_housed	*X gevangenen zitten in *Y
sectorGrading_desiresTransfer	*X *Y gevangenen willen overgeplaatst worden naar *Z

sectorGrading_description	Hieronder staat een overzicht van de beoordeling van deze sector. Hoe meer privileges, hoe hoger het cijfer. Het hoogste cijfer is 250.
sectorGrading_encouragement	Hoe groter het verschil in cijfers tussen *X en deze sector, hoe eerder *X gevangenen bereid zijn om te hervormen en zich te gedragen om kans te maken op overplaatsing naar deze lagere beveiligingssector.
sectorGrading_discouragement	Je kunt het cijfer van *X ook verlagen door privileges en comfort weg te halen voor een soortgelijke effect, maar daarmee loop je het risico om de gevangenen boos te maken.

sectorGrading_transferNote	(OPMERKING: gevangenen die gemotiveerd zijn om overgeplaatst te worden, treden ALLEEN in werking als de DLC “Overplaatsing goedgekeurd” geïnstalleerd is en de optie “Gevangenen overplaatsen” is ingeschakeld in de kaartinstellingen.)

sectorGrading_privilegesTitle	Privileges gevangenen
sectorGrading_visitation	[+*X] Bezoek
sectorGrading_mail	[+*X] Post
sectorGrading_work	[+*X] Toegang tot werk (cash)
sectorGrading_education	[+*X] Toegang tot onderwijs/programma's
sectorGrading_meals	[+*X] 2+ maaltijden per dag
sectorGrading_freeTime	[+*X] Voldoende vrije tijd (20%)
sectorGrading_extraFreeTime	[+*X] Extra vrije tijd (30%)
sectorGrading_yard	[+*X] Toegang tot luchtplaats
sectorGrading_gym	[+*X] Toegang tot fitnessruimte
sectorGrading_shop	[+*X] Toegang tot winkel
