
campaigncutscene_tooltip 				（按一下以觸發監獄故事的下一章節）
adviser_riot_armedreinforcements3		另一方面，囚犯可能會在看到這些傢伙出現時選擇投降。

adviser_riot_reinforcementsunlocked1 	增援部隊的主力已經抵達。
adviser_riot_reinforcementsunlocked2 	您現在可以透過「緊急情況」工具列，根據需要調用任意數量的防暴警察和醫護人員小分隊。

adviser_riot_cleanup1                   監獄已被控制住，暴動分子已被制服。其結果原本可能會更糟糕。
adviser_riot_cleanup2                   我們面前有大量清理工作要做。如果您能抽出時間，我會非常感謝您的幫助。
adviser_riot_cleanup2b 					我們的設施內沒有任何建築承包商，所以第一步將是雇傭些新工人來修繕這個地方。
adviser_riot_cleanup3                   我一直認為這裡的維安過於寬鬆。這些囚犯長久以來享有太多的自由。這一切今天即將結束。
adviser_riot_cleanup4                   我希望您為我們構建一個新的軍械庫，然後在監獄各處的關鍵位置部署武裝警衛。看到這樣的情況會讓這些囚犯順從，他們會在考慮再次造成如此大的麻煩時三思而行。
adviser_riot_cleanup5                   我還將批准撥款，以便為監獄內的所有警衛提供護身防彈衣。我們的人需要能夠保護自己。
adviser_riot_cleanup6                   讓我們繼續吧。這些囚犯需要紀律。應在他們的生活中建立秩序。我建議讓他們從事清理其自己製造的爛攤子的工作。
adviser_riot_cleanup7                   為囚犯開設勞動課程，讓他們從事清潔監獄和洗衣的工作。
adviser_riot_cleanup7b                  您可以透過「物流」下的工具列指派囚犯去工作。反白顯示目標，以瞭解有關如何執行此任務的更多詳細資訊。
adviser_riot_cleanup8                   我們還有一些其他的要求。我們需要教導許多囚犯迷途知返。構建新的單獨禁閉側翼。
adviser_riot_cleanup8b                  我們的警衛將負責根據需要將囚犯移送至單人牢房。單獨禁閉可為囚犯提供時間來反思其所做的事，並提醒他們這裡由誰說了算。
adviser_riot_cleanup9                   我們不要忘記那些與我們共同經歷這場嚴酷考驗的工作人員。他們非常疲憊。
adviser_riot_cleanup9b 					在某處構建員工休息室，為他們提供恢復的空間。
adviser_riot_cleanup10                  最後，我們需要將所有這些都納入預算。請確保我們的銀行餘額和現金流為正數。
adviser_riot_cleanup10b 				在清理、清潔工作、洗衣等方面，囚犯勞役實際上比承包商更便宜。
adviser_riot_cleanup11                  這裡有許多事要做。我們非常感謝您的幫助。
adviser_riot_cleanup12                  如果您認為您做的已經足夠，並準備繼續進行接下來的遊戲，請按一下前門旁邊的快照。

adviser_riot_cleanup13 					做得非常出色。我認為此設施的安保看起來強大多了。

objective_riot_solitary 				（可選）構建單人牢房側翼並開始懲罰暴動分子
objective_riot_armoury 					（可選）實施新的安全規程
objective_riot_armoury_research			透過「官僚機構」解鎖軍械庫
objective_riot_armoury_build 			構建軍械庫（在安全的位置）
objective_riot_armoury_deploy			在監獄各處部署武裝守衛
objective_riot_armoury_armour 			為所有安保工作人員解鎖護身防彈衣
objective_riot_armoury_tazers 			為武裝警衛解鎖泰瑟槍
objective_riot_staffroom 				（可選）為精疲力盡的工作人員構建員工休息室
objective_riot_balancebooks 			（可選）結算賬戶
objective_riot_balancebooks_balance 	正銀行餘額
objective_riot_balancebooks_cashflow 	正現金流
objective_riot_prisonerwork				（可選）建立懲罰性勞役方案

objective_riot_cleaningcupboard			構建清潔櫥櫃
objective_riot_laundry					構建圖書館
objective_riot_inmatesincleaning 		指派囚犯從事清潔工作
objective_riot_inmatesinlaundry			指派囚犯在洗衣房工作
objective_riot_cleanprison 				清潔監獄
objective_riot_providelaundry			提供乾淨的衣服

objective_riot_armoury_research_description		「官僚機構」圖示就位於任務清單上方。按一下以開始從事構建「軍械庫」的工作 — 您的主管將負責文書工作。
objective_riot_armoury_deploy_description       要部署武裝警衛，移至「部署」，然後移至「武裝巡邏」。按一下並拖曳滑鼠以畫出您希望他們巡邏的路線，然後再按一下巡邏路線以向其指派武裝警衛。
objective_riot_armoury_guardtazers_description  查看「報告/課程」 — 您將看到「警衛泰瑟槍培訓」。\n\n警衛需要接受培訓，方可使用泰瑟槍。您將需要構建教室，以便在其中開展此培訓。
objective_riot_prisonerwork_description         要指派囚犯從事工作，移至「物流」，然後移至「囚犯勞役」。按一下以將任務新增到反白顯示為綠色的任何房間。\n\n您還必須指定囚犯工作的時間。移至「報告/管理制度」，然後在白天新增幾小時的「工作」時間。如果此時段有可用的任務，囚犯就會工作。

objective_Riot_PlayerExitsMap			完成後，按一下主入口外的快照。


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        搶劫
campaigncutscene_convictionmorgan       摩根
campaigncutscene_convictionvisitation   監獄巡查
campaigncutscene_convictionsuicide      自殺

campaignchapter_conviction              定罪
campaignchapter_conviction_description  我們已經對一名囚犯實施防自殺觀察。亨利•摩根，本尼迪克特的犯罪同夥。5 年刑期服到 13 個月。請幫助我們照顧這些人。

adviser_name_benedictarmed              本尼迪克特
adviser_name_morgan                     亨利•摩根
adviser_name_morganarmed				亨利•摩根
adviser_name_morganhappy                亨利•摩根
adviser_name_senator                    參議員沃爾特•赫斯特
adviser_name_detective                  警探
adviser_name_kerry 						凱瑞•摩根
adviser_name_hurst 						沃爾特•赫斯特博士
adviser_name_keane 						官員基恩

adviser_conviction_heist1               拿錢，孩子。
adviser_conviction_heist2               馬上放下武器！
adviser_conviction_heist2b				哦，該死！
adviser_conviction_heist3               射擊，他奶奶的！
adviser_conviction_heist4               你還在等什麼，射擊啊，你這個軟蛋！
adviser_conviction_heist6               王八蛋！
adviser_conviction_heist7               別開槍！別開槍！
adviser_conviction_heist8               把手舉起來，混賬！
adviser_conviction_heist9               我做什麼你就做什麼，明白了嗎？
adviser_conviction_heist10              該死，該死，該死！
adviser_conviction_heist11              別開槍！別開槍！

conviction_intro_1                      在阿爾凱米科州立監獄最近發生的悲劇之後，我們面臨大量政治審查。
conviction_intro_2                      在找到執行長一職的替代人選以前，我希望由您來掌控大局。
conviction_intro_3                      此設施最近接連發生自殺事件，其原因不難看出。但我們有個更為緊迫的問題。
conviction_intro_4                      當局已經決定給我們送來一大批新囚犯。首批囚犯明天就將抵達，而我們沒有地方可以安置他們。
conviction_intro_5                      我們需要您來構建全新的牢房區，該牢房區應具有足夠的空間來容納新收監的囚犯。
conviction_intro_5b 					我已經在這裡為新牢房區制訂了一個潛在的設計方案。這應該可以為我們提供足夠的新牢房來應對監獄收監，而該設計還包括其自己的淋浴設施。
conviction_intro_5c 					是選擇遵循此設計還是採用完全不同的設計由您來決定。
conviction_intro_6                      我的任務是為這些人的福利排列優先順序。把新牢房區構建好，然後我們將討論如何實現這一目標。

unused_conviction_intro_4                      我們已經對一名囚犯實施防自殺觀察。亨利•摩根，本尼迪克特的犯罪同夥。5 年刑期服到 13 個月。
unused_conviction_intro_7						我想去和他談談。我們不能再發生自殺事件了。

conviction_workintro1                   長期以來，我們一直將他們視如草芥。這種情況到此為止。
conviction_workintro2                   以前的執行長從來都不相信囚犯改造。但就我來看，我們需要讓這些人感受到一些對未來的希望。
conviction_workintro3                   我們需要為他們提供在獲釋後成功生存所需的技能 — 寶貴的商業技能、基礎教育。
conviction_workintro4                   我們應該開展工作學徒培訓計劃。教授這些人一些現實世界的技能，讓他們至少有個可以期待的未來。


conviction_hurst1 						此設施參與度的欠缺程度令人震驚。人們每一點一滴的人性都被剝奪了。
conviction_hurst2 						他們得到的對待缺乏同情或尊重。
conviction_hurst3 						這不是這些人應得的。
conviction_hurst4 						確實如此，長官。這不是待人之道。他們每一點一滴的人性都被剝奪了。
conviction_hurst4b 						他們為什麼要遵守我們的規則呢？除了極度的憤恨，你不能指望他們以任何方式回應我們。
conviction_hurst4c						我們需要教室和戒毒課程。還有車間，這樣他們就可以開始為他們的技能而感到自豪。
conviction_hurst6 						你誤會我的意思了，博士。這些傢伙不是人。你自己親眼看看吧。
conviction_hurst6b 						站起來，摩根！
conviction_hurst7 						你有訪客。
conviction_hurst8 						改造？還不如教猴子彈班卓琴呢。

conviction_hurst10 						孩子，你叫什麼名字？
conviction_hurst10b                     長官問你問題呢。
conviction_hurst11 						我叫亨利，長官。
conviction_hurst12 						肯定很冷吧，亨利。把這個穿上。
conviction_hurst13 						長官，床上有蝨子。簡直要活活把我咬死。襯衫連老鼠都不會碰。是我見過的最大的老鼠。
conviction_hurst14 						就叫我沃爾特吧。
conviction_hurst15 						你睡得怎麼樣？
conviction_hurst16 						睡不著。我在這裡唯一做的事就是思考。有很多思考的時間。
conviction_hurst16b                     你都思考些什麼？
conviction_hurst16c                     大多數的時候思考死亡。還有我的小女兒。
conviction_hurst17 						她需要你堅強些，亨利。這對她而言也會很困難。
conviction_hurst18 						在她生命中的每一天，我都身陷囹圄。她甚至不知道我的存在。
conviction_hurst19 						改變生活從來都不會太晚，亨利。
conviction_hurst19b 					如果可以的話，我想再來看看你。
conviction_hurst20 						可以，長官。謝謝，長官。
conviction_hurst21 						我們對這些老鼠可以做些什麼嗎？這可不是第三世界。
conviction_hurst22 						我會給那裡放些老鼠藥的。

conviction_visitationintro_1            我設法說服主管為摩根的家屬探監破了個例。

conviction_visitation_0					你好，長官。凱瑞•摩根，到這裡探視亨利•摩根。
conviction_visitation_1					退到線後。
conviction_visitation_2 				對不起。我是來探視亨利的。亨利•摩根。他是我丈夫，長官。
conviction_visitation_3 				我不會再和你說第二遍了。退到線後。馬上。
conviction_visitation_4 				是的，長官。對不起，長官。
conviction_visitation_5 				好吧。到前面來。快點，我沒那麼多時間。
conviction_visitation_6					姓名。
conviction_visitation_7					凱瑞•摩根，長官。來探視亨利•摩根。這是他的女兒。
conviction_visitation_8					你就是這麼告訴他的，對吧？繼續往前走。
conviction_visitation_8a                凱瑞！
conviction_visitation_9					恐怕出了點問題。摩根已經失去探監特權。
conviction_visitation_9b 				什麼？
conviction_visitation_9c 				對不起。我們今天早上在他的牢房中發現了烈酒。我對此無能為力。
conviction_visitation_10				我花了兩個小時才來到這裡。我的女兒都哭了。這不公平。
conviction_visitation_11				你想要公平，那就去迪士尼樂園。公平在那種你能夠贏金魚和吃熱狗的地方才會有。在這裡可找不到。
conviction_visitation_12				求求你了，請把這個交給他。
conviction_visitation_13                當然可以。他在很長一段時間內都不會有訪客了。有留言麼？
conviction_visitation_14                不。沒有留言。

conviction_visitation_angrymorgan0		不！
conviction_visitation_angrymorgan1		等等！
conviction_visitation_angrymorgan2		你不能這樣做！
conviction_visitation_angrymorgan3		讓我和她談談！
conviction_visitation_angrymorgan4		你們這些混蛋！

conviction_helpinmates_1                這太讓人失望了。
conviction_helpinmates_2                要想設法真正幫助這些人實在是太難了。他們真的需要學會自助。
conviction_helpinmates_3                我認為，我們顯然需要裝備探監設施。家屬們在門外排著長隊，而我們顯然無法應對當前的訪客人數。
conviction_helpinmates_4                構建全新的探監設施。儘管在摩根身上發生了這樣的事，我認為我們會看到正面的效益。而他不是這裡唯一擁有家人的囚犯。
conviction_helpinmates_5                我一直在做些研究並驚訝地發現，這些囚犯中的許多人都只具備最基本的數學和閱讀能力。我們需要開始對這一點進行補救。
conviction_helpinmates_6                開設新的教室設施，然後讓我們開始從外面引進教師來教授基本知識。沒有教育，這些囚犯除了走上犯罪道路就看不到任何希望。
conviction_helpinmates_7                我們需要控制囚犯的大量湧入。不斷擴大我們的容量，讓每一名囚犯都能獲得質量相當不錯的牢房。

conviction_outro1                       我認為我們已經讓這裡發生了很大的改變。我們為這些囚犯提供了努力的方向和繼續生活的理由。
conviction_outro2                       如果您願意，您可以留在這裡並幫助我們監督第一批囚犯完成我們所開設的教育和工作課程。
conviction_outro3                       但我認為，接下來的事我們可以應付。當您準備離開時，請按一下摩根牢房中的快照。

conviction_secondvisit_1                我本來希望在我的課上看到你來著。
conviction_secondvisit_2                我做不到。我再也不能待在這間牢房裏了。
conviction_secondvisit_3                一天只要一次就好。
conviction_secondvisit_4                我是指這整個發出惡臭的地方。這裡。還有那裡。他們不會讓我看到我的家人了。我把一切都搞砸了，長官，這是不會發生改變的。
conviction_secondvisit_5                亨利，會好起來的。我會陪在你身邊。
conviction_secondvisit_6                這真有趣。他說的完全相同。
conviction_secondvisit_7                誰，亨利？你可以告訴我。
conviction_secondvisit_8                他照看我。
conviction_secondvisit_9                從我們還是孩子的時候開始。
conviction_secondvisit_10               共同努力。孩子，無論發生什麼。
conviction_secondvisit_11               我會陪在你身邊。
conviction_secondvisit_11b 				陪在我身邊？
conviction_secondvisit_12               他早就不在那裡了。
conviction_secondvisit_13               我要和你達成一項協議。來參加我的下一次集體治療吧，我會看看能否放寬你的探監特權。
conviction_secondvisit_14               長官，你居然願意為我做這些？
conviction_secondvisit_15               這不只是為了你，亨利。

conviction_suicide_1 					對不起，長官，我認為你應該知道。又發生了一起自殺事件。
conviction_suicide_2					其中一名囚犯似乎攝入了鼠藥。
conviction_suicide_3					赫斯特博士現在正趕過去確認。
conviction_suicide_4					她難道不是你見過的最美麗的人嗎？
conviction_suicide_5					我想她可能是的。
conviction_suicide_6					改變生活永遠不會太晚，長官。

objective_conviction_expandcapacity50			應對新的囚犯收監
objective_conviction_expandcapacity50_description	從主工具列進入「規劃」模式，您就可以看到新牢房區的潛在佈局。
objective_conviction_expandcapacity_cells	 	為 40 名囚犯提供牢房
objective_conviction_expandcapacity_shower		提供淋浴設施
objective_conviction_expandcapacity_yard		提供庭院
objective_conviction_expandcapacity_intake		等待下一批收監囚犯抵達

objective_conviction_workprogram 				開設工作技能培訓課程
objective_conviction_unlocklabour				透過「官僚機構」授權「囚犯勞役」
objective_conviction_work_trainkitchen			（可選）對 5 名囚犯展開廚房安全與衛生培訓
objective_conviction_work_kitchen				指派囚犯在廚房工作
objective_conviction_work_workshop				構建車間
objective_conviction_work_trainworkshop			（可選）讓 10 名囚犯完成車間安全上崗培訓
objective_conviction_work_assignworkshop		指派囚犯在車間工作
objective_conviction_work_produceplates			（可選）生產 100 個汽車號牌
objective_conviction_work_exportszone			在道路附近指定一個外銷產品區
objective_conviction_work_setintake             設定收容等級至每日 10 名

objective_conviction_unlocklabour_description	 按一下此任務清單上方的圖示，即可找到「官僚機構」螢幕。
objective_conviction_work_kitchen_description	 要指派囚犯到廚房，移至「物流」，然後移至「囚犯勞役」。\n\n注意：囚犯必須已經通過「廚房安全與衛生」培訓課程，才能在廚房中工作。
objective_conviction_work_assignworkshop_description 	要指派囚犯到車間，移至「物流」，然後移至「囚犯勞役」。\n\n囚犯必須已經通過「車間安全上崗培訓」，才能具備在車間中工作的資格。
objective_conviction_work_trainkitchen_description 		要開設培訓和改造課程，移至「報告」（右下角），然後移至「課程」。囚犯將在其指定工作時間參加這些課程。\n\n注意：您需要在「管理制度」排程螢幕中，指定 2 小時的「工作」時間，否則囚犯將沒有時間參加培訓課程。
objective_conviction_work_trainworkshop_description 	要開設培訓和改造課程，移至「報告」（右下角），然後移至「課程」。囚犯將在其指定工作時間參加這些課程。\n\n注意：您需要在「管理制度」排程螢幕中，指定 2 小時的「工作」時間，否則囚犯將沒有時間參加培訓課程。
objective_conviction_work_setintake_description         為確保您的監獄不會人滿為患，移至「報告」（右下角），然後移至「收監」，並使用 << 按鈕將收監水平調低至 10。

objective_conviction_visitation				建立更好的探監服務
objective_conviction_visitationroom	        構建新的訪客中心
objective_conviction_visitationcount		促成 20 次囚犯家屬探監
objective_conviction_telephones	 			將電話新增到所有的庭院
objective_conviction_mailroom				構建收發室
objective_conviction_mailroomwork			指派囚犯在收發室工作

objective_conviction_mailroomwork_description           要指派囚犯到收發室，移至「物流」，然後移至「囚犯勞役」。

objective_conviction_education				開始教育您的囚犯
objective_conviction_unlockeducation		透過「官僚機構」授權「教育」
objective_conviction_education_classroom	構建教室
objective_conviction_education_class 		開設基礎教育課程
objective_conviction_education_learn		（可選）讓 5 名囚犯通過基礎教育課程
objective_conviction_education_library		構建圖書館
objective_conviction_education_librarywork	指派囚犯在圖書館工作
objective_conviction_education_chapel		構建教堂
objective_conviction_education_spiritual	開設精神指引課程

objective_conviction_expandcapacity100			擴大監獄的容量
objective_conviction_expandcapacity_cells100	將容量擴大為 80 間牢房
objective_conviction_expandcapacity_cells200	（可選）將容量擴大為 120 間牢房

objective_Conviction_PlayerExitsMap         完成後，按一下摩根牢房中的快照。


# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                自力更生
campaigncutscene_epilogueintro          故地重遊
campaigncutscene_epilogueoutro          結語

campaignchapter_epilogue_description    按照計劃，一所歷史悠久的監獄即將被拆除和取代。運用您學到的所有技能打造終極設施。

adviser_name_reporter 					記者

epilogue_newsintro1 					今天，CNDC 新聞將對我們監獄的狀態做特別專題報導。
epilogue_newsintro2 					聲名狼藉的「阿爾凱米科圍攻」已經過去兩年了，這場悲劇奪走了眾多寶貴的生命，包括執行長查理斯•華萊士。
epilogue_newsintro4 					今天，我們將聽取領先專家的意見，並瞭解自這些悲劇事件發生以來情況是否有任何改變。
epilogue_newsintro5 					首先，我們將前往本州運營時間最長的監獄之一做現場直播報導，該監獄計畫於近日拆除。
epilogue_newsintro6						實時現場報導，盡在 CNDC 新聞。

epilogue_reporter1						謝謝，莎拉。這所監獄曾經關押過部分全國最臭名昭著的罪犯。
epilogue_reporter2 						但如今，它的圍牆已被推倒，即將被一個全新的監獄綜合設施所取代。
epilogue_reporter3 						如果您看向我的身後，就可以看到施工人員已經就位，拆除工作已經開始。
epilogue_reporter4 						與我在一起的是本市市長卡爾文•海勒。海勒先生，感謝您今天抽出時間接受我們的訪問。
epilogue_reporter5 						這是我的榮幸。

epilogue_reporter6 						您在過去曾經堅決擁護更強硬、更嚴格的監獄管理方法。
epilogue_reporter6b 					為什麼要拆除這樣一個長期以來以懲罰性管理方法為特色的設施呢？
epilogue_reporter7 						無論是監獄還是其運營，如今都已經過時了。
epilogue_reporter8 						我們決定用一個全新的設施來取代它。一個政策更現代化的設施。
epilogue_reporter9						幾年前，新聞中曾將這所監獄稱為僅存的州立死刑行刑設施之一。
epilogue_reporter10 					活動家們一直尋求廢除死刑法律。您會滿足他們的願望，還是重建死刑行刑設施？
epilogue_reporter12 					這還在審查之中。但我們不會輕率地做出這一決定。

epilogue_reporterend1 					謝謝您，海勒市長。現在回到演播室。
epilogue_newstransition1 				這裡是 CNDC 新聞，我們正針對監獄系統的狀態做直播報導。
epilogue_newstransition2 				稍事休息後，囚犯心理和康復方面的專家沃爾特•赫斯特博士將加入我們的討論。

epilogue_parole1 						還是什麼都沒有嗎？有多久了？
epilogue_parole2						我記不清了。沒有電話。沒有信件。
epilogue_parole3 						我很遺憾，摩根。這肯定會讓人非常傷心。但你現在有一個機會。別搞砸了。
epilogue_parole4 						亨利。祝您好運。
epilogue_parole5 						不要試圖告訴他們你認為他們想聽什麼。
epilogue_parole6 						我得走了。我會在一分鐘後進行直播報導。
epilogue_parole7                        海勒市長，您有什麼看法？
epilogue_parole10 						這太快了！
epilogue_parole11 						嗯？
epilogue_parole12                       ...

epilogue_outro_1 						歡迎回來，您現在收看的是 CNDC 新聞特別報導，和我們在一起的是本市市長卡爾文•海勒。
epilogue_outro_2 						現在沃爾特•赫斯特博士將加入我們的採訪，他曾被指控在監獄改造方面揮霍巨額資金。
epilogue_outro_2b 						赫斯特博士，您認為您已經取得成功了嗎？
epilogue_outro_3						成功？不，還沒有取得普遍意義的成功。
epilogue_outro_4						我相信每個人都有改善的潛力。而我們必須為他們提供這樣的機會。
epilogue_outro_4b 						我可以帶著十足的信心宣佈，我看到許多關押在這裡的囚犯在態度和希望方面已實現真正的改善。
epilogue_outro_5						監禁應該成為一種威懾。而不應該是一種發展或改變的機遇。
epilogue_outro_6 						在他們體驗監獄的過程中，懲罰他們並讓他們喪失人性只會助長犯罪。

epilogue_outro_7						我們為這些人提供寶貴的技能，但更重要的是希望。
epilogue_outro_7b  						我們將幫助他們重新融入社會，並在離開後為社會做出貢獻。
epilogue_outro_8						普通市民都沒能得到免費培訓。免費教育。有保障的有償工作。
epilogue_outro_8b 						我們忽視犯罪的受害者，卻獎勵行兇者。
epilogue_outro_8c 						花費大量的資金，僅僅是為了讓這些囚犯自我感覺良好。
epilogue_outro_9						我們可以有所作為，即使我們必須一個人一個人地改造。
epilogue_outro_10						這些人還沒有贏得他們的自由。他們的自由。
epilogue_outro_11						你可以告訴一隻公貓一百遍，讓他離你家後院的鳥兒遠一點。但他總是會回來的。
epilogue_outro_12 						這是他的天性。

epilogue_sandbox_1                      請允許我祝賀您被任命為執行長。這是一個機遇。一個新的開始。
epilogue_sandbox_2                      您幾乎將擁有完全的自主權。更多囚犯。更高的再犯罪率。您的面前擁有眾多挑戰。
epilogue_sandbox_3						說到死囚區設施，您可以將其拆除。或留著並加以利用。這由您來決定。如果您不從事這項業務，其他人會開始從事這項業務。
epilogue_sandbox_4						說到目標，我為您設定了與您的前任完全相同的目標。利潤、再犯罪率和容量。
epilogue_sandbox_5 						如何實現這些目標完全取決於您。
epilogue_sandbox_5b                     最後一件事。以前的執行長查理斯•華萊士留下了一封他曾經發送給加入公司的所有新監獄建築師的信。
epilogue_sandbox_5c                     他提供了一些很好的建議。看看這封信可能會給您帶來許多幫助。
epilogue_sandbox_6						祝你好運！

objective_epilogue_grants				透過津貼任務系統籌集資金
objective_epilogue_grants_description   津貼任務是籌集構建監獄所需的大量現金的主要方法之一。\n\n您可以在「報告」（螢幕右下角）中的「津貼任務」下找到許多津貼任務。各家機構會為您提供資金，以從頭開始構建您的監獄的特定部分。

objective_epilogue_certifiedprison		構建一所監獄
objective_epilogue_capacity				至少 100 名囚犯
objective_epilogue_bankbalance			銀行餘額最少 $60,000
objective_epilogue_cashflow				淨現金流為正數

epilogue_outrointro_1                   我可以看出您有一個非常好的開始。
epilogue_outrointro_2                   如果您現在在電視附近，您應該將它打開。有些東西我希望您能看一看。

epilogue_basiccompletion_1 				您已達到州立監獄的最低要求。此後何去何從由您來決定。
epilogue_basiccompletion_2 				目前，如何繼續進行完全由您和您的公司決定。
epilogue_basiccompletion_3 				在市長辦公室，我們所關心的數字只有一個，那就是再犯罪率。
epilogue_basiccompletion_4	 			如果您可以降低囚犯的再犯罪率，我就稱之為成功。
epilogue_basiccompletion_5 				赫斯特博士等人相信，您只能通過教育、改造、技能培訓等實現這一目標。
epilogue_basiccompletion_6 				在我看來，懲罰的方法可能同樣有效。
epilogue_basiccompletion_8 				一切由您做主。祝您好運！
epilogue_basiccompletion_9 				當你結束時，請點擊路面上的即可拍離開監獄。

objective_epilogue_reoffending			（可選）降低監獄的再犯罪率
objective_epilogue_reoffending_description	您可以在「監獄等級」螢幕上看到您的再犯罪率。按一下螢幕左上角的圖示。

objective_epilogue_reoffending_rate		降低再犯率至 30% 或以下
objective_epilogue_reoffending_released	讓至少 10 名囚犯獲釋

objective_Epilogue_PlayerExitsMap				當你覺得你做得差不多了，請點擊路面上的即可拍繼續。
objective_epilogue_playerexitsmap_description	即可拍位於路面上，靠近押送區域。


# =============================================================================
# Credits
# =============================================================================

campaigncutscene_epiloguecredits        致謝

credits_createdby1                      - 創作者 -
credits_createdby2                      Chris Delay
credits_producer1                       - 製作人 -
credits_producer2                       Mark Morris
credits_art1                            - 美術 -
credits_art2                            Ryan Sumo
credits_sound1                          - 音效 -
credits_sound2                          Alistair Lindsay
credits_screenplay1                     - 劇本 -
credits_screenplay2                     Chris Hastings
credits_programmers                     - 程式設計師-
credits_programmers1                    John Knottenbelt
credits_programmers2                    Leander Hambley
credits_programmers3                    Gary Chambers
credits_programmers4                    Andrew Lim
credits_programmers5                    Jeffrey Sheen
credits_programmers6                    Finlay Curran
credits_graphicdesign1                  - 平面設計師 -
credits_graphicdesign2                  Morten Pedersen
credits_special                         - 特別感謝 -
credits_special1                        Will Morris
credits_special2                        Sam Morris
credits_special3                        Jo Stansfield
credits_special4                        John Cook
credits_special5                        Alex Chapman
credits_special6                        Alex Tutty
credits_special7                        Double Eleven
credits_introversion                    - INTROVERSION SOFTWARE -
credits_introversion1                   Chris Delay
credits_introversion2                   Mark Morris
credits_introversion3                   John Knottenbelt
credits_introversion4                   Thomas Arundel
credits_pa1                             監獄
credits_pa2                             建築師


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          針對 Minecraft 匯出監獄
codex_mcexportname						Minecraft Exporter
codex_worldnametitle					世界名稱
codex_seedtitle							種子
codex_gamemodetitle						遊戲模式
codex_mapfeattitle						地圖功能
codex_cheatstitle						秘籍
codex_timeofdaytitle					當日時間
codex_rainingtitle						下雨
codex_thunderingtitle					打雷
codex_generatortitle					發電機
codex_scaletitle						縮放
codex_exporttomc						匯出
codex_mcexport_default					預設
codex_mcexport_flat						平面
codex_mcexport_largebiomes				大型生物群落
codex_mcexport_survival					生存
codex_mcexport_creative					創意
codex_mcexport_adventure				冒險


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   越獄 – 這是你的唯一出路
escapemode_help                         第一步：聲望 — 聲望在這裡意味著一切\n\nﾕ 開始打架，以提高您的聲望。讓他人受傷確實會讓您博得關注，但毀壞物品也是個很好的開始。您在打鬥中造成破壞越大越好。\nﾕ 別讓任何人看到。如果警衛看到您打架，除非他們已經不在人世，您會為此受到懲罰。\nﾕ 被人擊倒會很難看。您最好自主結束打鬥。\n\n第二步：小組 - 招募其他人與您一起設法越獄\n\nﾕ 吹口哨召喚他們過來，您走到哪裡，他們都會跟到哪裡。（在左上角按一下他們的名字）\nﾕ 他們甚至會和您一起參與鬥毆，這可以幫助您更快地提高聲望。\nﾕ 訓練您的小組。您永遠不會知道有個打架高手或有競爭力的短跑選手在附近最終將非常有用。\n\n第三步：違禁品 – 您將需要武器和工具\n\nﾕ 找到裏面可能有您想要的東西的房間。四處看看，您很快就會發現可以竊取的有用物品。\nﾕ 小心金屬探測器和企圖對您搜身的警衛。如果您被發現持有任何違禁品，他們會將其奪走，並把您關入單人牢房。\nﾕ 藏匿您的裝備。您可以將找到的東西藏在自己或其他人的牢房中，但要記住自己把東西放在哪裡。\n\n第四步：地道 – 安靜的出逃方法\n\nﾕ 奪取挖掘工具，並從您牢房中的馬桶開始挖掘地道。\nﾕ 挖掘的速度會很慢。集結小組成員來幫您挖掘。\nﾕ 不要被人發現。如果警衛看到您進出地道，您就會被察覺。\n\n祝您好運。您會需要它的。

codex_escapemode                        越獄模式
codex_escapemode_developer              （開發人員）越獄模式
codex_escapemode_new                    新越獄嘗試
codex_escapemode_load                   載入越獄嘗試
codex_escapemode_save                   儲存越獄嘗試
codex_escapemode_workshop               越獄模式 (Steam Workshop)
codex_escapemode_workshop_star_rating   *S 星或以上

escapemode_combat_attack                攻擊
escapemode_combat_attack_button         按滑鼠左鍵
escapemode_combat_lunge                 猛刺
escapemode_combat_lunge_button          Shift
escapemode_dig_button                   按住滑鼠左鍵
escapemode_dig                          挖掘
escapemode_surrender                    投降
escapemode_surrender_safe               終止打鬥
escapemode_surrender_button             空格鍵

escapemode_helpletter                   協助

escapemode_reputation_points            聲望積分：
escapemode_reputations_cost             *C 聲望積分
escapemode_reputations_max              最多

escapesquad_squad_member                小組成員
escapesquad_recruitment                 按住滑鼠右鍵以招募
escapesquad_recruitment_cost            聲望積分消耗：*C
escapesquad_toggle_follow               切換跟隨
escapesquad_nameplate_following         跟隨
escapesquad_skip_punishments            跳過懲罰
escapesquad_skip_punishments_tooltip    花費 1 聲望積分，讓您的所有小組成員在睡眠中完成懲罰並在其牢房中醒來。
escapesquad_sleep                       睡覺
escapesquad_sleep_tooltip               按一下以一覺睡到天亮。
escapesquad_reputations                 聲望
escapesquad_reputations_tooltip         在聲望上花費聲望積分，以提高小組的打鬥能力。
escapesquad_follow_mode                 跟隨模式
escapesquad_follow_mode_tooltip         處於跟隨模式下的囚犯將跟隨您，並模仿您的不當行為。\n\n使用 R 來同時切換所有囚犯的跟隨模式。
