
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	新建
buildtoolbar_popup_help_accessonly_3	~按右鍵取消「限制進入」設置的區域。\n\n
buildtoolbar_popup_help_accessonly_4	^提示
buildtoolbar_popup_help_accessonly_5	- 「限制進入」不是絕對的設置。這個設置並未明確阻止人們進入，尤其是如果他們的目的地位於標示區域內。如果穿越「限制進入區」明顯較替代路線短（例如，繞過整個監獄），人們可能還是會穿越「限制進入區」。

job_matsassigned	指派的材料
job_matsavailable	可用的材料
job_awaitingmaterials	正在等待材料
job_inprogress	-進行中-
job_blocked	-封鎖-
job_queued	-已排列-

job_failed_noroute	無路線
job_failed_nomaterials	無材料
job_failed_toodangerous	過於危險
job_failed_materialsbeingcarried	材料在途中

job_rightclicktocancel	- 按右鍵以取消
job_ftofollow	- 按 F 鍵以跟隨
job_makehighpriority	- Ctrl + 左鍵設定優先處理
job_removehighpriority	- Ctrl + 右鍵取消優先處理
job_makehighpriority_mac	- Alt + 左鍵設定優先處理
job_removehighpriority_mac	- Alt + 右鍵取消優先處理
job_highpriority_tooltip	- 緊急
job_refundamount	- 退款金額：*X

failuremessage_blocked	受阻
failuremessage_cantafford	資金不足
failuremessage_cantaffordupkeep	超過每日預算
failuremessage_maximumcountreached	已達到最高雇傭數目
failuremessage_maxstaff	工作人員過多


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	交貨
statustoolbar_finances	財務
statustoolbar_regime	管理制度
statustoolbar_escapemap	安全
statustoolbar_electricity	電力
statustoolbar_stats	統計資料
statustoolbar_danger	危險
statustoolbar_jobs	任務
statustoolbar_gangs	團夥
statustoolbar_staff	工作人員
statustoolbar_research	調查


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	Sprite 庫編輯器
spritebankeditor_create	建立
spritebankeditor_rotate	旋轉
spritebankeditor_sort	分選
spritebankeditor_markermodetitle	標記模式


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	主功能表
codex_campaign	劇情
codex_cutscenes	情境
codex_qualifications	資質
codex_load	載入監獄
codex_loadcampaign	載入劇情
codex_save	儲存監獄
codex_savecampaign	儲存劇情
codex_performance	效能測試
codex_developer_load	（開發人員）載入地圖
codex_developer_save	（開發人員）儲存地圖
codex_developer_clearach	（開發人員）清除成就
codex_contacts	聯絡方式
codex_materials	材料
codex_play	開始遊戲
codex_play_escape	玩逃獄模式
codex_polaroids	快照
codex_introduction	簡介
codex_restartintroduction	重新啟動簡介
codex_restartchapter	重新開始章節
codex_help	說明 (wiki)
codex_opensavefolder	打開儲存資料夾
codex_options	選項
codex_nitgs	遊戲中的名字
codex_workshop	共享監獄（Steam）
codex_steamtrending	最熱門監獄（Steam）
codex_checkforupdates	檢查更新
codex_preorder	立即預購
codex_termsconditions	條款和條件
codex_twitter	Twitter
codex_extras	附加功能
codex_unlocked	已解鎖 *X/*Y
codex_mapsettings	地圖設定
codex_othergames	其他 Introversion 遊戲
codex_mutators	設定器

codex_cloudsavedesc	儲存至雲端
codex_cloud_enabled	新的儲存內容將會存在雲端。
codex_cloud_notaccount	Steam 用戶端無法使用 Steam 雲端。請重新啟動使用此功能。
codex_cloud_notapp	新的儲存內容將會存在你的硬碟。
codex_saveload_delete	刪除

codex_new	建立新監獄
codex_new_worldsize	世界大小
codex_new_small	小
codex_new_medium	中
codex_new_large	大
codex_new_selectwarden	選擇監獄長
codex_new_selectgender	選擇囚犯性別

codex_options_graphics	圖形
codex_options_resolution	解析度
codex_options_resolutionauto	自動
codex_options_windowed	已視窗化
codex_options_highdpi	高 DPI
codex_options_filtering	篩選
codex_options_nofiltering	關
codex_options_multisampled	多重取樣
codex_options_supersampled	超級取樣

codex_options_audio	音訊
codex_options_volume	主音量
codex_options_frequency	混合頻率
codex_options_swapstero	交換立體聲
codex_options_dspenabled	啟用 DSP
codex_options_11khz	11025 Hz
codex_options_22khz	22050 Hz
codex_options_44khz	44100 Hz

codex_options_clocktype	時鐘類型
codex_options_clocktype_analogue	模擬
codex_options_clocktype_12h	12 小時制
codex_options_clocktype_24h	24 小時制

codex_options_directions	顯示地板標誌
codex_options_dirrender_hidden	隱藏
codex_options_dirrender_visible	顯示
codex_options_dirrender_zoom	縮放

codex_options_tempscale	顯示攝氏溫度

codex_options_gameplay	遊戲
codex_options_autosave	自動儲存計時器
codex_options_renderrooms	房間核取方塊
codex_options_apply	應用
codex_options_v2gui	版本 2.0 GUI
codex_options_zoomtomouse	縮放到滑鼠
codex_options_oneclickrapsheet	按一下顯示刑事記錄
codex_options_disableanalytics	停用分析
codex_tooltip_disableanalytics	我們收集匿名統計資料，以利改善遊戲體驗。我們所收集的資料會顯示在 metrics.txt

codex_options_language	語言

codex_options_experimental	試驗
codex_options_enablevbo	啟用頂點緩衝物件（VBO）

codex_nitgs_authwarning	注意：若最近更改過您的遊戲名稱，必須授權後才會出現在名單上。

codex_nitgs_filtercaption	篩選器
codex_nitgs_filterall	全部
codex_nitgs_filtermen	男性
codex_nitgs_filterwomen	女性

codex_nitgs_checkingforupdate	檢查更新中...
codex_nitgs_updateavailable	有可用的更新
codex_nitgs_downloading	下載更新中...
codex_nitgs_downloadcomplete	下載完成。
codex_nitgs_downloadfailed	下載失敗。

codex_enabled	已啟用
codex_disabled	已停用

codex_option_intake	持續收監
codex_tooltip_intake	如果啟用，則將每天接收隨機數目的新囚犯...直到永遠。\n\n如果停用，則可以選擇何時準備好接收囚犯，方法是轉至報告，然後按一下「囚犯」索引標籤。
codex_option_fogofwar	戰爭迷霧
codex_tooltip_fogofwar	您將無法看到監獄建築內部的情況，除非您讓警衛在此區域巡邏或使閉路電視攝像機覆蓋此區域。
codex_option_lakes	生成湖泊
codex_tooltip_lakes	隨機出現的湖泊將阻擋您的土地的部分區域。警告：試驗性功能。
codex_option_forests	生成森林
codex_tooltip_forests	成簇樹木將出現在您的土地上。
codex_option_buildings	生成建築
codex_tooltip_buildings	您的土地上將隨機留下廢棄的建築，供您隨意使用。
codex_option_failure	失敗條件
codex_tooltip_failure	附加挑戰！如果您讓事情惡化，則會被解雇，遊戲也將結束。（暴動、破產、死亡或越獄人數過多等）
codex_option_unlimitedfunds	無限資金
codex_tooltip_unlimitedfunds	純沙盒模式！您一開始就可以隨心所欲花費盡量多的資金，而不必擔憂沒錢或等到以後擁有更多資金。
codex_option_gangs	團夥
codex_tooltip_gangs	有些囚犯抵達時就擁有團夥聯盟，並將在監獄內襲擊敵對團隊成員。附加挑戰。
codex_option_events	事件
codex_tooltip_events	在遊戲期間引發事件，讓您時刻保持警惕。新增附加挑戰和不可預知的元素。
codex_option_weather	天氣和氣溫
codex_tooltip_weather	在你的監獄增加天氣和溫度變化，你就需要去思考暖氣問題。
codex_option_enablecheats	啟用工具和密技
codex_tooltip_enablecheats	允許監獄內使用開發工具和密技。此選項啟用後不得取消，不再頒發成就獎也將無法出售此監獄。
codex_option_staffneeds	工作人員需求
codex_tooltip_staffneeds	啟用「警衛的需求」，代表他們會需要食物、休息及其他舒適的設備，以確實完成工作。
codex_option_wardenmode	典獄長模式
codex_tooltip_wardenmode	在這座你親手打造的監獄裡擔任典獄長。
codex_option_wardenmode_permadeath	永久死亡
codex_tooltip_wardenmode_permadeath	如果你在擔任典獄長時死亡，遊戲就結束了！

codex_option_funds	資金
codex_tooltip_funds	您的銀行帳戶將以此資金數目開始。在「估值」螢幕中出售您已建立的監獄，從而以更多資金開始。

codex_transfer	轉移
codex_transferring	正在轉移
codex_in_prison	目前已監禁
codex_unavailable	不可使用
codex_useravatar	這是我
codex_tooltip_useravatar	將這名囚犯標記為您自己的條目。如果您最終不知何故而入獄，這名囚犯將代表您。
codex_tooltip_flagbio	將此個人簡歷報告為無法接受或冒犯性。

codex_workshop_current	當前監獄
codex_workshop_publish	發佈此監獄
codex_workshop_update	更新
codex_workshop_play	開始遊戲
codex_workshop_downloading	正在下載
codex_workshop_download_failed	下載失敗
codex_workshop_publishing	正在發佈...
codex_workshop_new	新建
codex_workshop_title	標題
codex_workshop_desc	說明
codex_workshop_view_in_workshop	在 Steam Workshop 中檢視
codex_workshop_heading_pubed	您已發佈的監獄
codex_workshop_heading_subed	已訂購的監獄
codex_workshop_published_by	由 *P 發佈
codex_workshop_published_by_you	由您發佈
codex_workshop_published_good	已發佈的監獄
codex_workshop_published_good_msg	您的監獄已成功發佈。
codex_workshop_published_bad	無法發佈監獄
codex_workshop_published_bad_msg	您的監獄未能發佈。
codex_workshop_published_bad_msg_new	您的新監獄未能發佈。請重試。
codex_workshop_busy	Steam 中發生了神秘事件。請先等待該事件完成，然後重試。
codex_workshop_file_exists	您已使用此名字發佈了監獄。請選擇不同的名字。
codex_workshop_generic_fail	無法發佈您的監獄。請重試。
codex_workshop_download_bad	無法下載監獄
codex_workshop_pa_workshop	打開《監獄建築師》工作室
codex_workshop_agreement	提交此項目即表示您同意 [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop terms of service[/url]。
codex_workshop_update_warning	更新已發布監獄
codex_workshop_update_warning_msg	更新已發佈監獄將以目前裝載的監獄取代已發佈的監獄。這個動作會刪除已發佈的監獄，並被你目前在玩的監獄永久取代。此操作無法復原。\n\n你確定要繼續嗎？

codex_options_timelapse	縮時攝影
codex_timelapse_record	錄製縮時攝影
codex_timelapse_stop	停止縮時攝影
codex_timelapse_camera	攝像機模式
codex_timelapse_customresw	自訂解析度寬度
codex_timelapse_customresh	自訂解析度高度
codex_timelapse_resolution	解析度
codex_timelapse_fps	播放速度
codex_timelapse_interval	擷取間隔
codex_timelapse_quality	質量
codex_timelapse_unsupported	此功能在您的硬件上不可用。
codex_timelapse_savesettings	儲存設定

codex_timelapse_cam_zoom	縮放攝像機
codex_timelapse_cam_fitmap	適應地圖
codex_timelapse_cam_fitheight	適應地圖高度
codex_timelapse_cam_fitwidth	適應地圖寬度
codex_timelapse_fps_value	*X FPS
codex_timelapse_quality_high	高
codex_timelapse_quality_med	中
codex_timelapse_quality_low	低
codex_timelapse_interval_value	*X 遊戲分鐘數
timelapse_caption	縮時攝影記錄長度 *X:*Y，幀數共*Z 張， 待辦: *T

codex_performance_running	效能測試正在執行
codex_performance_time	剩餘時間：*T 秒
codex_performance_current	當前畫面時間：*T 毫秒
codex_performance_min	最小畫面時間：*T 毫秒
codex_performance_avg	平均畫面時間：*T 毫秒
codex_performance_max	最大畫面時間：*T 毫秒
codex_performance_numframes	畫面數：*T

codex_last_modified	上次修改時間：*T
codex_sortbydesc	按日期分選
codex_sortname	名稱
codex_sortdate	日期
codex_apply	應用
codex_select	選擇

codex_mods	模組
codex_mod_activetitle	作用中的模組
codex_mod_inactivetitle	可用的模組
codex_mod_deactivate	停用所有模組
codex_mod_wiki	尋找更多模組 (Wiki)
codex_mod_openmodsfolder	打開 模組 資料夾
codex_mod_moresteammods	尋找更多模組 (Steam Workshop)
codex_mod_findsteamtranslations	尋找更多翻譯 (Steam Workshop)
codex_authortitle	作者
codex_versiontitle	版本
codex_datetitle	日期
codex_urltitle	URL
codex_typetitle	類型
codex_mod_graphicsandsound	圖形和音效
codex_mod_translation	翻譯
codex_mod_scenario	情節
codex_mod_content	內容
codex_mod_load_scenario	播放情節
codex_publishmod	發佈此模組

codex_mod_update	更新此模組
codex_mod_published_good	模組已發佈
codex_mod_published_good_msg	您的模組已成功發佈。
codex_mod_published_bad	無法發佈 模組
codex_mod_published_bad_msg	您的模組未能發佈。
codex_mod_modsupdated	模組已更新
codex_mod_modsupdated_msg	您的一些作用中的模組已更新。按一下「確定」以應用新變更。您的遊戲將自動儲存。
codex_mod_translationcaption	這是其他語言的翻譯嗎？

codex_language	語音
codex_language_englishdefault	英語（預設）
codex_language_default	預設語言
codex_language_download	下載
codex_language_failed_download	無法下載翻譯
codex_language_failed_download_msg	無法下載您選擇的翻譯。
codex_language_searching_workshop	正在搜尋 Steam Workshop
codex_language_community	此翻譯由社群建立和維護，謝謝！

codex_polaroids_new	全新

codex_save_confirm	確定要用當前監獄覆蓋 *X 嗎？
codex_researtchapter_confirm	確定要重新開始當前章節嗎？未儲存的進度將遺失。
codex_delete_confirm	你確定要永久刪除 *X 嗎？

codex_premadeprisons	預製監獄

codex_trending_more	...
codex_sortbycaption	排序方式：
codex_trending_oneday	一天
codex_trending_oneweek	一周
codex_trending_threemonths	三個月
codex_trending_sixmonths	六個月
codex_trending_oneyear	一年
codex_trending_alltime	所有時間
codex_trending_failedtogetlist	取得監獄名單失敗
codex_trending_failedtogetlist_msg	取得熱門監獄名單失敗

codex_settings	地圖設定
codex_settings_gangs	開啟幫派
codex_settings_events	開啟活動
codex_settings_weather	開啟天氣
codex_settings_staffneeds	啟用工作人員需求
codex_settings_failureconditions	啟用失敗條件
codex_settings_confirm	一旦啟動，設定便無法取消。你確定要啟用 *X？

codex_packrects	Pack Rectangles
codex_addboxbutton	新增長方形
codex_setsize	設置區域大小
codex_removeallrects	移除所有矩形
codex_packrects_widthcaption	空間寬度
codex_packrects_heightcaption	空間高度
codex_packrects_boxwcaption	長方形寬度
codex_packrects_boxhcaption	長方形高度

mods_downscaled_spritesheet	精靈表遭縮減
mods_downscaled_spritesheet_msg	由於你的顯卡限制，精靈表必須縮減。可能是啟動太多模組的結果。請停用一些模組以改善品質。
mods_errors_no_memory	已裝載無模組精靈表
mods_errors_no_memory_msg	沒有足夠的繪圖記憶體以裝載更多模組精靈表。可能是啟動太多模組的結果。請停用一些模組以減少記憶體的使用。

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	是否希望保留這些圖形選項？這些變更將在數秒內還原
graphicschange_time	。
graphicschange_accept	接受
graphicschange_revert	還原

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	指令碼偵錯工具 (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	發現模組差異
modnotification_info	這些模組在儲存當前監獄時使用。我們強烈建議先下載和啟用這些模組，然後再使用此監獄。
modnotification_playnow	立即遊戲
modnotification_active	活動
modnotification_inactive	非使用中
modnotification_new	新建
modnotification_unknown	未知
modnotification_popup_title	模組差異
modnotification_popup_active	此模組目前正在作用中。按一下以停用。
modnotification_popup_inactive	此模組目前未在作用中。按一下以啟用。
modnotification_popup_new_url	這是新模組。按一下以在 Web 瀏覽器中打開其連結。
modnotification_popup_new_steam	這是新的 Steam 模組。按一下以立即訂購和下載此模組。
modnotification_popup_unknown	我們無法確定此模組的來源。請自行尋找和安裝此模組。

# =============================================================================
# Biography
# =============================================================================

biography_search	停止並搜尋
biography_selected	已選取
biography_prisoner_name	*S、*F
biography_prisoner_number               囚犯 #*X
biography_prisoner_age	年齡：*X
biography_prisoner_traits	特征：
biography_prisoner_convicted	判處 *C 罪（辯護 *P）
biography_prisoner_sentenced	被判處有期徒刑 *X 年
biography_parole_now	現在有資格獲得假釋
biography_parole_later	*X 年後有資格獲得假釋
biography_prisoner_served	已服刑 *X 年
biography_prisoner_priors	前科：


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	年齡：
rapsheet_category	類別：
rapsheet_traits	已知特征：
rapsheet_conviction_text	*C - *Y 年
rapsheet_found_text	（辯護：*P）
rapsheet_convictions	定罪
rapsheet_misconductstitle	最近不當行為
rapsheet_biography	個人簡介
rapsheet_guilty	有罪
rapsheet_notguilty	無罪
rapsheet_served	已服刑
rapsheet_served_time	已服刑 *Y 年
rapsheet_time	*Y 年
rapsheet_bio	因 *A 被判處 *Y 年。
rapsheet_bio_med	因 *A 和 *B 等多項罪行被判處 *Y 年。
rapsheet_bio_long	因 *A、*B 和 *C 等多項罪行被判處 *Y 年。
rapsheet_category_minsec	最低安全級別
rapsheet_category_normal	普通安全級別
rapsheet_category_maxsec	最高安全級別
rapsheet_category_protected	保護性監禁
rapsheet_category_supermax	超高安全級別
rapsheet_category_deathrow	死囚區
rapsheet_tab_biography	個人簡介
rapsheet_tab_experience	經驗
rapsheet_tab_grading	評分
rapsheet_tab_character	角色
rapsheet_punish	懲罰
rapsheet_recruit	招募線人

rapsheet_timeinside	進入您的監獄 *X 天
rapsheet_timeinside_hours	進入您的監獄 *X 小時
rapsheet_mood	情緒
rapsheet_activity	活動
rapsheet_condition	狀態
rapsheet_program	課程
rapsheet_passchance	成功幾率
rapsheet_reformhistory	改造課程歷史記錄

rapsheet_reform_success	成功
rapsheet_reform_successcount	已完成 *X 次
rapsheet_reform_failed	不及格
rapsheet_reform_failcount	不及格 *X 次

rapsheet_grading_punishment	懲罰
rapsheet_grading_health	健康
rapsheet_grading_security	安全
rapsheet_grading_reform	改造
rapsheet_grading_points	*X 分：
rapsheet_grading_penalties	*X 懲罰：

rapsheet_scheduleexecution	安排死刑執行計劃


punish_lockdown_6	禁閉（6 小時）
punish_lockdown_12	禁閉（12 小時）
punish_lockdown_24	禁閉（24 小時）
punish_solitary_6	單獨禁閉（6 小時）
punish_solitary_12	單獨禁閉（12 小時）
punish_solitary_24	單獨禁閉（24 小時）
punish_solitary_perm	單獨禁閉（永久）
punish_lockdown_perm	禁閉（永久）
punish_solitary	單人牢房
punish_lockdown	禁閉
punish_none	無
punish_timer	*X 小時 *Y 分鐘
punish_timer_minutes	*X 分鐘
punish_active	活動
punish_permanent	（永久）
punish_end	結束懲罰

punish_up	提升
punish_down	下降
punish_setmin	最低
punish_setmed	中等
punish_setmax	最高
punish_setsuper	超級

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none	無
misconduct_reporttype_complaint	投訴
misconduct_reporttype_destruction	破壞
misconduct_reporttype_escapeattempt	企圖越獄
misconduct_reporttype_injuredprisoner	襲擊了囚犯
misconduct_reporttype_injuredstaff	襲擊了工作人員
misconduct_reporttype_seriousinjury	重傷
misconduct_reporttype_murder	謀殺
misconduct_reporttype_contrabandweapons	找到武器
misconduct_reporttype_contrabandtools	找到工具
misconduct_reporttype_contrabandnarcotics	找到毒品
misconduct_reporttype_contrabandluxuries	找到奢侈品
misconduct_reporttype_intoxicated	中毒
misconduct_title	=[不當行為]=
misconduct_totalitems	（增加 *X ）

misconduct_report_addiction	對 *X 上癮
misconduct_report_recoving	正戒掉 *X 毒癮，恢復健康
misconduct_report_alcoholic	酗酒者
misconduct_report_recovingalcoholic	酗酒者正在恢復健康


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required	您需要 *X 來準備此報告。
research_requireunlock	您需要調查「*X」以解鎖此報告
research_approved	已核准
research_cost	成本：*X
research_costperitem	每個物品 + *X。
research_timetounlock	距離解鎖所剩時間：*X 小時
research_movementpenalty	動作懲罰：*X%
research_protectionbonus	保護：*X%
research_tap_to_authorise	點選以授權

research_none	無
research_warden	監獄長
research_maintainance	維護
research_security	安全
research_legal	法律
research_mentalhealth	心理學
research_finance	財務
research_landexpansion	用地擴張
research_cctv	監視
research_riotguards	防暴警衛
research_health	健康
research_cleaning	清潔
research_groundskeeping	庭院保養
research_clone	克隆
research_deployment	部署
research_patrols	巡邏
research_dogs	警犬
research_prisonlabour	監獄勞役
research_education	教育
research_contraband	情報
research_policy	監獄政策
research_armoury	槍械庫
research_bodyarmour	護身防彈衣
research_tazers	泰瑟槍
research_tazersforeveryone	泰瑟槍首次亮相
research_bankloans	銀行貸款
research_lowertaxes1	稅款減免
research_lowertaxes2	海外避稅天堂
research_remoteaccess	遠端存取
research_extragrant	附加津貼任務
research_advancedmanagement	微觀管理
research_deathrow	死囚區
research_permanentpunishment	永久懲罰
research_removemincellsize	小牢房
research_reduceexecutionliability	行刑責任
research_legalprep	法律準備
research_legaldefense	法律辯護
research_guardtowers	守衛塔

researchtooltip_warden	解鎖監獄長和整個官僚機構系統。透過「工作人員」工具列雇傭他。\n\n與所有管理人員一樣，他需要一間辦公室來處理公務。
researchtooltip_security	解鎖安保主管，可透過「工作人員」工具列雇傭他。此主管可讓您存取「部署」螢幕，還會為您提供監獄危險級別的實時報告，這通常能預測後患。\n\n與所有管理人員一樣，他需要一間辦公室來處理公務。
researchtooltip_maintenance	解鎖監工。透過「工作人員」工具列雇傭他。\n\n與所有管理人員一樣，他需要一間辦公室來處理公務。
researchtooltip_legal	解鎖律師，可透過「工作人員」工具列雇傭他。解鎖大量調查選項可使您加強對監獄的控制。\n\n與所有管理人員一樣，他需要一間辦公室來處理公務。
researchtooltip_deployment	允許您將警衛永久駐守在監獄的各個防區。
researchtooltip_patrols	使您能夠確定監獄關鍵區域附近（如圍墻）的巡邏路線，並指派警衛來執行這些巡邏。
researchtooltip_dogs	解鎖訓犬員和警犬。它們善於嗅探違禁品和檢測越獄地道。\n\n警犬的速度也非常快，這讓它們可以輕鬆地追趕囚犯。
researchtooltip_cctv	解鎖閉路電視攝像機和安防監視器。使用這些設備來保持對無人看管的監獄區域的監視。\n\n此外，解鎖電話監聽系統，該系統可讓您監聽囚犯的電話通話並獲取重要情報。
researchtooltip_remoteaccess	解鎖用於遙控和自動化門禁的高科技設備。您可以使用門禁控制系統（由警衛操作）遠端開門，或透過門禁計時器在一天當中的特定時間開門。
researchtooltip_riotguards	（目前沒有任何用處）\n解鎖防暴警衛。這些人全副武裝，能更好地處理暴力情況。
researchtooltip_maintainance	解鎖監工。他可以讓您對監獄勞役等事件或園丁等其他工作人員進行深入調查。\n\n與所有管理人員一樣，他需要一間辦公室來處理公務。
researchtooltip_clone	解鎖主工具列上的克隆工具。使用此工具以快速複製監獄的各個區域（如牢房）。要使用此工具，請使用滑鼠右鍵拖動來選中要複製的區域，然後按滑鼠左鍵以粘貼複製。
researchtooltip_groundskeeping	解鎖園丁，他將讓室外區域保持整潔。
researchtooltip_cleaning	解鎖清潔工。他將清潔監獄的所有室內區域，還可以幫助完成監獄的洗衣服務。
researchtooltip_health	解鎖醫生以及醫務室和太平間。受傷的囚犯和工作人員將被帶到醫務室，醫生將為他們處理傷口。
researchtooltip_MentalHealth	解鎖心理學家，讓您能夠隨時瞭解有關囚犯內在心理狀態的寶貴見解。\n\n與所有管理人員一樣，他需要一間辦公室來處理公務。
researchtooltip_finance	解鎖會計師，使您能夠獲取監獄的財務報告。\n\n此外，還在假定擁有備用資金的情況下，讓每天的開支超過收入通常允許的範圍。\n\n與所有管理人員一樣，她需要一間辦公室來處理公務。
researchtooltip_landexpansion	授權您購買相鄰地塊，從而在監獄初始邊界之外擴建監獄。
researchtooltip_prisonlabour	允許您讓囚犯在監獄各處工作（做飯、打掃衛生等），從而減少需支付的工作人員工資，賺取資金，並同時向囚犯傳授新技能。\n\n此外，解鎖車間和洗衣房。
researchtooltip_education	解鎖採用外聘教師為囚犯開設教育改造課程的功能。
researchtooltip_contraband	培訓您的警衛，使其更擅於追蹤和追回違禁品。解鎖違禁品供求報告（顯示監獄內所有可能被盜的地點的違禁品覆蓋圖），並追溯所有追回的違禁品的走私或被盜地點。\n\n此外，解鎖招募囚犯擔任秘密線人的功能。\n\n並且解鎖團夥情報視圖。
researchtooltip_policy	解鎖政策報告，可以讓你加重和減輕各類不當行為的懲處，也可以自動啟動行為不當的囚犯和他們的牢房的的搜查。\n\n 也可以讓你控制營養政策，改變提供給囚犯的食品數量和種類。
researchtooltip_armoury	解鎖軍械庫，並允許您在監獄各處部署武裝警衛。
researchtooltip_bodyarmour	為您的所有警衛、武裝警衛和訓犬員配備護身防彈衣。這有助於在戰鬥中吸收傷害，但警衛的移動速度會受到一點影響。警衛必須造訪軍械庫才能獲取此設備，而以這種方式購買的全身防彈衣須花費一定的成本。
researchtooltip_tazers	允許您的武裝警衛佩戴泰瑟槍，這種有效的單發武器將使大多數目標立即失去意識。泰瑟槍需要充電整整一個小時，才能發射一次。\n\n武裝警衛必須造訪軍械庫才能獲取此設備，而以這種方式購買的每把泰瑟槍均須花費一定的成本。
researchtooltip_tazersforeveryone	提供泰瑟槍課程，讓普通警衛也可以佩戴泰瑟槍進行防衛。\n\n他們必須造訪軍械庫才能獲取此設備，而以這種方式購買的每把泰瑟槍均須花費一定的成本。
researchtooltip_bankloans	允許您從銀行借貸大筆資金，代價是每天支付利息。清償貸款將提高您的信用評級，讓您稍後可以借貸更高的金額。
researchtooltip_lowertaxes1	充分利用政府的稅收激勵政策，將您的有效公司稅率降至僅有 15%。\n\n您每賺取 10,000 美元的日利潤，就將節省 1,500 美元的稅款。
researchtooltip_lowertaxes2	會計師將規則運用到極致，將您所有的官方帳戶和業務流程轉移到具有高優惠稅率的海外國家。您的有效企業稅納稅義務將降至 1% 左右。\n\n您每賺取 10,000 美元的日利潤，就將節省總共 3,000 美元的稅款。
researchtooltip_extragrant	使您能夠同時接受最多三項津貼任務，而非兩項。
researchtooltip_advancedmanagement	為您提供可微觀管理監獄各方面的工具，使各方面滿足您的確切要求。\n\n解鎖食物物流，使您可以指定為各食堂烹飪飯菜的廚房和囚犯就餐的食堂。同樣，洗衣房物流可讓您控制各個洗衣房所覆蓋的牢房區。\n\n此外，解鎖部署調度程序可讓您自訂一天當中不同時刻的警衛部署。\n\n解鎖改造課程調度程序，讓您人工控制每天的課程安排。
researchtooltip_permanentpunishment	有時待在監獄裡並不意味著足夠的關押程度。您的律師可以提交必要的檔案，將囚犯永久禁錮在牢房中。
researchtooltip_removemincellsize	監獄中的牢房需要達到一定的面積，以符合法律規定。但請想像以下，如果這一點無關緊要，那麼您可以配置多少間牢房！刪除標準牢房的最低面積要求。
researchtooltip_reduceexecutionliability	您的律師將在死囚區程序可以正常啟動前進行遊說，力爭減輕規定的定罪力度。這將在您可以安排死刑行刑而無需承擔任何責任之前，顯著降低囚犯的上訴次數。
researchtooltip_legalprep	每所監獄都會時不時遇到各種問題，其中部分問題將帶來相當嚴重的法律後果。如果出了什麼差錯，您的律師將著手處理文書工作，以幫助您排憂解難，但這項操作需要提前完成。
researchtooltip_legaldefense	情況不妙 — 發生了可怕的錯誤，於是您被給予警告。如果看起來您無法掌控局勢，律師可以幫助您擺脫困境。完成這項調查將移除當前的所有警告，否則這些警告可能會導致您被解雇。
researchtooltip_guardtowers	解鎖守衛塔和狙擊手，讓你擁有訓練有素的射手監督你的監獄戶外區域。\n\n 狙擊手必須前往軍械庫領取步槍，否則將手無寸鐵。

research_legaldefense_adviser1	看起來您的律師已經提交了一些文書，使您不會因這個爛攤子的後果而遭受傷害。我想這意味著我不能解雇你。這次而已。
research_legaldefense_adviser2	趕緊讓監獄變得井井有條，並確保監獄保持良好秩序。這個計謀不會再次管用，也不會永遠保護您。

research_missingadministrator	需要：



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required	需要：
roomrequirement_recommended	建議：
roomrequirement_minimumsize	最小尺寸：*W x *H
roomrequirement_minimumsize_short	尺寸：*W x *H
roomrequirement_indoor	室內
roomrequirement_outdoor	室外
roomrequirement_solidground	堅實的地面
roomrequirement_secure	安全（至少在一扇門後面）
roomrequirement_secure_short	安全
roomrequirement_enclosed	已封閉（四周被墻壁和門包圍）
roomrequirement_enclosed_short	已封閉
requirement_entrance	需要入口
roomrequirement_title	=[房間要求]=
roomrequirement_passed	[合格]
roomrequirement_failed	[不合格]
roomrequirement_adjacentobject	鄰近房間：*X

# =============================================================================
# Unlocks
# =============================================================================

unlock_title	已解鎖

unlock_special_electricity	電力系統
unlock_special_food	準備食物
unlock_special_officersafety	官員安全
unlock_special_misbehavior	行為不當
unlock_special_accounting	會計
unlock_special_gangs	團夥

unlock_electricity_caption	允許建設發電站和電力電纜，從而為需要用電的所有裝置供電。


# =============================================================================
# Advisers
# =============================================================================

click_to_continue	按一下以繼續...
incoming_call	呼入呼叫...

adviser_name_unknown	未知
adviser_name_ceo	執行長
adviser_name_warden	監獄長
adviser_name_governer	州長
adviser_name_chief	主管
adviser_name_doctor	醫生
adviser_name_kingpin	領袖
