# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新記錄
object_SteppingStoneIceBlock	踏腳石 (冰)
object_SteppingStone	踏腳石
object_SteppingStonePallet	踏腳石 (貨板)
object_ScannerMonitor	掃描器監視器
object_ScannerMachine	掃描器
object_CheckPoint	檢查站

# =============================================================================
# Interface Mode
# =============================================================================

codex_option_islandNoBridge	島嶼地塊
codex_option_islandBridge	島嶼地塊有人脈

codex_tooltip_islandNoBridge	生成一個四面環水的起始地塊，此地塊將使用一個碼頭，而不是道路。
codex_tooltip_islandBridge	生成一個四面環水的起始地塊，並建造橋樑將其與道路連接。

mutator_name_DynamicReputations	動態聲望
mutator_tooltip_DynamicReputations	服刑期間，根據其在監獄中的活動和經歷，囚犯有機會獲得或失去聲望。

interfacelogistics_deliverytargeting	交貨
d11_logistic_select_delivery_method	選擇交貨
interfacelogistics_vehiclepurpose	運輸

buildtoolbar_Logistics_DeliveryTargeting	將交貨、垃圾和外銷產品區域連接至直升機停機坪、碼頭和道路。如此一來，你就可以控制交貨地點和外銷產品運出監獄的方式。
buildtoolbar_Logistics_VehiclePurpose	控制特定碼頭、直升機停機坪或道路處理的服務。如此一來，你就可以透過海運和空運接受特定商品或囚犯，並將其送至監獄的各個地點。

d11_logistics_transportTitle	運輸偏好
d11_logistics_purpose_group_0	進入監獄的貨物
d11_logistics_transport_deliveries_hint	選擇應運送至此處的物品。
d11_logistics_purpose_group_0_item_1	建築材料
d11_logistics_purpose_group_0_item_2	食物
d11_logistics_purpose_group_0_item_3	郵件
d11_logistics_purpose_group_0_item_4	車間材料
d11_logistics_purpose_group_1	入獄囚犯
d11_logistics_transport_prisoners_hint	從收容的囚犯中選擇應該送至此處的囚犯。
d11_logistics_purpose_group_1_item_1	最低安全級別
d11_logistics_purpose_group_1_item_2	中等安全級別
d11_logistics_purpose_group_1_item_3	最高安全級別
d11_logistics_purpose_group_1_item_4	死刑犯
d11_logistics_purpose_group_1_item_5	精神病
d11_logistics_purpose_group_2	進入監獄的平民
d11_logistics_transport_civilians_hint	選擇訪客和教師能否到達此處。
d11_logistics_purpose_group_3	運出監獄的物品
d11_logistics_transport_exports_hint	選擇監獄內可透過此地點移除的物品。
d11_logistics_purpose_group_3_item_1	垃圾
d11_logistics_purpose_group_3_item_2	外銷產品
d11_logistics_purpose_toggle	切換
d11_logistics_purpose_toggle_1	切換全部
d11_logistics_purpose_toggle_on	(開)
d11_logistics_purpose_toggle_off	(關)

d11_room_error_no_link	卸貨受阻。請檢查交貨和運輸物流選項。

d11_hover_change	變更 [[*L]]

water_amount	水位 *X%
ferry_timer	*X 後出發
ferry_warning	出發受阻

d11_hover_dismiss_vehicle	遣散 [[*S]]
d11_hover_depart_vehicle	出發 [[*S]]
interface_action_dismissVehicle	疏散运输设备
d11_hover_dismiss_vehicle_desc	是否遣散車輛以騰出空間？
d11_hover_dismiss_helicopter_desc	是否遣散此直升機？
d11_hover_dismiss_ferry_desc	是否讓渡船提早出發？

d11_hover_fight_fires	救火 [[*X]]
interface_action_fightFires	救火
d11_hover_fight_fires_desc	是否起飛並幫忙救火？

d11_hover_land_heli	降落 [[*S]]
interface_action_landheli	降落直升機
d11_hover_land_heli_desc	是否將直升機降落在其停機坪上？

d11_hover_eliteOps_select	指揮直升機 [[*X]]

d11_hover_deploy_squad	部署 (佔據) [[*X]]
interface_action_deploySquad	部署小組
d11_hover_deploy_squad_desc	是否在直升機下方部署小組？

interfacemode_floors	地板
interfaceoverlay_landscape	景觀和島嶼

codex_options_hud_waypoints	平視顯示器定位點
codex_options_hud_waypoints_all	全部開啟
codex_options_hud_waypoints_important	重中之重
codex_options_hud_waypoints_off	全部關閉

d11_hud_waypoints_limited	全部 (有限時間)
waypoints_tooltip	決定可在 HUD 上顯示的定位點，指向監獄中發生的各種事件和警報。


interfacecallout_FireHeli	空中消防隊員
interfacecallout_EliteOps	精英行動隊
interfacecallout_AirParamedics	空中醫護人員

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_obj_FerryDock	將建造兩個在島嶼間平行運作的渡船碼頭作為島嶼間的交通工具。若要建造一對碼頭，必須有相應的陸地。
buildtoolbar_popup_obj_BoatDock	對於讓船隻停靠在監獄、運送新囚犯或運送用品是不可或缺的。
buildtoolbar_popup_obj_Helipad	對於讓直升機駛入監獄、運輸新囚犯、運送供應或呼叫空中特殊緊急救援人員，必不可少。

buildtoolbar_popup_obj_DeckChair	滿足舒適需求。
buildtoolbar_popup_obj_Fountain	放入水中以建造令人放鬆的噴泉景觀。

buildtoolbar_popup_obj_SteppingStoneLillyPad	建造供囚犯和工作人員穿過水域的通道。僅限室外。僅限水上。
buildtoolbar_popup_obj_SteppingStone	建造供囚犯和工作人員穿過水域的通道。僅限室外。僅限水上。
buildtoolbar_popup_obj_SteppingStoneIceBlock	建造供囚犯和工作人員穿過水域的通道。僅限室外。僅限水上。
buildtoolbar_popup_obj_SteppingStonePallet	建造供囚犯和工作人員穿過水域的通道。僅限室外。僅限水上。
buildtoolbar_popup_uts_ScannerMonitor	連接至掃描器時，監視器可幫助警衛發現違禁品。警衛發現違禁品的能力將取決於其疲勞度。
buildtoolbar_popup_uts_ScannerMachine	用於交貨區和儲藏室的機器，可掃描木製板條箱中的違禁品。必須連接至掃描器，才可幫助警衛發現違禁品。警衛發現違禁品的能力將取決於其疲勞度。
buildtoolbar_popup_obj_Checkpoint	用於搜查經過的囚犯和訪客的檢查站。有警衛的情況下，囚犯僅能從一個方向通過檢查站。
buildtoolbar_popup_mat_waterShallow	在沙子和水域之間建立淺水區，進而建立更好的海岸線。與正常的水域不同，這些地磚可以供人在上面行走。
buildtoolbar_popup_mat_waterLarge	建立大面積的水域、湖泊和海洋。
buildtoolbar_popup_mat_WoodenDockFloor	實木地板，非常適合造船廠。

landscape_hint	(可在水上建造)

d11_emergencies_hints_fire_heli	一架載有 x*A 名消防員的直升機。- $*B
d11_squad_name_FireHeli	空中消防隊員
d11_emergencies_hints_paramedics_heli	一架載有 x*A 名醫護人員的直升機。- $*B
d11_squad_name_AirParamedics	空中醫護人員
d11_emergencies_hints_eliteOps_heli	一架載有 x*A 名精英行動士兵的直升機。- $*B
d11_squad_name_EliteOps	精英行動隊


quickbuild_OutdoorLake	室外湖
quickbuild_River	河流

# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint	需要與陸地連接和一條暢通的航道。
delivery_hover_hint	物流 > 運輸選單讓你能夠控制此 *X 的用途。
ferryDock_placement_hint	必須有相應的陸地以供停靠。
transportZones_hover_hint	透過運輸選單連接至直升機停機坪、碼頭和道路。

# =============================================================================
# DLC Upsell
# =============================================================================

objective_ReadSandALetter	執行長的信 (島嶼界限)
island_letter	尊敬的先生/女士，\n\n\n歡迎體驗作為島上監獄建築師的新生活！我們有一些建議，可以幫助你初步瞭解碼頭、直升機停機坪和島上監獄。\n\n1. 島嶼 - 根據監獄情況，你與大陸可能不一定會實際相連。如果是這樣，你就需要船隻和直升機來提供運輸服務。建造船塢和直升機停機坪，決定其用途，以便透過海運和空運接收特定貨物、新囚犯或新的緊急救援人員等。- 確保碼頭的航道暢通，方便船隻出入。- 可修建特殊的渡船碼頭、橋樑和踏腳石連接島嶼。- 借助新的經營行動隊和能夠從空中救火的直升機，你的監獄現在可以得到更好的保護。\n\n2. 自訂交貨和運輸 - 透過物流，你可以自訂分配給每個碼頭、直升機停機坪和道路的服務，進而提高監獄的效率。碼頭和直升機停機坪可連接至額外的交貨、接待和外銷產品區域。例如，你這樣就能夠把食物供應運送至廚房附近，或將收容的最高安全級別囚犯帶至島上最高安全級別的翼樓。可能性無窮無盡！\n\n3. 景觀 - 可在監獄周圍放置水域以建立護城河或海洋，也可使用泥土和其他地板類型建立海岸線，進而塑造土地。在水中建造的任何土地和小型島嶼都將立即完成。\n\n4. 新的安全措施 - 違禁品仍可透過船隻和直升機到達，因此我們也為你提供了一些全新的先進裝置；- 在交貨和儲藏區建造掃描儀，以便檢查板條箱和箱子。你需要一名機警的警衛監視已與掃描器連接的監視器。- 分配警衛至檢查站，搜查所有經過的囚犯和訪客。這個方法能夠有效發現違禁品，但如果沒有戰略性部署，此舉可能會減少囚犯流動。\n\n最後，即使島嶼也無法防止囚犯越獄，所以最好在海岸線上建造狙擊塔，以提防「游泳者」。\n\n我想說的就這麼多 - 祝你好運！\n\n執行長，\nPrison Architects Corp.


codex_option_dynamicReputations	動態聲望
codex_tooltip_dynamicReputations	囚犯服刑期間將根據活動和經歷，增加或減少聲望值。\n\n低 - 囚犯起始的動態聲望值非常低，增長速度也較慢。監獄內惡名昭彰的囚犯數量大幅減少。\n\n中 - 囚犯起始的動態聲望值低，以正常速度增長。監獄內惡名昭彰的囚犯數量適中。\n\n高 - 囚犯起始的動態聲望值中等，以正常速度增長。監獄內可能會出現較多惡名昭彰的囚犯。
object_scannermonitor_needsmachine	連接至掃描器
object_scannermachine_needsmonitor	連接至掃描器監視器


roomerror_nodeliveryarealinked	「物流」中沒有與此相連結的移交區。



# =============================================================================
# Missing Strings
# =============================================================================

buildtoolbar_popup_help_jobs_6	你必須封閉林地，以指派囚犯在其中工作，並且防止他們逃跑。


research_forestrylabour	林地勞役
researchtooltip_forestrylabour	你可以透過後勤功能表讓囚犯在林地工作。你必須封閉林區，以安排囚犯在其中工作，並且防止他們逃跑。請注意，囚犯也需要進入移交區來重新種植樹木。
action_usecomputer	使用電腦


buildtoolbar_popup_help_roomquality_1	「房間品質畫面」顯示你監獄內所有牢房和宿舍的品質，由 0 到 10 評分，分數愈高，品質就愈高。將滑鼠懸停在一個房間可以顯示判定其品質的各項因素，以及你可以如何提升該品質。\n\n
buildtoolbar_popup_help_roomquality_2	如果囚犯移送已開啟
buildtoolbar_popup_help_roomquality_3	- 在一段時間後，囚犯有權因表現良好而得到更高品質的牢房。具備更高品質的牢房是鼓勵良好表現的一個好方法。
buildtoolbar_popup_help_roomquality_4	- 在你的監獄保留一些低品質的牢房很重要，因為新進囚犯需要牢房，然而如果所有可用的牢房皆為高品質牢房，囚犯可能需住進集體牢房。
buildtoolbar_popup_help_roomquality_5	牢房評級
buildtoolbar_popup_help_roomquality_6	- 房間質量也將會影響整個防區的總體質量
buildtoolbar_popup_help_roomquality_7	- 囚犯會想要被移送到安全級別較低的防區, 尤其是如果那防區的質量比他現在所在的防區高
buildtoolbar_popup_help_roomquality_8	- 若沒有其他空間可用，囚犯可以被安置到比應得更高品質的牢房，但這樣可能會引起其他囚犯的不悅...

interface_landbuyoverwater	在你的航道或開闊水域周圍生成更多的島嶼，以完成擴展。
interface_landbuywaterislands	島嶼
interface_landbuywateronly	只能在水中

codex_option_landExpansion	用地擴張
codex_tooltip_landExpansion	擴展地塊土地的各個邊界，即可在開局獲得更大的起始地塊。

quickbuild_smallIsland	島嶼（小）
quickbuild_mediumIsland	島嶼（中）
quickbuild_largeIsland	島嶼（大）
quickbuild_smallLand	土地（小）
quickbuild_largeLand	土地（大）


buildtoolbar_quickbuild_smallIsland	可大量生成的島嶼，四周淺水環繞，在任何群島中都不會顯得格格不入。
buildtoolbar_quickbuild_mediumIsland	可大量生成的島嶼，四周淺水環繞，在任何群島中都不會顯得格格不入。
buildtoolbar_quickbuild_largeIsland	可大量生成的島嶼，四周淺水環繞，在任何群島中都不會顯得格格不入。
buildtoolbar_quickbuild_smallLand	由沙子、泥土和草磚構成的基礎印記，可在擴展土地時使用。
buildtoolbar_quickbuild_largeLand	由沙子、泥土和草磚構成的基礎印記，可在擴展土地時使用。

material_islandgenerator	快速建島
buildtoolbar_popup_mat_islandgenerator	在水中拖拽出一片區域來生成隨機小島。一定要避開船隻的航道。

online_check_fail	您目前沒有存取此遊戲功能的權限。

job_failed_routetomaterial_blocked	材料和工作之間的路徑受阻

############################### Green Machine ###############################

# =============================================================================
# Materials - Names
# =============================================================================

#console only
material_FlowerField	花田
#

material_ReclaimedWoodWall	翻新的木牆
material_BottleWall	玻璃瓶牆
material_WhitePicketFence	白色尖樁圍欄
material_ReclaimedBrickFloor	翻新的磚石地磚
material_ReclaimedRubberFloor	翻新的橡膠地磚
material_HayBailWall	乾草牆
material_WoodenFence	木柵欄
material_GardenWall	花園牆
material_SellMaterial	銷售材料

# =============================================================================
# Objects - Names
# =============================================================================

object_shed	小屋
object_BasicAutoGatherer	初級自動收集器
object_AdvanceAutoGatherer	高級自動收集器
object_AutoHarvester	自動收割機
object_AutoScythe	自動鐮刀工具
object_Farmer	農民
object_CompostFertilizer	堆肥
object_HighQualityFertilizer	優質肥料

object_CropCarrotPlant	紅蘿蔔植株
object_CropPotatoPlant	馬鈴薯植株
object_CropTomatoPlant	蕃茄植株
object_CropCabbagePlant	高麗菜植株
object_CropAppleTree	蘋果樹
object_CropBananaTree	香蕉樹
object_CropOrangeTree	橘子樹
object_CropPeachTree	桃樹
object_CropCornPlant	玉米植株
object_CropWheatPlant	小麥植株
object_CropBarleyPlant	大麥植株

object_CropAppleTreeSeed	蘋果樹種子
object_CropBananaTreeSeed	香蕉樹種子
object_CropOrangeTreeSeed	橘子樹種子
object_CropPeachTreeSeed	桃樹種子

object_CropCarrotPlantSeed	紅蘿蔔種子
object_CropPotatoPlantSeed	馬鈴薯種子
object_CropTomatoPlantSeed	蕃茄種子
object_CropCabbagePlantSeed	高麗菜種子
object_CropCornPlantSeed	玉米種子
object_CropWheatPlantSeed	小麥種子
object_CropBarleyPlantSeed	大麥種子

object_apple	蘋果
object_banana	香蕉
object_Peach	桃子
object_orange	橘子
object_carrot	紅蘿蔔
object_cabbage	高麗菜
object_potato	馬鈴薯
object_tomato	蕃茄
object_barley	大麥
object_wheat	小麥
object_corn	玉米
object_organicwaste	有機廢物

object_SolarPanels	太陽能電池板
object_Transformer	變電器
object_WindTurbine	風力發電機
object_SolarWindHybrid	風光互補發電機
object_Battery	電池
object_PowerExportMeter	外銷電能測量儀
object_PracticeSolarPanel	太陽能電池板組裝練習

object_TallFridge	立式冰箱
object_StorageShelf	倉庫貨架
object_CropSprinkler	農作物噴灑裝置
object_DripPipe	滴管

object_compostbin	堆肥垃圾桶
object_RecyclingBin	回收垃圾桶
object_RecyclingBag	回收袋

object_GardenGnome	花園小矮人玩偶
object_TopiaryBush	造型灌木
object_TopiaryBushBall	造型灌木（球形）
object_TopiaryBushWarden	造型灌木（監獄長）
object_TopiaryBushSwan	造型灌木（天鵝）
object_TopiaryBushDeer	造型灌木（小鹿）
object_TopiaryBushDog	造型灌木（小狗）
object_TopiaryBushCat	造型灌木（小貓）
object_TopiaryBushRex	造型灌木（暴龍）
object_SolarLight	燈（太陽能燈）

# 						RECREATIONAL GARDENING

object_FlowerRoseBush	玫瑰花叢
object_FlowerSunflower	向日葵
object_FlowerMixedBegonias	繽紛秋海棠
object_FlowerHeatherBushes	石楠花叢
object_FlowerHydrangeaPlant	繡球花植株

object_FlowerRoseBushSeed	玫瑰花叢種子
object_FlowerSunflowerSeed	向日葵種子
object_FlowerMixedBegoniasSeed	秋海棠種子
object_FlowerHeatherBushesSeed	石楠花叢種子
object_FlowerHydrangeaPlantSeed	繡球花種子

object_BarnDoor	穀倉門
object_WhitePicketGate	白色尖樁圍欄門
object_DoubleDoor	雙開門
object_DoubleStaffDoor	雙開員工門
object_DoubleVisitorDoor	雙開探視門
object_SellUtility	銷售設施
object_dumpObject	丟棄物品

buildtoolbar_popup_obj_sellUtility	銷售設施

# =============================================================================
# Equipment - Names
# =============================================================================

equipment_trowel	園藝鏟
equipment_handFork	三叉鏟
equipment_HerbPlant	毒品
equipment_Kicker	發酵水果
equipment_Drink	酒水
equipment_BoozeBag	酒袋
equipment_Orange	橘子
equipment_ProducedDrugs	毒品成品
equipment_ProducedBooze	酒類成品
equipment_ProducedNarcotics	麻醉藥成品

# =============================================================================
# Room - Names
# =============================================================================

room_VegetableAllotment	菜田
room_FruitOrchard	果園
room_FarmingField	農田
room_pantry	食品儲藏室

#=========================================================================
# Quick Rooms
#=========================================================================

quickbuild_flowerGarden	花園
quickbuild_grove	小樹林
quickbuild_hedgeMaze	樹籬迷宮
quickbuild_yard	庭院

buildtoolbar_quickbuild_flowerGarden_hint	為囚犯提供的安靜休憩區。
buildtoolbar_quickbuild_grove_hint	為土地增添生機的樹林。
buildtoolbar_quickbuild_hedgeMaze_hint	使用樹籬搭建的初級迷宮，可供囚犯進行探索。
buildtoolbar_quickbuild_yard_hint	標準庭院，內有囚犯可能需要的任何東西。


# =============================================================================
# Carousel - Hint strings
# =============================================================================

#console only
buildtoolbar_popup_obj_FlowerField	鮮花盛開的草地。
#

buildtoolbar_popup_obj_ReclaimedWoodWall	利用老舊廢棄物材料搭建而成的木牆。
buildtoolbar_popup_obj_BottleWall	利用老舊廢棄物材料搭建而成的絢麗多彩牆。
buildtoolbar_popup_obj_WhitePicketFence	能為花園遮風避雨，但用來看管囚犯效果有限。
buildtoolbar_popup_obj_ReclaimedBrickFloor	利用老舊廢棄物材料製造的人字紋地磚。
buildtoolbar_popup_obj_ReclaimedRubberFloor	利用老舊廢棄物材料製造的橡膠地磚。

buildtoolbar_popup_obj_shed	儲存所有種子、工具和其他農業道具的區域。此區域還有可用於初級灌溉的水龍頭。
buildtoolbar_popup_obj_BasicAutoGatherer	每 6 小時啟動一次，用於在一片 5x5 的區域內收集和儲存所有食材。
buildtoolbar_popup_obj_AdvanceAutoGatherer	每 6 小時啟動一次，用於在一片 10x10 的區域內收集和儲存所有食材。
buildtoolbar_popup_obj_AutoHarvester	每 6 小時啟動一次，收割其前方 10 塊地磚中的所有農作物。收割過程會因牆和門受到限制。
buildtoolbar_popup_obj_AutoScythe	機械化農場工具，會在遊戲內每 6 小時啟動一次，收割 5x5 區域內的所有農作物。

buildtoolbar_popup_obj_pantry	儲存所有新鮮種植的蔬果冷藏室，用於儲存所有監獄內生長的食物。
buildtoolbar_popup_room_VegetableAllotment	蔬菜生長室，內部種植的蔬菜既可供囚犯食用，亦可外銷。
buildtoolbar_popup_room_FarmingField	穀物類農作物種植室，這些農作物只可外銷。
buildtoolbar_popup_room_FruitOrchard	果樹種植房室，首次收穫果實後，果樹會不斷生產果實，既可供囚犯食用，亦可外銷。
buildtoolbar_popup_room_flowergarden	花園娛樂區，可供囚犯種植和照顧植物。

buildtoolbar_popup_obj_CropCarrotPlant	來種植自己的紅蘿蔔吧！購買一包種子有 20 粒，每次收穫時通常會產出 1 份食材，收穫的紅蘿蔔每根售價 $4。
buildtoolbar_popup_obj_CropPotatoPlant	來種植自己的馬鈴薯吧！購買一包種子有 20 粒，每次收穫時通常會產出 3 個馬鈴薯，收穫的馬鈴薯豆每個顆售價 $3。
buildtoolbar_popup_obj_CropTomatoPlant	來種植自己的蕃茄吧！購買一包種子有 10 粒，每次收穫時通常會產出 5 個蕃茄，收穫的蕃茄每個售價 $4。
buildtoolbar_popup_obj_CropCabbagePlant	來種植自己的高麗菜吧！購買一包種子有 30 粒，每次收穫時通常會產出 1 份食材，成熟的高麗菜每個售價 $4。
buildtoolbar_popup_obj_CropAppleTree	栽種一棵樹，然後不斷收穫蘋果吧！購買一包種子有 5 粒，一般產量為每棵樹 10 個蘋果，收穫的蘋果每個售價 $4。
buildtoolbar_popup_obj_CropBananaTree	栽種一棵樹，然後不斷收穫香蕉吧！購買一包種子有 5 粒，一般產量為每棵樹 16 把香蕉，收穫的香蕉每把售價 $6。
buildtoolbar_popup_obj_CropPeachTree	栽種一棵樹，然後不間斷地收穫桃子吧！購買一包種子有 5 粒，一般產量為每棵樹 10 個桃子，收穫的桃子每個售價 $6。
buildtoolbar_popup_obj_CropOrangeTree	栽種一棵樹，然後不斷收穫橘子吧！購買一包種子有 5 粒，一般產量為每棵樹 8 個橘子，收穫的橘子每個售價 $3。
buildtoolbar_popup_obj_CropCornPlant	來種植自己的玉米吧！購買一包種子有 10 粒，每次收穫時通常會產出 5 個玉米穗，成熟的玉米每個售價 $5。
buildtoolbar_popup_obj_CropBarleyPlant	來種植自己的大麥吧！購買一包種子有 20 粒，每次收穫時通常會產出 2 份大麥，成熟的大麥每份售價 $3。
buildtoolbar_popup_obj_CropWheatPlant	來種植自己的小麥吧！購買一包種子有 20 粒，每次收穫時通常會產出 4 份小麥，成熟的小麥每份售價 $6。
buildtoolbar_popup_obj_CompostFertilizer	應用在農作物上時，農作物生長和成熟的速度均會提高 25%。
buildtoolbar_popup_obj_HighQualityFertilizer	應用在農作物和蔬菜上時，農作物生長和成熟的速度均會提高 [50%]，同時還有更高機率掉落種子。
buildtoolbar_popup_obj_sell_Material	降價銷售材料。
buildtoolbar_popup_obj_Dump_Obj	在監獄內丟棄物品。
buildtoolbar_popup_obj_sellUtility	用於降價銷售的銷售設施。

buildtoolbar_popup_obj_TallFridge	現在，餐食食材可堆疊至一人高！
buildtoolbar_popup_obj_StorageShelf	這對擴大儲存空間十分有利。
buildtoolbar_popup_obj_CropSprinkler	自動向該區域的草叢、植物和樹葉灑水。
buildtoolbar_popup_obj_DripPipe	使用整齊的滴管自動灌溉 2 塊相鄰的地磚。這些道具僅能以直線方式放置，而且水平方向和垂直方向無法連接。

buildtoolbar_popup_uts_SolarPanels	太陽能發電機！可將其與多個綠色能源連接，但發電機產出的電能必須首先流經變電器才能在監獄中使用。
buildtoolbar_popup_uts_Transformer	將綠色能源產出的電力轉換為適用於電器的能量，多個電源可相互連接，但變電器能量輸入上限為 3,000 單位。電纜必須按隨附的箭頭圖像顯示的方向進行連接。
buildtoolbar_popup_uts_WindTurbine	風力發電機！可將其與多個綠色能源連接，但發電機產出的電能必須首先流經變電器才能在監獄中使用。
buildtoolbar_popup_uts_SolarWindHybrid	風光互補發電機！可將其與多個綠色能源連接，但發電機產出的電能必須首先流經變電器才能在監獄中使用。
buildtoolbar_popup_uts_Battery	儲存變電器轉換後的多餘電能，以供緊急情況使用或外銷，這些電能必須放置在變電器旁才有效。
buildtoolbar_popup_uts_PowerExportMeter	能夠將儲存的電能送回至電網以獲取經濟效益的設備，此設備必須連接至合適的變電器。
buildtoolbar_popup_obj_PracticeSolarPanel	放置在一張小桌子上的一塊太陽能電池板，可最多供 4 名囚犯在工坊內進行太陽能電池板開發專案。


buildtoolbar_popup_obj_object_compostbin	用於改造食物和有機廢物，製成可使用的肥料。
buildtoolbar_popup_obj_RecyclingBin	回收廢棄物而不是直接丟棄，因為這些廢棄物對環境有益。研究「回收獎勵」之後，你還能借此獲得收益！
buildtoolbar_popup_obj_GardenGnome	令人愉悅的經典花園裝飾。
buildtoolbar_popup_obj_TopiaryBush	扭曲的灌木叢裝飾。
buildtoolbar_popup_obj_TopiaryBushBall	棒棒糖造型的灌木叢裝飾。
buildtoolbar_popup_obj_TopiaryBushWarden	典獄長造型的灌木叢裝飾。
buildtoolbar_popup_obj_TopiaryBushSwan	優雅的天鵝造型灌木叢裝飾。
buildtoolbar_popup_obj_TopiaryBushDeer	威嚴的雄鹿造型灌木叢裝飾。
buildtoolbar_popup_obj_TopiaryBushDog	充滿活力的狗狗造型灌木叢裝飾，狗是人類最好的朋友。
buildtoolbar_popup_obj_TopiaryBushCat	慵懶的貓咪造型灌木叢裝飾，貓也是人類最好的朋友。
buildtoolbar_popup_obj_TopiaryBushRex	令人震撼的灌木叢裝飾。
buildtoolbar_popup_obj_SolarLight	晚間自動開啟的自動供電太陽能燈。
buildtoolbar_popup_obj_FlowerRoseBush	佈滿紅花的灌木叢裝飾。
buildtoolbar_popup_obj_FlowerSunflower	大黃花。
buildtoolbar_popup_obj_FlowerMixedBegonias	一堆五顏六色的花。
buildtoolbar_popup_obj_FlowerHeatherBushes	五顏六色的普通灌木叢。
buildtoolbar_popup_obj_FlowerHydrangeaPlant	佈滿藍花的植物裝飾。
buildtoolbar_popup_obj_BarnDoor	現在，不用再糾結囚犯是不是穀倉裡長大的野蠻人了。
buildtoolbar_popup_obj_WhitePicketGate	能為花園遮風避雨，但用來看管囚犯效果有限。
buildtoolbar_popup_obj_DoubleDoor	所有人都可使用的雙開門。
buildtoolbar_popup_obj_DoubleStaffDoor	供員工使用的雙開門。
buildtoolbar_popup_obj_DoubleVisitorDoor	供訪客使用的雙開門。
buildtoolbar_popup_obj_SellUtility	用於降價銷售的銷售設施。

buildtoolbar_popup_staff_farmer	照看農作物生長，管理與菜園、果園或農田相關的所有工作。

buildtoolbar_popup_mat_HayBailWall	高但脆弱的乾草捆。這種材料較為美觀，但不怎麼安全。僅限室外使用
buildtoolbar_popup_mat_WoodenFence	外觀更自然的人造木柵欄。僅限室外使用。
buildtoolbar_popup_mat_GardenWall	為監獄邊界增添些生氣和色彩。室內外均可使用。


# =============================================================================
# Interface
# =============================================================================

#console only

d11_researchhint_l_farming	此研究項目可解鎖許多與農業相關的功能，例如灌溉道具、更昂貴的農作物、堆肥垃圾桶和肥料道具、食品儲藏室和立式冰箱，還有獄中勞役工作和農作物分配控制方法。

d11_farm_work	農業事務
d11_farm_work_desc	將囚犯安排在菜園、果園或農田工作，在農場工人的監控下，囚犯將參與這些房間內農作物的種植、收割和一般維護。只有通過農場工作安全課程或擅長園藝的囚犯才能在此工作。
d11_check_ingredients_menu	查看食材菜單瞭解更多詳細資訊
d11_meal_cost_per_meal	$*X/餐
d11_meal_cost_total	總價
d11_meal_estimated_price	估價
d11_meal_quantity_description	調整每個囚犯用餐時消耗的食材量，數值為 1 至 3。使用此選項，則可依據所選設定、囚犯人數和目前食物供應量，控制食材配送量。
d11_meal_variety_description	使用此選項，則可控制配送食物時運送至監獄的食材類型數量。改變此選項不會影響訂購的食材量，僅影響食材類型及這些食材的成本。

#ingredient menu
d11_meal_system_description	監獄的食物系統由 4 個因素組成，分別為餐食選項（種類和數量）、目前囚犯人數、每天餐食量以及儲存的食材量。不同於充滿防腐劑的外來食材，食用監獄種植的農作物有更多益處，因此廚師也會優先烹飪這些食物。可在下方獲取與監獄食材和食物系統相關的統計資料。
d11_fresh_ingredients	新鮮食材
d11_imported_ingredients	外來食材
d11_meal_ingredients_count_per_meal	每餐食材
d11_meal_ingredients_count_per_day	每日食材
d11_crops_per_day	每日農作物
d11_imported_ingredients_cost	外來食材成本
d11_crop_cost	農作物成本

d11_hover_alert_green_electricity	需要綠色能源
d11_powerstation_overloaded	嚴重超載，請移除電器或新增電容器
d11_powerstation_overloaded_green	已超載，請移除電器或新增更多綠色能源
d11_powerstation_overloaded_two_transformers	已超載，同一電路中不得包含多個變電器
d11_powerstation_overloaded_merged_power	已超載，綠色能源不能與普通電源混合

d11_transformer_input_power	電能產量：*X 單位
d11_transformer_output_power	電能消耗量：*X 單位
d11_transformer_spare_power	目前多餘電能：*X 單位

d11_powerstation_power_prouduction	目前輸出電能：*X 單位
d11_powerstation_max_capacity	最大電能產量：*X 單位

d11_greenpower_positive_weather_effect	電能產量受到目前天氣的正面影響。
d11_greenpower_negative_weather_effect	電能產量受到目前天氣的負面影響。

d11_powerexportmeter_sell_desc	電能外銷：
finances_category_power_export	電能外銷
d11_powerexportmeter_powertosell	經濟補償： $*X

d11_battery_charge_text	目前電量：*X%
d11_battery_charging	充電中
d11_battery_discharging	耗電中


misconduct_reporttype_ProducedNarcotics	麻醉藥成品
contraband_Produced	麻醉藥成品


research_farming	農業
d11_researchhint_s_farming	解鎖高級農業技術、設備，以及更昂貴的農作物。

research_RecyclingIncentive	回收獎勵
researchtooltip_RecyclingIncentive	得益於政府的「邁向綠色」專案，每收集一袋垃圾，監獄每天可獲得 $10。
