
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Нова игра
buildtoolbar_popup_help_gangs_2             ~Ако искате насилствено да отстраните дадена банда от зоната, която контролира, маркирайте помещението и щракнете върху появилия се бутон Evict (Изгонване). Бандата обаче няма да остане много доволна от това...\n\n
buildtoolbar_popup_help_gangs_3             ^Съвети
buildtoolbar_popup_help_gangs_4             - Не можете да променяте зони от затвора, които са контролирани от банди. Ако искате да добавите или премахнете нещо в тези зони, ще трябва първо да си ги възвърнете.
buildtoolbar_popup_help_gangs_5             - Нечленуващите в бандата затворници ще бъдат таксувани за използване на съоръженията в зоните на затвора, които са под контрола на дадена банда. Членовете на противникови банди трябва изцяло да избягват тези зони.
buildtoolbar_popup_help_gangs_6             - Можете да използвате помещенията на охраната за поддържане на вашето влияние в зоната. Всички пазачи в офиса на охраната в непосредствена близост до евентуално контролирана от банда зона са под ваш контрол.
buildtoolbar_popup_help_gangs_7             - Членовете на бандата бдят над своя водач. Няма да останат доволни, ако нещо му се случи...

buildtoolbar_popup_help_weathermap_1        Изгледът Temperature (Температура) показва температурата в различните зони на вашия затвор. Температурата може да се увеличи с монтирането на радиатори. Ако някоя зона е твърде студена, необходимостта от отопление на затворниците в нея ще се увеличи.

buildtoolbar_popup_help_prefabs_1           Менюто Quick Build (Бързо изграждане) съдържа опции за ускореното изграждане на помещения, които много се използват. Инструментът Clone (Клониране) ви дава възможност да изберете зона от вашия затвор, която да копирате и след това поставите. Шаблоните за помещения ви дават възможност да поставите предварително оформени помещения, които автоматично отговорят на изискванията.\n\n
buildtoolbar_popup_help_prefabs_2           ~Изберете инструмента Clone, задръжте десния бутон на мишката и плъзнете зоната, която искате да копирате. След това щракнете с левия бутон някъде другаде в затвора, за да зададете изграждане на копие на тази зона.\n
buildtoolbar_popup_help_prefabs_3           ~Като изберете инструмента Prefab (Шаблони), просто щракнете с левия бутон на мишката в зоната на затвора, в която искате да изградите помещението, и то ще бъде построено от вашите работници.\n\n
buildtoolbar_popup_help_prefabs_4           ^Съвети
buildtoolbar_popup_help_prefabs_5           - Инструментът Clone не копира връзките към комуналните услуги. Ще трябва ръчно да свържете новосъздадените зони към тока и водата.

buildtoolbar_popup_help_zoning_1        Инструментите за зониране ви позволяват да контролирате кои затворници имат право на достъп до различните зони на затвора, като „общите“ и „отключените“ зони за достъпни за всички категории затворници.\n\n
buildtoolbar_popup_help_zoning_2        ~Изберете категорията, която искате да присвоите към дадена зона, после кликнете с левия бутон върху зоната. Кликването с десния бутон ще възстанови категорията на зоната до „Обща“.\n\n
buildtoolbar_popup_help_zoning_3        ^Съвети
buildtoolbar_popup_help_zoning_4        - Тъй като не се допускат затворници в предназначените за персонала зони, това ви позволява да създадете „въздушни коридори“ за задържането на затворниците в определени зони, като по този начин им попречите да имат достъп до иначе общодостъпни помещения. Това може да бъде особено полезно, ако искате например да задържите всички затворници под ваша опека далеч от общия двор или общо помещение.
buildtoolbar_popup_help_zoning_5        - Ако е зададено някоя зона да бъде отключена, всички врати в тази зона ще бъдат отворени.

buildtoolbar_popup_help_guards_1        Инструментът за охраната ви позволява да позиционирате надзирателите по зони. Пазач, който е поставен на пост в дадена зона, се движи на случаен принцип и изпълнява всякакви охранителни задачи в тази зона, като например отваряне на врати.\n\n
buildtoolbar_popup_help_guards_2        ~Кликнете с левия бутон на мишката, за да увеличите броя на пазачите, разположени в дадена зона. Кликнете с десния бутон, за да отстраните пазач.\n\n
buildtoolbar_popup_help_guards_3        ^Съвети
buildtoolbar_popup_help_guards_4        - Ако сте отключили микроуправлението, ще имате достъп до графика на дежурствата. Това ви позволява да създавате график, според който пазачите охраняват определени зони. Например, ако искате по време на режима на хранене пазачите да охраняват само столовата, можете да щракнете върху блока на графика, който съответства на режима на хранене, а след това да преместите плъзгача за време в този блок и да щракнете върху Canteen (Столова), за да зададете охрана.
buildtoolbar_popup_help_guards_5        - Можете да планирате до 7 различни блока от време, плюс режима по подразбиране „Винаги активна охрана“, което ви позволява да създавате сложни съчетания за разполагане на пазачите според нуждите на вашия затвор.
buildtoolbar_popup_help_guards_6        - Ако не изберете ръчно блока от време (интервала), когато възлагате охраната на пазачите, програмата за управление ще използва текущото време; когато променяте графика за патрулиране на охраната, уверете се, че сте избрали правилното време!

buildtoolbar_popup_help_patrols_title   Патрули
buildtoolbar_popup_help_patrols_1       Инструментът „3 Patrol“ ви позволява да създавате конкретни маршрути, които да бъдат патрулирани, както и да разполагате впоследствие обикновени пазачи, водачи на кучета или въоръжена охрана (или комбинация от 3-те), които да патрулират по тях. Тези патрули могат да преминават през множество зони.\n\n
buildtoolbar_popup_help_patrols_2       ~Задръжте левия бутон на мишката и плъзнете, за да създадете маршрути за патрулиране, после кликнете с левия бутон върху съществуващ маршрут, за да добавите пазач към този патрул. Кликнете с десния бутон върху пазач, за да го отстраните, или задръжте десния бутон на мишката и приплъзнете, за да премахнете напълно патрула.\n\n
buildtoolbar_popup_help_patrols_3       ^Съвети
buildtoolbar_popup_help_patrols_4       - Обикновените патрулиращи пазачи ще продължат да изпълняват задълженията си по охраната, които включват например отварянето на врати или претърсването на затворници. Това не важи за водачите на кучета и въоръжената охрана.
buildtoolbar_popup_help_patrols_5       - Ако сте отключили микроуправлението, ще имате достъп до графика на дежурствата, който функционира по същия начин при патрулите, както при пазачите.

buildtoolbar_popup_help_accessonly_1	Инструментът „Ограничен достъп” ви позволява да маркирате части от затвора, които обикновено трябва да се избягват, когато се движите в затвора. Той ви дава възможност да попречите на хората да използват помещенията като преки пътища през затвора, ако искате те да използват друг маршрут.\n\n
buildtoolbar_popup_help_accessonly_2	~Кликнете с левия бутон в зоната, която искате да маркирате като „Ограничен достъп”. Това може да се направи в допълнение към нормалните настройки за сигурност.
buildtoolbar_popup_help_accessonly_3	~Кликнете с десния бутон, за да премахнете настройката „Ограничен достъп”.\n\n
buildtoolbar_popup_help_accessonly_4	^Съвети
buildtoolbar_popup_help_accessonly_5	- „Ограничен достъп” не е стриктна настройка. Тя не възпрепятства изрично влизането на хора, особено ако целта им е в маркираната област. Ако преминаването през зона „Ограничен достъп” е значително по-кратко от алтернативата (например обиколка около целия затвор), хората все пак ще могат да преминават през зоните с ограничен достъп.

job_matsassigned                        Разпределени материали
job_matsavailable                       Налични материали
job_awaitingmaterials                   Изчакване на материали
job_inprogress                          -Текуща-
job_blocked                             -Блокирана-
job_queued                              -Изчакване-

job_failed_noroute                      Няма маршрут
job_failed_nomaterials                  Няма материали
job_failed_toodangerous                 Прекалено опасно
job_failed_materialsbeingcarried        Материалите пътуват

job_rightclicktocancel                  - Десен бутон за отмяна
job_ftofollow							- Натиснете „F“ за проследяване
job_makehighpriority					- Ctrl + ляв бутон за задаване на висок приоритет
job_removehighpriority					- Ctrl + десен бутон за отмяна на висок приоритет
job_makehighpriority_mac				- Alt + ляв бутон за задаване на висок приоритет
job_removehighpriority_mac				- Alt + десен бутон за отмяна на висок приоритет
job_highpriority_tooltip				- СПЕШНО
job_refundamount                        - Сума за връщане: *X

failuremessage_blocked                  Блокирано
failuremessage_cantafford               Недостатъчно средства
failuremessage_cantaffordupkeep         Превишен дневен бюджет
failuremessage_maximumcountreached      Вече нает макс. брой
failuremessage_maxstaff                 Прекалено много персонал


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                Доставки
statustoolbar_finances                  Финанси
statustoolbar_regime                    Режим
statustoolbar_escapemap                 Сигурност
statustoolbar_electricity               Ток
statustoolbar_stats                     Статистика
statustoolbar_danger                    Опасност
statustoolbar_jobs                      Работа
statustoolbar_gangs                     Банди
statustoolbar_staff                     Персонал
statustoolbar_research                  Проучване


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Редактор на спрайтове
spritebankeditor_create                 Създай
spritebankeditor_rotate                 Ротация
spritebankeditor_sort                   Сортирай
spritebankeditor_markermodetitle        Маркиране


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Главно меню
codex_campaign                          Кампания
codex_cutscenes                         Видео
codex_qualifications                    Квалификации
codex_load                              Зареди затвор
codex_loadcampaign                      Зареди кампания
codex_save                              Запази затвор
codex_savecampaign                      Запази кампания
codex_performance						Тест на ефективността
codex_developer_load                    (Разработчик) Зареди карта
codex_developer_save                    (Разработчик) Запази карта
codex_developer_clearach                (Разработчик) Изчисти постиженията
codex_contacts                          Контакти
codex_materials                         Материали
codex_play                              Играй
codex_play_escape                       Игра в режим „Бягство“
codex_polaroids                         Снимки
codex_introduction                      Въведение
codex_restartintroduction               Рестартирай въведението
codex_restartchapter                    Рестартирай главата
codex_help                              Помощ (wiki)
codex_opensavefolder                    Отвори папка Запазени
codex_options							Опции
codex_nitgs								Имена в играта
codex_workshop							Сподели затвор (Steam)
codex_steamtrending                     Най-популярни затвори (Steam)
codex_checkforupdates                   Провери за ъпдейти
codex_preorder                          Поръчай сега
codex_termsconditions                   Правила и условия
codex_twitter                           Twitter
codex_extras                            Екстри
codex_unlocked                          Отключено *X/*Y
codex_mapsettings                       Настройки на картата
codex_othergames						Други игри на Introversion
codex_mutators                          Мутатори

codex_cloudsavedesc                     Записване в Облака
codex_cloud_enabled						Новите записи ще бъдат запазвани в Облака.
codex_cloud_notaccount					Steam Cloud е деактивиран в Steam клиента. Активирайте го отново, за да използвате тази функция.
codex_cloud_notapp						Новите записи ще бъдат запазвани на твърдия диск.
codex_saveload_delete					Изтриване

codex_new                               Създай нов затвор
codex_new_worldsize                     Размер на света
codex_new_small                         Малък
codex_new_medium                        Среден
codex_new_large                         Голям
codex_new_selectwarden                  Избери директор
codex_new_selectgender                  Избор на пол на затворника

codex_options_graphics					Графика
codex_options_resolution				Резолюция
codex_options_resolutionauto			Авто
codex_options_windowed					Прозорец
codex_options_highdpi					Високо DPI
codex_options_filtering					Филтриране
codex_options_nofiltering				Изкл.
codex_options_multisampled				Мултисемплиране
codex_options_supersampled				Суперсемплиране

codex_options_audio						Аудио
codex_options_volume					Обща сила на звука
codex_options_frequency					Смесена честота
codex_options_swapstero					Суап стерео
codex_options_dspenabled				Включи DSP
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 Часовник
codex_options_clocktype_analogue        Аналогов
codex_options_clocktype_12h             12 часа
codex_options_clocktype_24h             24 часа

codex_options_directions				Показване на маркировката по пода
codex_options_dirrender_hidden			Скрита
codex_options_dirrender_visible			Видима
codex_options_dirrender_zoom			Увеличаване

codex_options_tempscale                 Показване на температурата по Целзий

codex_options_gameplay					Игра
codex_options_autosave					Таймер автозапис
codex_options_renderrooms				Шахматен под
codex_options_apply						Приложи
codex_options_v2gui						Версия 2.0 ГПИ
codex_options_zoomtomouse				Увеличаване чрез мишката
codex_options_oneclickrapsheet			Списък с правонарушения с един клик
codex_options_disableanalytics			Деактивиране на анализа
codex_tooltip_disableanalytics          Събираме анонимизирани статистически данни, за да подобрим практическата работа с играта. Данните, които събираме, могат да се видят в metrics.txt

codex_options_language					Език

codex_options_experimental              Експериментален
codex_options_enablevbo                 Активиране на вертекс буфер обекти (VBO)

codex_nitgs_authwarning                 Важно: Ако наскоро сте променили името си за влизане в играта, то ще трябва да бъде разрешено, преди да се появи в списъка.

codex_nitgs_filtercaption               Филтър
codex_nitgs_filterall                   Всички
codex_nitgs_filtermen                   Мъже
codex_nitgs_filterwomen                 Жени

codex_nitgs_checkingforupdate           Проверка за актуализация...
codex_nitgs_updateavailable             Налична актуализация
codex_nitgs_downloading                 Изтегляне на актуализация...
codex_nitgs_downloadcomplete            Изтеглянето завърши.
codex_nitgs_downloadfailed              Неуспешно изтегляне.

codex_enabled                           Включен
codex_disabled                          Изключен

codex_option_intake                     Постоянен прием
codex_tooltip_intake                    Когато тази опция е активирана, вие винаги ще получавате произволен брой нови затворници всеки ден.\n\nКогато опцията е изключена, вие можете да избирате кога да получавате нови затворници, като влезете в Доклади и щракнете върху Прием.
codex_option_fogofwar                   Мъгла на войната
codex_tooltip_fogofwar                  Вие ще изгубите видимост във вътрешността на затворническите сгради, освен ако нямате Надзиратели, които патрулират в района или камери за наблюдение.
codex_option_lakes                      Генерирай езера
codex_tooltip_lakes                     Езерата ще блокират съответните райони от земята. ВНИМАНИЕ: експериментално.
codex_option_forests                    Генерирай гори
codex_tooltip_forests                   Върху земята ви ще се появят дървета.
codex_option_buildings                  Генерирай сгради
codex_tooltip_buildings                 Върху земята ви ще се появят изоставени сгради, които можете да използвате както искате.
codex_option_failure                    Условия за поражение
codex_tooltip_failure                   Допълнително предизвикателство! Вие ще бъдете уволнен и играта ще свърши, ако оставите нещата да се влошат прекалено много. (Бунтове, банкрут, прекалено много Смърт или Бягства и др.)
codex_option_unlimitedfunds             Неограничени средства
codex_tooltip_unlimitedfunds            Неограничен режим на игра! Можете да харчите колкото си искате пари още от самото начало без да се притеснявате или да чакате за получаване на средства.
codex_option_gangs                      Банди
codex_tooltip_gangs                     Някои затворници ще членуват в банди и ще нападат членовете на други банди в затвора. Допълнително предизвикателство.
codex_option_events                     Събития
codex_tooltip_events                    Възникване на различни събития по време на играта, които ще ви държат в напрежение. Добавя допълнителни предизвикателства и елемент на непредвидимост.
codex_option_weather                    Атмосферни условия и температура
codex_tooltip_weather                   Добавя променливи атмосферни условия и температури за затвора, като по този начин налага да помислите за отопление.
codex_option_enablecheats				Активиране на инструменти и мамене
codex_tooltip_enablecheats				Активира инструменти за разработчици и мамене (чийтове) в този затвор. Ако бъде избрано, не може да бъде деактивирано, постиженията не се награждават и вие няма да можете да продадете този затвор.
codex_option_staffneeds                 Нужди на персонала
codex_tooltip_staffneeds                Активирайте нуждите на пазачите, което означава, че те ще искат храна, почивка и други удобства, за да вършат правилно работата си.
codex_option_wardenmode                 Режим на пазач
codex_tooltip_wardenmode                Играй като пазач, работещ на място в затвора, който строиш.
codex_option_wardenmode_permadeath      Само един живот
codex_tooltip_wardenmode_permadeath     Ако умрете като пазач, играта свършва!

codex_option_funds                      Средства
codex_tooltip_funds                     Ще започнете с определена сума пари в банковата ви сметка. Продавайте затворите си от екрана Стойност, за да започнете с повече средства.

codex_transfer							Трансфер
codex_transferring						Прехвърля се
codex_in_prison							В момента е затворен
codex_unavailable                       Неналично
codex_useravatar                        Това съм аз
codex_tooltip_useravatar                Маркирайте този затворник като себе си. Ако по някакъв начин се озовете в затвора, този затворник ще ви представлява.
codex_tooltip_flagbio                   Съобщете за тази информация като предизвикваща възражения или обидна.

codex_workshop_current					Текущ затвор
codex_workshop_publish					Публикувай този затвор
codex_workshop_update					Ъпдейт
codex_workshop_play						Играй
codex_workshop_downloading				Изтегля се
codex_workshop_download_failed			Неуспешно изтегляне
codex_workshop_publishing				Публикува се...
codex_workshop_new						НОВ
codex_workshop_title					Заглавие
codex_workshop_desc						Описание
codex_workshop_view_in_workshop			Виж в Steam Workshop
codex_workshop_heading_pubed			Вашите публикувани затвори
codex_workshop_heading_subed			Изтеглени затвори
codex_workshop_published_by				Публикувано от *P
codex_workshop_published_by_you			Публикувано от вас
codex_workshop_published_good			Затворът е публикуван
codex_workshop_published_good_msg		Вашият затвор е публикуван успешно.
codex_workshop_published_bad			Неуспешно публикуване на затвора
codex_workshop_published_bad_msg		Вашият затвор не е публикуван.
codex_workshop_published_bad_msg_new	Новият ви затвор не е публикуван. Опитайте отново.
codex_workshop_busy						В Steam вече се случва нещо. Изчакайте го да свърши, след което опитайте отново.
codex_workshop_file_exists				Вече сте публикували затвор с това име. Изберете друго име.
codex_workshop_generic_fail				Вашият затвор не беше публикуван. Опитайте отново.
codex_workshop_download_bad				Неуспешно изтегляне на затвора
codex_workshop_pa_workshop				Отвори Prison Architect Workshop
codex_workshop_agreement				Чрез изпращане на този елемент вие се съгласявате с [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop terms of service[/url].
codex_workshop_update_warning			Актуализиране на публикуван затвор
codex_workshop_update_warning_msg		Актуализирането на публикуван затвор заменя вече публикувания затвор с текущо заредения затвор. Това изтрива публикувания затвор, като го заменя трайно със затвора, който изграждате в момента. Това действие не може да бъде отменено.\n\n Наистина ли искате да продължите?

codex_options_timelapse					Интервал от време
codex_timelapse_record					Запиши интервал от време
codex_timelapse_stop					Спри интервал от време
codex_timelapse_camera					Режим на камерата
codex_timelapse_customresw				Индив. рез. ширина
codex_timelapse_customresh				Индив. рез. височина
codex_timelapse_resolution				Резолюция
codex_timelapse_fps						Скорост на възпроизвеждане
codex_timelapse_interval				Интервал на заснемане
codex_timelapse_quality					Качество
codex_timelapse_unsupported				Този параметър липсва във вашия хардуер.
codex_timelapse_savesettings			Запази настройките

codex_timelapse_cam_zoom                Зуум на камерата
codex_timelapse_cam_fitmap              Нагласяне на картата
codex_timelapse_cam_fitheight           Нагласяне на картата, височина
codex_timelapse_cam_fitwidth            Нагласяне на картата, ширина
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            Високо
codex_timelapse_quality_med             Средно
codex_timelapse_quality_low             Ниско
codex_timelapse_interval_value          *X игрови минути
timelapse_caption                       Дължина на видеозаписа през интервал от време *X:*Y, *Z записани кадри, неиграни: *T

codex_performance_running				Върви тест на ефективността
codex_performance_time					Оставащо време: *Ts
codex_performance_current				Текущо време на кадрите: *Tms
codex_performance_min					Мин. време на кадрите: *Tms
codex_performance_avg					Средно време на кадрите: *Tms
codex_performance_max					Макс. време на кадрите: *Tms
codex_performance_numframes				Брой кадри: *T

codex_last_modified						Последно променено: *T
codex_sortbydesc						Сортирай по дата
codex_sortname							Име
codex_sortdate							Дата
codex_apply								Приложи
codex_select                            Избери

codex_mods								Модове
codex_mod_activetitle					Активни модове
codex_mod_inactivetitle					Налични модове
codex_mod_deactivate					Деактивирай всички модове
codex_mod_wiki							Намери повече модове (Wiki)
codex_mod_openmodsfolder				Отвори папка Модове
codex_mod_moresteammods					Намери повече модове (Steam Workshop)
codex_mod_findsteamtranslations         Намери повече преводи (Steam Workshop)
codex_authortitle                       Автор
codex_versiontitle                      Версия
codex_datetitle                         Дата
codex_urltitle                          URL
codex_typetitle							Вид
codex_mod_graphicsandsound				Графика и звук
codex_mod_translation					Превод
codex_mod_scenario						Сценарий
codex_mod_content						Съдържание
codex_mod_load_scenario					Изиграй сценария
codex_publishmod						Публикувай този мод

codex_mod_update						Обнови този мод
codex_mod_published_good				Модът е публикуван
codex_mod_published_good_msg			Вашият мод е публикуван успешно.
codex_mod_published_bad					Неуспешно публикуване на мода
codex_mod_published_bad_msg				Вашият мод не е публикуван.
codex_mod_modsupdated					Модовете са обновени
codex_mod_modsupdated_msg				Някои от активните ви модове са обновени. Натиснете OK, за да приложите новите промени. Играта ви ще бъде запазена автоматично.
codex_mod_translationcaption            Това превод на друг език ли е?

codex_language                          Език
codex_language_englishdefault           Английски (по подразбиране)
codex_language_default                  Език по подразбиране
codex_language_download                 Изтегли
codex_language_failed_download          Неуспешно изтегляне на превода
codex_language_failed_download_msg      Избраният от вас превод не е изтеглен.
codex_language_searching_workshop       Търсене в Steam Workshop
codex_language_community                Този превод е създаден и се поддържа от общността – благодарим ви!

codex_polaroids_new                     НОВО

codex_save_confirm                      Сигурни ли сте, че искате да презапишете *X с текущия затвор?
codex_researtchapter_confirm            Сигурни ли сте, че искате да рестартирате текущата глава? Незаписаната информация ще бъде изгубена.
codex_delete_confirm                    Наистина ли искате да изтриете за постоянно *X?

codex_premadeprisons                    Предварително направени затвори

codex_trending_more                     ...
codex_sortbycaption                     Сортиране по:
codex_trending_oneday                   Един ден
codex_trending_oneweek                  Една седмица
codex_trending_threemonths              Три месеца
codex_trending_sixmonths                Шест месеца
codex_trending_oneyear                  Една година
codex_trending_alltime                  Цялото време
codex_trending_failedtogetlist          Неуспешно получаване на списък със затвори
codex_trending_failedtogetlist_msg      Неуспешно получаване на списък с набиращи популярност затвори.

codex_settings                          Настройки на картата
codex_settings_gangs                    Активиране на банди
codex_settings_events                   Активиране на събития
codex_settings_weather                  Активиране на атмосферни условия
codex_settings_staffneeds               Активиране на нуждите на персонала
codex_settings_failureconditions        Активиране на условията за неизпълнение
codex_settings_confirm                  След активиране тази настройка няма да може да бъде деактивирана. Сигурни ли сте, че искате да активирате *X?

codex_packrects							Pack Rectangles (Подреждане на правоъгълници)
codex_addboxbutton						Добавяне на нов правоъгълник
codex_setsize							Определяне на размера на пространството
codex_removeallrects					Отстраняване на всички правоъгълници
codex_packrects_widthcaption			Ширина на пространството
codex_packrects_heightcaption			Височина на пространството
codex_packrects_boxwcaption				Ширина на правоъгълника
codex_packrects_boxhcaption				Височина на правоъгълника

mods_downscaled_spritesheet				Намаляване на мащаба на спрайт листа
mods_downscaled_spritesheet_msg			Мащабът на спрайт листа трябваше да бъде намален поради ограниченията на графичната карта. Това вероятно е резултат от активирането на много модове. Моля, деактивирайте някои модове с цел подобряване на качеството.
mods_errors_no_memory					Няма заредени спрайтове на модове
mods_errors_no_memory_msg				Няма достатъчно графична памет за зареждането на допълнителни мод спрайтове. Това вероятно е резултат от активирането на много модове. Моля, деактивирайте някои модове, за да се използва по-малко памет.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Искате ли да запазите тези графични опции? Промените ще бъдат върнати след
graphicschange_time						секунди.
graphicschange_accept					Приеми
graphicschange_revert					Върни

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Дебъгер на скрипта (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Открити разлики в мода
modnotification_info                    Тези модове бяха използвани при запазване на текущия затвор. Ние ви препоръчваме да ги изтеглите и активирате, преди да играете в този затвор.
modnotification_playnow                 Играй сега
modnotification_active                  Активен
modnotification_inactive                Неактивен
modnotification_new                     Нов
modnotification_unknown                 Неизвестен
modnotification_popup_title             Разлика в мода
modnotification_popup_active            Този мод е активен в момента. Щракнете, за да дезактивирате.
modnotification_popup_inactive          Този мод е неактивен в момента. Щракнете, за да активирате.
modnotification_popup_new_url           Това е нов мод. Щракнете, за да отворите линка в браузъра.
modnotification_popup_new_steam         Това е нов стийм мод. Щракнете, за да се абонирате и изтеглите мода сега.
modnotification_popup_unknown           Не успяхме да определим откъде идва този мод. Намерете и инсталирайте този мод самостоятелно.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Спри и търси
biography_selected                      ИЗБРАНО
biography_prisoner_name                 *S, *F
biography_prisoner_number               Затворник #*X
biography_prisoner_age                  Възраст: *X
biography_prisoner_traits               Отличителни белези:
biography_prisoner_convicted            Осъден за *C (пледирал *P)
biography_prisoner_sentenced            Осъден на *X години затвор
biography_parole_now                    Има право на пускане под гаранция сега
biography_parole_later                  Има право на пускане под гаранция след *X години
biography_prisoner_served               Излежал *X години
biography_prisoner_priors               Предишни присъди:


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Възраст:
rapsheet_category						Категория:
rapsheet_traits							Отличителни белези:
rapsheet_conviction_text				*C - *Y години
rapsheet_found_text						(Пледирал: *P)
rapsheet_convictions					Присъди
rapsheet_misconductstitle				Последни нарушения
rapsheet_biography                      Биография
rapsheet_guilty							Виновен
rapsheet_notguilty						Невинен
rapsheet_served							Излежал
rapsheet_served_time					Излежал *Y години
rapsheet_time							*Y години
rapsheet_bio							Осъден на *Y години за *A.
rapsheet_bio_med						Осъден на *Y години за множество престъпления, включително *A и *B.
rapsheet_bio_long						Осъден на *Y години за множество престъпления, включително *A, *B и *C.
rapsheet_category_minsec				Минимална сигурност
rapsheet_category_normal				Нормална сигурност
rapsheet_category_maxsec				Максимална сигурност
rapsheet_category_protected             Под защита
rapsheet_category_supermax              Супер макс.
rapsheet_category_deathrow              Смъртна присъда
rapsheet_tab_biography                  Биография
