
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Új
buildtoolbar_popup_help_armedguard_2        ~A kijelölt fegyveres őr a börtönödön belül bárhová átirányítható az egér jobb gombjának a célhelyre való kattintásával. n\n
buildtoolbar_popup_help_armedguard_3        ^Tippek
buildtoolbar_popup_help_armedguard_4        - Ha be van kapcsolva a Szabad tüzelés gomb, úgy a fegyveres őrök nem várják meg a puska használatával, hogy életük veszélybe kerüljön. Ilyenkor egyből tüzet nyitnak bármelyik rendbontó rabra.
buildtoolbar_popup_help_armedguard_5        - A rabok csak nehezen tudják lefegyverezni a fegyveres őröket, de ha megteszik, onnantól kezdve bárki felszedheti a földön heverő puskát...

buildtoolbar_popup_help_doctor_1            Az orvosok látják el a rabok és a dolgozók szinte elkerülhetetlen, börtönben szerzett sérüléseit. Ők gyógyítják a sérüléseket, kezelik a túladagolásos rabokat, és terápiás programokat nyújtanak a kábítószerfüggőknek.\n\n
buildtoolbar_popup_help_doctor_2            ~A kijelölt orvos a börtönödön belül bárhova átirányítható az egér jobb gombjának a célhelyre való kattintásával.

buildtoolbar_popup_help_janitor_1           A gondnokok felelnek a börtön tisztán tartásáért, valamint segítenek a mosodákban is.\n\n
buildtoolbar_popup_help_janitor_2           ^Tippek
buildtoolbar_popup_help_janitor_3           - A gondnokok összes feladatát a munkára fogott rabokkal is elvégeztetheted. A mosodákba és a tisztítószer-raktárakba rendelt elegendő számú rabbal nagyon alacsonyra, vagy akár nullára is lecsökkenthető a gondnokok száma.

buildtoolbar_popup_help_gardener_1          A kertészek gondozzák a börtönöd szabadtéri területeit, gyomlálnak, és fákat ültetnek.\n\n
buildtoolbar_popup_help_gardener_2          ^Tippek
buildtoolbar_popup_help_gardener_3          - Ha van erdészeted, úgy a kertészek ültetik el a megkapott facsemetéket is. Ügyelj arra, hogy elég kertészed legyen a beérkező mennyiséghez!

buildtoolbar_popup_help_doghandler_1        A kutyás őrök az őrzőkutyákkal együtt járnak. Az örzőkutyák a kábítószerek, alkohol és más egyéb erős szagú csempészáru kiszagolásában jeleskednek, valamint megtalálják a föld alatt húzódó szökésre szolgáló alagutakat is.\n\n
buildtoolbar_popup_help_doghandler_2        ~A kijelölt kutyás őr a börtönödön belül bárhova átirányítható az egér jobb gombjának a célhelyre való kattintásával. \n\n
buildtoolbar_popup_help_doghandler_3        ^Tippek
buildtoolbar_popup_help_doghandler_4        - Ha egy kutyás őrt adott helyre küldesz, az őrzőkutya igyekszik kiszagolni a közelben elrejtett csempészárukat.
buildtoolbar_popup_help_doghandler_5        - A földalatti szökésre szolgáló alagút felett elsétálva az őrzőkutya jelezheti, hogy megtalálta. Ezt egy hátrahagyott kis jel mutatja. A kutya néha azonban akkor is jelez, ha nincs ott semmi...
buildtoolbar_popup_help_doghandler_6        - Ha megölik a kutyás őrt, az őrzőkutya megvadulhat, és még a börtön elhagyása előtt megpróbálhatja megölni a gyilkost.

buildtoolbar_popup_help_sniper_1            A mesterlövészek a börtön köré épített őrtornyaidat foglalják el a rendbontó rabok erős elrettentéseként és a kiszökő fogvatartottak utolsó akadályaként.\n\n
buildtoolbar_popup_help_sniper_2            ^Tippek
buildtoolbar_popup_help_sniper_3            - A mesterlövészeknek nagyteljesítményű, messzehordó puskái vannak, de csak a közvetlen látómezejüket fedik le.
buildtoolbar_popup_help_sniper_4            - A mesterlövészek figyelmeztető lövéseket adnak le a börtön területén rendbontóan viselkedő rabokra. Ha a rabok nem adják meg magukat, úgy közvetlenül rájuk adják le lövéseket.
buildtoolbar_popup_help_sniper_5            - Ha aktiválva van a szabad tüzelés, vagy ha egy rab a börtönön kívül van és szökik, nem adnak le figyelmeztető lövéseket.

buildtoolbar_popup_help_chief_1             A főnök a biztonsági vezető a börtönödben. Általános képet ad a börtön hangulatáról, megmutatja a rabok rendbontási valószínűségét, valamint nyomon követi, hogy hány elfoglalt őr van jelenleg a börtönödön belül. Segítségével őrzőkutyák, térfigyelő kamerák és más fejlettebb biztonsági funkciók is kutathatók. Amint irodát kapnak, egyből el tudják látni feladatukat.

buildtoolbar_popup_help_foreman_1           A brigádvezető a karbantartási és építkezési munkálatokat vezeti, és segítségével gondnokok és kertészek kereshetők és vehetők fel. Ő foglalkozik a börtön munkaerő-állományával, és személyesen felügyeli a rabok betanítását a műhelyszerszámok használatára.\n\n
buildtoolbar_popup_help_foreman_2           ^Tippek
buildtoolbar_popup_help_foreman_3           - Börtönöd műhelyének felépülésétől a brigádvezető felel a Jelentések ablak Programok fülén beosztható műhelyi biztonsági programok betanításáért.

buildtoolbar_popup_help_psychologist_1      A pszichológus felel a rabjaid mentális egészségéért. A pszichológus megmutatja a rabjaid aktuális igényeit, valamint felel a raboknak szóló egyes reformprogramok végrehajtásáért is.\n\n
buildtoolbar_popup_help_psychologist_2      ^Tippek
buildtoolbar_popup_help_psychologist_3      - A börtönpszichológussal az egyes rabok igényei kijelöléssel tekinthetők meg, az összes rabok együttes igényei pedig a Jelentések ablak Igények fülén.
buildtoolbar_popup_help_psychologist_4      - A pszichológusok vezetik a börtön alkoholistáinak AA Programjait, valamint magatartási programokat tartanak a problémásabb rabok kezelhetőbbé tételére. Igény szerint egyszerre több pszichológus is lehet a börtönben.

buildtoolbar_popup_help_accountant_1        A könyvelő kezeli börtönöd pénzügyeit, és lehetővé teszi börtönöd pénzmozgásainak és összértékének megtekintését, valamint egyes jövedelemnövelő kutatásokat. Amint irodát kapnak, egyből el tudják látni feladatukat.

buildtoolbar_popup_help_lawyer_1            A jogász segít kiigazodni a börtönüzemeltetést megnehezítő jogszabályokban, valamint segít elkerülni a jogi felelősségre vonást a börtönben esetlegesen előforduló, különösen szerencsétlen eseményekért. Segítségükkel a börtön hozzáférhet a halálsor lehetőséghez is. Amint irodát kapnak, egyből el tudják látni feladatukat.

buildtoolbar_popup_help_gangs_1             A banda nézet mutatja meg az esetleges bandák aktuális állapotát a börtönödben. Információkat kaphatsz az egyes bandákról, valamint láthatod, melyik helyiségeket foglalják el és melyik rabok a tagjaik. Azt is láthatod, mely bandatagok az alvezérek – 2 kör jelöli – és melyek bandavezérek – 3 kör jelöli.\n\n
buildtoolbar_popup_help_gangs_2             ~Ha a bandákat erőszakkal el akarod távolítani az általuk ellenőrzött területről, jelöld ki a helyiséget, és kattints a megjelenő Kilakoltat gombra. Ennek a banda azonban nem fog örülni...\n\n
buildtoolbar_popup_help_gangs_3             ^Tippek
buildtoolbar_popup_help_gangs_4             - A bandák által ellenőrzött börtönterületeken nem hajtható végre semmilyen változás. Először szerezd vissza a területeket, ha bármit is odatennél vagy elvennél onnan.
buildtoolbar_popup_help_gangs_5             - A bandán kívüli raboktól pénzt szednek a banda által őrzött területeken található létesítmények használatáért. A vetélytárs bandák tagjai teljesen elkerülik ezeket a helyeket.
buildtoolbar_popup_help_gangs_6             - Az őrszobákkal fenntartható az ellenőrzés az adott területen. A potenciális bandaterülettel szomszédos őrszobába helyezett őrök fokozzák az ellenőrzés szintjét.
buildtoolbar_popup_help_gangs_7             - A bandatagok kiemelten védik a bandavezért. Nem szeretik, ha bármi is történik velük...

buildtoolbar_popup_help_weathermap_1        A Hőmérséklet nézetben láthatók a különböző börtönterületek hőmérséklete. A hőmérséklet elsősorban fűtőtestekkel növelhető. A túl hideg helyiségekben a raboknak megnő a melegigénye.

buildtoolbar_popup_help_prefabs_1           A gyorsépítés menü lehetőségeivel felgyorsíthatod a sokat használt helyiségek építését. A klónozóval a börtön egyik területe másolásra jelölhető ki, amely majd ismét lerakható. Az Előregyártott szobák paranccsal az igényeket automatikusan kielégítő, előre elkészített szobák helyezhetők el.\n\n
buildtoolbar_popup_help_prefabs_2           ~A Klónozó kiválasztása után az egér jobb gombjával jelöld ki a másolandó területet. Majd az egér bal gombjával kattints máshová a börtönben, hogy a terület másolatának építése felkerülhessen a listára.\n
buildtoolbar_popup_help_prefabs_3           ~A kiválasztott Előregyártás eszközzel egyszerűen csak kattints az egér bal gombjával a börtönödnek arra a területére, ahová a szobát tenni szeretnéd, és munkásaid felépítik.\n\n
buildtoolbar_popup_help_prefabs_4           ^Tippek
buildtoolbar_popup_help_prefabs_5           - A Klónozó nem másol közműcsatlakozásokat. Az újonnan létrehozott területeket manuálisan kell bekötni az áram- és vízhálózatba.

buildtoolbar_popup_help_zoning_1        A Zónázó eszközzel meghatározható, hogy mely rabok a börtön mely területeire léphetnek be. A közös és nyitott tulajdonságok valamennyi rabkategóriára megadhatók.\n\n
buildtoolbar_popup_help_zoning_2        ~Jelöld ki a kategóriát amelybe a zónát be szeretnéd sorolni, majd kattints a zónára a bal egérgombbal. Jobb klikkel közösre állítható vissza a zóna.\n\n
buildtoolbar_popup_help_zoning_3        ^Tippek
buildtoolbar_popup_help_zoning_4        - Mivel a rabok nem léphetnek a kizárólag dolgozói területekre, így "légzsilipek" hozhatók létre a rabok megadott területen tartásához és más közös területre jutásuk megakadályozásához. Ez különösen hasznos, ha például minden védőőrizetben lévő rabot a saját területükön belül és egyben a közös udvartól és közös helyiségtől távol szeretnél tartani.
buildtoolbar_popup_help_zoning_5        - Ha nyitottra állítasz egy zónát, úgy a zóna összes ajtózárja nyitott pozícióba kerül.

buildtoolbar_popup_help_guards_1        Az Őrök eszközzel állomásoztathatsz őröket zónákban. Az ott állomásozó őr véletlenszerűen körbejárja a hozzárendelt zónát, és az adott területen elvégzi az őrfeladatokat, például ajtókat nyit ki.\n\n
buildtoolbar_popup_help_guards_2        ~ Bal kattintással növelheted a területre beosztott őrök számát. Jobb kattintással tudsz eltávolítani egy őrt.\n\n
buildtoolbar_popup_help_guards_3        ^Tippek
buildtoolbar_popup_help_guards_4        - Ha a mikromenedzsment engedélyezve van, úgy hozzáférhetsz a szolgálati beosztáshoz. Ezzel ütemezheted be, hogy az őrök mikor legyenek bizonyos területeken. Ha például étkezési időre őröket szeretnél a menzára, úgy kattints az Ütemezőnek az étkezési időhöz tartozó blokkjaira, majd mozgasd az időcsúszkát az adott blokkra, és kattints a menzára az őrök beosztásához.
buildtoolbar_popup_help_guards_5        -A 7 különböző időblokk és az alapértelmezett Mindig aktív mód ütemezésével a börtön igényeinek megfelelő, összetett bevetési rutinok hozhatók létre.
buildtoolbar_popup_help_guards_6        - Ha az őrök beosztásakor nem kézzel választod ki az adott időblokkot, úgy az ütemező az aktuális időt fogja használni. A beosztás megváltoztatásakor figyelj a helyes idő kiválasztására!

buildtoolbar_popup_help_patrols_title   Őrjáratok
buildtoolbar_popup_help_patrols_1       A 3 darab Őrjáratok eszköz segítségével útvonalakat határozhatsz meg, majd őröket, kutyás őröket vagy fegyveres őröket (vagy akár a 3 kombinációját) nevezhetsz ki őrjáratozni. Ezek az őrjáratok több zónán is áthaladhatnak.\n\n
buildtoolbar_popup_help_patrols_2       ~Tartsd lenyomva a bal egérgombot, és húzd az őrjárat útvonalának kijelöléséhez, vagy bal kattintással adhatsz őrt egy már meglévő őrjárathoz. Jobb gombbal kattintva eltávolíthatsz egy őrt az őrjáratból, vagy a jobb gomb nyomva tartásával és húzással a teljes őrjáratot törölheted.\n\n
buildtoolbar_popup_help_patrols_3       ^Tippek
buildtoolbar_popup_help_patrols_4       - A normál őrök járőrözés közben is ellátják a feladataikat, például kinyitják az ajtókat, illetve átkutatják a rabokat. A kutyás és fegyveres őrök azonban nem.
buildtoolbar_popup_help_patrols_5       - Ha engedélyezted a mikromenedzsmentet, úgy hozzáférhetsz a beosztáshoz, amely ugyanúgy használható az őrjáratokhoz, mint a rendes őrbeosztáshoz.

buildtoolbar_popup_help_accessonly_1	Az átmenő forgalom eszköz lehetővé teszi Önnek, hogy megjelölje a börtönön belül azokat a területeket, amelyeket általában el kell kerülni a börtönön belüli mozgás során. Lehetővé teszi az Ön számára, hogy szobák, illetve átjárók használatával megállítsa az embereket a börtönön belül, ha azt szeretné, ha inkább más irányba mennének tovább.\n\n
buildtoolbar_popup_help_accessonly_2	~Az egér bal gombjával kattintson arra a zónára, amit átmenő forgalomként kíván megjelölni. Erre a normál biztonsági beállításokon felül van lehetősége.
buildtoolbar_popup_help_accessonly_3	~Az átmenő forgalom beállítás eltávolításához kattintson a zónára az egér jobb gombjával.\n\n
buildtoolbar_popup_help_accessonly_4	^Tippek
buildtoolbar_popup_help_accessonly_5	- Az átmenő forgalom nem egy szigorú beállítás. Nem akadályozza meg kifejezetten, hogy az emberek belépjenek a zónába, különösen akkor nem, ha a célpontjuk a megjelölt területen belül van. Ha egy átmenő forgalom zónán keresztül történő áthaladás rövidebb, mint annak alternatívája (például a börtön teljes területének megkerülése), az emberek lehet, hogy továbbra is áthaladnak az átmenő forgalom zónákon.

job_matsassigned                        Szükséges anyagok
job_matsavailable                       Rendelkezésre álló anyagok
job_awaitingmaterials                   Várakozó anyagok
job_inprogress                          -Folyamatban-
job_blocked                             -Blokkolva-
job_queued                              -Várakozva-

job_failed_noroute                      Nincs út
job_failed_nomaterials                  Nincsenek anyagok
job_failed_toodangerous                 Túl veszélyes
job_failed_materialsbeingcarried        Anyagok úton

job_rightclicktocancel                  - Jobb kattintással törölheted
job_ftofollow							- Nyomj F-et a követéshez
job_makehighpriority					- Ctrl + bal kattintás Magas prioritáshoz
job_removehighpriority					- Ctrl + jobb kattintás Magas prioritás eltávolításához
job_makehighpriority_mac				- Alt + bal kattintás Magas prioritáshoz
job_removehighpriority_mac				- Alt + jobb kattintás Magas prioritás eltávolításához
job_highpriority_tooltip				- SÜRGŐS
job_refundamount                        - Visszatérítés: *X

failuremessage_blocked                  Blokkolva
failuremessage_cantafford               Elégtelen források
failuremessage_cantaffordupkeep         Meghaladja a napi büdzsét
failuremessage_maximumcountreached      Maximális létszám felvéve
failuremessage_maxstaff                 Túl nagy személyzet


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries                Szállítmányok
statustoolbar_finances                  Pénzügyek
statustoolbar_regime                    Szabályzat
statustoolbar_escapemap                 Biztonság
statustoolbar_electricity               Elektromosság
statustoolbar_stats                     Statisztikák
statustoolbar_danger                    Veszély
statustoolbar_jobs                      Munkák
statustoolbar_gangs                     Bandák
statustoolbar_staff                     Személyzet
statustoolbar_research                  Kutatás


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title                  Sprite bank szerkesztő
spritebankeditor_create                 Létrehoz
spritebankeditor_rotate                 Forgatás
spritebankeditor_sort                   Rendezés
spritebankeditor_markermodetitle        Marker mód


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu                          Főmenü
codex_campaign                          Kampány
codex_cutscenes                         Cutscene-ek
codex_qualifications                    Kvalifikációk
codex_load                              Börtön betöltése
codex_loadcampaign                      Kampány betöltése
codex_save                              Börtön mentése
codex_savecampaign                      Kampány mentése
codex_performance						Teljesítményteszt
codex_developer_load                    (Fejlesztő) Térkép betöltése
codex_developer_save                    (Fejlesztő) Térkép mentése
codex_developer_clearach                (Fejlesztő) Achievement-ek törlése
codex_contacts                          Kapcsolatok
codex_materials                         Anyagok
codex_play                              Játék
codex_play_escape                       Játék szökés módban
codex_polaroids                         Polaroidok
codex_introduction                      Bemutatkozás
codex_restartintroduction               Bemutatkozás újrakezdése
codex_restartchapter                    Fejezet újrakezdése
codex_help                              Segítség (Wiki)
codex_opensavefolder                    Mentés mappa megnyitása
codex_options							Opciók
codex_nitgs								Nevek a játékban
codex_workshop							Börtön megosztása (Steam Workshop)
codex_steamtrending                     Legnépszerűbb börtönök (Steam Workshop)
codex_checkforupdates                   Frissítések keresése
codex_preorder                          Előrendelés
codex_termsconditions                   Felhasználási feltételek
codex_twitter                           Twitter
codex_extras                            Extrák
codex_unlocked                          Elérve:  *X/*Y
codex_mapsettings                       Térképbeállítások
codex_othergames						Más Introversion játékok
codex_mutators                          Mutátorok

codex_cloudsavedesc                     Mentés a felhőbe
codex_cloud_enabled						Az új mentések a felhőben lesznek tárolva.
codex_cloud_notaccount					A Steam Cloud nincs engedélyezve a Steam kliensen. Ennek a beállításnak a használatához kérjük, engedélyezze újra.
codex_cloud_notapp						Az új mentések az Ön merevlemezén lesznek tárolva.
codex_saveload_delete					Törlés

codex_new                               Új börtön létrehozása
codex_new_worldsize                     Világ mérete
codex_new_small                         Kicsi
codex_new_medium                        Közepes
codex_new_large                         Nagy
codex_new_selectwarden                  Válassz börtönigazgatót
codex_new_selectgender                  Rabok nemének kiválasztása

codex_options_graphics					Grafika
codex_options_resolution				Felbontás
codex_options_resolutionauto			Auto
codex_options_windowed					Ablakos
codex_options_highdpi					Magas DPI
codex_options_filtering					Szűrés
codex_options_nofiltering				Ki
codex_options_multisampled				Multisampled
codex_options_supersampled				Supersampled

codex_options_audio						Hang
codex_options_volume					Fő hangerő
codex_options_frequency					Mix frekvencia
codex_options_swapstero					Sztereó váltás
codex_options_dspenabled				DSP bekapcsolása
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 Óra típusa
codex_options_clocktype_analogue        Analóg
codex_options_clocktype_12h             12 óra
codex_options_clocktype_24h             24 óra

codex_options_directions				Padlójelek megjelenítése
codex_options_dirrender_hidden			Rejtett
codex_options_dirrender_visible			Látható
codex_options_dirrender_zoom			Nagyítás

codex_options_tempscale                 A hőmérséklet megjelenítése Celsius fokban

codex_options_gameplay					Játék
codex_options_autosave					Automatikus mentés időzítő
codex_options_renderrooms				Szoba kockás padló
codex_options_apply						Alkalmaz
codex_options_v2gui						2.0 verziójú felhasználói felület
codex_options_zoomtomouse				Nagyítás az egérhez
codex_options_oneclickrapsheet			Egykattintásos priusz
codex_options_disableanalytics			Analitikák letiltása
codex_tooltip_disableanalytics          Anonim statisztikákat gyűjtünk a játékélmény fejlesztése érdekében. Az általunk gyűjtött adatok a metrics.txt fájlban láthatóak.

codex_options_language					Nyelv

codex_options_experimental              Kísérleti
codex_options_enablevbo                 Vertex Buffer tárgyak engedélyezése

codex_nitgs_authwarning                 Fontos: Amennyiben nemrég módosította a játékba történő belépéskor használt nevét, az a listában való megjelenése előtt engedélyeztetési folyamaton megy keresztül.

codex_nitgs_filtercaption               Szűrő
codex_nitgs_filterall                   Mind
codex_nitgs_filtermen                   Férfiak
codex_nitgs_filterwomen                 Nők

codex_nitgs_checkingforupdate           Frissítés keresése...
codex_nitgs_updateavailable             Frissítés elérhető
codex_nitgs_downloading                 Frissítés letöltése...
codex_nitgs_downloadcomplete            Letöltés kész.
codex_nitgs_downloadfailed              Letöltés sikertelen.

codex_enabled                           Be
codex_disabled                          Ki

codex_option_intake                     Folyamatos érkezés
codex_tooltip_intake                    Ha be van kapcsolva, véletlen számú rab érkezik börtönödbe minden nap, végtelen ideig.\n\nHa ki van kapcsolva, kiválaszthatod, mikor akarsz rabokat fogadni a Fogadás menü Rabok fülére kattintva.
codex_option_fogofwar                   A háború köde
codex_tooltip_fogofwar                  Ha nincsenek ez épületeidben őrök vagy CCTV kamerák, semmit nem fogsz látni abból, ami odabent folyik.
codex_option_lakes                      Tavak generálása
codex_tooltip_lakes                     A véletlenszerű tavak blokkolják birtokod egyes részeit. FIGYELEM4Ksérleti.
codex_option_forests                    erdők generálása
codex_tooltip_forests                   Facsoportok tűnnek fel földeden.
codex_option_buildings                  Épületek generálása
codex_tooltip_buildings                 Véletlenszerű üres épületek tűnnek fel területeden, amelyeket ara használhatsz, amire akarsz.
codex_option_failure                    A kudarc kondíciói
codex_tooltip_failure                   Egy extra kihívás! Ha túl rosszra fordulnak a dolgok, kirúgnak és a játéknak vége! (lázadások, csőd, túl sok halál vagy szökés, stb).
codex_option_unlimitedfunds             Végtelen források
codex_tooltip_unlimitedfunds            Tiszta sandbox mód! A kezdetektől fogva annyi pénzt költhetsz, amennyit akarsz anélkül, hogy aggódnod kellene miatta vagy várakozni kényszerülnél.
codex_option_gangs                      Bandák
codex_tooltip_gangs                     Egyes érkező rabok el már bandák tagjai, akik megtámadják azokat, akik más bandákba tartoznak. Külön kihívás!
codex_option_events                     Események
codex_tooltip_events                    Váratlan események történnek a játék folyamán, hogy ne veszítsd el az éberséged! Külön kihívást jelentenek és kiszámíthatatlanná teszik a játékot.
codex_option_weather                    Időjárás és hőmérséklet
codex_tooltip_weather                   Változó időjárást és hőmérsékletet ad hozzá a börtönödhöz, ami miatt gondolnod kell a fűtésre is.
codex_option_enablecheats				Eszközök és csalások engedélyezése
codex_tooltip_enablecheats				Engedélyezi a fejlesztői eszközöket és a csalásokat ebben a börtönben. Ha kiválasztja, döntését nem vonhatja vissza, az eredményeit nem jutalmazzák és a későbbiekben nem adhatja el ezt a börtönt.
codex_option_staffneeds                 Személyzeti szükségletek
codex_tooltip_staffneeds                Engedélyezi az őrök számára a szükségleteket, ami alatt az élelmiszer, pihenés és egyéb kényelmi dolgok igénylése értendő, a munkájuk megfelelő ellátása érdekében.
codex_option_wardenmode                 Börtönigazgató mód
codex_tooltip_wardenmode                Játsszon börtönigazgatóként az építés alatt álló börtön területén.
codex_option_wardenmode_permadeath      Örök halál
codex_tooltip_wardenmode_permadeath     Ha meghal mint börtönigazgató, vége a játéknak!

codex_option_funds                      Források
codex_tooltip_funds                     Kezdetekkor ennyi pénz lesz a bankszámládon. Ha extra bevételeket akarsz szerezni, add el bevált börtöneidet  Felértékelés képernyőn.

codex_transfer							Átszállítás
codex_transferring						Átszállítás
codex_in_prison							Börtönben
codex_unavailable                       Nem elérhető
codex_useravatar                        Ez vagyok én
codex_tooltip_useravatar                Jelöld ezt a rabot sajátodként. Ha valahogy magad is börtönben kötsz ki, ez az őrizetes jelöl majd téged.
codex_tooltip_flagbio                   Jelentsd, ha ez a fiók sértő vagy zavaró.

codex_workshop_current					Aktuális börtön
codex_workshop_publish					Börtön publikálása
codex_workshop_update					Frissítés
codex_workshop_play						Játék
codex_workshop_downloading				Letöltés
codex_workshop_download_failed			Letöltés sikertelen
codex_workshop_publishing				Publikálás
codex_workshop_new						ÚJ
codex_workshop_title					Cím
codex_workshop_desc						Leírás
codex_workshop_view_in_workshop			Megtekintés a Steam Workshopban
codex_workshop_heading_pubed			Publikált börtöneid
codex_workshop_heading_subed			Letöltött börtöneid
codex_workshop_published_by				Publikálta: *P
codex_workshop_published_by_you			Te publikáltad
codex_workshop_published_good			Publikált börtöneid
codex_workshop_published_good_msg		Börtönöd publikálása sikeres
codex_workshop_published_bad			Börtönöd publikálása sikertelen
codex_workshop_published_bad_msg		Börtönöd publikálása sikertelen
codex_workshop_published_bad_msg_new	Cím
codex_workshop_busy						A Steam valamilyen  mágia hatása alatt áll. Várd meg, amíg befejeződik, aztán próbáld meg ismét.
codex_workshop_file_exists				Már publikáltál egy börtönt ezzel a névvel. Válassz másik nevet!
codex_workshop_generic_fail				Börtönöd publikálása sikertelen
codex_workshop_download_bad				Börtön letöltése sikertelen.
codex_workshop_pa_workshop				Prison Architect Workshop megnyitása
codex_workshop_agreement				Az elem közzétételekor elfogadod a következő felhasználási feltételeket: [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop terms of service[/url].
codex_workshop_update_warning			Megosztott börtön frissítése
codex_workshop_update_warning_msg		Ennek a megosztott börtönnek a frissítése felülírja a megosztott börtönt a jelenleg betöltött börtönnel. Ez törli a megosztott börtönt, végleg lecseréli a jelenlegi játék szerinti börtönnel. Ez a művelet nem vonható vissza.\n\nBiztosan tovább szeretnél lépni?

codex_options_timelapse					Lassítás
codex_timelapse_record					Lassítás felvétele
codex_timelapse_stop					Lassítás leállítása
codex_timelapse_camera					Kamera mód
codex_timelapse_customresw				Egyedi felb. szélesség
codex_timelapse_customresh				Egyedi felb. Magasság
codex_timelapse_resolution				Felbontás
codex_timelapse_fps						Visszajátszás aránya
codex_timelapse_interval				kép intervallum
codex_timelapse_quality					Minőség
codex_timelapse_unsupported				Ez a szolgáltatás nem érhető el hardvereden
codex_timelapse_savesettings			Mentési beállítások

codex_timelapse_cam_zoom                Kamera zoom
codex_timelapse_cam_fitmap              térkép illesztése
codex_timelapse_cam_fitheight           Térkép magasság illesztése
codex_timelapse_cam_fitwidth            Térkép szélesség illesztése
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            Magas
codex_timelapse_quality_med             Közepes
codex_timelapse_quality_low             Alacsony
codex_timelapse_interval_value          *X játékperc
timelapse_caption                       Timelapse felvétel hossza *X:*Y, *Z képkocka felvéve, lemaradás: *T

codex_performance_running				teljesítményteszt fut
codex_performance_time					Maradék idő: *Tms
codex_performance_current				Aktuális frame idő: *Tms
codex_performance_min					Min. frame idő: *Tms
codex_performance_avg					Átlagos frame idő: *Tms
codex_performance_max					Max. frame idő: *Tms
codex_performance_numframes				Frame szám: *T

codex_last_modified						Utoljára módosítva: *T
codex_sortbydesc						Rendezés dátum szerint
codex_sortname							Név
codex_sortdate							Dátum
codex_apply								Alkalmaz
codex_select                            Kiválaszt

codex_mods								Modok
codex_mod_activetitle					Aktív modok
codex_mod_inactivetitle					Elérhető modok
codex_mod_deactivate					Összes mod deaktiválása
codex_mod_wiki							Modok keresése (Wiki)
codex_mod_openmodsfolder				Mod mappa megnyitása
codex_mod_moresteammods					Modok keresése (Steam Workshop)
codex_mod_findsteamtranslations         Fordítások keresése (Steam Workshop)
codex_authortitle                       Szerző
codex_versiontitle                      Verzió
codex_datetitle                         Dátum
codex_urltitle                          URL
codex_typetitle							Típus
codex_mod_graphicsandsound				Grafika és hang
codex_mod_translation					Fordítás
codex_mod_scenario						Szcenárió
codex_mod_content						Tartalom
codex_mod_load_scenario					Szcenárió lejátszása
codex_publishmod						Mod publikálása

codex_mod_update						Mod frissítése
codex_mod_published_good				Publikált mod
codex_mod_published_good_msg			Modod sikeresen publikálásra került
codex_mod_published_bad					Mod publikálása sikertelen
codex_mod_published_bad_msg				Mod publikálása sikertelen
codex_mod_modsupdated					Modok frissítve
codex_mod_modsupdated_msg				Aktív modjaid közül néhány frissítésre került. Kattints az OK-ra a frissítések alkalmazásához. Játékod automatikusan mentve lesz.
codex_mod_translationcaption            Ez egy fordítás

codex_language                          Nyelv
codex_language_englishdefault           Angol (alap)
codex_language_default                  Alap nyelv
codex_language_download                 letöltés
codex_language_failed_download          Fordítás letöltése sikertelen
codex_language_failed_download_msg      A kiválasztott fordítás letöltése sikertelen
codex_language_searching_workshop       Steam Workshop keresése
codex_language_community                Fordításod elkészült és a közösség tartja karban. Köszönjük!

codex_polaroids_new                     ÚJ

codex_save_confirm                      Biztosan felülírod az aktuális börtönt a következővel: *X?
codex_researtchapter_confirm            Biztosan újraindítod az aktuális fejezetet? El nem mentett haladásod el fog veszni.
codex_delete_confirm                    Biztos benne, hogy végleg törölni akarja ezt: *X?

codex_premadeprisons                    Előre elkészített börtönök

codex_trending_more                     ...
codex_sortbycaption                     Rendezés:
codex_trending_oneday                   Egy nap
codex_trending_oneweek                  Egy hét
codex_trending_threemonths              Három hónap
codex_trending_sixmonths                Hat hónap
codex_trending_oneyear                  Egy év
codex_trending_alltime                  Mindenkori
codex_trending_failedtogetlist          Nem sikerült megszerezni a börtönök listáját
codex_trending_failedtogetlist_msg      Nem sikerült megszerezni a népszerű börtönök listáját.

codex_settings                          Térképbeállítások
codex_settings_gangs                    Bandák engedélyezése
codex_settings_events                   Események engedélyezése
codex_settings_weather                  Időjárás engedélyezése
codex_settings_staffneeds               Személyzeti szükségletek engedélyezése
codex_settings_failureconditions        Hibafeltételek engedélyezése
codex_settings_confirm                  Ha engedélyezed, ezt a beállítást nem tudod kikapcsolni. Biztosan be szeretnéd kapcsolni a következőt: *X?

codex_packrects							Pack Rectangles
codex_addboxbutton						Új négyszög hozzáadása
codex_setsize							Hézagméret beállítása
codex_removeallrects					Minden négyszög eltávolítása
codex_packrects_widthcaption			Hézagszélesség
