
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	Nouvelle
buildtoolbar_popup_help_prefabs_2	~Après avoir sélectionné l'outil « Clone », maintenez le bouton droit de la souris enfoncé et faites glisser la zone que vous souhaitez copier. Puis, faites un clic gauche ailleurs dans la prison pour ajouter la construction de la copie de cette zone dans la queue.\n
buildtoolbar_popup_help_prefabs_3	~Après avoir sélectionné un outil « Préfabriqué », il vous suffit de faire un clic gauche sur la zone de votre prison où vous souhaitez construire la salle, et elle sera construite par vos travailleurs.\n\n
buildtoolbar_popup_help_prefabs_4	^Astuces
buildtoolbar_popup_help_prefabs_5	- L'outil « Clone » ne copie pas les connexions à l'eau et à l'électricité. Vous devrez connecter manuellement vos nouvelles zones aux réseaux d'électricité et d'eau.

buildtoolbar_popup_help_zoning_1	L'outil « Zoner » vous permet de contrôler les prisonniers qui sont autorisés dans chaque zone de votre prison. Les zones Partagées et Déverrouillées sont ouvertes à toutes les catégories de prisonniers.\n\n
buildtoolbar_popup_help_zoning_2	~Sélectionnez la catégorie que vous voulez assigner à une zone, puis faites un clic gauche sur la zone. Faire un clic droit sur la zone pour qu'elle redevienne Partagée.\n\n
buildtoolbar_popup_help_zoning_3	^Astuces
buildtoolbar_popup_help_zoning_4	- Étant donné qu'aucun prisonnier ne peut pénétrer dans les zones réservées au personnel, cela vous permet de créer des zones tampon qui empêcheront les prisonniers de pénétrer dans certaines zones Partagées. Ceci peut être très utile, par exemple si vous souhaitez maintenir tous vos prisonniers sous protection dans leur propre zone et les empêcher d'accéder à une cour partagée ou à une salle commune.
buildtoolbar_popup_help_zoning_5	- Si une zone est Déverrouillée, toutes les portes de cette zone seront déverrouillées.

buildtoolbar_popup_help_guards_1	L'outil « Gardes » vous permet de stationner vos gardes dans les différentes zones. Un garde stationné se déplacera aléatoirement dans sa zone et effectuera son devoir de garde dans cette zone, comme ouvrir des portes.\n\n
buildtoolbar_popup_help_guards_2	~Faites un clic gauche pour augmenter le nombre de gardes déployés dans une zone. Faites un clic droit pour enlever un garde.\n\n
buildtoolbar_popup_help_guards_3	^Astuces
buildtoolbar_popup_help_guards_4	- Si la Microgestion est débloquée, vous aurez accès au planificateur de déploiement. Il vous permet de créer un emploi du temps de l'assignation de vos gardes à certaines zones. Par exemple, si vous souhaitez que les gardes ne soient déployés dans la Cantine que durant les repas, vous pouvez cliquer sur chaque bloc du programme qui correspond aux repas puis déplacer le curseur sur ce bloc et cliquer sur la cantine pour assigner les gardes.
buildtoolbar_popup_help_guards_5	- Vous avez jusqu'à sept blocs différents pour la planification, en plus du mode par défaut toujours actif, ce qui vous permet de créer des routines de déploiement qui correspondent aux besoins de la prison.
buildtoolbar_popup_help_guards_6	- Si vous ne sélectionnez pas manuellement un bloc lors de l'assignation des gardes, le planificateur utilisera l'heure actuelle. Assurez-vous d'avoir sélectionné l'heure correcte lors de la modification de votre déploiement !

buildtoolbar_popup_help_patrols_title	Patrouilles
buildtoolbar_popup_help_patrols_1	Les trois outils « Patrouille » vous permettent de créer des itinéraires spécifiques de manière à patrouiller les zones que vous souhaitez surveiller, et d'y assigner des gardes standards, des maîtres-chiens ou des gardes armés (ou une combinaison des trois). Ces patrouilles peuvent traverser plusieurs zones.\n\n
buildtoolbar_popup_help_patrols_2	~Faites un clic gauche, restez appuyé-e et faites glisser pour créer des itinéraires de patrouille, puis faites un clic gauche sur un itinéraire de patrouille existant pour ajouter un garde à cette patrouille. Faites un clic droit sur un garde d'une patrouille pour l'enlever ou maintenez le bouton droit enfoncé et faites glisser pour enlever la patrouille dans son ensemble.\n\n
buildtoolbar_popup_help_patrols_3	^Astuces
buildtoolbar_popup_help_patrols_4	- Les gardes normaux en patrouille continueront à effectuer leur devoir, comme l'ouverture des portes et la fouille des prisonniers. Les maitres-chiens et les gardes armés ne le feront pas.
buildtoolbar_popup_help_patrols_5	- Si vous avez débloqué la Microgestion, vous aurez accès au planificateur de déploiement, qui fonctionne de la même manière pour les patrouilles que pour le déploiement des gardes normaux.

buildtoolbar_popup_help_accessonly_1	L'outil « accès limité » vous permet de marquer des zones de votre prison qui devraient être évitées au maximum lors des déplacements dans la prison. Il vous permet d'empêcher les gens d'utiliser un raccourci en passant par certaines pièces si vous préférez qu'ils empruntent un autre chemin.\n\n
buildtoolbar_popup_help_accessonly_2	~Faites un clic gauche sur la zone que vous souhaitez marquer comme accès limité. Ceci peut s'ajouter aux autres paramètres de sécurité normaux.
buildtoolbar_popup_help_accessonly_3	~Faites un clic droit sur la zone pour supprimer la limitation d'accès.\n\n
buildtoolbar_popup_help_accessonly_4	^Astuces
buildtoolbar_popup_help_accessonly_5	- Il ne s'agit pas d'un paramètre strict. Cette restriction n'empêche pas les gens d'entrer dans la zone, en particulier si leur destination se trouve dans la zone marquée. Si le passage par une zone à accès limité représente un gros raccourci par rapport

job_matsassigned	Matériaux alloués
job_matsavailable	Matériaux disponibles
job_awaitingmaterials	En attente de matériaux
job_inprogress	-En cours-
job_blocked	-Bloquée-
job_queued	-Dans la file-

job_failed_noroute	Pas d'accès
job_failed_nomaterials	Pas de matériaux
job_failed_toodangerous	Trop dangereux
job_failed_materialsbeingcarried	Matériaux en chemin

job_rightclicktocancel	- Faites un clic droit pour annuler
job_ftofollow	- Appuyez sur F pour suivre
job_makehighpriority	- Ctrl + clic gauche pour lui donner la priorité
job_removehighpriority	- Ctrl + clic droit pour enlever la priorité
job_makehighpriority_mac	- Alt + clic gauche pour lui donner la priorité
job_removehighpriority_mac	- Alt + clic droit pour enlever la priorité
job_highpriority_tooltip	- URGENT
job_refundamount	- Montant du remboursement : *X

failuremessage_blocked	Verrouillé
failuremessage_cantafford	Fonds insuffisants
failuremessage_cantaffordupkeep	Dépasse le budget quotidien
failuremessage_maximumcountreached	Personnel maximum atteint
failuremessage_maxstaff	Personnel trop important


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	Livraisons
statustoolbar_finances	Finances
statustoolbar_regime	Régime
statustoolbar_escapemap	Sécurité
statustoolbar_electricity	Électricité
statustoolbar_stats	Statistiques
statustoolbar_danger	Danger
statustoolbar_jobs	Tâches
statustoolbar_gangs	Gangs
statustoolbar_staff	Personnel
statustoolbar_research	Recherche


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	Éditeur de sprites
spritebankeditor_create	Créer
spritebankeditor_rotate	Rotation
spritebankeditor_sort	Trier
spritebankeditor_markermodetitle	Mode marqueur


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	Menu principal
codex_campaign	Campagne
codex_cutscenes	Scènes narratives
codex_qualifications	Qualifications
codex_load	Charger prison
codex_loadcampaign	Charger campagne
codex_save	Sauvegarder prison
codex_savecampaign	Sauvegarder campagne
codex_performance	Test de performance
codex_developer_load	(Développeur) Charger carte
codex_developer_save	(Développeur) Sauvegarder carte
codex_developer_clearach	(Développeur) Effacer succès
codex_contacts	Contacts
codex_materials	Matériaux
codex_play	Jouer
codex_play_escape	Jouer en mode Évasion
codex_polaroids	Polaroïds
codex_introduction	Introduction
codex_restartintroduction	Recommencer l'introduction
codex_restartchapter	Recommencer le chapitre
codex_help	Aide (wiki)
codex_opensavefolder	Ouvrir le répertoire de sauvegardes
codex_options	Options
codex_nitgs	Noms dans le jeu
codex_workshop	Partage de prison (Steam)
codex_steamtrending	Prisons les plus populaires (Steam)
codex_checkforupdates	Rechercher des mises à jour
codex_preorder	Précommander
codex_termsconditions	Termes et conditions
codex_twitter	Twitter
codex_extras	Extras
codex_unlocked	Déverrouillé *X/*Y
codex_mapsettings	Paramètres de la carte
codex_othergames	Autres jeux Introversion
codex_mutators	Mutations

codex_cloudsavedesc	Sauvegarder dans le cloud
codex_cloud_enabled	Les nouvelles sauvegardes seront enregistrées dans le cloud.
codex_cloud_notaccount	Steam Cloud est désactivé dans le client Steam. Veuillez le réactiver pour utiliser cette fonctionnalité.
codex_cloud_notapp	De nouvelles sauvegardes seront enregistrées sur votre disque dur.
codex_saveload_delete	Supprimer

codex_new	Créer nouvelle prison
codex_new_worldsize	Taille de la carte
codex_new_small	Petite
codex_new_medium	Moyenne
codex_new_large	Grande
codex_new_selectwarden	Choisissez votre directeur
codex_new_selectgender	Sélectionner le sexe du prisonnier

codex_options_graphics	Graphismes
codex_options_resolution	Résolution
codex_options_resolutionauto	Automatique
codex_options_windowed	Mode fenêtré
codex_options_highdpi	PPP élevés
codex_options_filtering	Filtrage
codex_options_nofiltering	Désactivé
codex_options_multisampled	Multiéchantillonnage
codex_options_supersampled	Super échantillonnage

codex_options_audio	Audio
codex_options_volume	Volume principal
codex_options_frequency	Fréquence de mixage
codex_options_swapstero	Inverser stéréo
codex_options_dspenabled	Activer DSP
codex_options_11khz	11025 Hz
codex_options_22khz	22050 Hz
codex_options_44khz	44100 Hz

codex_options_clocktype	Type d'horloge
codex_options_clocktype_analogue	Analogique
codex_options_clocktype_12h	12 heures
codex_options_clocktype_24h	24 heures

codex_options_directions	Affichage du marquage au sol
codex_options_dirrender_hidden	Caché
codex_options_dirrender_visible	Visible
codex_options_dirrender_zoom	Zoom

codex_options_tempscale	Afficher la température en degrés Celsius

codex_options_gameplay	Jeu
codex_options_autosave	Fréq. de sauvegarde auto.
codex_options_renderrooms	Damier de pièces
codex_options_apply	Appliquer
codex_options_v2gui	Version 2.0 de l'interface graphique
codex_options_zoomtomouse	Zoomer avec la souris
codex_options_oneclickrapsheet	Casier judiciaire en un clic
codex_options_disableanalytics	Désactiver la collection de données
codex_tooltip_disableanalytics	Nous collectons des statistiques anonymisées pour améliorer l'expérience de jeu. Vous pouvez consulter les données que nous collectons dans metrics.txt

codex_options_language	Langue

codex_options_experimental	Expérimental
codex_options_enablevbo	Activer les objets tampons Vertex

codex_nitgs_authwarning	Important : Si vous avez récemment changé votre nom dans le jeu, vous aurez besoin d'une autorisation avant que celui-ci n'apparaisse dans la liste

codex_nitgs_filtercaption	Filtrer
codex_nitgs_filterall	Tous
codex_nitgs_filtermen	Hommes
codex_nitgs_filterwomen	Femmes

codex_nitgs_checkingforupdate	Recherche de mise à jour...
codex_nitgs_updateavailable	Mise à jour disponible
codex_nitgs_downloading	Téléchargement de la mise à jour...
codex_nitgs_downloadcomplete	Téléchargement terminé.
codex_nitgs_downloadfailed	Échec du téléchargement.

codex_enabled	Activé
codex_disabled	Désactivé

codex_option_intake	Admissions constantes
codex_tooltip_intake	Si cette option est activée, votre prison devra admettre un nombre aléatoire de prisonniers chaque jour... pour toujours.\n\nSi cette option est désactivée, vous choisissez vous-même lorsque vous êtes prêt à recevoir des prisonniers en allant dans Rapports et en cliquant sur l'onglet Admission.
codex_option_fogofwar	Brouillard de guerre
codex_tooltip_fogofwar	Vous ne verrez pas ce qui se passe à l'intérieur des bâtiments, à moins que des gardiens y patrouillent ou que des caméras y opèrent.
codex_option_lakes	Lacs aléatoires
codex_tooltip_lakes	Des lacs aléatoires bloqueront certains secteurs du site. ATTENTION : cette fonctionnalité n'en est qu'au stade expérimental.
codex_option_forests	Forêts aléatoires
codex_tooltip_forests	Des groupes d'arbres apparaîtront sur le site.
codex_option_buildings	Bâtiments aléatoires
codex_tooltip_buildings	Des bâtiments délabrés seront aléatoirement placés sur la carte. Vous pouvez les employer comme vous l'entendez.
codex_option_failure	Conditions d'échec
codex_tooltip_failure	Un défi additionnel ! Vous serez renvoyé et la partie prendra fin si les choses tournent trop mal (émeutes, faillite, trop de morts ou d'évadés etc.).
codex_option_unlimitedfunds	Fonds illimités
codex_tooltip_unlimitedfunds	Un pur mode bac à sable ! Vous pouvez dépenser autant que vous voulez, dès le départ. Vous n'avez ni à vous soucier de votre compte en banque, ni à attendre de nouvelles arrivées d'argent.
codex_option_gangs	Gangs
codex_tooltip_gangs	Certains prisonniers feront partie d'un gang, et attaqueront les membres des gangs rivaux. Un défi additionnel.
codex_option_events	Événements
codex_tooltip_events	Provoque certains événements en cours de jeu pour que vous restiez vigilant. Ajoute un défi additionnel et de l'imprévu.
codex_option_weather	Météo et température
codex_tooltip_weather	Ajouter des conditions météorologiques changeantes et des températures variables vous forcera à prendre le chauffage en considération.
codex_option_enablecheats	Activer les outils et cheat codes
codex_tooltip_enablecheats	Active les outils de développement et les cheat codes dans cette prison. Si cette option est sélectionnée, elle ne peut être désactivée, les accomplissements ne sont pas attribués et vous ne serez pas en mesure de vendre cette prison.
codex_option_staffneeds	Besoins du personnel
codex_tooltip_staffneeds	Activer les besoins du personnel signifie que les gardes auront besoin entre autres de nourriture et de repos pour faire leur travail correctement.
codex_option_wardenmode	Mode gardien
codex_tooltip_wardenmode	Incarnez le gardien de la prison que vous construisez.
codex_option_wardenmode_permadeath	Mort permanente
codex_tooltip_wardenmode_permadeath	Si vous mourrez lorsque vous incarnez le gardien, c'est le Game Over !

codex_option_funds	Fonds
codex_tooltip_funds	Vous commencerez avec cette somme sur votre compte en banque. Vendez vos prisons existantes à partir de l'écran d'estimation pour commencer avec des fonds plus importants.

codex_transfer	Transférer
codex_transferring	Transfert en cours
codex_in_prison	Actuellement incarcéré
codex_unavailable	Indisponible
codex_useravatar	C'est moi
codex_tooltip_useravatar	Indiquer ce prisonnier comme étant votre avatar personnel. Si vous devez vous retrouver en prison, vous aurez cette apparence en jeu.
codex_tooltip_flagbio	Signaler cette biographie comme répréhensible ou offensante.

codex_workshop_current	Prison actuelle
codex_workshop_publish	Publier cette prison
codex_workshop_update	Mettre à jour
codex_workshop_play	Jouer
codex_workshop_downloading	Téléchargement
codex_workshop_download_failed	Échec du téléchargement
codex_workshop_publishing	Publication...
codex_workshop_new	NOUVELLES
codex_workshop_title	Titre
codex_workshop_desc	Description
codex_workshop_view_in_workshop	Voir dans Steam Workshop
codex_workshop_heading_pubed	Vos prisons publiées
codex_workshop_heading_subed	Prisons téléchargées
codex_workshop_published_by	Publiée par *P
codex_workshop_published_by_you	Publiée par vous
codex_workshop_published_good	Prison publiée
codex_workshop_published_good_msg	Votre prison a bien été publiée.
codex_workshop_published_bad	Échec de la publication de votre prison
codex_workshop_published_bad_msg	Votre prison n'a pas pu être publiée.
codex_workshop_published_bad_msg_new	Votre nouvelle prison n'a pas pu être publiée. Veuillez réessayer.
codex_workshop_busy	Steam est occupé. Veuillez patienter un instant et réessayer.
codex_workshop_file_exists	Vous avez déjà publié une prison portant ce nom. Veuillez choisir un autre nom.
codex_workshop_generic_fail	Échec de la publication de votre prison. Veuillez réessayer.
codex_workshop_download_bad	Échec du téléchargement de la prison
codex_workshop_pa_workshop	Ouvrir le Workshop de Prison Architect
codex_workshop_agreement	En publiant ceci, vous acceptez les [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]termes de l'Accord de souscription Steam[/url].
codex_workshop_update_warning	Mettre à jour la prison publiée
codex_workshop_update_warning_msg	Mettre à jour cette prison publiée écrasera la prison publiée avec la prison chargée actuelle. Ceci supprimera la prison publiée et la remplacera de manière permanente par la prison avec laquelle vous jouez actuellement. Cette action ne peut pas être annulée.\n\nÊtes-vous sûr/sure de souhaiter continuer ?

codex_options_timelapse	Enregistrement
codex_timelapse_record	Commencer l'enregistrement
codex_timelapse_stop	Stopper l'enregistrement
codex_timelapse_camera	Mode caméra
codex_timelapse_customresw	Largeur personnalisée
codex_timelapse_customresh	Hauteur personnalisée
codex_timelapse_resolution	Résolution
codex_timelapse_fps	Taux de rendu
codex_timelapse_interval	Intervalle de capture
codex_timelapse_quality	Qualité
codex_timelapse_unsupported	Votre matériel ne permet pas l'activation de cette fonctionnalité.
codex_timelapse_savesettings	Sauvegarder paramètres

codex_timelapse_cam_zoom	Zoom caméra
codex_timelapse_cam_fitmap	Ajustée à la carte
codex_timelapse_cam_fitheight	Ajustée à hauteur de carte
codex_timelapse_cam_fitwidth	Ajustée à largeur de carte
codex_timelapse_fps_value	*X IPS
codex_timelapse_quality_high	Élevée
codex_timelapse_quality_med	Moyenne
codex_timelapse_quality_low	Faible
codex_timelapse_interval_value	*X minutes de jeu
timelapse_caption	Durée de l'enregistrement de l'effet Timelapse *X : *Y, *Z images enregistrées, backlog : *T

codex_performance_running	Test de performance en cours
codex_performance_time	Temps restant : *Ts
codex_performance_current	Durée de l'image : *Tms
codex_performance_min	Durée minimale d'image : *Tms
codex_performance_avg	Durée moyenne d'image : *Tms
codex_performance_max	Durée maximale d'image : *Tms
codex_performance_numframes	Nombre d'images : *T

codex_last_modified	Dernière modification : *T
codex_sortbydesc	Trier par date
codex_sortname	Nom
codex_sortdate	Date
codex_apply	Appliquer
codex_select	Sélectionner

codex_mods	Mods
codex_mod_activetitle	Mods actifs
codex_mod_inactivetitle	Mods disponibles
codex_mod_deactivate	Désactiver tous les mods
codex_mod_wiki	Trouver davantage de mods (Wiki)
codex_mod_openmodsfolder	Ouvrir le répertoire de mods
codex_mod_moresteammods	Trouver davantage de mods (Steam Workshop)
codex_mod_findsteamtranslations	Trouver davantage de traductions (Steam Workshop)
codex_authortitle	Auteur
codex_versiontitle	Version
codex_datetitle	Date
codex_urltitle	Adresse internet
codex_typetitle	Type
codex_mod_graphicsandsound	Graphismes et sons
codex_mod_translation	Traduction
codex_mod_scenario	Scénario
codex_mod_content	Contenu
codex_mod_load_scenario	Jouer scénario
codex_publishmod	Publier ce mod

codex_mod_update	Mettre à jour ce mod
codex_mod_published_good	Mod publié
codex_mod_published_good_msg	Votre mod a bien été publié.
codex_mod_published_bad	Échec de la publication du mod
codex_mod_published_bad_msg	Votre mod n'a pas réussi à être publié.
codex_mod_modsupdated	Mods mis à jour
codex_mod_modsupdated_msg	Certains de vos mods actifs ont été mis à jour. Cliquez sur OK pour appliquer les nouvelles modifications. Votre partie va être automatiquement sauvegardée.
codex_mod_translationcaption	Est-ce une traduction dans une autre langue ?

codex_language	Langue
codex_language_englishdefault	Anglais (par défaut)
codex_language_default	Langue par défaut
codex_language_download	Télécharger
codex_language_failed_download	Échec du téléchargement de la traduction
codex_language_failed_download_msg	La traduction sélectionnée n'a pas pu être téléchargée.
codex_language_searching_workshop	Recherche sur le Steam Workshop
codex_language_community	Ces packs de traductions sont créés et entretenus par la communauté. Merci !

codex_polaroids_new	NOUVEAU

codex_save_confirm	Voulez-vous vraiment écraser *X avec la prison actuelle ?
codex_researtchapter_confirm	Voulez-vous vraiment recommencer le chapitre en cours ? Toute progression non sauvegardée sera perdue.
codex_delete_confirm	Êtes-vous sûr-e de vouloir supprimer *X ?

codex_premadeprisons	Prisons préfaites

codex_trending_more	...
codex_sortbycaption	Trier par :
codex_trending_oneday	une journée
codex_trending_oneweek	une semaine
codex_trending_threemonths	trois mois
codex_trending_sixmonths	six mois
codex_trending_oneyear	un an
codex_trending_alltime	tout le temps
codex_trending_failedtogetlist	Échec de l'obtention de la liste de prisons
codex_trending_failedtogetlist_msg	Échec de l'obtention de la liste de prisons populaires.

codex_settings	Paramètres de la carte
codex_settings_gangs	Activer les gangs
codex_settings_events	Activer les évènements
codex_settings_weather	Activer la météo
codex_settings_staffneeds	Activer les besoins du personnel
codex_settings_failureconditions	Activer les conditions d'échec
codex_settings_confirm	Une fois activé, ce paramètre ne peut pas être désactivé. Êtes-vous sûr/sure de vouloir activer *X ?

codex_packrects	Pack Rectangles
codex_addboxbutton	Ajouter un nouveau rectangle
codex_setsize	Définir la taille de l'espace
codex_removeallrects	Supprimer tous les rects
codex_packrects_widthcaption	Largeur de l'espace
codex_packrects_heightcaption	Hauteur de l'espace
codex_packrects_boxwcaption	Largeur rect
codex_packrects_boxhcaption	Hauteur rect

mods_downscaled_spritesheet	Réduction de la sprite sheet
mods_downscaled_spritesheet_msg	La sprite sheet a dû être réduite à cause des limites de votre carte graphique. Ceci a probablement été causé par l'activation de nombreuses mods. Pour améliorer la qualité, désactivez quelques mods.
mods_errors_no_memory	Aucun sprite de mod chargé
mods_errors_no_memory_msg	La mémoire graphique n'est pas suffisante pour charger des sprites de mod supplémentaires. Ceci a probablement été causé par l'activation de nombreuses mods. Désactivez quelques mods afin d'utiliser moins de mémoire.

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	Souhaitez-vous conserver ces options graphiques ? Ces modifications seront annulées dans
graphicschange_time	secondes.
graphicschange_accept	Accepter
graphicschange_revert	Annuler

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	Débuggeur de scripts (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	Différences de mods découvertes
modnotification_info	Ces mods étaient actifs lorsque la prison actuelle a été sauvegardée. Nous vous recommandons fortement de les télécharger et de les activer avant de jouer cette prison.
modnotification_playnow	Jouer maintenant
modnotification_active	Actif
modnotification_inactive	Inactif
modnotification_new	Nouveau
modnotification_unknown	Inconnu
modnotification_popup_title	Différence de mod
modnotification_popup_active	Ce mod est actuellement actif. Cliquez pour le désactiver.
modnotification_popup_inactive	Ce mod est actuellement inactif. Cliquez pour l'activer.
modnotification_popup_new_url	C'est un nouveau mod. Cliquez pour ouvrir son lien dans un navigateur internet.
modnotification_popup_new_steam	C'est un nouveau mod sur Steam. Cliquez pour souscrire et pour télécharger le mod dès à présent.
modnotification_popup_unknown	Nous n'avons pas pu déterminer d'où venait ce mod. Veuillez trouver et installer ce mod par vous-même.

# =============================================================================
# Biography
# =============================================================================

biography_search	Arrêter et rechercher
biography_selected	SÉLECTIONNÉ
biography_prisoner_name	*S, *F
biography_prisoner_number	Prisonnier n°*X
biography_prisoner_age	Âge : *X
biography_prisoner_traits	Traits :
biography_prisoner_convicted	Incarcéré pour *C (a plaidé *P)
biography_prisoner_sentenced	Condamné à *X ans de prison
biography_parole_now	Actuellement admissible à la libération conditionnelle
biography_parole_later	Admissible à la libération conditionnelle après *X ans
biography_prisoner_served	A purgé *X ans
biography_prisoner_priors	Antécédents :


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	Âge :
rapsheet_category	Catégorie :
rapsheet_traits	Traits connus :
rapsheet_conviction_text	*C - *Y ans
rapsheet_found_text	(A plaidé *P)
rapsheet_convictions	Condamnations
rapsheet_misconductstitle	Mauvaises conduites récentes
rapsheet_biography	Biographie
rapsheet_guilty	coupable
rapsheet_notguilty	non coupable
rapsheet_served	Purgée
rapsheet_served_time	A purgé *Y ans
rapsheet_time	*Y ans
rapsheet_bio	Condamné à *Y ans pour *A.
rapsheet_bio_med	Condamné à *Y ans pour crimes multiples, dont *A et *B.
rapsheet_bio_long	Condamné à *Y ans pour crimes multiples, dont *A, *B et *C.
rapsheet_category_minsec	Basse sécurité
rapsheet_category_normal	Moyenne sécurité
rapsheet_category_maxsec	Haute sécurité
rapsheet_category_protected	Surveillance préventive
rapsheet_category_supermax	Très haute sécurité
rapsheet_category_deathrow	Couloir de la mort
rapsheet_tab_biography	Biographie
rapsheet_tab_experience	Parcours
rapsheet_tab_grading	Évaluation
rapsheet_tab_character	Traits connus
rapsheet_punish	Sanctionner
rapsheet_recruit	Recruter en tant qu'informateur

rapsheet_timeinside	*X jours dans votre prison
rapsheet_timeinside_hours	*X heures dans votre prison
rapsheet_mood	Humeur
rapsheet_activity	Activité
rapsheet_condition	Condition
rapsheet_program	Programme
rapsheet_passchance	Chances de réussite
rapsheet_reformhistory	Programmes de réhabilitation

rapsheet_reform_success	Réussite
rapsheet_reform_successcount	Réussi *X fois
rapsheet_reform_failed	Échec
rapsheet_reform_failcount	Raté *X fois

rapsheet_grading_punishment	Répression
rapsheet_grading_health	Santé
rapsheet_grading_security	Sécurité
rapsheet_grading_reform	Réhabilitation
rapsheet_grading_points	*X points :
rapsheet_grading_penalties	*X pénalités :

rapsheet_scheduleexecution	Programmer l'exécution


punish_lockdown_6	Confinement (6hrs)
punish_lockdown_12	Confinement (12hrs)
punish_lockdown_24	Confinement (24hrs)
punish_solitary_6	Isolement (6hrs)
punish_solitary_12	Isolement (12hrs)
punish_solitary_24	Isolement (24hrs)
punish_solitary_perm	Isolement (permanent)
punish_lockdown_perm	Confinement (permanent)
punish_solitary	Isolement
punish_lockdown	Verrouillage
punish_none	Aucun
punish_timer	*Xh *Ym
punish_timer_minutes	*Xm
punish_active	EN COURS
punish_permanent	(Permanent)
punish_end	Mettre un terme à la sanction

punish_up	Haut
punish_down	Bas
punish_setmin	Min
punish_setmed	Moy
punish_setmax	Max
punish_setsuper	Super

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none	Aucun
misconduct_reporttype_complaint	Plaintes
misconduct_reporttype_destruction	Destruction
misconduct_reporttype_escapeattempt	Tentative d'évasion
misconduct_reporttype_injuredprisoner	Attaque d'un détenu
misconduct_reporttype_injuredstaff	Attaque du personnel
misconduct_reporttype_seriousinjury	Infliction blessure grave
misconduct_reporttype_murder	Meurtre
misconduct_reporttype_contrabandweapons	Possession d'armes
misconduct_reporttype_contrabandtools	Vol d'outils
misconduct_reporttype_contrabandnarcotics	Vol de médicaments
misconduct_reporttype_contrabandluxuries	Poss. de biens de valeur
misconduct_reporttype_intoxicated	Ivre ou défoncé
misconduct_title	=[Mauvaise conduite]=
misconduct_totalitems	(Avec *X de plus)

misconduct_report_addiction	Accro à : *X
misconduct_report_recoving	Soigne sa dépendance à : *X
misconduct_report_alcoholic	Alcoolique
misconduct_report_recovingalcoholic	Soigne son alcoolisme


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required	*X nécessaire pour préparer ce rapport.
research_requireunlock	Rechercher « *X » pour déverrouiller.
research_approved	APPROUVÉ
research_cost	Coût : *X
research_costperitem	+ *X par unité.
research_timetounlock	Temps de recherche : *X heures
research_movementpenalty	Pénalité de vitesse : *X%
research_protectionbonus	Protection : *X%
research_tap_to_authorise	CLIQUER POUR AUTORISER

research_none	Aucun
research_warden	Directeur
research_maintainance	Entretien
research_security	Sécurité
research_legal	Juridique
research_mentalhealth	Psychologie
research_finance	Finances
research_landexpansion	Expansion
research_cctv	Vidéosurveillance
research_riotguards	Gardiens antiémeutes
research_health	Santé
research_cleaning	Entretien intérieur
research_groundskeeping	Entretien extérieur
research_clone	Dupliquer
research_deployment	Déploiement
research_patrols	Patrouilles
research_dogs	Chiens
research_prisonlabour	Travail carcéral
research_education	Éducation
research_contraband	Renseignements
research_policy	Règlement intérieur
research_armoury	Armurerie
research_bodyarmour	Gilet tactique
research_tazers	Tasers
research_tazersforeveryone	Tasers pour tous
research_bankloans	Emprunt bancaire
research_lowertaxes1	Dégrèvements d'impôts
research_lowertaxes2	Paradis fiscal
research_remoteaccess	Accès à distance
research_extragrant	Subvention supplémentaire
research_advancedmanagement	Microgestion
research_deathrow	Couloir de la mort
research_permanentpunishment	Sanctions fixes
research_removemincellsize	Petites cellules
research_reduceexecutionliability	Limitation de responsabilité en cas d'exécution
research_legalprep	Préparation juridique
research_legaldefense	Défense juridique
research_guardtowers	Tours de garde

researchtooltip_warden	Déverrouille le directeur, ainsi que le système d'administration complet. Engagez-le à partir de la barre d'outils Personnel.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_security	Déverrouille le chef de la sécurité, qui peut être engagé à partir de la barre d'outils Personnel. Le chef vous donne accès à l'écran de déploiement, et vous fournira également un rapport en temps réel du niveau de danger de votre prison. Ce rapport augurera souvent des problèmes futurs.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_maintenance	Déverrouille le contremaître. Engagez-le à partir de la barre d'outils Personnel.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
researchtooltip_legal	Déverrouille l'avocat, qui peut être engagé à partir de la barre d'outils Personnel. Il vous donne accès à différentes recherches qui vous permettront d'avoir un meilleur contrôle de votre prison.\n\nComme pour tous les autres administrateurs, il lui faut un bureau pour travailler.
