# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Journal intégral des changements
buildtoolbar_popup_obj_Checkpoint	Un Point de contrôle pour fouiller les prisonniers et les visiteurs qui le franchissent. Les prisonniers ne peuvent le franchir que dans une seule direction lorsqu'un garde est présent.
buildtoolbar_popup_mat_waterShallow	Créé des zones d'eau peu profonde pour créer de jolis rivages, entre des sols de Sable et d'Eau. On peut marcher sur ces tuiles, à la différence de l'eau ordinaire.
buildtoolbar_popup_mat_waterLarge	Créé de grandes zones d'eau, de lacs et d'océans.
buildtoolbar_popup_mat_WoodenDockFloor	Un beau sol en bois, idéal pour des quais.

landscape_hint	(Peut être construit sur l'eau)

d11_emergencies_hints_fire_heli	Un hélicoptère avec x*A Pompiers. - $*B
d11_squad_name_FireHeli	Pompiers aéroportés
d11_emergencies_hints_paramedics_heli	Un hélicoptère avec x*A Ambulanciers. - $*B
d11_squad_name_AirParamedics	Ambulanciers aéroportés
d11_emergencies_hints_eliteOps_heli	Un hélicoptère avec x*A Soldats Elite Ops. - $*B
d11_squad_name_EliteOps	Équipe Elite Ops


quickbuild_OutdoorLake	Lac extérieur
quickbuild_River	Rivière

interfacecallout_FireHeli	Pompiers aéroportés
interfacecallout_EliteOps	Équipe Elite Ops
interfacecallout_AirParamedics	Ambulanciers aéroportés


# =============================================================================
# Object Hint strings
# =============================================================================

boatDock_placement_hint	Nécessite une connexion à la terre et une voie de navigation dégagée.
delivery_hover_hint	Le menu Logistique > Transport permet de contrôler le fonctionnement de ce *X.
ferryDock_placement_hint	Doit avoir une masse terrestre parallèle pour s'y rendre.
transportZones_hover_hint	Liens vers les Héliports, les Quais et la route, via le menu Logistique.

# =============================================================================
# DLC Upsell
# =============================================================================

objective_ReadSandALetter	Lettre du PDG (Destination île déserte)
island_letter	Madame, Monsieur,\n\n\nBienvenue dans votre nouvelle vie d'architecte de prisons insulaires ! Voici quelques conseils pour vous aider à vous lancer dans l'aménagement de quais, d'héliports et de prisons situées sur des îles.\n\n1. Îles - Selon la prison, il se peut que vous n'ayez aucun lien physique avec le continent, et si c'est le cas, vous aurez besoin de BATEAUX et d'HÉLICOPTÈRES pour assurer vos services de transport. Construisez des QUAIS et des HÉLIPORTS et déterminez leurs activités : recevoir des livraisons spécifiques, de nouveaux prisonniers, de nouvelles unités d'urgence et plus encore, par la mer et par les airs. -Assurez-vous que les quais sont construits avec une voie de navigation dégagée pour les bateaux qui vont et viennent. -Des QUAIS POUR FERRYS peuvent être construits pour relier les îles entre elles, ainsi qu'avec des PONTS et des DALLES spéciales. -Votre prison peut désormais être mieux protégée grâce aux nouvelles unités ELITE OPS, ainsi qu'avec les hélicoptères qui peuvent combattre les incendies depuis les airs.\n\n2. Personnalisation des livraisons et des transports - Via la LOGISTIQUE, vous pouvez personnaliser les services qui sont affectés à chaque quai, héliport et route, ce qui permet d'accroître l'efficacité de votre prison. Les quais et les héliports peuvent être reliés à des zones de livraison, de réception et d'exportation supplémentaires. Cela vous permettra de faire livrer des denrées alimentaires plus près de la cuisine, ou de faire entrer de nouveaux détenus Haute sécurité plus près de l'aile Haute sécurité de votre île, par exemple. Les possibilités sont infinies !\n\n3. Aménagement paysager - L'eau peut être placée de manière à créer des douves ou des océans autour de votre prison, et la terre peut être modelée avec des rivages, en utilisant de la terre et d'autres types de sols. Toute terre ou île plus petite créée dans l'eau sera créée immédiatement.\n\n4. Nouvelles mesures de sécurité - La contrebande peut toujours arriver par bateau et par hélicoptère, c'est pourquoi nous vous fournissons également de nouveaux équipements haute technologie ! - Construisez des scanners dans les zones de livraison et de stockage pour vérifier les caisses et les boîtes. Vous aurez besoin d'un garde bien réveillé pour regarder un MONITEUR DE SCANNER connecté. -Assignez des gardes aux POINTS DE CONTRÔLE pour fouiller tous les prisonniers et les visiteurs de passage. C'est un excellent moyen de découvrir de la contrebande, mais il peut réduire le flux de prisonniers s'il n'est pas placé stratégiquement.\n\nEnfin, même les îles ne sont pas à l'abri des évasions. Il peut donc être judicieux d'ériger des tours de Snipers sur vos rives, pour surveiller les “baigneurs”.\n\nC'est à peu près tout - Bonne chance !\n\nLe PDG,\nPrison Architects Corp.



codex_option_dynamicReputations	Réputations dynamiques
codex_tooltip_dynamicReputations	Les détenus ont la possibilité d'acquérir ou de perdre des traits de réputation uniques pendant leur temps en prison, en fonction de leurs activités et de leurs expériences à l'intérieur.\n\nFaible - Le nombre de détenus commençant avec une Réputation Dynamique est extrêmement bas et la réputation se gagne à un rythme plus lent. Le nombre de détenus légendaires est fortement réduit.\n\n Moyen - Le nombre de détenus qui commencent avec des Réputations dynamiques est bas. Les réputations sont acquises à un rythme moyen. Le nombre de détenus légendaires est modéré.\n\n Élevé - Le nombre de détenus qui commencent avec des réputations dynamiques est modéré. Les réputations sont acquises à un rythme moyen. Le nombre de détenus légendaires potentiellement introduits est élevé.
object_scannermonitor_needsmachine	À connecter à un Scanner
object_scannermachine_needsmonitor	À connecter à un Moniteur de scanner

roomerror_nodeliveryarealinked	Il n'y a aucune zone de livraison liée à cela dans Logistique


# =============================================================================
# Missing Strings
# =============================================================================

buildtoolbar_popup_help_jobs_6	Les zones de Sylviculture doivent être clôturées pour y affecter des prisonniers afin qu'ils y travaillent, et pour empêcher les évasions.

research_forestrylabour	Travail de Sylviculture
researchtooltip_forestrylabour	Vous permet d'envoyer des prisonniers travailler en Sylviculture via le menu Logistique. Les zones de sylviculture doivent être clôturées pour y affecter des prisonniers afin qu'ils y travaillent, et pour empêcher les évasions. Gardez à l'esprit que les prisonniers devront également avoir un accès aux zones de livraison afin de pouvoir replanter des arbres.
action_usecomputer	Utiliser l'ordinateur


buildtoolbar_popup_help_roomquality_1	La vue « Qualité de la pièce » vous montre la qualité de toutes les cellules et des dortoirs de votre prison qui peuvent être améliorés. Plus le chiffre est élevé, meilleure est la qualité. Si vous placez le curseur de votre souris sur une pièce, cela vous permettra de voir les facteurs qui contribuent à sa qualité et ce que vous pouvez faire pour améliorer son score.\n\n
buildtoolbar_popup_help_roomquality_2	Avec le TRANSFERT DE PRISONNIERS actif
buildtoolbar_popup_help_roomquality_3	– La qualité des pièces contribue aussi pour la note générale de ce secteur de sécurité.
buildtoolbar_popup_help_roomquality_4	– Les prisonniers voudront se faire transférer dans un secteur de sécurité moins élevé, s'il est meilleur (avec une note supérieure) que leur secteur de sécurité actuel. \n\n
buildtoolbar_popup_help_roomquality_5	ÉVALUATION DE LA CELLULE
buildtoolbar_popup_help_roomquality_6	- Avec le temps, les prisonniers ont le droit à une cellule de meilleure qualité en récompense de leur bon comportement. Avoir des cellules de haute qualité à disposition est un bon moyen de favoriser les bons comportements.
buildtoolbar_popup_help_roomquality_7	- Il est important de conserver quelques cellules de basse qualité dans votre prison, car les nouveaux arrivants ont besoin d'une cellule, et si toutes les cellules disponibles sont de trop haute qualité, ils pourraient se retrouver dans des cellules de détention.
buildtoolbar_popup_help_roomquality_8	- Les prisonniers peuvent être placés dans une cellule de meilleure qualité que celle qu'ils méritent s'il n'y a pas de place disponible, mais cela pourrait rendre les autres prisonniers mécontents...

interface_landbuyoverwater	Vous pouvez choisir de générer des îles autour de vos voies de navigation pour vous agrandir, ou créer des zones d'eau libres.
interface_landbuywaterislands	ÎLES
interface_landbuywateronly	EAU SEULEMENT

codex_option_landExpansion	Expansion
codex_tooltip_landExpansion	Ajoutez de la surface de terre à votre terrain une fois pour chaque côté, ce qui rendra votre terrain de départ beaucoup plus grand dès le tout début.


quickbuild_smallIsland	Île (Petite)
quickbuild_mediumIsland	Île (Moyenne)
quickbuild_largeIsland	Île (Grande)
quickbuild_smallLand	Terrain (Petit)
quickbuild_largeLand	Terrain (Grande)


buildtoolbar_quickbuild_smallIsland	Une île produite en série entourée d'eau peu profonde, qui serait à sa place dans tout archipel.
buildtoolbar_quickbuild_mediumIsland	Une île produite en série entourée d'eau peu profonde, qui serait à sa place dans tout archipel.
buildtoolbar_quickbuild_largeIsland	Une île produite en série entourée d'eau peu profonde, qui serait à sa place dans tout archipel.
buildtoolbar_quickbuild_smallLand	Un ensemble de base de tuiles de sable, de terre et d'herbe, à utiliser quand vous agrandissez votre terrain.
buildtoolbar_quickbuild_largeLand	Une île produite en série entourée d'eau peu profonde, qui serait à sa place dans tout archipel.

material_islandgenerator	Îles rapides
buildtoolbar_popup_mat_islandgenerator	Délimitez des zones dans l'eau pour générer une île aléatoire. Assurez-vous de ne pas chevaucher les voies de navigation de votre bateau.

online_check_fail	Vous n'avez pas actuellement la permission d'accéder à cette fonctionnalité du jeu.

job_failed_routetomaterial_blocked	Le chemin d'accès entre le Matériau et le Travail est bloqué

############################### Green Machine ###############################

# =============================================================================
# Materials - Names
# =============================================================================

#console only
material_FlowerField	Champ de fleurs
#

material_ReclaimedWoodWall	Mur en bois recyclé
material_BottleWall	Mur en bouteilles
material_WhitePicketFence	Clôture à piquets blancs
material_ReclaimedBrickFloor	Briques recyclées
material_ReclaimedRubberFloor	Caoutchouc recyclé
material_HayBailWall	Mur en meules de foin
material_WoodenFence	Clôture en bois
material_GardenWall	Mur de jardin
material_SellMaterial	Vendre le matériau

# =============================================================================
# Objects - Names
# =============================================================================

object_shed	Remise
object_BasicAutoGatherer	Ramasseur automatique de base
object_AdvanceAutoGatherer	Ramasseur automatique avancé
object_AutoHarvester	Moissonneuse automatique
object_AutoScythe	Faux automatique
object_Farmer	Fermier
object_CompostFertilizer	Engrais de compost
object_HighQualityFertilizer	Engrais de haute qualité

object_CropCarrotPlant	Carotte
object_CropPotatoPlant	Patate
object_CropTomatoPlant	Plant de tomates
object_CropCabbagePlant	Choux
object_CropAppleTree	Pommier
object_CropBananaTree	Bananier
object_CropOrangeTree	Oranger
object_CropPeachTree	Pêcher
object_CropCornPlant	Plant de maïs
object_CropWheatPlant	Blé
object_CropBarleyPlant	Orge

object_CropAppleTreeSeed	Graine de pommier
object_CropBananaTreeSeed	Graine de bananier
object_CropOrangeTreeSeed	Graine d'oranger
object_CropPeachTreeSeed	Graine de pêcher

object_CropCarrotPlantSeed	Graine de carotte
object_CropPotatoPlantSeed	Graine de patate
object_CropTomatoPlantSeed	Graine de tomate
object_CropCabbagePlantSeed	Graine de chou
object_CropCornPlantSeed	Graine de maïs
object_CropWheatPlantSeed	Graine de blé
object_CropBarleyPlantSeed	Graine d'avoine

object_apple	Pomme
object_banana	Banane
object_Peach	Pêche
object_orange	Orange
object_carrot	Carotte
object_cabbage	Chou
object_potato	Pomme de terre
object_tomato	Tomate
object_barley	Avoine
object_wheat	Blé
object_corn	Maïs
object_organicwaste	Déchets organiques

object_SolarPanels	Panneaux solaires
object_Transformer	Transformateur
object_WindTurbine	Éolienne
object_SolarWindHybrid	Hybride solaire/éolien
object_Battery	Batterie
object_PowerExportMeter	Compteur d'exportation d'énergie
object_PracticeSolarPanel	Panneau solaire d'entraînement

object_TallFridge	Grand réfrigérateur
object_StorageShelf	Étagère de rangement
object_CropSprinkler	Arroseur de cultures
object_DripPipe	Tuyau goutteur

object_compostbin	Bac à compost
object_RecyclingBin	Bac à recyclage
object_RecyclingBag	Sac de recyclage

object_GardenGnome	Nain de jardin
object_TopiaryBush	Buisson taillé
object_TopiaryBushBall	Buisson taillé (Ballon)
object_TopiaryBushWarden	Buisson taillé (Directeur)
object_TopiaryBushSwan	Buisson taillé (Cygne)
object_TopiaryBushDeer	Buisson taillé (Cerf)
object_TopiaryBushDog	Buisson taillé (Chien)
object_TopiaryBushCat	Buisson taillé (Chat)
object_TopiaryBushRex	Buisson taillé (Rex)
object_SolarLight	Lumière (Solaire)

# 						RECREATIONAL GARDENING

object_FlowerRoseBush	Rosier
object_FlowerSunflower	Tournesol
object_FlowerMixedBegonias	Bégonias variés
object_FlowerHeatherBushes	Buissons de bruyère
object_FlowerHydrangeaPlant	Hortensia

object_FlowerRoseBushSeed	Graine de rosier
object_FlowerSunflowerSeed	Graine de tournesol
object_FlowerMixedBegoniasSeed	Graine de bégonia
object_FlowerHeatherBushesSeed	Graine de bruyère
object_FlowerHydrangeaPlantSeed	Graine d'hortensia

object_BarnDoor	Porte de grange
object_WhitePicketGate	Portail en piquets blancs
object_DoubleDoor	Double porte
object_DoubleStaffDoor	Double porte de service
object_DoubleVisitorDoor	Double Porte pour visiteurs
object_SellUtility	Vendre la ressource
object_dumpObject	Jeter l'objet

d11_construction_sellUtility	Vendre la ressource

# =============================================================================
# Equipment - Names
# =============================================================================

equipment_trowel	Truelle
equipment_handFork	Fourche
equipment_HerbPlant	Drogues
equipment_Kicker	Stimulant
equipment_Drink	Boisson
equipment_BoozeBag	Sac à Alcool
equipment_Orange	Orange
equipment_ProducedDrugs	Drogues produites
equipment_ProducedBooze	Alcool produit
equipment_ProducedNarcotics	Stupéfiants produits

# =============================================================================
# Room - Names
# =============================================================================

room_VegetableAllotment	Jardin potager
room_FruitOrchard	Verger
room_FarmingField	Terre agricole
room_pantry	Garde-manger

#=========================================================================
# Quick Rooms
#=========================================================================

quickbuild_flowerGarden	Jardin floral
quickbuild_grove	Bosquet
quickbuild_hedgeMaze	Haies-labyrinthe
quickbuild_yard	Cour

buildtoolbar_quickbuild_flowerGarden_hint	Une aire de repos paisible pour nos détenus.
buildtoolbar_quickbuild_grove_hint	Un groupe d'arbres, à utiliser pour ajouter plus de vie à notre terrain.
buildtoolbar_quickbuild_hedgeMaze_hint	Un labyrinthe basique créé en taillant des haies, pour que nos prisonniers puissent l'explorer.
buildtoolbar_quickbuild_yard_hint	Une cour standard avec tout ce dont nos détenus peuvent avoir besoin.


# =============================================================================
# Carousel - Hint strings
# =============================================================================


buildtoolbar_popup_mat_ReclaimedWoodWall	Murs en bois, créés en réutilisant des anciens matériaux.
buildtoolbar_popup_mat_BottleWall	Des murs magnifiques et colorés, créés en réutilisant des anciens matériaux.
buildtoolbar_popup_mat_WhitePicketFence	Utile pour garder vos parterres de fleurs, mais pas très utile pour garder vos prisonniers.
buildtoolbar_popup_mat_ReclaimedBrickFloor	Un sol carrelé à motifs en chevrons, créé en réutilisant des anciens matériaux.
buildtoolbar_popup_mat_ReclaimedRubberFloor	Un sol carrelé en caoutchouc, créé en réutilisant des anciens matériaux.

buildtoolbar_popup_obj_shed	Un espace pour stocker toutes vos graines, outils et autres articles agricoles. Il y a un robinet d'eau pour permettre une irrigation de base.
buildtoolbar_popup_obj_BasicAutoGatherer	S'active toutes les 6 heures, pour ramasser et stocker tous les ingrédients dans une zone de 5x5.
buildtoolbar_popup_obj_AdvanceAutoGatherer	S'active toutes les 6 heures, pour ramasser et stocker tous les ingrédients dans une zone de 10x10.
buildtoolbar_popup_obj_AutoHarvester	S'active toutes les 6 heures, pour récolter toutes les cultures dans une zone de 10 cases de long devant lui. La récolte sera bloquée par des murs et des portes.
buildtoolbar_popup_obj_AutoScythe	Un outil agricole robotisé qui s'active toutes les 6 heures dans le jeu, pour récolter toutes les cultures dans une zone de 5x5.

buildtoolbar_popup_room_pantry	Une pièce pour stocker tous vos fruits et légumes fraîchement cultivés. La pièce est réfrigérée pour conserver les produits cultivés en prison.
buildtoolbar_popup_room_VegetableAllotment	Une pièce pour cultiver des légumes. Les légumes qui y sont cultivés peuvent être utilisés pour les repas des prisonniers et vendus à l'exportation.
buildtoolbar_popup_room_FarmingField	Une pièce pour cultiver des céréales et des grains. Ces cultures ne peuvent être vendues qu'à l'exportation.
buildtoolbar_popup_room_FruitOrchard	Une pièce pour faire pousser des arbres fruitiers. Les arbres fruitiers porteront des fruits en continu après leur première récolte et pourront être utilisés pour les repas des prisonniers ou vendus pour l'exportation.
buildtoolbar_popup_room_flowergarden	Une zone de jardin récréatif, pour que les détenus puissent cultiver et prendre soin des plantes.

buildtoolbar_popup_obj_CropCarrotPlant	Faites pousser vos propres carottes ! Achetées en paquet de 20 graines qui donnent généralement un ingrédient chacune à la récolte, les carottes récoltées peuvent être vendues au prix de 4 $ l'unité.
buildtoolbar_popup_obj_CropPotatoPlant	Faites pousser vos propres patates ! Achetées en paquet de 20 graines qui donnent généralement 3 patates chacune à la récolte, les patates récoltées peuvent être vendues au prix de 3 $ l'unité.
buildtoolbar_popup_obj_CropTomatoPlant	Faites pousser vos propres tomates ! Achetées en paquet de 10 graines qui donnent généralement 5 tomates chacune à la récolte, les tomates récoltées peuvent être vendues au prix de 4 $ l'unité.
buildtoolbar_popup_obj_CropCabbagePlant	Faites pousser vos propres choux ! Achetés en paquet de 30 graines qui donnent généralement un ingrédient chacune à la récolte, les choux récoltés peuvent être vendus au prix de 4 $ l'unité.
buildtoolbar_popup_obj_CropAppleTree	Pousse et devient un arbre qui fait ensuite pousser continuellement des pommes ! Acheté en paquet de 5 graines. Le rendement habituel de chaque arbre est de 10 pommes, les pommes récoltées peuvent être vendues pour 4 $ l'unité.
buildtoolbar_popup_obj_CropBananaTree	Pousse et devient un arbre qui fait ensuite pousser continuellement des bananes ! Acheté en paquet de 5 graines. Le rendement habituel de chaque arbre est de 16 bananes, les bananes récoltées peuvent être vendues pour 6 $ l'unité.
buildtoolbar_popup_obj_CropPeachTree	Pousse et devient un arbre qui fait ensuite pousser continuellement des pêches ! Acheté en paquet de 5 graines. Le rendement habituel de chaque arbre est de 10 pêches, les pêches récoltées peuvent être vendues pour 6 $ l'unité.
buildtoolbar_popup_obj_CropOrangeTree	Pousse et devient un arbre qui fait ensuite pousser continuellement des oranges ! Acheté en paquet de 5 graines. Le rendement habituel de chaque arbre est de 8 oranges, les oranges récoltées peuvent être vendues pour 3 $ l'unité.
buildtoolbar_popup_obj_CropCornPlant	Faites pousser votre propre maïs ! Achetés en paquet de 10 graines qui donnent généralement 5 épis chacun à la récolte, les épis récoltés peuvent être vendus au prix de 5 $ l'unité.
buildtoolbar_popup_obj_CropBarleyPlant	Faites pousser votre propre avoine ! Achetés en paquet de 10 graines qui donnent généralement 2 unités d'avoines chacun à la récolte, l'avoine récoltée peut être vendue au prix de 3 $ l'unité.
buildtoolbar_popup_obj_CropWheatPlant	Faites pousser votre propre blé ! Achetés en paquet de 10 graines qui donnent généralement 4 unités de blé chacun à la récolte, le blé récolté peut être vendu au prix de 6 $ l'unité.
buildtoolbar_popup_obj_CompostFertilizer	Lorsqu'ils sont appliqués aux cultures, leur vitesse de croissance et de maturation augmente de 25 %.
buildtoolbar_popup_obj_HighQualityFertilizer	Lorsqu'ils sont appliqués aux cultures de plein champ et aux légumes, ils bénéficient d'une augmentation de [50%] de la vitesse de leur croissance et de leur maturation, ainsi que d'une plus grande probabilité de donner des graines.
buildtoolbar_popup_obj_sell_Material	Vendre des matériaux à un prix réduit.
buildtoolbar_popup_obj_Dump_Obj	Jeter des objets de votre prison
buildtoolbar_popup_obj_sellUtility	Vendre des objets utilitaires à un prix réduit.

buildtoolbar_popup_obj_TallFridge	Désormais, les ingrédients pour les repas peuvent être stockés à hauteur des yeux !
buildtoolbar_popup_obj_StorageShelf	Idéal pour augmenter l'espace de stockage.
buildtoolbar_popup_obj_CropSprinkler	Arrose automatiquement l'herbe, les plantes et les arbres.
buildtoolbar_popup_obj_DripPipe	Automatisez toute l'irrigation des cultures vers les 2 tuiles adjacentes avec ce pimpant tuyau goutteur. Ces éléments ne peuvent être placés qu'en ligne droite, les lignes horizontales et verticales ne pouvant être reliées entre elles.

buildtoolbar_popup_uts_SolarPanels	Un générateur d'électricité qui exploite l'énergie du Soleil ! Ils peuvent être connectés à plusieurs sources d'énergie verte, mais leur énergie doit d'abord passer par un transformateur avant de pouvoir être utilisée dans votre prison.
buildtoolbar_popup_uts_Transformer	Convertit l'énergie électrique générée par les sources d'énergie verte en énergie utilisable par les appareils. Plusieurs sources d'énergie peuvent être connectées mais les transformateurs ont une limite d'entrée de 3000 unités d'énergie. Les câbles électriques doivent être connectés dans la direction indiquée par les flèches jointes.
buildtoolbar_popup_uts_WindTurbine	Un générateur d'électricité qui exploite la puissance du vent ! Ils peuvent être connectés à plusieurs sources d'énergie verte, mais leur énergie doit d'abord passer par un transformateur avant de pouvoir être utilisée dans votre prison.
buildtoolbar_popup_uts_SolarWindHybrid	Un générateur d'électricité qui exploite à la fois la puissance du vent et celle du soleil ! Ils peuvent être connectés à plusieurs sources d'énergie verte, mais leur énergie doit d'abord passer par un transformateur avant de pouvoir être utilisée dans votre prison.
buildtoolbar_popup_uts_Battery	Stocke l'énergie excédentaire convertie par les transformateurs pour les cas d'urgence ou pour l'utiliser comme produit exportation. Doit être placé à côté d'un transformateur pour fonctionner.
buildtoolbar_popup_uts_PowerExportMeter	Un objet qui vous permet de renvoyer toute l'énergie stockée vers le réseau pour un retour financier. Doit être raccordé à un transformateur approprié.
buildtoolbar_popup_obj_PracticeSolarPanel	Un panneau solaire posé sur un petit bureau, pouvant être utilisé par un maximum de 4 prisonniers dans les ateliers, pour le programme de développement de panneaux solaires.


buildtoolbar_popup_obj_object_compostbin	Utilisé pour transformer la nourriture et les déchets organiques en un engrais utile.
buildtoolbar_popup_obj_RecyclingBin	Recycler les déchets au lieu de les jeter comme des ordures est bon pour l'environnement et, après avoir fait la recherches “Incitation au recyclage”, vous savez que c'est également bon pour votre portefeuille !
buildtoolbar_popup_obj_GardenGnome	Un joyeux lutin de décoration de jardin.
buildtoolbar_popup_obj_TopiaryBush	Un buisson ornemental sophistiqué.
buildtoolbar_popup_obj_TopiaryBushBall	Un buisson ornemental en forme de sucette.
buildtoolbar_popup_obj_TopiaryBushWarden	Un buisson ornemental en forme de Directeur de prison.
buildtoolbar_popup_obj_TopiaryBushSwan	Un buisson ornemental en forme de cygne élégant.
buildtoolbar_popup_obj_TopiaryBushDeer	Un buisson ornemental en forme de cerf majestueux.
buildtoolbar_popup_obj_TopiaryBushDog	Un buisson ornemental en forme du meilleur ami de l'homme.
buildtoolbar_popup_obj_TopiaryBushCat	Un buisson ornemental en forme de nos félins préférés.
buildtoolbar_popup_obj_TopiaryBushRex	Un buisson ornemental de forme impressionnante.
buildtoolbar_popup_obj_SolarLight	Une lumière solaire auto-alimentée, qui s'allume automatiquement la nuit.
buildtoolbar_popup_obj_FlowerRoseBush	Un buisson décoratif plein de fleurs rouges.
buildtoolbar_popup_obj_FlowerSunflower	Une grande fleur jaune.
buildtoolbar_popup_obj_FlowerMixedBegonias	Un ensemble de fleurs colorées.
buildtoolbar_popup_obj_FlowerHeatherBushes	Un arbuste coloré et commun.
buildtoolbar_popup_obj_FlowerHydrangeaPlant	Une plante décorative pleine de fleurs bleues.
buildtoolbar_popup_obj_BarnDoor	Maintenant, on a plus besoin de se poser la question de savoir si les prisonniers ont été élevés dans une grange.
buildtoolbar_popup_obj_WhitePicketGate	Utile pour garder vos parterres de fleurs, mais pas très utile pour garder vos prisonniers.
buildtoolbar_popup_obj_DoubleDoor	Une double porte utilisable par tout le monde.
buildtoolbar_popup_obj_DoubleStaffDoor	Une double porte utilisable par le personnel.
buildtoolbar_popup_obj_DoubleVisitorDoor	Une double porte utilisable par les visiteurs
buildtoolbar_popup_obj_SellUtility	Vendre des ressources à un prix réduit.

buildtoolbar_popup_staff_farmer	S'occupe de la croissance des cultures et gère tous les emplois liés aux pièces de jardins potagers, de vergers ou de terres agricoles.

buildtoolbar_popup_mat_HayBailWall	Des meules de foin de grande taille mais fragiles. Décoratives, mais pas vraiment un outil de sécurité. En extérieur seulement.
buildtoolbar_popup_mat_WoodenFence	Une clôture en bois faite à la main, qui donne un aspect plus naturel. En extérieur seulement.
buildtoolbar_popup_mat_GardenWall	Ajoute un peu de vie et de couleur aux murs de votre prison. Intérieur et extérieur.


# =============================================================================
# Interface
# =============================================================================

#pc only
d11_hover_alert_electricity	Nécessite de l'électricité
d11_hover_alert_water	Nécessite de l'eau

d11_farm_work	Travail agricole
d11_farm_work_desc	Affectez les prisonniers à un travail dans une pièce de jardin potager, dans un verger ou dans une terre agricole, sous l'œil attentif d'un Agriculteur. Les prisonniers participeront à la plantation, à la récolte et à l'entretien général des cultures de cette pièce. Seuls ceux qui ont passé le cours de sécurité des travailleurs agricoles ou ceux qui ont la main verte peuvent y travailler.
d11_check_ingredients_menu	Consultez le menu Ingrédients pour plus de détails
d11_meal_cost_per_meal	*X $ / repas
d11_meal_cost_total	Prix total
d11_meal_estimated_price	Prix estimé
d11_meal_quantity_description	Paramétrer le nombre d'ingrédients que chaque détenu peut consommer pendant son repas, de 1 à 3. Cette option contrôle le nombre d'ingrédients livrés en fonction du paramètre choisi, du nombre de détenus et de l'approvisionnement alimentaire actuel.
d11_meal_variety_description	Cette option permet de contrôler le nombre de types d'ingrédients qui sont envoyés à la prison lors de la livraison de nourriture. La modification de cette option n'affectera pas le nombre d'ingrédients commandés, mais seulement la variété des ingrédients et, par conséquent, le coût de ces ingrédients.

#ingredient menu
d11_meal_system_description	Le système alimentaire de la prison est basé sur 4 facteurs : les options de repas (variété et quantité), le nombre actuel de prisonniers, le nombre de repas par jour, et la quantité d'ingrédients stockés. Cependant, contrairement aux ingrédients importés, qui sont pleins de conservateurs, les produits cultivés en prison sont beaucoup plus bénéfiques lorsqu'ils sont consommés et, à ce titre, les cuisiniers leur accordent la priorité. Vous trouverez ci-dessous des statistiques relatives aux ingrédients de votre prison et au système alimentaire.
d11_fresh_ingredients	Ingrédients frais
d11_imported_ingredients	Ingrédients importés
d11_meal_ingredients_count_per_meal	Ingrédients par repas
d11_meal_ingredients_count_per_day	Ingrédients par jour
d11_crops_per_day	Récoltes par jour
d11_imported_ingredients_cost	Coût des ingrédients importés
d11_crop_cost	Coût de la récolte

d11_hover_alert_green_electricity	Nécessite de l'énergie verte

d11_powerstation_overloaded	Surchargé. Supprimez des éléments électriques ou ajoutez des condensateurs.
d11_powerstation_overloaded_green	Surcharge, retirez des appareils électriques ou ajoutez de sources d'énergie verte
d11_powerstation_overloaded_two_transformers	Surcharge, les transformateurs ne doivent pas être sur le même circuit
d11_powerstation_overloaded_merged_power	Surcharge, l'énergie verte ne peut être mélangé à l'énergie standard

d11_transformer_input_power	Production d'énergie : *X unités
d11_transformer_output_power	Dépense d'énergie : *X unités
d11_transformer_spare_power	Excès d'énergie actuel : *X unités

d11_powerstation_power_prouduction	Sortie actuelle d'énergie : *X unités
d11_powerstation_max_capacity	Production d'énergie maximum : *X unités

d11_greenpower_positive_weather_effect	La production d'électricité a été affectée positivement par les conditions météorologiques actuelles.
d11_greenpower_negative_weather_effect	La production d'électricité a été affectée négativement par les conditions météorologiques actuelles.

d11_powerexportmeter_sell_desc	Exportation d'énergie :
finances_category_power_export	Exportation d'énergie
d11_powerexportmeter_powertosell	Compensation financière : $*X

d11_battery_charge_text	Courant actuelle : *X %
d11_battery_charging	Charge en cours
d11_battery_discharging	Décharge en cours


misconduct_reporttype_ProducedNarcotics	Stupéfiants produits
contraband_Produced	Stupéfiants produits


research_farming	Agriculture
d11_researchhint_s_farming	Débloque des techniques et des équipements agricoles avancés, ainsi que des cultures plus coûteuses.

research_RecyclingIncentive	incitation au recyclage
researchtooltip_RecyclingIncentive	Profitez de l'initiative “Virage vert” du gouvernement, en offrant à votre prison 10 dollars par jour pour chaque sac de recyclage collecté.
d11_researchhint_l_RecyclingIncentive	Grâce à l'initiative “Virage vert”  du gouvernement, des récompenses financières seront désormais accordées aux institutions qui éliminent leurs déchets correctement. Ainsi, votre prison recevra 10 dollars pour chaque sac de recyclage collecté.

interface_action_AllSwitchOn	Tout allumé
interface_action_AllSwitchOff	Tout éteint

d11_utilitylimits_head	Sources d'énergie
